,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,325,315,49.0,7.0,8.0,0.0,3867.0,892.0,1860.0,1350.0,277.0,21.333333333333332,87.86983280681072,83.47003246195024,4.399800344860476,49.0,7.0,8.0,0.0,3867.0,892.0,1860.0,1350.0,277.0,21.333333333333332,87.86983280681072,83.47003246195024,4.399800344860476,f,10
1,326,261,49.0,7.0,8.0,0.0,3867.0,892.0,1860.0,1350.0,277.0,21.333333333333332,87.86983280681072,83.47003246195024,4.399800344860476,49.0,7.0,8.0,0.0,3867.0,892.0,1860.0,1350.0,277.0,21.333333333333332,87.86983280681072,83.47003246195024,4.399800344860476,f,65
2,312,453,39.0,8.0,7.0,0.0,3589.0,759.0,2000.0,1200.0,114.0,21.0,81.84836125249363,72.28316719205198,9.565194060441636,39.0,8.0,7.0,0.0,3589.0,759.0,2000.0,1200.0,114.0,21.0,81.84836125249363,72.28316719205198,9.565194060441636,qf,-141
3,274,239,39.0,8.0,7.0,0.0,3589.0,759.0,2000.0,1200.0,114.0,21.0,81.84836125249363,72.28316719205198,9.565194060441636,39.0,8.0,7.0,0.0,3589.0,759.0,2000.0,1200.0,114.0,21.0,81.84836125249363,72.28316719205198,9.565194060441636,qf,35
4,247,462,39.0,8.0,7.0,0.0,3589.0,759.0,2000.0,1200.0,114.0,21.0,81.84836125249363,72.28316719205198,9.565194060441636,39.0,8.0,7.0,0.0,3589.0,759.0,2000.0,1200.0,114.0,21.0,81.84836125249363,72.28316719205198,9.565194060441636,qf,-215
5,470,400,37.0,10.0,5.0,0.0,4311.0,862.0,1960.0,1800.0,71.0,13.333333333333334,150.33282457541262,38.84981144588124,111.48301312953139,37.0,10.0,5.0,0.0,4311.0,862.0,1960.0,1800.0,71.0,13.333333333333334,150.33282457541262,38.84981144588124,111.48301312953139,qf,70
6,357,255,37.0,10.0,5.0,0.0,4311.0,862.0,1960.0,1800.0,71.0,13.333333333333334,150.33282457541262,38.84981144588124,111.48301312953139,37.0,10.0,5.0,0.0,4311.0,862.0,1960.0,1800.0,71.0,13.333333333333334,150.33282457541262,38.84981144588124,111.48301312953139,qf,102
7,308,207,38.0,10.0,4.0,0.0,3502.0,780.0,1820.0,1250.0,92.0,17.666666666666668,70.51273495627167,54.61161004133256,15.901124914939116,38.0,10.0,4.0,0.0,3502.0,780.0,1820.0,1250.0,92.0,17.666666666666668,70.51273495627167,54.61161004133256,15.901124914939116,qf,101
8,264,447,38.0,10.0,4.0,0.0,3502.0,780.0,1820.0,1250.0,92.0,17.666666666666668,70.51273495627167,54.61161004133256,15.901124914939116,38.0,10.0,4.0,0.0,3502.0,780.0,1820.0,1250.0,92.0,17.666666666666668,70.51273495627167,54.61161004133256,15.901124914939116,qf,-183
9,313,296,38.0,10.0,4.0,0.0,3502.0,780.0,1820.0,1250.0,92.0,17.666666666666668,70.51273495627167,54.61161004133256,15.901124914939116,38.0,10.0,4.0,0.0,3502.0,780.0,1820.0,1250.0,92.0,17.666666666666668,70.51273495627167,54.61161004133256,15.901124914939116,qf,17
