,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,330,265,9.0,23.0,13.0,0.0,6240.0,1310.0,3420.0,2200.0,10.0,11.666666666666666,81.51163447080533,37.64952947643735,43.86210499436797,9.0,23.0,13.0,0.0,6240.0,1310.0,3420.0,2200.0,10.0,11.666666666666666,81.51163447080533,37.64952947643735,43.86210499436797,f,65
1,255,306,9.0,23.0,13.0,0.0,6240.0,1310.0,3420.0,2200.0,10.0,11.666666666666666,81.51163447080533,37.64952947643735,43.86210499436797,9.0,23.0,13.0,0.0,6240.0,1310.0,3420.0,2200.0,10.0,11.666666666666666,81.51163447080533,37.64952947643735,43.86210499436797,f,-51
2,185,305,9.0,23.0,13.0,0.0,6240.0,1310.0,3420.0,2200.0,10.0,11.666666666666666,81.51163447080533,37.64952947643735,43.86210499436797,9.0,23.0,13.0,0.0,6240.0,1310.0,3420.0,2200.0,10.0,11.666666666666666,81.51163447080533,37.64952947643735,43.86210499436797,f,-120
3,235,255,7.0,19.0,16.0,0.0,5808.0,1030.0,2840.0,2400.0,33.0,16.0,66.2643355358543,61.98811422332964,4.276221312524673,7.0,19.0,16.0,0.0,5808.0,1030.0,2840.0,2400.0,33.0,16.0,66.2643355358543,61.98811422332964,4.276221312524673,qf,-20
4,255,160,7.0,19.0,16.0,0.0,5808.0,1030.0,2840.0,2400.0,33.0,16.0,66.2643355358543,61.98811422332964,4.276221312524673,7.0,19.0,16.0,0.0,5808.0,1030.0,2840.0,2400.0,33.0,16.0,66.2643355358543,61.98811422332964,4.276221312524673,qf,95
5,255,200,7.0,19.0,16.0,0.0,5808.0,1030.0,2840.0,2400.0,33.0,16.0,66.2643355358543,61.98811422332964,4.276221312524673,7.0,19.0,16.0,0.0,5808.0,1030.0,2840.0,2400.0,33.0,16.0,66.2643355358543,61.98811422332964,4.276221312524673,qf,55
6,192,240,9.0,21.0,15.0,0.0,4614.0,602.0,2620.0,1350.0,34.0,14.0,36.821153495308195,37.12147481825797,-0.3003213229497786,9.0,21.0,15.0,0.0,4614.0,602.0,2620.0,1350.0,34.0,14.0,36.821153495308195,37.12147481825797,-0.3003213229497786,qf,-48
7,247,255,9.0,21.0,15.0,0.0,4614.0,602.0,2620.0,1350.0,34.0,14.0,36.821153495308195,37.12147481825797,-0.3003213229497786,9.0,21.0,15.0,0.0,4614.0,602.0,2620.0,1350.0,34.0,14.0,36.821153495308195,37.12147481825797,-0.3003213229497786,qf,-8
8,230,275,12.0,18.0,16.0,2.0,5224.0,865.0,3220.0,1250.0,9.0,16.666666666666668,45.53620033653263,51.338767643756704,-5.802567307224064,12.0,18.0,16.0,2.0,5224.0,865.0,3220.0,1250.0,9.0,16.666666666666668,45.53620033653263,51.338767643756704,-5.802567307224064,qf,-45
9,95,305,12.0,18.0,16.0,2.0,5224.0,865.0,3220.0,1250.0,9.0,16.666666666666668,45.53620033653263,51.338767643756704,-5.802567307224064,12.0,18.0,16.0,2.0,5224.0,865.0,3220.0,1250.0,9.0,16.666666666666668,45.53620033653263,51.338767643756704,-5.802567307224064,qf,-210
10,188,181,12.0,17.0,16.0,3.0,5578.0,993.0,2980.0,1800.0,73.0,17.666666666666668,60.324854064600885,45.240676817270945,15.084177247329938,12.0,17.0,16.0,3.0,5578.0,993.0,2980.0,1800.0,73.0,17.666666666666668,60.324854064600885,45.240676817270945,15.084177247329938,qf,7
11,254,237,12.0,17.0,16.0,3.0,5578.0,993.0,2980.0,1800.0,73.0,17.666666666666668,60.324854064600885,45.240676817270945,15.084177247329938,12.0,17.0,16.0,3.0,5578.0,993.0,2980.0,1800.0,73.0,17.666666666666668,60.324854064600885,45.240676817270945,15.084177247329938,qf,17
12,90,52,15.0,17.0,17.0,2.0,5033.0,1103.0,3100.0,1150.0,23.0,19.333333333333332,40.99843064568256,44.21611985588518,-3.2176892102026216,15.0,17.0,17.0,2.0,5033.0,1103.0,3100.0,1150.0,23.0,19.333333333333332,40.99843064568256,44.21611985588518,-3.2176892102026216,qm,38
13,90,50,10.0,16.0,19.0,1.0,5044.0,875.0,2840.0,1650.0,19.0,23.333333333333332,39.42536405975999,57.462198688990156,-18.036834629230167,10.0,16.0,19.0,1.0,5044.0,875.0,2840.0,1650.0,19.0,23.333333333333332,39.42536405975999,57.462198688990156,-18.036834629230167,qm,40
14,80,142,7.0,15.0,21.0,0.0,4922.0,974.0,3000.0,1200.0,17.0,26.0,36.36255936943717,54.6233226723022,-18.260763302865033,7.0,15.0,21.0,0.0,4922.0,974.0,3000.0,1200.0,17.0,26.0,36.36255936943717,54.6233226723022,-18.260763302865033,qm,-62
15,195,145,12.0,22.0,12.0,1.0,5945.0,1038.0,2960.0,2250.0,25.0,10.333333333333334,71.65523985902979,57.644182282928874,14.01105757610093,12.0,22.0,12.0,1.0,5945.0,1038.0,2960.0,2250.0,25.0,10.333333333333334,71.65523985902979,57.644182282928874,14.01105757610093,qm,50
16,180,215,19.0,19.0,17.0,0.0,6280.0,1441.0,3660.0,2100.0,20.0,16.333333333333332,79.90972933240833,57.244973324073065,22.664756008335257,19.0,19.0,17.0,0.0,6280.0,1441.0,3660.0,2100.0,20.0,16.333333333333332,79.90972933240833,57.244973324073065,22.664756008335257,qm,-35
17,203,116,10.0,18.0,18.0,0.0,5147.0,1145.0,2800.0,1750.0,32.0,20.0,48.22971881721389,51.48255620524274,-3.2528373880288406,10.0,18.0,18.0,0.0,5147.0,1145.0,2800.0,1750.0,32.0,20.0,48.22971881721389,51.48255620524274,-3.2528373880288406,qm,87
18,145,215,15.0,16.0,18.0,2.0,5116.0,755.0,2900.0,1650.0,11.0,21.666666666666668,50.207238316852205,51.04945255316108,-0.8422142363088803,15.0,16.0,18.0,2.0,5116.0,755.0,2900.0,1650.0,11.0,21.666666666666668,50.207238316852205,51.04945255316108,-0.8422142363088803,qm,-70
19,80,85,4.0,11.0,25.0,0.0,4570.0,693.0,2960.0,1150.0,35.0,34.0,28.645866506205717,45.74201001472983,-17.09614350852411,4.0,11.0,25.0,0.0,4570.0,693.0,2960.0,1150.0,35.0,34.0,28.645866506205717,45.74201001472983,-17.09614350852411,qm,-5
20,51,140,8.0,10.0,24.0,2.0,4236.0,775.0,2520.0,1150.0,76.0,32.666666666666664,20.167942667701514,47.02712665653513,-26.85918398883362,8.0,10.0,24.0,2.0,4236.0,775.0,2520.0,1150.0,76.0,32.666666666666664,20.167942667701514,47.02712665653513,-26.85918398883362,qm,-89
21,195,180,12.0,25.0,10.0,1.0,6231.0,1007.0,3300.0,2250.0,11.0,7.0,71.76092440223928,47.96502090662985,23.795903495609434,12.0,25.0,10.0,1.0,6231.0,1007.0,3300.0,2250.0,11.0,7.0,71.76092440223928,47.96502090662985,23.795903495609434,qm,15
22,113,85,16.0,16.0,16.0,2.0,4693.0,853.0,2500.0,1650.0,38.0,23.0,44.498502971816855,49.10303586428544,-4.604532892468586,16.0,16.0,16.0,2.0,4693.0,853.0,2500.0,1650.0,38.0,23.0,44.498502971816855,49.10303586428544,-4.604532892468586,qm,28
23,145,105,6.0,17.0,18.0,1.0,5282.0,887.0,2920.0,1600.0,22.0,20.0,50.4187418753936,54.27595876479082,-3.857216889397224,6.0,17.0,18.0,1.0,5282.0,887.0,2920.0,1600.0,22.0,20.0,50.4187418753936,54.27595876479082,-3.857216889397224,qm,40
24,148,95,11.0,20.0,16.0,0.0,5652.0,904.0,2960.0,2050.0,42.0,14.0,62.39454543758787,51.893948649575776,10.500596788012095,11.0,20.0,16.0,0.0,5652.0,904.0,2960.0,2050.0,42.0,14.0,62.39454543758787,51.893948649575776,10.500596788012095,qm,53
25,90,145,5.0,15.0,20.0,1.0,4973.0,1042.0,3100.0,1250.0,28.0,25.333333333333332,37.42392143397343,41.79850241342561,-4.374580979452176,5.0,15.0,20.0,1.0,4973.0,1042.0,3100.0,1250.0,28.0,25.333333333333332,37.42392143397343,41.79850241342561,-4.374580979452176,qm,-55
26,249,80,11.0,18.0,17.0,1.0,6093.0,1449.0,3340.0,2200.0,63.0,17.666666666666668,72.44956289852568,45.920465104071674,26.529097794454,11.0,18.0,17.0,1.0,6093.0,1449.0,3340.0,2200.0,63.0,17.666666666666668,72.44956289852568,45.920465104071674,26.529097794454,qm,169
27,210,55,4.0,18.0,17.0,1.0,4950.0,751.0,2620.0,1700.0,40.0,19.333333333333332,49.53933251119552,45.624022559353214,3.9153099518423047,4.0,18.0,17.0,1.0,4950.0,751.0,2620.0,1700.0,40.0,19.333333333333332,49.53933251119552,45.624022559353214,3.9153099518423047,qm,155
28,116,240,11.0,16.0,19.0,1.0,4787.0,692.0,2940.0,1150.0,12.0,23.0,36.41426822887241,53.53413615385193,-17.119867924979527,11.0,16.0,19.0,1.0,4787.0,692.0,2940.0,1150.0,12.0,23.0,36.41426822887241,53.53413615385193,-17.119867924979527,qm,-124
29,165,90,14.0,26.0,9.0,1.0,6053.0,1307.0,3200.0,2200.0,13.0,7.0,69.4582856756013,38.3434386958244,31.1148469797769,14.0,26.0,9.0,1.0,6053.0,1307.0,3200.0,2200.0,13.0,7.0,69.4582856756013,38.3434386958244,31.1148469797769,qm,75
30,60,120,4.0,17.0,18.0,0.0,5024.0,840.0,2560.0,1850.0,29.0,21.666666666666668,48.421731564474705,50.177823718323545,-1.7560921538488377,4.0,17.0,18.0,0.0,5024.0,840.0,2560.0,1850.0,29.0,21.666666666666668,48.421731564474705,50.177823718323545,-1.7560921538488377,qm,-60
31,95,50,9.0,18.0,15.0,1.0,4891.0,930.0,2840.0,1350.0,16.0,19.0,44.34188039776873,48.89193433277965,-4.550053935010912,9.0,18.0,15.0,1.0,4891.0,930.0,2840.0,1350.0,16.0,19.0,44.34188039776873,48.89193433277965,-4.550053935010912,qm,45
32,55,55,9.0,14.0,19.0,3.0,5212.0,1088.0,2860.0,1750.0,62.0,25.0,50.55421514966042,51.724364273968895,-1.1701491243084743,9.0,14.0,19.0,3.0,5212.0,1088.0,2860.0,1750.0,62.0,25.0,50.55421514966042,51.724364273968895,-1.1701491243084743,qm,0
33,195,155,10.0,17.0,18.0,0.0,5534.0,732.0,2820.0,2100.0,24.0,20.333333333333332,64.7199981928169,64.2577889628677,0.46220922994921193,10.0,17.0,18.0,0.0,5534.0,732.0,2820.0,2100.0,24.0,20.333333333333332,64.7199981928169,64.2577889628677,0.46220922994921193,qm,40
34,88,101,6.0,11.0,24.0,1.0,5148.0,1031.0,3120.0,1500.0,38.0,29.666666666666668,41.02248420297744,59.751548057672174,-18.729063854694733,6.0,11.0,24.0,1.0,5148.0,1031.0,3120.0,1500.0,38.0,29.666666666666668,41.02248420297744,59.751548057672174,-18.729063854694733,qm,-13
