,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,312,287,41.0,22.0,14.0,0.0,9516.0,1801.0,4500.0,3950.0,106.0,11.666666666666666,107.43559938922455,82.25861531540328,25.176984073821284,41.0,22.0,14.0,0.0,9516.0,1801.0,4500.0,3950.0,106.0,11.666666666666666,107.43559938922455,82.25861531540328,25.176984073821284,f,25
1,241,261,41.0,22.0,14.0,0.0,9516.0,1801.0,4500.0,3950.0,106.0,11.666666666666666,107.43559938922455,82.25861531540328,25.176984073821284,41.0,22.0,14.0,0.0,9516.0,1801.0,4500.0,3950.0,106.0,11.666666666666666,107.43559938922455,82.25861531540328,25.176984073821284,f,-20
2,272,262,41.0,22.0,14.0,0.0,9516.0,1801.0,4500.0,3950.0,106.0,11.666666666666666,107.43559938922455,82.25861531540328,25.176984073821284,41.0,22.0,14.0,0.0,9516.0,1801.0,4500.0,3950.0,106.0,11.666666666666666,107.43559938922455,82.25861531540328,25.176984073821284,f,10
3,445,255,33.0,16.0,17.0,2.0,8096.0,1441.0,4400.0,3000.0,26.0,23.666666666666668,75.51567236140671,79.312145534632,-3.796473173225285,33.0,16.0,17.0,2.0,8096.0,1441.0,4400.0,3000.0,26.0,23.666666666666668,75.51567236140671,79.312145534632,-3.796473173225285,qf,190
4,445,305,33.0,16.0,17.0,2.0,8096.0,1441.0,4400.0,3000.0,26.0,23.666666666666668,75.51567236140671,79.312145534632,-3.796473173225285,33.0,16.0,17.0,2.0,8096.0,1441.0,4400.0,3000.0,26.0,23.666666666666668,75.51567236140671,79.312145534632,-3.796473173225285,qf,140
5,291,409,13.0,20.0,16.0,0.0,9264.0,1545.0,4460.0,3750.0,49.0,16.333333333333332,93.35192612458899,76.30465547103462,17.04727065355436,13.0,20.0,16.0,0.0,9264.0,1545.0,4460.0,3750.0,49.0,16.333333333333332,93.35192612458899,76.30465547103462,17.04727065355436,qf,-118
6,235,304,13.0,20.0,16.0,0.0,9264.0,1545.0,4460.0,3750.0,49.0,16.333333333333332,93.35192612458899,76.30465547103462,17.04727065355436,13.0,20.0,16.0,0.0,9264.0,1545.0,4460.0,3750.0,49.0,16.333333333333332,93.35192612458899,76.30465547103462,17.04727065355436,qf,-69
7,285,296,9.0,19.0,17.0,0.0,9037.0,1370.0,4200.0,4100.0,47.0,17.666666666666668,89.76926611982817,73.19842391005173,16.570842209776455,9.0,19.0,17.0,0.0,9037.0,1370.0,4200.0,4100.0,47.0,17.666666666666668,89.76926611982817,73.19842391005173,16.570842209776455,qf,-11
8,305,276,9.0,19.0,17.0,0.0,9037.0,1370.0,4200.0,4100.0,47.0,17.666666666666668,89.76926611982817,73.19842391005173,16.570842209776455,9.0,19.0,17.0,0.0,9037.0,1370.0,4200.0,4100.0,47.0,17.666666666666668,89.76926611982817,73.19842391005173,16.570842209776455,qf,29
9,315,400,9.0,19.0,17.0,0.0,9037.0,1370.0,4200.0,4100.0,47.0,17.666666666666668,89.76926611982817,73.19842391005173,16.570842209776455,9.0,19.0,17.0,0.0,9037.0,1370.0,4200.0,4100.0,47.0,17.666666666666668,89.76926611982817,73.19842391005173,16.570842209776455,qf,-85
