,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,311,188,10.0,23.0,12.0,1.0,9185.0,1976.0,4720.0,3600.0,110.0,9.333333333333334,102.79571392505598,74.10382071783015,28.69189320722583,9.0,18.0,15.0,3.0,8336.0,1856.0,4480.0,3000.0,51.0,15.333333333333334,86.45383915965294,70.13028717403382,16.323551985619105,f,123
1,340,212,10.0,23.0,12.0,1.0,9185.0,1976.0,4720.0,3600.0,110.0,9.333333333333334,102.79571392505598,74.10382071783015,28.69189320722583,9.0,18.0,15.0,3.0,8336.0,1856.0,4480.0,3000.0,51.0,15.333333333333334,86.45383915965294,70.13028717403382,16.323551985619105,f,128
2,195,285,19.0,19.0,17.0,0.0,8172.0,1427.0,4260.0,3150.0,17.0,19.0,76.21450382803408,69.96609917038353,6.2484046576505605,23.0,22.0,11.0,3.0,8713.0,1718.0,4640.0,3200.0,3.0,10.0,91.74188091287225,57.27495684134527,34.46692407152698,qf,-90
3,245,285,19.0,19.0,17.0,0.0,8172.0,1427.0,4260.0,3150.0,17.0,19.0,76.21450382803408,69.96609917038353,6.2484046576505605,23.0,22.0,11.0,3.0,8713.0,1718.0,4640.0,3200.0,3.0,10.0,91.74188091287225,57.27495684134527,34.46692407152698,qf,-40
4,282,255,9.0,18.0,15.0,3.0,8336.0,1856.0,4480.0,3000.0,51.0,15.333333333333334,86.45383915965294,70.13028717403382,16.323551985619105,23.0,20.0,15.0,1.0,8547.0,2124.0,4820.0,3050.0,7.0,13.0,89.58141408031842,76.10915352357355,13.472260556744859,qf,27
5,305,255,9.0,18.0,15.0,3.0,8336.0,1856.0,4480.0,3000.0,51.0,15.333333333333334,86.45383915965294,70.13028717403382,16.323551985619105,23.0,20.0,15.0,1.0,8547.0,2124.0,4820.0,3050.0,7.0,13.0,89.58141408031842,76.10915352357355,13.472260556744859,qf,50
6,305,260,14.0,20.0,14.0,2.0,8432.0,2034.0,4420.0,3300.0,32.0,12.666666666666666,80.7284114460161,73.04296885321449,7.685442592801604,10.0,23.0,12.0,1.0,9185.0,1976.0,4720.0,3600.0,110.0,9.333333333333334,102.79571392505598,74.10382071783015,28.69189320722583,qf,45
7,285,479,14.0,20.0,14.0,2.0,8432.0,2034.0,4420.0,3300.0,32.0,12.666666666666666,80.7284114460161,73.04296885321449,7.685442592801604,10.0,23.0,12.0,1.0,9185.0,1976.0,4720.0,3600.0,110.0,9.333333333333334,102.79571392505598,74.10382071783015,28.69189320722583,qf,-194
8,247,399,14.0,20.0,14.0,2.0,8432.0,2034.0,4420.0,3300.0,32.0,12.666666666666666,80.7284114460161,73.04296885321449,7.685442592801604,10.0,23.0,12.0,1.0,9185.0,1976.0,4720.0,3600.0,110.0,9.333333333333334,102.79571392505598,74.10382071783015,28.69189320722583,qf,-152
9,305,280,7.0,16.0,18.0,2.0,8324.0,1770.0,4340.0,3250.0,9.0,21.0,85.03805751053123,88.12603115895274,-3.0879736484215337,17.0,26.0,10.0,0.0,8763.0,1302.0,4380.0,3650.0,18.0,8.0,98.12970833597024,71.65868908898045,26.471019246989787,qf,25
10,235,261,7.0,16.0,18.0,2.0,8324.0,1770.0,4340.0,3250.0,9.0,21.0,85.03805751053123,88.12603115895274,-3.0879736484215337,17.0,26.0,10.0,0.0,8763.0,1302.0,4380.0,3650.0,18.0,8.0,98.12970833597024,71.65868908898045,26.471019246989787,qf,-26
11,285,187,7.0,16.0,18.0,2.0,8324.0,1770.0,4340.0,3250.0,9.0,21.0,85.03805751053123,88.12603115895274,-3.0879736484215337,17.0,26.0,10.0,0.0,8763.0,1302.0,4380.0,3650.0,18.0,8.0,98.12970833597024,71.65868908898045,26.471019246989787,qf,98
12,126,95,6.0,15.0,20.0,1.0,7248.0,1606.0,4080.0,2450.0,13.0,25.666666666666668,48.13920557982939,78.18937663435707,-30.05017105452769,9.0,9.0,25.0,2.0,6790.0,1283.0,3940.0,2100.0,10.0,34.0,40.99491477606523,73.07004767761448,-32.07513290154926,qm,31
13,145,235,3.0,14.0,20.0,2.0,7450.0,1241.0,4040.0,2650.0,5.0,24.666666666666668,61.72224309300638,83.58194072083026,-21.859697627823888,25.0,17.0,18.0,1.0,8058.0,1301.0,4260.0,3200.0,23.0,22.0,80.73311567300144,72.47459499953943,8.258520673462,qm,-90
14,255,205,24.0,23.0,10.0,3.0,8533.0,1783.0,4340.0,3400.0,8.0,10.333333333333334,85.0191869795208,71.26513145917242,13.754055520348379,3.0,18.0,17.0,1.0,8127.0,1913.0,4420.0,2900.0,27.0,19.0,75.94220555552415,70.22473166629557,5.717473889228576,qm,50
15,145,96,8.0,21.0,13.0,2.0,7913.0,1311.0,4260.0,3000.0,53.0,15.666666666666666,71.83521970848874,66.27835288081427,5.556866827674462,5.0,12.0,23.0,1.0,7163.0,1375.0,4040.0,2350.0,18.0,31.666666666666668,52.44419226562447,72.58194381897819,-20.137751553353716,qm,49
16,135,262,16.0,17.0,18.0,1.0,8149.0,1841.0,4480.0,2900.0,14.0,19.333333333333332,80.77459886625861,79.36294657829937,1.4116522879592328,10.0,22.0,13.0,1.0,9055.0,2098.0,4720.0,3400.0,100.0,10.666666666666666,97.7321453893336,68.81513543353572,28.91700995579788,qm,-127
17,180,240,23.0,15.0,19.0,2.0,7815.0,1475.0,4400.0,2700.0,5.0,22.333333333333332,69.25317571341003,67.5766600850937,1.6765156283163212,16.0,19.0,15.0,2.0,7877.0,1726.0,4000.0,2950.0,42.0,16.333333333333332,73.22346726323576,66.30067052531662,6.922796737919154,qm,-60
18,285,101,6.0,18.0,16.0,2.0,7980.0,1726.0,4280.0,2950.0,10.0,21.0,76.0701371199899,70.13089527862977,5.939241841360125,10.0,14.0,21.0,1.0,7130.0,1379.0,3960.0,2450.0,15.0,27.666666666666668,47.15669758639516,77.58228128653282,-30.42558370013765,qm,184
