,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,258,462,35.0,20.0,16.0,0.0,9660.0,1976.0,5000.0,3900.0,70.0,14.666666666666666,100.11593380303937,83.91184424181166,16.204089561227722,35.0,20.0,16.0,0.0,9660.0,1976.0,5000.0,3900.0,70.0,14.666666666666666,100.11593380303937,83.91184424181166,16.204089561227722,f,-204
1,269,264,35.0,20.0,16.0,0.0,9660.0,1976.0,5000.0,3900.0,70.0,14.666666666666666,100.11593380303937,83.91184424181166,16.204089561227722,35.0,20.0,16.0,0.0,9660.0,1976.0,5000.0,3900.0,70.0,14.666666666666666,100.11593380303937,83.91184424181166,16.204089561227722,f,5
2,267,265,35.0,20.0,16.0,0.0,9660.0,1976.0,5000.0,3900.0,70.0,14.666666666666666,100.11593380303937,83.91184424181166,16.204089561227722,35.0,20.0,16.0,0.0,9660.0,1976.0,5000.0,3900.0,70.0,14.666666666666666,100.11593380303937,83.91184424181166,16.204089561227722,f,2
3,146,390,8.0,18.0,16.0,2.0,9393.0,1711.0,4620.0,4100.0,53.0,20.0,88.07356792748764,85.7099811849567,2.363586742530925,8.0,18.0,16.0,2.0,9393.0,1711.0,4620.0,4100.0,53.0,20.0,88.07356792748764,85.7099811849567,2.363586742530925,qf,-244
4,265,318,8.0,18.0,16.0,2.0,9393.0,1711.0,4620.0,4100.0,53.0,20.0,88.07356792748764,85.7099811849567,2.363586742530925,8.0,18.0,16.0,2.0,9393.0,1711.0,4620.0,4100.0,53.0,20.0,88.07356792748764,85.7099811849567,2.363586742530925,qf,-53
5,308,306,20.0,17.0,18.0,1.0,9554.0,1936.0,4960.0,3850.0,94.0,18.666666666666668,88.17104246940028,97.16258393600786,-8.991541466607574,20.0,17.0,18.0,1.0,9554.0,1936.0,4960.0,3850.0,94.0,18.666666666666668,88.17104246940028,97.16258393600786,-8.991541466607574,qf,2
6,266,280,20.0,17.0,18.0,1.0,9554.0,1936.0,4960.0,3850.0,94.0,18.666666666666668,88.17104246940028,97.16258393600786,-8.991541466607574,20.0,17.0,18.0,1.0,9554.0,1936.0,4960.0,3850.0,94.0,18.666666666666668,88.17104246940028,97.16258393600786,-8.991541466607574,qf,-14
7,311,231,20.0,17.0,18.0,1.0,9554.0,1936.0,4960.0,3850.0,94.0,18.666666666666668,88.17104246940028,97.16258393600786,-8.991541466607574,20.0,17.0,18.0,1.0,9554.0,1936.0,4960.0,3850.0,94.0,18.666666666666668,88.17104246940028,97.16258393600786,-8.991541466607574,qf,80
8,265,307,2.0,20.0,16.0,0.0,9701.0,1743.0,4680.0,4150.0,36.0,16.333333333333332,92.90694846509473,83.5960627786801,9.310885686414608,2.0,20.0,16.0,0.0,9701.0,1743.0,4680.0,4150.0,36.0,16.333333333333332,92.90694846509473,83.5960627786801,9.310885686414608,qf,-42
9,285,310,2.0,20.0,16.0,0.0,9701.0,1743.0,4680.0,4150.0,36.0,16.333333333333332,92.90694846509473,83.5960627786801,9.310885686414608,2.0,20.0,16.0,0.0,9701.0,1743.0,4680.0,4150.0,36.0,16.333333333333332,92.90694846509473,83.5960627786801,9.310885686414608,qf,-25
10,260,288,20.0,21.0,15.0,0.0,9686.0,1551.0,4740.0,4300.0,51.0,14.0,94.28960741133118,80.5864931377697,13.703114273561477,20.0,21.0,15.0,0.0,9686.0,1551.0,4740.0,4300.0,51.0,14.0,94.28960741133118,80.5864931377697,13.703114273561477,qf,-28
11,305,450,20.0,21.0,15.0,0.0,9686.0,1551.0,4740.0,4300.0,51.0,14.0,94.28960741133118,80.5864931377697,13.703114273561477,20.0,21.0,15.0,0.0,9686.0,1551.0,4740.0,4300.0,51.0,14.0,94.28960741133118,80.5864931377697,13.703114273561477,qf,-145
12,190,285,11.0,13.0,22.0,1.0,8832.0,1845.0,4440.0,3650.0,42.0,31.0,71.66846883878074,100.76655146120027,-29.098082622419536,11.0,13.0,22.0,1.0,8832.0,1845.0,4440.0,3650.0,42.0,31.0,71.66846883878074,100.76655146120027,-29.098082622419536,qm,-95
13,141,220,18.0,18.0,18.0,0.0,9269.0,1945.0,4760.0,3900.0,39.0,20.333333333333332,85.39066154216579,92.76814387730387,-7.3774823351380645,18.0,18.0,18.0,0.0,9269.0,1945.0,4760.0,3900.0,39.0,20.333333333333332,85.39066154216579,92.76814387730387,-7.3774823351380645,qm,-79
14,255,235,14.0,18.0,17.0,0.0,9285.0,2034.0,4900.0,3750.0,30.0,19.333333333333332,89.14749435380712,93.56659157628889,-4.4190972224817715,14.0,18.0,17.0,0.0,9285.0,2034.0,4900.0,3750.0,30.0,19.333333333333332,89.14749435380712,93.56659157628889,-4.4190972224817715,qm,20
15,330,219,6.0,21.0,14.0,1.0,9744.0,1999.0,4880.0,4100.0,44.0,9.666666666666666,97.96082821205793,76.10520416262754,21.855624049430375,6.0,21.0,14.0,1.0,9744.0,1999.0,4880.0,4100.0,44.0,9.666666666666666,97.96082821205793,76.10520416262754,21.855624049430375,qm,111
16,186,266,13.0,13.0,23.0,0.0,8602.0,1794.0,4580.0,3350.0,27.0,31.333333333333332,66.92177278908089,90.7949305465924,-23.873157757511507,13.0,13.0,23.0,0.0,8602.0,1794.0,4580.0,3350.0,27.0,31.333333333333332,66.92177278908089,90.7949305465924,-23.873157757511507,qm,-80
17,330,346,8.0,15.0,21.0,0.0,9391.0,1862.0,4680.0,4000.0,31.0,27.0,92.34334814561,92.77873422167424,-0.4353860760642334,8.0,15.0,21.0,0.0,9391.0,1862.0,4680.0,4000.0,31.0,27.0,92.34334814561,92.77873422167424,-0.4353860760642334,qm,-16
18,236,305,13.0,17.0,19.0,0.0,9464.0,1379.0,4560.0,4150.0,39.0,22.666666666666668,92.08090654431383,90.60446353169719,1.4764430126166606,13.0,17.0,19.0,0.0,9464.0,1379.0,4560.0,4150.0,39.0,22.666666666666668,92.08090654431383,90.60446353169719,1.4764430126166606,qm,-69
19,255,235,4.0,14.0,21.0,0.0,8831.0,2138.0,4820.0,3350.0,36.0,26.333333333333332,84.64542060027065,93.75650625562463,-9.11108565535398,4.0,14.0,21.0,0.0,8831.0,2138.0,4820.0,3350.0,36.0,26.333333333333332,84.64542060027065,93.75650625562463,-9.11108565535398,qm,20
20,290,250,35.0,22.0,13.0,1.0,9876.0,1736.0,4720.0,4400.0,61.0,14.0,101.29317381439454,87.37865778097084,13.914516033423695,35.0,22.0,13.0,1.0,9876.0,1736.0,4720.0,4400.0,61.0,14.0,101.29317381439454,87.37865778097084,13.914516033423695,qm,40
21,255,300,15.0,15.0,20.0,1.0,9196.0,1990.0,4880.0,3650.0,61.0,24.333333333333332,83.48218439468174,96.2372015544146,-12.755017159732866,15.0,15.0,20.0,1.0,9196.0,1990.0,4880.0,3650.0,61.0,24.333333333333332,83.48218439468174,96.2372015544146,-12.755017159732866,qm,-45
22,193,190,17.0,18.0,17.0,1.0,9497.0,1814.0,4880.0,3850.0,97.0,15.333333333333334,86.43208239656981,91.17614540421181,-4.744063007641981,17.0,18.0,17.0,1.0,9497.0,1814.0,4880.0,3850.0,97.0,15.333333333333334,86.43208239656981,91.17614540421181,-4.744063007641981,qm,3
23,317,215,27.0,22.0,13.0,1.0,9908.0,1685.0,4980.0,4150.0,73.0,7.0,101.75474708463334,78.67833916399529,23.07640792063806,27.0,22.0,13.0,1.0,9908.0,1685.0,4980.0,4150.0,73.0,7.0,101.75474708463334,78.67833916399529,23.07640792063806,qm,102
24,235,185,10.0,17.0,19.0,0.0,9346.0,1761.0,4600.0,4050.0,46.0,23.666666666666668,88.52075517112826,87.96114534763488,0.5596098234933701,10.0,17.0,19.0,0.0,9346.0,1761.0,4600.0,4050.0,46.0,23.666666666666668,88.52075517112826,87.96114534763488,0.5596098234933701,qm,50
25,230,245,11.0,15.0,21.0,0.0,9347.0,1723.0,4640.0,4000.0,42.0,25.0,88.4347276377835,88.00215185768299,0.4325757801005068,11.0,15.0,21.0,0.0,9347.0,1723.0,4640.0,4000.0,42.0,25.0,88.4347276377835,88.00215185768299,0.4325757801005068,qm,-15
26,255,255,7.0,16.0,17.0,3.0,9038.0,1972.0,4760.0,3600.0,43.0,19.0,77.91589520134404,87.2357109892281,-9.319815787884066,7.0,16.0,17.0,3.0,9038.0,1972.0,4760.0,3600.0,43.0,19.0,77.91589520134404,87.2357109892281,-9.319815787884066,qm,0
27,281,305,7.0,14.0,21.0,0.0,8504.0,1657.0,4540.0,3300.0,34.0,29.666666666666668,63.34031519812913,87.43364836176404,-24.093333163634913,7.0,14.0,21.0,0.0,8504.0,1657.0,4540.0,3300.0,34.0,29.666666666666668,63.34031519812913,87.43364836176404,-24.093333163634913,qm,-24
28,230,205,8.0,17.0,19.0,0.0,9103.0,1397.0,4540.0,3950.0,38.0,21.0,79.73140673161195,78.58467686367159,1.1467298679403537,8.0,17.0,19.0,0.0,9103.0,1397.0,4540.0,3950.0,38.0,21.0,79.73140673161195,78.58467686367159,1.1467298679403537,qm,25
29,259,213,22.0,19.0,17.0,0.0,8808.0,1675.0,4500.0,3650.0,33.0,21.0,78.73079306662221,77.47368356581487,1.2571095008073456,22.0,19.0,17.0,0.0,8808.0,1675.0,4500.0,3650.0,33.0,21.0,78.73079306662221,77.47368356581487,1.2571095008073456,qm,46
30,346,240,34.0,26.0,10.0,0.0,10335.0,2165.0,5360.0,4250.0,85.0,2.6666666666666665,111.23644899878315,88.30340273304576,22.933046265737378,34.0,26.0,10.0,0.0,10335.0,2165.0,5360.0,4250.0,85.0,2.6666666666666665,111.23644899878315,88.30340273304576,22.933046265737378,qm,106
31,305,255,22.0,15.0,21.0,0.0,9470.0,1898.0,4740.0,4150.0,15.0,27.666666666666668,95.17658632228988,92.6809342535095,2.495652068780354,22.0,15.0,21.0,0.0,9470.0,1898.0,4740.0,4150.0,15.0,27.666666666666668,95.17658632228988,92.6809342535095,2.495652068780354,qm,50
32,185,295,21.0,14.0,21.0,1.0,8574.0,1615.0,4480.0,3450.0,39.0,28.666666666666668,67.36362093815826,81.91355421561727,-14.549933277459013,21.0,14.0,21.0,1.0,8574.0,1615.0,4480.0,3450.0,39.0,28.666666666666668,67.36362093815826,81.91355421561727,-14.549933277459013,qm,-110
33,195,260,10.0,17.0,18.0,1.0,9310.0,1611.0,4560.0,3950.0,35.0,21.666666666666668,86.89897568369672,81.48495047993937,5.414025203757338,10.0,17.0,18.0,1.0,9310.0,1611.0,4560.0,3950.0,35.0,21.666666666666668,86.89897568369672,81.48495047993937,5.414025203757338,qm,-65
34,285,235,12.0,20.0,15.0,1.0,9443.0,1741.0,4800.0,4050.0,33.0,17.0,93.25109752367712,81.2435514419421,12.007546081735002,12.0,20.0,15.0,1.0,9443.0,1741.0,4800.0,4050.0,33.0,17.0,93.25109752367712,81.2435514419421,12.007546081735002,qm,50
35,345,255,26.0,24.0,12.0,0.0,10012.0,1859.0,5080.0,4150.0,52.0,4.0,105.19166736357373,78.0062418057272,27.185425557846525,26.0,24.0,12.0,0.0,10012.0,1859.0,5080.0,4150.0,52.0,4.0,105.19166736357373,78.0062418057272,27.185425557846525,qm,90
36,305,287,12.0,17.0,19.0,0.0,9613.0,2159.0,4900.0,4050.0,33.0,21.666666666666668,93.72832434619922,92.84234428674476,0.8859800594544728,12.0,17.0,19.0,0.0,9613.0,2159.0,4900.0,4050.0,33.0,21.666666666666668,93.72832434619922,92.84234428674476,0.8859800594544728,qm,18
37,285,256,27.0,20.0,16.0,0.0,9575.0,1511.0,4640.0,4250.0,45.0,19.333333333333332,97.53509925128276,79.62815627137171,17.906942979911047,27.0,20.0,16.0,0.0,9575.0,1511.0,4640.0,4250.0,45.0,19.333333333333332,97.53509925128276,79.62815627137171,17.906942979911047,qm,29
38,236,150,24.0,22.0,14.0,0.0,9671.0,1477.0,4780.0,4150.0,101.0,8.333333333333334,92.34619429039525,76.41076066808871,15.935433622306528,24.0,22.0,14.0,0.0,9671.0,1477.0,4780.0,4150.0,101.0,8.333333333333334,92.34619429039525,76.41076066808871,15.935433622306528,qm,86
