,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,256,355,13.0,21.0,13.0,1.0,8686.0,1800.0,4240.0,3500.0,11.0,13.333333333333334,97.90808679552829,58.24171013692185,39.66637665860643,13.0,21.0,13.0,1.0,8686.0,1800.0,4240.0,3500.0,11.0,13.333333333333334,97.90808679552829,58.24171013692185,39.66637665860643,f,-99
1,165,315,13.0,21.0,13.0,1.0,8686.0,1800.0,4240.0,3500.0,11.0,13.333333333333334,97.90808679552829,58.24171013692185,39.66637665860643,13.0,21.0,13.0,1.0,8686.0,1800.0,4240.0,3500.0,11.0,13.333333333333334,97.90808679552829,58.24171013692185,39.66637665860643,f,-150
2,255,306,20.0,20.0,16.0,0.0,7892.0,1251.0,3820.0,3350.0,7.0,16.0,75.52173676584147,76.39887709511025,-0.8771403292687955,20.0,20.0,16.0,0.0,7892.0,1251.0,3820.0,3350.0,7.0,16.0,75.52173676584147,76.39887709511025,-0.8771403292687955,qf,-51
3,265,257,20.0,20.0,16.0,0.0,7892.0,1251.0,3820.0,3350.0,7.0,16.0,75.52173676584147,76.39887709511025,-0.8771403292687955,20.0,20.0,16.0,0.0,7892.0,1251.0,3820.0,3350.0,7.0,16.0,75.52173676584147,76.39887709511025,-0.8771403292687955,qf,8
4,245,316,20.0,20.0,16.0,0.0,7892.0,1251.0,3820.0,3350.0,7.0,16.0,75.52173676584147,76.39887709511025,-0.8771403292687955,20.0,20.0,16.0,0.0,7892.0,1251.0,3820.0,3350.0,7.0,16.0,75.52173676584147,76.39887709511025,-0.8771403292687955,qf,-71
5,330,187,6.0,20.0,16.0,0.0,8195.0,1580.0,4280.0,3200.0,15.0,13.666666666666666,78.5966100145536,68.72453884528265,9.872071169270948,6.0,20.0,16.0,0.0,8195.0,1580.0,4280.0,3200.0,15.0,13.666666666666666,78.5966100145536,68.72453884528265,9.872071169270948,qf,143
6,425,256,6.0,20.0,16.0,0.0,8195.0,1580.0,4280.0,3200.0,15.0,13.666666666666666,78.5966100145536,68.72453884528265,9.872071169270948,6.0,20.0,16.0,0.0,8195.0,1580.0,4280.0,3200.0,15.0,13.666666666666666,78.5966100145536,68.72453884528265,9.872071169270948,qf,169
7,305,305,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,qf,0
8,330,280,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,qf,50
9,255,307,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,qf,-52
10,235,256,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,6.0,19.0,16.0,1.0,8506.0,1265.0,4020.0,3700.0,16.0,15.333333333333334,90.08524894470087,81.8066112887347,8.27863765596616,qf,-21
11,236,307,7.0,17.0,18.0,1.0,8310.0,1434.0,3920.0,3750.0,5.0,18.0,88.87128161856849,65.84284204337168,23.02843957519681,7.0,17.0,18.0,1.0,8310.0,1434.0,3920.0,3750.0,5.0,18.0,88.87128161856849,65.84284204337168,23.02843957519681,qf,-71
