,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,310,267,8.0,21.0,15.0,0.0,9449.0,2316.0,4940.0,3700.0,119.0,13.333333333333334,103.36989343512288,89.5750042209454,13.794889214177473,8.0,21.0,15.0,0.0,9449.0,2316.0,4940.0,3700.0,119.0,13.333333333333334,103.36989343512288,89.5750042209454,13.794889214177473,f,43
1,160,325,8.0,21.0,15.0,0.0,9449.0,2316.0,4940.0,3700.0,119.0,13.333333333333334,103.36989343512288,89.5750042209454,13.794889214177473,8.0,21.0,15.0,0.0,9449.0,2316.0,4940.0,3700.0,119.0,13.333333333333334,103.36989343512288,89.5750042209454,13.794889214177473,f,-165
2,257,346,8.0,21.0,15.0,0.0,9449.0,2316.0,4940.0,3700.0,119.0,13.333333333333334,103.36989343512288,89.5750042209454,13.794889214177473,8.0,21.0,15.0,0.0,9449.0,2316.0,4940.0,3700.0,119.0,13.333333333333334,103.36989343512288,89.5750042209454,13.794889214177473,f,-89
3,306,309,14.0,18.0,18.0,0.0,9102.0,2199.0,4740.0,3550.0,117.0,18.0,92.5076887737044,90.39985582076417,2.1078329529402424,14.0,18.0,18.0,0.0,9102.0,2199.0,4740.0,3550.0,117.0,18.0,92.5076887737044,90.39985582076417,2.1078329529402424,qf,-3
4,260,314,14.0,18.0,18.0,0.0,9102.0,2199.0,4740.0,3550.0,117.0,18.0,92.5076887737044,90.39985582076417,2.1078329529402424,14.0,18.0,18.0,0.0,9102.0,2199.0,4740.0,3550.0,117.0,18.0,92.5076887737044,90.39985582076417,2.1078329529402424,qf,-54
5,285,400,4.0,20.0,16.0,0.0,8822.0,1734.0,4340.0,3600.0,167.0,12.333333333333334,88.19936581166051,82.32851441164932,5.870851400011186,4.0,20.0,16.0,0.0,8822.0,1734.0,4340.0,3600.0,167.0,12.333333333333334,88.19936581166051,82.32851441164932,5.870851400011186,qf,-115
6,195,305,4.0,20.0,16.0,0.0,8822.0,1734.0,4340.0,3600.0,167.0,12.333333333333334,88.19936581166051,82.32851441164932,5.870851400011186,4.0,20.0,16.0,0.0,8822.0,1734.0,4340.0,3600.0,167.0,12.333333333333334,88.19936581166051,82.32851441164932,5.870851400011186,qf,-110
7,255,329,6.0,19.0,17.0,0.0,8362.0,1378.0,4320.0,3350.0,67.0,16.666666666666668,67.79773901720547,70.62401928739483,-2.8262802701893386,6.0,19.0,17.0,0.0,8362.0,1378.0,4320.0,3350.0,67.0,16.666666666666668,67.79773901720547,70.62401928739483,-2.8262802701893386,qf,-74
8,185,340,6.0,19.0,17.0,0.0,8362.0,1378.0,4320.0,3350.0,67.0,16.666666666666668,67.79773901720547,70.62401928739483,-2.8262802701893386,6.0,19.0,17.0,0.0,8362.0,1378.0,4320.0,3350.0,67.0,16.666666666666668,67.79773901720547,70.62401928739483,-2.8262802701893386,qf,-155
9,290,445,25.0,18.0,18.0,0.0,9035.0,1643.0,4360.0,3900.0,105.0,20.333333333333332,93.16264236334855,83.01076650898307,10.1518758543655,25.0,18.0,18.0,0.0,9035.0,1643.0,4360.0,3900.0,105.0,20.333333333333332,93.16264236334855,83.01076650898307,10.1518758543655,qf,-155
