,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,235,455,32.0,23.0,13.0,0.0,7741.0,1420.0,4040.0,2800.0,46.0,10.333333333333334,79.55532456639413,64.59298632656419,14.96233823982996,32.0,23.0,13.0,0.0,7741.0,1420.0,4040.0,2800.0,46.0,10.333333333333334,79.55532456639413,64.59298632656419,14.96233823982996,f,-220
1,255,252,32.0,23.0,13.0,0.0,7741.0,1420.0,4040.0,2800.0,46.0,10.333333333333334,79.55532456639413,64.59298632656419,14.96233823982996,32.0,23.0,13.0,0.0,7741.0,1420.0,4040.0,2800.0,46.0,10.333333333333334,79.55532456639413,64.59298632656419,14.96233823982996,f,3
2,255,324,32.0,23.0,13.0,0.0,7741.0,1420.0,4040.0,2800.0,46.0,10.333333333333334,79.55532456639413,64.59298632656419,14.96233823982996,32.0,23.0,13.0,0.0,7741.0,1420.0,4040.0,2800.0,46.0,10.333333333333334,79.55532456639413,64.59298632656419,14.96233823982996,f,-69
3,200,265,10.0,18.0,16.0,2.0,6679.0,1187.0,3560.0,2500.0,59.0,16.0,64.80477164613364,59.115994979638316,5.688776666495329,10.0,18.0,16.0,2.0,6679.0,1187.0,3560.0,2500.0,59.0,16.0,64.80477164613364,59.115994979638316,5.688776666495329,qf,-65
4,215,312,10.0,18.0,16.0,2.0,6679.0,1187.0,3560.0,2500.0,59.0,16.0,64.80477164613364,59.115994979638316,5.688776666495329,10.0,18.0,16.0,2.0,6679.0,1187.0,3560.0,2500.0,59.0,16.0,64.80477164613364,59.115994979638316,5.688776666495329,qf,-97
5,285,306,25.0,19.0,16.0,0.0,6583.0,859.0,3260.0,2600.0,38.0,18.333333333333332,69.60254710357077,61.033697920057996,8.568849183512775,25.0,19.0,16.0,0.0,6583.0,859.0,3260.0,2600.0,38.0,18.333333333333332,69.60254710357077,61.033697920057996,8.568849183512775,qf,-21
6,235,304,25.0,19.0,16.0,0.0,6583.0,859.0,3260.0,2600.0,38.0,18.333333333333332,69.60254710357077,61.033697920057996,8.568849183512775,25.0,19.0,16.0,0.0,6583.0,859.0,3260.0,2600.0,38.0,18.333333333333332,69.60254710357077,61.033697920057996,8.568849183512775,qf,-69
7,230,285,16.0,20.0,16.0,0.0,6680.0,870.0,3580.0,2450.0,90.0,15.333333333333334,62.07043039756917,52.19656651588608,9.873863881683086,16.0,20.0,16.0,0.0,6680.0,870.0,3580.0,2450.0,90.0,15.333333333333334,62.07043039756917,52.19656651588608,9.873863881683086,qf,-55
8,145,315,17.0,19.0,17.0,0.0,6931.0,1032.0,3720.0,2500.0,56.0,18.0,71.18634959154666,67.26797500509161,3.9183745864550423,17.0,19.0,17.0,0.0,6931.0,1032.0,3720.0,2500.0,56.0,18.0,71.18634959154666,67.26797500509161,3.9183745864550423,qf,-170
9,226,280,6.0,20.0,15.0,1.0,6751.0,1457.0,3520.0,2350.0,216.0,15.0,62.34500952156677,53.61603691633894,8.72897260522784,6.0,20.0,15.0,1.0,6751.0,1457.0,3520.0,2350.0,216.0,15.0,62.34500952156677,53.61603691633894,8.72897260522784,qf,-54
10,266,305,6.0,20.0,15.0,1.0,6751.0,1457.0,3520.0,2350.0,216.0,15.0,62.34500952156677,53.61603691633894,8.72897260522784,6.0,20.0,15.0,1.0,6751.0,1457.0,3520.0,2350.0,216.0,15.0,62.34500952156677,53.61603691633894,8.72897260522784,qf,-39
11,135,90,15.0,21.0,14.0,1.0,6756.0,995.0,3540.0,2650.0,46.0,13.666666666666666,57.349267591121325,51.683126709693084,5.666140881428231,15.0,21.0,14.0,1.0,6756.0,995.0,3540.0,2650.0,46.0,13.666666666666666,57.349267591121325,51.683126709693084,5.666140881428231,qm,45
12,112,130,11.0,14.0,20.0,2.0,6171.0,1404.0,3600.0,1950.0,41.0,25.333333333333332,43.51378172830602,63.33329448056421,-19.819512752258184,11.0,14.0,20.0,2.0,6171.0,1404.0,3600.0,1950.0,41.0,25.333333333333332,43.51378172830602,63.33329448056421,-19.819512752258184,qm,-18
13,255,145,10.0,21.0,14.0,1.0,6974.0,1334.0,3640.0,2750.0,84.0,12.333333333333334,70.34231710970327,62.04025170749899,8.302065402204283,10.0,21.0,14.0,1.0,6974.0,1334.0,3640.0,2750.0,84.0,12.333333333333334,70.34231710970327,62.04025170749899,8.302065402204283,qm,110
14,148,245,10.0,17.0,18.0,1.0,6479.0,1211.0,3440.0,2400.0,64.0,22.0,54.692089649032475,64.25966640013101,-9.56757675109854,10.0,17.0,18.0,1.0,6479.0,1211.0,3440.0,2400.0,64.0,22.0,54.692089649032475,64.25966640013101,-9.56757675109854,qm,-97
15,175,115,11.0,21.0,14.0,0.0,6786.0,981.0,3340.0,2600.0,56.0,15.666666666666666,71.30079468506894,55.942793578808626,15.358001106260316,11.0,21.0,14.0,0.0,6786.0,981.0,3340.0,2600.0,56.0,15.666666666666666,71.30079468506894,55.942793578808626,15.358001106260316,qm,60
16,200,120,30.0,25.0,11.0,0.0,7543.0,1650.0,4140.0,2550.0,193.0,8.666666666666666,80.51269302188898,57.33108127363635,23.18161174825263,30.0,25.0,11.0,0.0,7543.0,1650.0,4140.0,2550.0,193.0,8.666666666666666,80.51269302188898,57.33108127363635,23.18161174825263,qm,80
17,210,110,24.0,21.0,15.0,0.0,7389.0,1463.0,3940.0,2650.0,104.0,13.333333333333334,82.51882291156603,66.60886317055257,15.909959741013468,24.0,21.0,15.0,0.0,7389.0,1463.0,3940.0,2650.0,104.0,13.333333333333334,82.51882291156603,66.60886317055257,15.909959741013468,qm,100
18,190,140,13.0,17.0,19.0,0.0,7011.0,1335.0,3620.0,2800.0,26.0,22.666666666666668,67.59301874410185,66.39715600483046,1.195862739271374,13.0,17.0,19.0,0.0,7011.0,1335.0,3620.0,2800.0,26.0,22.666666666666668,67.59301874410185,66.39715600483046,1.195862739271374,qm,50
19,140,185,13.0,13.0,22.0,1.0,6063.0,1122.0,3460.0,2000.0,18.0,25.0,50.7882489464179,75.31596700094896,-24.527718054531046,13.0,13.0,22.0,1.0,6063.0,1122.0,3460.0,2000.0,18.0,25.0,50.7882489464179,75.31596700094896,-24.527718054531046,qm,-45
20,242,140,20.0,21.0,15.0,0.0,7373.0,1378.0,3700.0,2950.0,53.0,15.0,80.82009710816659,67.9400020446398,12.880095063526808,20.0,21.0,15.0,0.0,7373.0,1378.0,3700.0,2950.0,53.0,15.0,80.82009710816659,67.9400020446398,12.880095063526808,qm,102
21,100,165,13.0,18.0,18.0,0.0,6549.0,982.0,3600.0,2350.0,89.0,18.666666666666668,59.12621378298144,54.95136941668854,4.174844366292902,13.0,18.0,18.0,0.0,6549.0,982.0,3600.0,2350.0,89.0,18.666666666666668,59.12621378298144,54.95136941668854,4.174844366292902,qm,-65
22,143,140,10.0,19.0,17.0,0.0,6256.0,1232.0,3520.0,1900.0,196.0,21.0,52.570755044359736,52.805829877431044,-0.23507483307130647,10.0,19.0,17.0,0.0,6256.0,1232.0,3520.0,1900.0,196.0,21.0,52.570755044359736,52.805829877431044,-0.23507483307130647,qm,3
23,95,90,16.0,17.0,18.0,1.0,6511.0,1499.0,3660.0,2150.0,21.0,23.666666666666668,59.72009112077146,58.397970259639145,1.3221208611323167,16.0,17.0,18.0,1.0,6511.0,1499.0,3660.0,2150.0,21.0,23.666666666666668,59.72009112077146,58.397970259639145,1.3221208611323167,qm,5
24,185,264,6.0,20.0,15.0,1.0,6911.0,1118.0,3600.0,2600.0,46.0,18.0,69.46492060399777,67.73376081444063,1.731159789557149,6.0,20.0,15.0,1.0,6911.0,1118.0,3600.0,2600.0,46.0,18.0,69.46492060399777,67.73376081444063,1.731159789557149,qm,-79
25,160,140,10.0,24.0,11.0,1.0,7128.0,1425.0,3640.0,2900.0,103.0,7.333333333333333,68.27663821121864,53.48509224021732,14.791545971001312,10.0,24.0,11.0,1.0,7128.0,1425.0,3640.0,2900.0,103.0,7.333333333333333,68.27663821121864,53.48509224021732,14.791545971001312,qm,20
26,155,140,8.0,19.0,16.0,1.0,6339.0,1044.0,3300.0,2350.0,59.0,18.0,56.335826920075284,50.63415143463087,5.701675485444416,8.0,19.0,16.0,1.0,6339.0,1044.0,3300.0,2350.0,59.0,18.0,56.335826920075284,50.63415143463087,5.701675485444416,qm,15
27,230,140,20.0,19.0,15.0,1.0,6598.0,942.0,3620.0,2300.0,58.0,17.666666666666668,69.05266386026275,58.140047680624285,10.91261617963847,20.0,19.0,15.0,1.0,6598.0,942.0,3620.0,2300.0,58.0,17.666666666666668,69.05266386026275,58.140047680624285,10.91261617963847,qm,90
28,165,200,6.0,10.0,26.0,0.0,5707.0,1361.0,3420.0,1750.0,17.0,33.0,39.6978936895119,72.4199304670077,-32.7220367774958,6.0,10.0,26.0,0.0,5707.0,1361.0,3420.0,1750.0,17.0,33.0,39.6978936895119,72.4199304670077,-32.7220367774958,qm,-35
29,95,236,15.0,14.0,20.0,2.0,6249.0,1264.0,3500.0,2100.0,34.0,30.666666666666668,45.17162087887598,62.89859316800488,-17.7269722891289,15.0,14.0,20.0,2.0,6249.0,1264.0,3500.0,2100.0,34.0,30.666666666666668,45.17162087887598,62.89859316800488,-17.7269722891289,qm,-141
30,140,180,12.0,14.0,21.0,1.0,6788.0,1024.0,3520.0,2750.0,33.0,27.333333333333332,64.84613137962809,62.5275982057687,2.318533173859381,12.0,14.0,21.0,1.0,6788.0,1024.0,3520.0,2750.0,33.0,27.333333333333332,64.84613137962809,62.5275982057687,2.318533173859381,qm,-40
