,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,310,324,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,f,-14
1,305,291,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,f,14
2,235,325,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,f,-90
3,265,397,26.0,20.0,15.0,1.0,6253.0,781.0,3000.0,2550.0,28.0,14.333333333333334,67.1841554404492,56.04967000124126,11.134485439207928,26.0,20.0,15.0,1.0,6253.0,781.0,3000.0,2550.0,28.0,14.333333333333334,67.1841554404492,56.04967000124126,11.134485439207928,qf,-132
4,210,356,26.0,20.0,15.0,1.0,6253.0,781.0,3000.0,2550.0,28.0,14.333333333333334,67.1841554404492,56.04967000124126,11.134485439207928,26.0,20.0,15.0,1.0,6253.0,781.0,3000.0,2550.0,28.0,14.333333333333334,67.1841554404492,56.04967000124126,11.134485439207928,qf,-146
5,150,265,39.0,17.0,18.0,1.0,6086.0,911.0,3320.0,2000.0,31.0,21.666666666666668,64.082699112628,67.55439445056236,-3.4716953379343303,39.0,17.0,18.0,1.0,6086.0,911.0,3320.0,2000.0,31.0,21.666666666666668,64.082699112628,67.55439445056236,-3.4716953379343303,qf,-115
6,185,215,39.0,17.0,18.0,1.0,6086.0,911.0,3320.0,2000.0,31.0,21.666666666666668,64.082699112628,67.55439445056236,-3.4716953379343303,39.0,17.0,18.0,1.0,6086.0,911.0,3320.0,2000.0,31.0,21.666666666666668,64.082699112628,67.55439445056236,-3.4716953379343303,qf,-30
7,165,167,12.0,21.0,15.0,0.0,6064.0,1050.0,3380.0,1900.0,44.0,13.0,62.0142760194182,47.784259189401816,14.23001683001639,12.0,21.0,15.0,0.0,6064.0,1050.0,3380.0,1900.0,44.0,13.0,62.0142760194182,47.784259189401816,14.23001683001639,qf,-2
8,260,255,12.0,21.0,15.0,0.0,6064.0,1050.0,3380.0,1900.0,44.0,13.0,62.0142760194182,47.784259189401816,14.23001683001639,12.0,21.0,15.0,0.0,6064.0,1050.0,3380.0,1900.0,44.0,13.0,62.0142760194182,47.784259189401816,14.23001683001639,qf,5
9,215,245,12.0,21.0,15.0,0.0,6064.0,1050.0,3380.0,1900.0,44.0,13.0,62.0142760194182,47.784259189401816,14.23001683001639,12.0,21.0,15.0,0.0,6064.0,1050.0,3380.0,1900.0,44.0,13.0,62.0142760194182,47.784259189401816,14.23001683001639,qf,-30
10,305,285,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,qf,20
11,285,330,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,qf,-45
12,260,185,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,19.0,16.0,20.0,0.0,6167.0,928.0,3520.0,1850.0,17.0,22.666666666666668,63.45110056598907,63.52734117944391,-0.07624061345482858,qf,75
13,115,181,27.0,19.0,17.0,0.0,5807.0,1115.0,3240.0,1600.0,72.0,19.0,47.91487011914287,55.429655417516415,-7.514785298373553,27.0,19.0,17.0,0.0,5807.0,1115.0,3240.0,1600.0,72.0,19.0,47.91487011914287,55.429655417516415,-7.514785298373553,qm,-66
14,95,195,9.0,15.0,19.0,2.0,5745.0,944.0,3100.0,1900.0,30.0,24.0,49.246430155280116,50.24836198498128,-1.0019318297011637,9.0,15.0,19.0,2.0,5745.0,944.0,3100.0,1900.0,30.0,24.0,49.246430155280116,50.24836198498128,-1.0019318297011637,qm,-100
15,140,144,16.0,19.0,15.0,2.0,6457.0,770.0,3320.0,2500.0,7.0,15.333333333333334,70.40183925583653,51.267925485219365,19.133913770617163,16.0,19.0,15.0,2.0,6457.0,770.0,3320.0,2500.0,7.0,15.333333333333334,70.40183925583653,51.267925485219365,19.133913770617163,qm,-4
16,145,99,45.0,19.0,17.0,0.0,6119.0,1344.0,3260.0,1900.0,39.0,17.666666666666668,61.529140287360384,40.97662756358532,20.552512723775074,45.0,19.0,17.0,0.0,6119.0,1344.0,3260.0,1900.0,39.0,17.666666666666668,61.529140287360384,40.97662756358532,20.552512723775074,qm,46
