,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,320,139,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,f,181
1,318,271,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,f,47
2,305,356,36.0,21.0,15.0,0.0,9026.0,1719.0,4460.0,3600.0,171.0,14.333333333333334,96.24628506088185,62.50652508174704,33.739759979134796,36.0,21.0,15.0,0.0,9026.0,1719.0,4460.0,3600.0,171.0,14.333333333333334,96.24628506088185,62.50652508174704,33.739759979134796,qf,-51
3,261,275,36.0,21.0,15.0,0.0,9026.0,1719.0,4460.0,3600.0,171.0,14.333333333333334,96.24628506088185,62.50652508174704,33.739759979134796,36.0,21.0,15.0,0.0,9026.0,1719.0,4460.0,3600.0,171.0,14.333333333333334,96.24628506088185,62.50652508174704,33.739759979134796,qf,-14
4,316,235,12.0,24.0,12.0,0.0,8621.0,1857.0,4480.0,3200.0,121.0,11.333333333333334,94.60621361990053,59.086294560392254,35.519919059508275,12.0,24.0,12.0,0.0,8621.0,1857.0,4480.0,3200.0,121.0,11.333333333333334,94.60621361990053,59.086294560392254,35.519919059508275,qf,81
5,204,285,12.0,24.0,12.0,0.0,8621.0,1857.0,4480.0,3200.0,121.0,11.333333333333334,94.60621361990053,59.086294560392254,35.519919059508275,12.0,24.0,12.0,0.0,8621.0,1857.0,4480.0,3200.0,121.0,11.333333333333334,94.60621361990053,59.086294560392254,35.519919059508275,qf,-81
6,262,256,12.0,24.0,12.0,0.0,8621.0,1857.0,4480.0,3200.0,121.0,11.333333333333334,94.60621361990053,59.086294560392254,35.519919059508275,12.0,24.0,12.0,0.0,8621.0,1857.0,4480.0,3200.0,121.0,11.333333333333334,94.60621361990053,59.086294560392254,35.519919059508275,qf,6
7,339,280,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,qf,59
8,327,305,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,32.0,18.0,18.0,0.0,7928.0,1430.0,4120.0,2800.0,238.0,21.333333333333332,84.38407745330339,73.83281523458086,10.551262218722535,qf,22
9,254,235,44.0,19.0,17.0,0.0,8803.0,1841.0,4240.0,3350.0,138.0,18.0,94.55578382149308,72.83473829662343,21.721045524869638,44.0,19.0,17.0,0.0,8803.0,1841.0,4240.0,3350.0,138.0,18.0,94.55578382149308,72.83473829662343,21.721045524869638,qf,19
10,263,305,44.0,19.0,17.0,0.0,8803.0,1841.0,4240.0,3350.0,138.0,18.0,94.55578382149308,72.83473829662343,21.721045524869638,44.0,19.0,17.0,0.0,8803.0,1841.0,4240.0,3350.0,138.0,18.0,94.55578382149308,72.83473829662343,21.721045524869638,qf,-42
