,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,445,206,12.0,20.0,13.0,3.0,8728.0,1900.0,4540.0,3550.0,28.0,15.0,90.67308544312716,62.097680200527066,28.575405242600112,12.0,20.0,13.0,3.0,8728.0,1900.0,4540.0,3550.0,28.0,15.0,90.67308544312716,62.097680200527066,28.575405242600112,f,239
1,445,306,12.0,20.0,13.0,3.0,8728.0,1900.0,4540.0,3550.0,28.0,15.0,90.67308544312716,62.097680200527066,28.575405242600112,12.0,20.0,13.0,3.0,8728.0,1900.0,4540.0,3550.0,28.0,15.0,90.67308544312716,62.097680200527066,28.575405242600112,f,139
2,308,305,23.0,16.0,19.0,1.0,8496.0,1705.0,4380.0,3400.0,61.0,23.666666666666668,85.74327702288203,75.46399654069941,10.279280482182621,23.0,16.0,19.0,1.0,8496.0,1705.0,4380.0,3400.0,61.0,23.666666666666668,85.74327702288203,75.46399654069941,10.279280482182621,qf,3
3,290,331,23.0,16.0,19.0,1.0,8496.0,1705.0,4380.0,3400.0,61.0,23.666666666666668,85.74327702288203,75.46399654069941,10.279280482182621,23.0,16.0,19.0,1.0,8496.0,1705.0,4380.0,3400.0,61.0,23.666666666666668,85.74327702288203,75.46399654069941,10.279280482182621,qf,-41
4,289,309,23.0,16.0,19.0,1.0,8496.0,1705.0,4380.0,3400.0,61.0,23.666666666666668,85.74327702288203,75.46399654069941,10.279280482182621,23.0,16.0,19.0,1.0,8496.0,1705.0,4380.0,3400.0,61.0,23.666666666666668,85.74327702288203,75.46399654069941,10.279280482182621,qf,-20
5,266,397,8.0,22.0,14.0,0.0,8610.0,1919.0,4460.0,3550.0,35.0,10.333333333333334,89.75094876141425,64.4070854867246,25.343863274689664,8.0,22.0,14.0,0.0,8610.0,1919.0,4460.0,3550.0,35.0,10.333333333333334,89.75094876141425,64.4070854867246,25.343863274689664,qf,-131
6,208,257,8.0,22.0,14.0,0.0,8610.0,1919.0,4460.0,3550.0,35.0,10.333333333333334,89.75094876141425,64.4070854867246,25.343863274689664,8.0,22.0,14.0,0.0,8610.0,1919.0,4460.0,3550.0,35.0,10.333333333333334,89.75094876141425,64.4070854867246,25.343863274689664,qf,-49
7,255,307,10.0,14.0,21.0,1.0,8306.0,1837.0,4440.0,3200.0,11.0,24.666666666666668,80.36828865581612,91.4576775536873,-11.089388897871208,10.0,14.0,21.0,1.0,8306.0,1837.0,4440.0,3200.0,11.0,24.666666666666668,80.36828865581612,91.4576775536873,-11.089388897871208,qf,-52
8,305,250,10.0,14.0,21.0,1.0,8306.0,1837.0,4440.0,3200.0,11.0,24.666666666666668,80.36828865581612,91.4576775536873,-11.089388897871208,10.0,14.0,21.0,1.0,8306.0,1837.0,4440.0,3200.0,11.0,24.666666666666668,80.36828865581612,91.4576775536873,-11.089388897871208,qf,55
9,255,330,10.0,14.0,21.0,1.0,8306.0,1837.0,4440.0,3200.0,11.0,24.666666666666668,80.36828865581612,91.4576775536873,-11.089388897871208,10.0,14.0,21.0,1.0,8306.0,1837.0,4440.0,3200.0,11.0,24.666666666666668,80.36828865581612,91.4576775536873,-11.089388897871208,qf,-75
10,210,350,8.0,20.0,15.0,1.0,8396.0,1509.0,4080.0,3450.0,36.0,15.0,83.20553522880196,64.89876100918842,18.306774219613555,8.0,20.0,15.0,1.0,8396.0,1509.0,4080.0,3450.0,36.0,15.0,83.20553522880196,64.89876100918842,18.306774219613555,qf,-140
11,165,396,8.0,20.0,15.0,1.0,8396.0,1509.0,4080.0,3450.0,36.0,15.0,83.20553522880196,64.89876100918842,18.306774219613555,8.0,20.0,15.0,1.0,8396.0,1509.0,4080.0,3450.0,36.0,15.0,83.20553522880196,64.89876100918842,18.306774219613555,qf,-231
12,255,156,13.0,18.0,17.0,1.0,8852.0,2055.0,4500.0,3650.0,37.0,17.666666666666668,96.2711508820903,83.22630584684354,13.044845035246746,13.0,18.0,17.0,1.0,8852.0,2055.0,4500.0,3650.0,37.0,17.666666666666668,96.2711508820903,83.22630584684354,13.044845035246746,qm,99
13,255,280,20.0,18.0,17.0,1.0,8354.0,1922.0,4300.0,3350.0,19.0,18.0,82.18971260312075,79.35108193216413,2.8386306709566114,20.0,18.0,17.0,1.0,8354.0,1922.0,4300.0,3350.0,19.0,18.0,82.18971260312075,79.35108193216413,2.8386306709566114,qm,-25
14,130,257,5.0,12.0,24.0,0.0,7654.0,1287.0,4260.0,2750.0,19.0,30.0,60.55516664074015,78.84547339249345,-18.290306751753292,5.0,12.0,24.0,0.0,7654.0,1287.0,4260.0,2750.0,19.0,30.0,60.55516664074015,78.84547339249345,-18.290306751753292,qm,-127
15,235,283,8.0,17.0,17.0,2.0,8392.0,1799.0,4300.0,3450.0,22.0,20.333333333333332,77.66674342728543,86.01570508430541,-8.34896165701997,8.0,17.0,17.0,2.0,8392.0,1799.0,4300.0,3450.0,22.0,20.333333333333332,77.66674342728543,86.01570508430541,-8.34896165701997,qm,-48
16,245,200,9.0,19.0,17.0,0.0,8225.0,1498.0,4040.0,3550.0,35.0,19.666666666666668,73.90052399852173,76.87097658249927,-2.9704525839775378,9.0,19.0,17.0,0.0,8225.0,1498.0,4040.0,3550.0,35.0,19.666666666666668,73.90052399852173,76.87097658249927,-2.9704525839775378,qm,45
17,165,160,6.0,17.0,19.0,0.0,7657.0,1316.0,3940.0,3000.0,32.0,23.0,57.61840417490961,75.09895735861608,-17.480553183706476,6.0,17.0,19.0,0.0,7657.0,1316.0,3940.0,3000.0,32.0,23.0,57.61840417490961,75.09895735861608,-17.480553183706476,qm,5
18,235,280,6.0,18.0,17.0,1.0,8410.0,1548.0,4220.0,3450.0,25.0,20.0,86.90374487520087,70.8500930536603,16.053651821540587,6.0,18.0,17.0,1.0,8410.0,1548.0,4220.0,3450.0,25.0,20.0,86.90374487520087,70.8500930536603,16.053651821540587,qm,-45
19,300,305,8.0,19.0,15.0,2.0,8705.0,1707.0,4440.0,3650.0,15.0,11.333333333333334,88.57767919381077,83.17695622917995,5.400722964630821,8.0,19.0,15.0,2.0,8705.0,1707.0,4440.0,3650.0,15.0,11.333333333333334,88.57767919381077,83.17695622917995,5.400722964630821,qm,-5
20,232,215,8.0,19.0,16.0,1.0,8355.0,1635.0,4200.0,3300.0,35.0,17.0,79.13834461264794,73.46561448653875,5.672730126109208,8.0,19.0,16.0,1.0,8355.0,1635.0,4200.0,3300.0,35.0,17.0,79.13834461264794,73.46561448653875,5.672730126109208,qm,17
21,235,195,12.0,22.0,11.0,3.0,9134.0,1556.0,4460.0,4000.0,29.0,10.0,94.70141678872295,69.31094036693854,25.390476421784424,12.0,22.0,11.0,3.0,9134.0,1556.0,4460.0,4000.0,29.0,10.0,94.70141678872295,69.31094036693854,25.390476421784424,qm,40
22,305,95,8.0,20.0,15.0,1.0,8355.0,1929.0,4300.0,3450.0,35.0,15.333333333333334,77.42295871495186,67.79927407098731,9.623684643964554,8.0,20.0,15.0,1.0,8355.0,1929.0,4300.0,3450.0,35.0,15.333333333333334,77.42295871495186,67.79927407098731,9.623684643964554,qm,210
23,140,170,16.0,12.0,22.0,2.0,7699.0,1489.0,4000.0,3050.0,19.0,30.666666666666668,60.7129698527603,79.22970725693698,-18.516737404176666,16.0,12.0,22.0,2.0,7699.0,1489.0,4000.0,3050.0,19.0,30.666666666666668,60.7129698527603,79.22970725693698,-18.516737404176666,qm,-30
24,205,195,5.0,18.0,17.0,1.0,8435.0,1765.0,4300.0,3550.0,15.0,17.666666666666668,83.78305825996677,76.86597492846276,6.91708333150401,5.0,18.0,17.0,1.0,8435.0,1765.0,4300.0,3550.0,15.0,17.666666666666668,83.78305825996677,76.86597492846276,6.91708333150401,qm,10
25,210,145,10.0,17.0,18.0,1.0,8038.0,1778.0,4260.0,3150.0,23.0,20.666666666666668,71.06742645692422,66.35933966028766,4.708086796636553,10.0,17.0,18.0,1.0,8038.0,1778.0,4260.0,3150.0,23.0,20.666666666666668,71.06742645692422,66.35933966028766,4.708086796636553,qm,65
26,150,258,5.0,13.0,21.0,2.0,7864.0,1665.0,4100.0,3100.0,14.0,28.0,64.61808744161448,86.67661367870484,-22.058526237090362,5.0,13.0,21.0,2.0,7864.0,1665.0,4100.0,3100.0,14.0,28.0,64.61808744161448,86.67661367870484,-22.058526237090362,qm,-108
27,205,206,18.0,15.0,20.0,1.0,7491.0,1483.0,3920.0,2950.0,21.0,24.666666666666668,58.84394314271821,78.10067181961598,-19.256728676897794,18.0,15.0,20.0,1.0,7491.0,1483.0,3920.0,2950.0,21.0,24.666666666666668,58.84394314271821,78.10067181961598,-19.256728676897794,qm,-1
28,240,290,17.0,20.0,16.0,0.0,8688.0,1638.0,4320.0,3650.0,78.0,16.0,92.9519510213916,82.08021158962812,10.871739431763473,17.0,20.0,16.0,0.0,8688.0,1638.0,4320.0,3650.0,78.0,16.0,92.9519510213916,82.08021158962812,10.871739431763473,qm,-50
29,220,115,9.0,23.0,13.0,0.0,8401.0,1610.0,4000.0,3550.0,16.0,12.0,84.48841903720701,59.84146100422736,24.646958032979654,9.0,23.0,13.0,0.0,8401.0,1610.0,4000.0,3550.0,16.0,12.0,84.48841903720701,59.84146100422736,24.646958032979654,qm,105
30,255,215,8.0,24.0,11.0,1.0,8949.0,1676.0,4580.0,3700.0,24.0,7.0,91.02389040136659,67.53510121111451,23.488789190252074,8.0,24.0,11.0,1.0,8949.0,1676.0,4580.0,3700.0,24.0,7.0,91.02389040136659,67.53510121111451,23.488789190252074,qm,40
31,165,305,22.0,16.0,18.0,2.0,8177.0,2038.0,4260.0,3300.0,12.0,23.0,72.89820014837159,79.00146055702656,-6.103260408654978,22.0,16.0,18.0,2.0,8177.0,2038.0,4260.0,3300.0,12.0,23.0,72.89820014837159,79.00146055702656,-6.103260408654978,qm,-140
32,261,245,4.0,18.0,16.0,2.0,8319.0,1547.0,4380.0,3300.0,39.0,20.0,82.70660336521912,72.34942612175952,10.357177243459608,4.0,18.0,16.0,2.0,8319.0,1547.0,4380.0,3300.0,39.0,20.0,82.70660336521912,72.34942612175952,10.357177243459608,qm,16
