,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,465,290,34.0,20.0,16.0,0.0,7939.0,1780.0,4400.0,2750.0,124.0,17.666666666666668,86.9590308711472,76.01414623222583,10.94488463892138,44.0,24.0,12.0,0.0,8570.0,1400.0,4360.0,3200.0,225.0,10.666666666666666,109.69333024798665,64.32695545136603,45.36637479662064,f,175
1,273,223,34.0,20.0,16.0,0.0,7939.0,1780.0,4400.0,2750.0,124.0,17.666666666666668,86.9590308711472,76.01414623222583,10.94488463892138,44.0,24.0,12.0,0.0,8570.0,1400.0,4360.0,3200.0,225.0,10.666666666666666,109.69333024798665,64.32695545136603,45.36637479662064,f,50
2,240,329,20.0,22.0,13.0,1.0,7280.0,1392.0,3740.0,2700.0,70.0,12.0,69.86441039633449,62.567592197065416,7.2968181992690715,44.0,24.0,12.0,0.0,8570.0,1400.0,4360.0,3200.0,225.0,10.666666666666666,109.69333024798665,64.32695545136603,45.36637479662064,qf,-89
3,165,281,20.0,22.0,13.0,1.0,7280.0,1392.0,3740.0,2700.0,70.0,12.0,69.86441039633449,62.567592197065416,7.2968181992690715,44.0,24.0,12.0,0.0,8570.0,1400.0,4360.0,3200.0,225.0,10.666666666666666,109.69333024798665,64.32695545136603,45.36637479662064,qf,-116
4,305,285,4.0,22.0,13.0,1.0,8162.0,1150.0,4060.0,3250.0,32.0,13.0,83.80223168400686,59.46408290982041,24.338148774186436,17.0,24.0,12.0,0.0,8174.0,1578.0,4240.0,3050.0,64.0,10.333333333333334,86.35809426843787,53.45706148573536,32.901032782702494,qf,20
5,305,220,4.0,22.0,13.0,1.0,8162.0,1150.0,4060.0,3250.0,32.0,13.0,83.80223168400686,59.46408290982041,24.338148774186436,17.0,24.0,12.0,0.0,8174.0,1578.0,4240.0,3050.0,64.0,10.333333333333334,86.35809426843787,53.45706148573536,32.901032782702494,qf,85
6,259,275,19.0,19.0,14.0,2.0,8154.0,1385.0,4140.0,3150.0,49.0,14.333333333333334,99.50339098419083,72.57527336679306,26.928117617397778,11.0,23.0,13.0,0.0,7738.0,1569.0,4280.0,2700.0,53.0,13.0,76.60111993777464,52.62820550141513,23.972914436359506,qf,-16
7,259,255,19.0,19.0,14.0,2.0,8154.0,1385.0,4140.0,3150.0,49.0,14.333333333333334,99.50339098419083,72.57527336679306,26.928117617397778,11.0,23.0,13.0,0.0,7738.0,1569.0,4280.0,2700.0,53.0,13.0,76.60111993777464,52.62820550141513,23.972914436359506,qf,4
8,256,255,19.0,19.0,14.0,2.0,8154.0,1385.0,4140.0,3150.0,49.0,14.333333333333334,99.50339098419083,72.57527336679306,26.928117617397778,11.0,23.0,13.0,0.0,7738.0,1569.0,4280.0,2700.0,53.0,13.0,76.60111993777464,52.62820550141513,23.972914436359506,qf,1
9,235,452,19.0,22.0,14.0,0.0,7769.0,1666.0,4100.0,2750.0,89.0,15.333333333333334,75.04100539903023,54.293350895966334,20.747654503063895,34.0,20.0,16.0,0.0,7939.0,1780.0,4400.0,2750.0,124.0,17.666666666666668,86.9590308711472,76.01414623222583,10.94488463892138,qf,-217
10,304,272,19.0,22.0,14.0,0.0,7769.0,1666.0,4100.0,2750.0,89.0,15.333333333333334,75.04100539903023,54.293350895966334,20.747654503063895,34.0,20.0,16.0,0.0,7939.0,1780.0,4400.0,2750.0,124.0,17.666666666666668,86.9590308711472,76.01414623222583,10.94488463892138,qf,32
11,235,360,19.0,22.0,14.0,0.0,7769.0,1666.0,4100.0,2750.0,89.0,15.333333333333334,75.04100539903023,54.293350895966334,20.747654503063895,34.0,20.0,16.0,0.0,7939.0,1780.0,4400.0,2750.0,124.0,17.666666666666668,86.9590308711472,76.01414623222583,10.94488463892138,qf,-125
12,222,110,16.0,19.0,17.0,0.0,7126.0,1394.0,3820.0,2500.0,51.0,18.666666666666668,62.979685652498745,66.25680226376285,-3.277116611264115,22.0,16.0,19.0,1.0,6899.0,1149.0,3660.0,2450.0,94.0,23.333333333333332,56.6960351238878,67.01568267560465,-10.319647551716862,qm,112
13,225,185,5.0,20.0,15.0,1.0,7583.0,1284.0,3740.0,3100.0,48.0,17.0,68.32217557811612,71.86012798732293,-3.5379524092068166,12.0,13.0,23.0,0.0,7058.0,1015.0,3740.0,2350.0,108.0,28.333333333333332,62.49546035580951,79.13786388107907,-16.642403525269565,qm,40
