,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,339,334,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,f,5
1,317,221,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,f,96
2,205,283,7.0,21.0,15.0,0.0,7387.0,1680.0,4040.0,2550.0,32.0,15.0,56.06390118024316,58.5415587539889,-2.477657573745738,7.0,21.0,15.0,0.0,7387.0,1680.0,4040.0,2550.0,32.0,15.0,56.06390118024316,58.5415587539889,-2.477657573745738,qf,-78
3,195,451,7.0,21.0,15.0,0.0,7387.0,1680.0,4040.0,2550.0,32.0,15.0,56.06390118024316,58.5415587539889,-2.477657573745738,7.0,21.0,15.0,0.0,7387.0,1680.0,4040.0,2550.0,32.0,15.0,56.06390118024316,58.5415587539889,-2.477657573745738,qf,-256
4,370,321,26.0,20.0,16.0,0.0,8865.0,1825.0,4660.0,3250.0,35.0,15.666666666666666,109.94214720062763,68.40292300740397,41.53922419322366,26.0,20.0,16.0,0.0,8865.0,1825.0,4660.0,3250.0,35.0,15.666666666666666,109.94214720062763,68.40292300740397,41.53922419322366,qf,49
5,200,218,26.0,20.0,16.0,0.0,8865.0,1825.0,4660.0,3250.0,35.0,15.666666666666666,109.94214720062763,68.40292300740397,41.53922419322366,26.0,20.0,16.0,0.0,8865.0,1825.0,4660.0,3250.0,35.0,15.666666666666666,109.94214720062763,68.40292300740397,41.53922419322366,qf,-18
6,296,289,26.0,20.0,16.0,0.0,8865.0,1825.0,4660.0,3250.0,35.0,15.666666666666666,109.94214720062763,68.40292300740397,41.53922419322366,26.0,20.0,16.0,0.0,8865.0,1825.0,4660.0,3250.0,35.0,15.666666666666666,109.94214720062763,68.40292300740397,41.53922419322366,qf,7
7,310,305,30.0,20.0,16.0,0.0,8279.0,1541.0,4400.0,3000.0,34.0,15.0,95.76262855366686,47.32002041757199,48.44260813609488,30.0,20.0,16.0,0.0,8279.0,1541.0,4400.0,3000.0,34.0,15.0,95.76262855366686,47.32002041757199,48.44260813609488,qf,5
8,310,305,30.0,20.0,16.0,0.0,8279.0,1541.0,4400.0,3000.0,34.0,15.0,95.76262855366686,47.32002041757199,48.44260813609488,30.0,20.0,16.0,0.0,8279.0,1541.0,4400.0,3000.0,34.0,15.0,95.76262855366686,47.32002041757199,48.44260813609488,qf,5
9,314,236,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,qf,78
10,265,292,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,qf,-27
11,319,261,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,25.0,20.0,16.0,0.0,8690.0,1878.0,4540.0,3200.0,75.0,14.333333333333334,101.59074523064366,67.01346204992821,34.57728318071544,qf,58
12,305,280,18.0,25.0,11.0,0.0,8251.0,1729.0,4460.0,2900.0,41.0,7.0,96.73003820817178,72.18573242176949,24.544305786402294,18.0,25.0,11.0,0.0,8251.0,1729.0,4460.0,2900.0,41.0,7.0,96.73003820817178,72.18573242176949,24.544305786402294,qm,25
13,240,145,12.0,19.0,17.0,0.0,7607.0,1553.0,4400.0,2400.0,27.0,18.0,79.60629798010514,72.68671350094309,6.919584479162052,12.0,19.0,17.0,0.0,7607.0,1553.0,4400.0,2400.0,27.0,18.0,79.60629798010514,72.68671350094309,6.919584479162052,qm,95
14,50,163,2.0,11.0,25.0,0.0,5880.0,1216.0,3380.0,1800.0,20.0,34.333333333333336,25.63255357173361,69.12599322144668,-43.493439649713075,2.0,11.0,25.0,0.0,5880.0,1216.0,3380.0,1800.0,20.0,34.333333333333336,25.63255357173361,69.12599322144668,-43.493439649713075,qm,-113
15,165,385,9.0,10.0,26.0,0.0,6439.0,1490.0,4040.0,1750.0,24.0,34.666666666666664,43.69775474129651,88.73795042765336,-45.04019568635687,9.0,10.0,26.0,0.0,6439.0,1490.0,4040.0,1750.0,24.0,34.666666666666664,43.69775474129651,88.73795042765336,-45.04019568635687,qm,-220
16,90,355,5.0,19.0,17.0,0.0,6475.0,1364.0,3840.0,2100.0,10.0,22.0,39.531658597831644,68.89837962573617,-29.36672102790452,5.0,19.0,17.0,0.0,6475.0,1364.0,3840.0,2100.0,10.0,22.0,39.531658597831644,68.89837962573617,-29.36672102790452,qm,-265
17,263,190,15.0,23.0,13.0,0.0,8129.0,1733.0,4380.0,2850.0,49.0,11.666666666666666,84.17627820708388,57.96732237688628,26.208955830197596,15.0,23.0,13.0,0.0,8129.0,1733.0,4380.0,2850.0,49.0,11.666666666666666,84.17627820708388,57.96732237688628,26.208955830197596,qm,73
18,190,245,12.0,15.0,21.0,0.0,7521.0,1388.0,3920.0,2750.0,31.0,25.666666666666668,68.91949379508839,77.70649425930071,-8.787000464212325,12.0,15.0,21.0,0.0,7521.0,1388.0,3920.0,2750.0,31.0,25.666666666666668,68.91949379508839,77.70649425930071,-8.787000464212325,qm,-55
19,85,235,12.0,12.0,24.0,0.0,6293.0,1248.0,3760.0,1850.0,23.0,35.666666666666664,39.40528913895207,79.12678139019329,-39.721492251241216,12.0,12.0,24.0,0.0,6293.0,1248.0,3760.0,1850.0,23.0,35.666666666666664,39.40528913895207,79.12678139019329,-39.721492251241216,qm,-150
20,106,165,21.0,17.0,19.0,0.0,6702.0,1679.0,3940.0,2100.0,37.0,24.666666666666668,42.493373663785555,62.92542160198053,-20.43204793819498,21.0,17.0,19.0,0.0,6702.0,1679.0,3940.0,2100.0,37.0,24.666666666666668,42.493373663785555,62.92542160198053,-20.43204793819498,qm,-59
21,170,250,6.0,16.0,20.0,0.0,7639.0,1614.0,4240.0,2700.0,24.0,21.333333333333332,68.89053494027213,79.82027058403173,-10.929735643759605,6.0,16.0,20.0,0.0,7639.0,1614.0,4240.0,2700.0,24.0,21.333333333333332,68.89053494027213,79.82027058403173,-10.929735643759605,qm,-80
22,241,145,42.0,18.0,18.0,0.0,7851.0,1773.0,4380.0,2500.0,61.0,20.333333333333332,79.71818517258231,70.89436300669242,8.823822165889892,42.0,18.0,18.0,0.0,7851.0,1773.0,4380.0,2500.0,61.0,20.333333333333332,79.71818517258231,70.89436300669242,8.823822165889892,qm,96
23,140,285,7.0,22.0,14.0,0.0,7906.0,1658.0,4200.0,2750.0,61.0,13.333333333333334,76.19429595676176,46.926771896074364,29.26752406068742,7.0,22.0,14.0,0.0,7906.0,1658.0,4200.0,2750.0,61.0,13.333333333333334,76.19429595676176,46.926771896074364,29.26752406068742,qm,-145
24,255,345,12.0,19.0,17.0,0.0,7679.0,1637.0,4180.0,2450.0,34.0,20.0,70.00748974220036,72.5575837727515,-2.5500940305511315,12.0,19.0,17.0,0.0,7679.0,1637.0,4180.0,2450.0,34.0,20.0,70.00748974220036,72.5575837727515,-2.5500940305511315,qm,-90
25,270,65,10.0,17.0,17.0,0.0,7599.0,1502.0,4100.0,2750.0,34.0,22.333333333333332,76.96398452199199,63.003211001824674,13.960773520167317,10.0,17.0,17.0,0.0,7599.0,1502.0,4100.0,2750.0,34.0,22.333333333333332,76.96398452199199,63.003211001824674,13.960773520167317,qm,205
26,206,90,8.0,22.0,14.0,0.0,7863.0,1867.0,4260.0,2600.0,33.0,14.333333333333334,82.88149970439946,51.82623775448707,31.05526194991238,8.0,22.0,14.0,0.0,7863.0,1867.0,4260.0,2600.0,33.0,14.333333333333334,82.88149970439946,51.82623775448707,31.05526194991238,qm,116
27,300,205,15.0,19.0,17.0,0.0,7955.0,1623.0,4280.0,2850.0,35.0,18.333333333333332,79.61368350377998,83.17076644589923,-3.5570829421192514,15.0,19.0,17.0,0.0,7955.0,1623.0,4280.0,2850.0,35.0,18.333333333333332,79.61368350377998,83.17076644589923,-3.5570829421192514,qm,95
28,45,121,1.0,9.0,25.0,0.0,5990.0,1346.0,3440.0,2000.0,25.0,37.0,25.0104465196776,69.69440635870416,-44.68395983902655,1.0,9.0,25.0,0.0,5990.0,1346.0,3440.0,2000.0,25.0,37.0,25.0104465196776,69.69440635870416,-44.68395983902655,qm,-76
