,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,312,482,27.0,13.0,10.0,1.0,6871.0,1257.0,3240.0,2750.0,376.0,15.0,93.1087438583274,87.1061811347239,6.002562723603501,24.0,14.0,10.0,0.0,7230.0,1237.0,3300.0,3000.0,450.0,12.333333333333334,121.92039154643301,99.12590433850316,22.79448720792985,qf,-170
1,-1,-1,27.0,13.0,10.0,1.0,6871.0,1257.0,3240.0,2750.0,376.0,15.0,93.1087438583274,87.1061811347239,6.002562723603501,24.0,14.0,10.0,0.0,7230.0,1237.0,3300.0,3000.0,450.0,12.333333333333334,121.92039154643301,99.12590433850316,22.79448720792985,qf,0
2,441,293,24.0,13.0,11.0,0.0,7163.0,1470.0,3600.0,2800.0,208.0,9.333333333333334,117.30175367455394,76.87500233307804,40.42675134147589,24.0,14.0,10.0,0.0,7230.0,1237.0,3300.0,3000.0,450.0,12.333333333333334,121.92039154643301,99.12590433850316,22.79448720792985,qf,148
3,445,325,24.0,13.0,11.0,0.0,7163.0,1470.0,3600.0,2800.0,208.0,9.333333333333334,117.30175367455394,76.87500233307804,40.42675134147589,9.0,15.0,7.0,2.0,7269.0,1313.0,3460.0,3050.0,319.0,10.0,116.5799711505162,89.94256561951518,26.63740553100101,qf,120
4,-1,-1,24.0,13.0,11.0,0.0,7163.0,1470.0,3600.0,2800.0,208.0,9.333333333333334,117.30175367455394,76.87500233307804,40.42675134147589,9.0,15.0,7.0,2.0,7269.0,1313.0,3460.0,3050.0,319.0,10.0,116.5799711505162,89.94256561951518,26.63740553100101,qf,0
5,377,408,27.0,13.0,10.0,1.0,6871.0,1257.0,3240.0,2750.0,376.0,15.0,93.1087438583274,87.1061811347239,6.002562723603501,24.0,14.0,10.0,0.0,7230.0,1237.0,3300.0,3000.0,450.0,12.333333333333334,121.92039154643301,99.12590433850316,22.79448720792985,qf,-31
6,449,452,24.0,13.0,11.0,0.0,7163.0,1470.0,3600.0,2800.0,208.0,9.333333333333334,117.30175367455394,76.87500233307804,40.42675134147589,24.0,14.0,10.0,0.0,7230.0,1237.0,3300.0,3000.0,450.0,12.333333333333334,121.92039154643301,99.12590433850316,22.79448720792985,qf,-3
7,330,310,24.0,13.0,11.0,0.0,7163.0,1470.0,3600.0,2800.0,208.0,9.333333333333334,117.30175367455394,76.87500233307804,40.42675134147589,9.0,15.0,7.0,2.0,7269.0,1313.0,3460.0,3050.0,319.0,10.0,116.5799711505162,89.94256561951518,26.63740553100101,qf,20
8,445,404,24.0,13.0,11.0,0.0,7163.0,1470.0,3600.0,2800.0,208.0,9.333333333333334,117.30175367455394,76.87500233307804,40.42675134147589,24.0,14.0,10.0,0.0,7230.0,1237.0,3300.0,3000.0,450.0,12.333333333333334,121.92039154643301,99.12590433850316,22.79448720792985,qf,41
9,240,235,9.0,10.0,14.0,0.0,6296.0,1021.0,3300.0,2400.0,101.0,23.666666666666668,76.79449312155931,101.22282016326949,-24.428327041710176,22.0,10.0,14.0,0.0,6909.0,1264.0,3280.0,2750.0,229.0,22.666666666666668,87.85802013283744,103.31038073841393,-15.452360605576487,qm,5
10,283,295,15.0,11.0,12.0,1.0,7064.0,1271.0,3420.0,3050.0,139.0,19.0,99.9830405785819,89.00027832060469,10.982762257977228,19.0,14.0,10.0,0.0,6849.0,1347.0,3440.0,2700.0,134.0,13.666666666666666,95.38133774718005,107.57910769999637,-12.197769952816316,qm,-12
11,295,215,18.0,13.0,11.0,0.0,6992.0,1387.0,3660.0,2800.0,97.0,10.333333333333334,102.92834907245025,91.03476684655145,11.893582225898802,19.0,7.0,16.0,1.0,6675.0,1215.0,3040.0,2950.0,125.0,29.333333333333332,88.38459973148743,109.20158776956661,-20.816988038079163,qm,80
12,286,290,25.0,10.0,13.0,1.0,7013.0,1176.0,3220.0,2850.0,383.0,21.333333333333332,102.29599333983992,98.19814576182273,4.097847578017192,21.0,14.0,10.0,0.0,6831.0,1330.0,3240.0,2900.0,131.0,15.666666666666666,99.06775949676312,100.09113405477842,-1.0233745580153102,qm,-4
13,177,204,17.0,11.0,13.0,0.0,6150.0,1377.0,3120.0,2250.0,325.0,24.0,69.54830279096366,89.6643032975561,-20.11600050659243,18.0,13.0,10.0,1.0,6438.0,1287.0,3260.0,2550.0,88.0,19.333333333333332,84.9872315512268,92.9177328880693,-7.930501336842492,qm,-27
14,325,208,17.0,10.0,13.0,1.0,7253.0,1081.0,3560.0,3100.0,78.0,17.666666666666668,111.70729088535967,105.32955330755014,6.377737577809536,20.0,11.0,13.0,0.0,6301.0,1300.0,3300.0,2400.0,146.0,26.0,75.88460773827181,97.44144905211243,-21.55684131384062,qm,117
15,341,265,26.0,14.0,9.0,1.0,7104.0,1113.0,3080.0,3050.0,374.0,12.333333333333334,102.30609102009136,84.22158755959396,18.084503460497412,31.0,11.0,12.0,1.0,6826.0,1117.0,3360.0,2700.0,191.0,18.333333333333332,94.48785624512207,99.35922681982878,-4.871370574706717,qm,76
16,250,251,7.0,14.0,10.0,0.0,6927.0,1247.0,3500.0,2750.0,47.0,13.333333333333334,105.88022675161181,76.0393587969945,29.84086795461732,16.0,13.0,11.0,0.0,6640.0,1239.0,3060.0,2700.0,485.0,19.666666666666668,80.83845638082641,99.814083921702,-18.97562754087559,qm,-1
17,265,250,16.0,13.0,10.0,1.0,6881.0,1241.0,3400.0,2850.0,191.0,15.0,94.58205867491698,82.6839358981037,11.89812277681328,16.0,13.0,11.0,0.0,7016.0,1219.0,3480.0,2700.0,181.0,10.666666666666666,106.136357362758,84.85500906727705,21.28134829548095,qm,15
18,345,372,18.0,8.0,16.0,0.0,6770.0,1612.0,3420.0,2900.0,105.0,25.333333333333332,93.90457641946107,106.47369698390709,-12.569120564446019,17.0,10.0,13.0,1.0,6889.0,1311.0,3300.0,2900.0,174.0,20.333333333333332,107.44527751308004,108.90839574080896,-1.4631182277289223,qm,-27
19,309,295,24.0,15.0,9.0,0.0,6839.0,1093.0,3040.0,3050.0,94.0,16.666666666666668,95.72615536739129,86.72806767903825,8.998087688353044,21.0,11.0,12.0,1.0,7033.0,1145.0,3500.0,2900.0,88.0,16.666666666666668,103.45345959353072,100.90746808488582,2.545991508644903,qm,14
20,230,188,19.0,13.0,11.0,0.0,6613.0,1344.0,3320.0,2550.0,153.0,17.666666666666668,72.79743223474361,91.74735867796134,-18.94992644321773,25.0,9.0,15.0,0.0,6023.0,1263.0,3200.0,2150.0,228.0,25.666666666666668,63.29491663162929,83.7790975001217,-20.484180868492395,qm,42
21,185,302,21.0,12.0,11.0,1.0,6343.0,1165.0,3260.0,2400.0,178.0,19.0,66.83579757550693,83.15162042754991,-16.315822852042995,15.0,13.0,10.0,1.0,7106.0,1445.0,3500.0,2850.0,301.0,17.333333333333332,110.72924393163028,92.6205602976841,18.108683633946185,qm,-117
22,305,275,21.0,9.0,14.0,1.0,6753.0,1338.0,3240.0,2950.0,108.0,29.333333333333332,97.921224504296,104.66319564921231,-6.741971144916296,15.0,8.0,16.0,0.0,6732.0,974.0,3440.0,2700.0,147.0,24.666666666666668,92.53106039334575,102.09573962969235,-9.564679236346612,qm,30
23,318,215,25.0,14.0,10.0,0.0,7119.0,1243.0,3480.0,2800.0,209.0,7.666666666666667,110.5861556243483,80.2854034223211,30.3007522020272,18.0,9.0,15.0,0.0,6434.0,1324.0,3160.0,2700.0,89.0,25.0,85.58570312065494,104.80791250774092,-19.222209387085982,qm,103
24,281,306,16.0,11.0,13.0,0.0,6258.0,1339.0,3040.0,2300.0,533.0,20.666666666666668,77.11973472704024,93.92088520288998,-16.80115047584974,18.0,12.0,11.0,1.0,7174.0,1234.0,3520.0,2950.0,189.0,13.333333333333334,102.22540447430816,98.67043085227762,3.5549736220305306,qm,-25
25,280,309,14.0,13.0,11.0,0.0,6635.0,1519.0,3500.0,2450.0,165.0,14.666666666666666,94.07673928517511,105.29497334679456,-11.218234061619436,11.0,14.0,9.0,1.0,6769.0,1325.0,3160.0,2800.0,284.0,17.0,90.91765473646198,74.56207623341707,16.355578503044907,qm,-29
26,255,405,18.0,9.0,14.0,1.0,6738.0,1275.0,3260.0,2900.0,163.0,28.0,86.02424767220522,108.88208998662434,-22.8578423144191,22.0,12.0,12.0,0.0,7173.0,1149.0,3300.0,3000.0,148.0,15.333333333333334,108.30316000734372,82.07681454052094,26.22634546682278,qm,-150
27,283,331,18.0,10.0,13.0,1.0,6593.0,983.0,3080.0,2900.0,143.0,24.666666666666668,84.84065094545927,105.36333909270911,-20.52268814724984,17.0,17.0,6.0,1.0,7164.0,1256.0,3260.0,2950.0,489.0,4.333333333333333,109.49911508416814,91.48603962093016,18.013075463237993,qm,-48
28,300,305,15.0,9.0,15.0,0.0,6724.0,1305.0,3360.0,2950.0,39.0,24.0,89.24383208692598,109.54195729498088,-20.29812520805491,20.0,10.0,14.0,0.0,6521.0,1272.0,3260.0,2550.0,96.0,27.666666666666668,86.03938958260005,84.83647220078954,1.202917381810515,qm,-5
29,283,347,17.0,9.0,15.0,0.0,6868.0,1243.0,3600.0,2550.0,183.0,21.333333333333332,92.53921707060353,98.63971479163963,-6.10049772103612,17.0,16.0,7.0,1.0,7250.0,1602.0,3400.0,2950.0,480.0,7.666666666666667,115.66499722348794,81.10616556156437,34.55883166192359,qm,-64
30,212,305,19.0,12.0,12.0,0.0,6716.0,1456.0,3500.0,2450.0,206.0,17.0,94.36773623960052,84.57891628410039,9.788819955500129,27.0,14.0,9.0,1.0,6732.0,1213.0,3280.0,2750.0,107.0,17.666666666666668,98.60089375170588,84.72572596276177,13.87516778894412,qm,-93
31,260,260,21.0,12.0,9.0,3.0,6883.0,1050.0,3140.0,2850.0,378.0,16.333333333333332,100.4447516235477,84.80318339507909,15.641568228468612,15.0,10.0,11.0,3.0,6786.0,1172.0,3260.0,2900.0,151.0,21.666666666666668,99.27868582072989,100.18622875390953,-0.9075429331796508,qm,0
32,255,320,17.0,9.0,14.0,1.0,6077.0,1300.0,3140.0,2300.0,192.0,23.333333333333332,72.55064515848153,100.0450160451308,-27.494370886649254,12.0,14.0,10.0,0.0,6639.0,1090.0,3400.0,2600.0,139.0,11.0,90.0344485111079,96.42608195175211,-6.391633440644199,qm,-65
33,305,248,20.0,12.0,12.0,0.0,6732.0,1198.0,3240.0,2800.0,112.0,20.666666666666668,98.38043766425368,91.15527202799335,7.225165636260347,22.0,10.0,12.0,2.0,6674.0,1169.0,2980.0,2850.0,364.0,24.333333333333332,85.52074980881194,98.90991829312372,-13.389168484311798,qm,57
34,301,276,26.0,9.0,15.0,0.0,6916.0,1424.0,3540.0,2750.0,181.0,22.666666666666668,103.45495620758156,105.68660999418053,-2.2316537865989736,18.0,10.0,14.0,0.0,6874.0,1110.0,3440.0,2750.0,169.0,19.666666666666668,89.54958946705915,87.80158429797062,1.7480051690885265,qm,25
35,260,255,28.0,14.0,9.0,1.0,6757.0,1044.0,3260.0,2800.0,162.0,12.666666666666666,90.79663911741466,87.08052462706395,3.71611449035071,12.0,11.0,13.0,0.0,6911.0,1514.0,3420.0,2750.0,146.0,22.333333333333332,92.12873441588629,89.14646140730896,2.9822730085773017,qm,5
36,295,213,17.0,16.0,8.0,0.0,7093.0,1368.0,3060.0,3000.0,463.0,10.0,112.16598677982165,90.05743018912266,22.108556590699,22.0,9.0,15.0,0.0,6012.0,1451.0,3260.0,2000.0,247.0,25.666666666666668,65.40858348097814,90.89784600242903,-25.489262521450893,qm,82
37,275,345,17.0,12.0,12.0,0.0,7075.0,1093.0,3640.0,2850.0,95.0,11.0,102.00400428137259,101.94833979128752,0.05566449008505477,11.0,11.0,11.0,2.0,6674.0,1096.0,3400.0,2700.0,94.0,19.0,95.41151815936682,96.67342561100195,-1.2619074516351247,qm,-70
38,235,362,11.0,11.0,13.0,0.0,6489.0,1241.0,3180.0,2750.0,64.0,22.0,89.51287417902473,107.59671480529492,-18.083840626270174,15.0,16.0,7.0,1.0,6988.0,1436.0,3420.0,2850.0,288.0,12.0,103.37425977211853,80.75420628672681,22.620053485391725,qm,-127
39,205,229,12.0,11.0,13.0,0.0,6834.0,1345.0,3480.0,2650.0,104.0,20.0,90.49300759970852,81.9783282140606,8.514679385647925,21.0,11.0,12.0,1.0,6378.0,1175.0,2980.0,2450.0,433.0,17.0,84.74631015561262,74.436752435546,10.30955772006663,qm,-24
40,354,255,18.0,14.0,10.0,0.0,7140.0,1386.0,3340.0,2750.0,510.0,11.666666666666666,108.51621537823992,88.87067086806424,19.64554451017569,19.0,10.0,13.0,1.0,6705.0,1340.0,3160.0,2900.0,120.0,27.333333333333332,87.38252854492718,94.4196956395657,-7.037167094638529,qm,99
41,298,275,13.0,11.0,12.0,1.0,6620.0,1404.0,3340.0,2650.0,150.0,18.0,89.85068426800869,94.56774432136821,-4.717060053359518,19.0,11.0,13.0,0.0,6806.0,1092.0,3480.0,2700.0,156.0,16.666666666666668,87.62280895485956,101.67594307654515,-14.053134121685607,qm,23
42,290,312,16.0,13.0,11.0,0.0,6975.0,1217.0,3320.0,2900.0,195.0,12.0,110.3895595136669,90.32842860204323,20.06113091162366,16.0,16.0,8.0,0.0,7038.0,1354.0,3400.0,3000.0,208.0,11.0,103.3582976107595,86.02429467780856,17.334002932950927,qm,-22
43,260,310,26.0,11.0,12.0,1.0,6607.0,1156.0,3300.0,2650.0,117.0,21.333333333333332,85.39889500988535,88.91885876928065,-3.519963759395291,13.0,14.0,10.0,0.0,6759.0,1083.0,3320.0,2800.0,104.0,14.333333333333334,95.69322045748036,87.85738546006996,7.835834997410387,qm,-50
44,285,348,18.0,11.0,12.0,1.0,6787.0,1152.0,3340.0,2900.0,97.0,24.0,96.95849744144074,109.10359668809896,-12.14509924665821,22.0,14.0,10.0,0.0,6876.0,1399.0,3380.0,2900.0,136.0,11.333333333333334,102.55017434613383,97.53952511464702,5.010649231486814,qm,-63
45,293,310,27.0,7.0,16.0,1.0,6799.0,1248.0,3320.0,2800.0,169.0,30.666666666666668,101.93035230748741,105.58967963512389,-3.659327327636466,11.0,16.0,8.0,0.0,6884.0,1364.0,3400.0,2700.0,289.0,9.666666666666666,96.56563886990547,102.7501531111336,-6.184514241228119,qm,-17
46,165,294,13.0,7.0,17.0,0.0,5812.0,1219.0,3120.0,2150.0,157.0,26.333333333333332,54.332722006016816,94.14718658529064,-39.81446457927384,16.0,11.0,12.0,1.0,6775.0,1218.0,3080.0,2950.0,355.0,22.666666666666668,89.43679606016589,88.09550021715006,1.341295843015826,qm,-129
47,290,239,15.0,14.0,10.0,0.0,6688.0,1459.0,3360.0,2650.0,98.0,16.333333333333332,95.2449008099486,80.88881899158368,14.35608181836494,22.0,12.0,11.0,1.0,6664.0,1118.0,3080.0,2800.0,184.0,21.333333333333332,82.54011878692981,85.65111209447538,-3.11099330754557,qm,51
48,315,285,21.0,9.0,14.0,1.0,6501.0,1387.0,3400.0,2500.0,156.0,27.333333333333332,83.54860682249301,94.87318129820112,-11.324574475708099,23.0,11.0,13.0,0.0,6641.0,1090.0,3200.0,2900.0,91.0,25.0,89.07539458905603,102.5709491173862,-13.495554528330175,qm,30
49,352,440,20.0,10.0,12.0,2.0,7113.0,1052.0,3340.0,3050.0,163.0,18.666666666666668,110.67847214102103,120.84433623175421,-10.165864090733185,19.0,14.0,10.0,0.0,7076.0,1403.0,3460.0,2750.0,146.0,13.666666666666666,111.30007353975049,101.64252314570685,9.657550394043634,qm,-88
50,354,348,7.0,13.0,11.0,0.0,7217.0,1279.0,3660.0,2850.0,212.0,12.0,110.6587928245375,87.24281371279899,23.41597911173851,25.0,13.0,11.0,0.0,7204.0,1234.0,3600.0,2950.0,154.0,10.0,110.13394047316986,87.8651342421926,22.268806230977265,qm,6
51,298,299,25.0,12.0,12.0,0.0,6908.0,1451.0,3440.0,2750.0,198.0,15.333333333333334,98.62608234106237,93.39452190623753,5.231560434824843,13.0,15.0,8.0,1.0,6596.0,1234.0,3100.0,2550.0,471.0,13.333333333333334,92.13243293953826,90.4922557907267,1.6401771488115504,qm,-1
52,305,206,22.0,14.0,10.0,0.0,7237.0,1316.0,3400.0,3200.0,102.0,14.333333333333334,118.88549143028195,96.6524140494481,22.233077380833844,23.0,11.0,13.0,0.0,6851.0,1528.0,3540.0,2750.0,151.0,21.0,95.46077811736681,100.80309976976582,-5.342321652399003,qm,99
53,281,280,10.0,17.0,7.0,0.0,6818.0,1422.0,3320.0,2550.0,418.0,7.0,105.62758017773236,81.18784323278187,24.439736944950486,21.0,6.0,18.0,0.0,6766.0,1193.0,3360.0,2850.0,71.0,29.0,93.51832691883494,107.66318377290133,-14.144856854066381,qm,1
54,100,326,15.0,10.0,14.0,0.0,5701.0,1051.0,2940.0,2150.0,196.0,25.333333333333332,48.9987974654235,99.7755632477217,-50.77676578229819,18.0,11.0,12.0,1.0,6725.0,1117.0,3520.0,2500.0,185.0,15.333333333333334,91.30272216812648,74.13527270988347,17.167449458243006,qm,-226
55,185,361,19.0,10.0,13.0,1.0,6406.0,1163.0,3260.0,2600.0,111.0,27.0,78.05400297946433,100.31059093552096,-22.25658795605662,17.0,13.0,11.0,0.0,6842.0,1468.0,3440.0,2600.0,157.0,16.333333333333332,101.49863047216884,64.80112835431449,36.69750211785435,qm,-176
56,352,285,14.0,19.0,5.0,0.0,7456.0,1496.0,3380.0,3050.0,576.0,2.0,128.76711587472374,87.50415849701221,41.26295737771151,19.0,9.0,14.0,1.0,6641.0,1123.0,3280.0,2700.0,151.0,26.666666666666668,91.04598440748015,106.07659913573093,-15.030614728250777,qm,67
