,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,215,291,15.0,13.0,11.0,0.0,5345.0,984.0,2540.0,2300.0,20.0,24.666666666666668,115.90049950648158,87.22377443018615,28.67672507629541,34.0,15.0,9.0,0.0,5163.0,736.0,2580.0,2150.0,53.0,15.333333333333334,100.07756539116171,62.94768217151253,37.129883219649166,f,-76
1,205,191,15.0,13.0,11.0,0.0,5345.0,984.0,2540.0,2300.0,20.0,24.666666666666668,115.90049950648158,87.22377443018615,28.67672507629541,34.0,15.0,9.0,0.0,5163.0,736.0,2580.0,2150.0,53.0,15.333333333333334,100.07756539116171,62.94768217151253,37.129883219649166,f,14
2,165,309,12.0,14.0,9.0,0.0,4873.0,795.0,2400.0,2000.0,38.0,22.333333333333332,95.81263004376105,70.11445855636694,25.698171487394106,34.0,15.0,9.0,0.0,5163.0,736.0,2580.0,2150.0,53.0,15.333333333333334,100.07756539116171,62.94768217151253,37.129883219649166,f,-144
3,198,296,15.0,18.0,6.0,0.0,4380.0,741.0,2180.0,1700.0,75.0,12.333333333333334,56.417044811424624,49.34494228554764,7.0721025258769785,34.0,15.0,9.0,0.0,5163.0,736.0,2580.0,2150.0,53.0,15.333333333333334,100.07756539116171,62.94768217151253,37.129883219649166,qf,-98
4,265,264,15.0,18.0,6.0,0.0,4380.0,741.0,2180.0,1700.0,75.0,12.333333333333334,56.417044811424624,49.34494228554764,7.0721025258769785,34.0,15.0,9.0,0.0,5163.0,736.0,2580.0,2150.0,53.0,15.333333333333334,100.07756539116171,62.94768217151253,37.129883219649166,qf,1
5,267,316,15.0,18.0,6.0,0.0,4380.0,741.0,2180.0,1700.0,75.0,12.333333333333334,56.417044811424624,49.34494228554764,7.0721025258769785,34.0,15.0,9.0,0.0,5163.0,736.0,2580.0,2150.0,53.0,15.333333333333334,100.07756539116171,62.94768217151253,37.129883219649166,qf,-49
6,342,255,5.0,15.0,9.0,0.0,5099.0,831.0,2400.0,2150.0,174.0,20.333333333333332,79.35358145883413,74.88905839725527,4.464523061578862,15.0,14.0,10.0,0.0,4993.0,686.0,2480.0,2100.0,43.0,20.0,75.35586878895897,64.6253250043748,10.73054378458417,qf,87
7,273,235,5.0,15.0,9.0,0.0,5099.0,831.0,2400.0,2150.0,174.0,20.333333333333332,79.35358145883413,74.88905839725527,4.464523061578862,15.0,14.0,10.0,0.0,4993.0,686.0,2480.0,2100.0,43.0,20.0,75.35586878895897,64.6253250043748,10.73054378458417,qf,38
8,265,305,24.0,15.0,9.0,0.0,4550.0,558.0,2080.0,1950.0,45.0,20.666666666666668,73.76094160829604,60.32949477420755,13.431446834088492,15.0,13.0,11.0,0.0,5345.0,984.0,2540.0,2300.0,20.0,24.666666666666668,115.90049950648158,87.22377443018615,28.67672507629541,qf,-40
9,246,205,24.0,15.0,9.0,0.0,4550.0,558.0,2080.0,1950.0,45.0,20.666666666666668,73.76094160829604,60.32949477420755,13.431446834088492,15.0,13.0,11.0,0.0,5345.0,984.0,2540.0,2300.0,20.0,24.666666666666668,115.90049950648158,87.22377443018615,28.67672507629541,qf,41
