,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,235,16.0,18.0,6.0,0.0,4907.0,739.0,2620.0,1850.0,47.0,8.333333333333334,77.44143620936804,43.59675880240442,33.84467740696362,16.0,18.0,6.0,0.0,4907.0,739.0,2620.0,1850.0,47.0,8.333333333333334,77.44143620936804,43.59675880240442,33.84467740696362,f,20
1,255,235,16.0,18.0,6.0,0.0,4907.0,739.0,2620.0,1850.0,47.0,8.333333333333334,77.44143620936804,43.59675880240442,33.84467740696362,16.0,18.0,6.0,0.0,4907.0,739.0,2620.0,1850.0,47.0,8.333333333333334,77.44143620936804,43.59675880240442,33.84467740696362,f,20
2,355,255,21.0,14.0,10.0,0.0,4979.0,780.0,2440.0,1850.0,59.0,20.333333333333332,95.52645648555598,58.539217984908795,36.98723850064719,21.0,14.0,10.0,0.0,4979.0,780.0,2440.0,1850.0,59.0,20.333333333333332,95.52645648555598,58.539217984908795,36.98723850064719,qf,100
3,316,305,21.0,14.0,10.0,0.0,4979.0,780.0,2440.0,1850.0,59.0,20.333333333333332,95.52645648555598,58.539217984908795,36.98723850064719,21.0,14.0,10.0,0.0,4979.0,780.0,2440.0,1850.0,59.0,20.333333333333332,95.52645648555598,58.539217984908795,36.98723850064719,qf,11
4,270,280,19.0,14.0,10.0,0.0,4326.0,662.0,2160.0,1600.0,56.0,23.333333333333332,61.973529602164994,44.017760326944824,17.95576927522017,19.0,14.0,10.0,0.0,4326.0,662.0,2160.0,1600.0,56.0,23.333333333333332,61.973529602164994,44.017760326944824,17.95576927522017,qf,-10
5,335,320,19.0,14.0,10.0,0.0,4326.0,662.0,2160.0,1600.0,56.0,23.333333333333332,61.973529602164994,44.017760326944824,17.95576927522017,19.0,14.0,10.0,0.0,4326.0,662.0,2160.0,1600.0,56.0,23.333333333333332,61.973529602164994,44.017760326944824,17.95576927522017,qf,15
6,215,255,19.0,14.0,10.0,0.0,4326.0,662.0,2160.0,1600.0,56.0,23.333333333333332,61.973529602164994,44.017760326944824,17.95576927522017,19.0,14.0,10.0,0.0,4326.0,662.0,2160.0,1600.0,56.0,23.333333333333332,61.973529602164994,44.017760326944824,17.95576927522017,qf,-40
7,200,255,29.0,16.0,8.0,0.0,4893.0,610.0,2300.0,2000.0,28.0,12.333333333333334,83.94615524387335,77.26024612502061,6.685909118852734,29.0,16.0,8.0,0.0,4893.0,610.0,2300.0,2000.0,28.0,12.333333333333334,83.94615524387335,77.26024612502061,6.685909118852734,qf,-55
8,190,305,29.0,16.0,8.0,0.0,4893.0,610.0,2300.0,2000.0,28.0,12.333333333333334,83.94615524387335,77.26024612502061,6.685909118852734,29.0,16.0,8.0,0.0,4893.0,610.0,2300.0,2000.0,28.0,12.333333333333334,83.94615524387335,77.26024612502061,6.685909118852734,qf,-115
9,145,190,23.0,17.0,7.0,0.0,4834.0,741.0,2140.0,2200.0,39.0,11.0,67.83050774201114,48.08595203668134,19.744555705329795,23.0,17.0,7.0,0.0,4834.0,741.0,2140.0,2200.0,39.0,11.0,67.83050774201114,48.08595203668134,19.744555705329795,qf,-45
10,210,193,25.0,16.0,8.0,0.0,4657.0,796.0,2320.0,1900.0,42.0,14.333333333333334,69.00989131407633,54.03412837797959,14.975762936096729,25.0,16.0,8.0,0.0,4657.0,796.0,2320.0,1900.0,42.0,14.333333333333334,69.00989131407633,54.03412837797959,14.975762936096729,qf,17
11,216,282,25.0,16.0,8.0,0.0,4657.0,796.0,2320.0,1900.0,42.0,14.333333333333334,69.00989131407633,54.03412837797959,14.975762936096729,25.0,16.0,8.0,0.0,4657.0,796.0,2320.0,1900.0,42.0,14.333333333333334,69.00989131407633,54.03412837797959,14.975762936096729,qf,-66
12,235,135,24.0,12.0,12.0,0.0,4164.0,672.0,2200.0,1350.0,19.0,29.666666666666668,54.22508722095453,51.580877056539606,2.6442101644149196,24.0,12.0,12.0,0.0,4164.0,672.0,2200.0,1350.0,19.0,29.666666666666668,54.22508722095453,51.580877056539606,2.6442101644149196,qm,100
13,215,165,9.0,14.0,10.0,0.0,4699.0,873.0,2340.0,1850.0,29.0,20.333333333333332,79.52764257391287,62.128785290471434,17.398857283441444,9.0,14.0,10.0,0.0,4699.0,873.0,2340.0,1850.0,29.0,20.333333333333332,79.52764257391287,62.128785290471434,17.398857283441444,qm,50
14,170,145,19.0,12.0,12.0,0.0,4232.0,650.0,2200.0,1400.0,42.0,30.333333333333332,59.18369559766719,68.35722349030891,-9.173527892641719,19.0,12.0,12.0,0.0,4232.0,650.0,2200.0,1400.0,42.0,30.333333333333332,59.18369559766719,68.35722349030891,-9.173527892641719,qm,25
15,269,125,22.0,15.0,9.0,0.0,4684.0,811.0,2400.0,1750.0,59.0,20.666666666666668,78.8502228379311,52.74020835197562,26.11001448595549,22.0,15.0,9.0,0.0,4684.0,811.0,2400.0,1750.0,59.0,20.666666666666668,78.8502228379311,52.74020835197562,26.11001448595549,qm,144
16,217,195,26.0,16.0,8.0,0.0,4795.0,658.0,2280.0,1950.0,55.0,16.0,79.23805997880342,64.728968492414,14.509091486389421,26.0,16.0,8.0,0.0,4795.0,658.0,2280.0,1950.0,55.0,16.0,79.23805997880342,64.728968492414,14.509091486389421,qm,22
17,215,205,14.0,9.0,15.0,0.0,3698.0,703.0,1940.0,1200.0,18.0,39.0,46.303085422493716,63.445335630137976,-17.14225020764427,14.0,9.0,15.0,0.0,3698.0,703.0,1940.0,1200.0,18.0,39.0,46.303085422493716,63.445335630137976,-17.14225020764427,qm,10
18,90,268,15.0,9.0,15.0,0.0,3672.0,607.0,2040.0,1200.0,32.0,44.333333333333336,41.86733276268027,62.21754985458781,-20.350217091907528,15.0,9.0,15.0,0.0,3672.0,607.0,2040.0,1200.0,32.0,44.333333333333336,41.86733276268027,62.21754985458781,-20.350217091907528,qm,-178
19,95,185,14.0,12.0,12.0,0.0,4033.0,657.0,2120.0,1350.0,63.0,31.0,49.96052687376402,43.501519650880766,6.4590072228832485,14.0,12.0,12.0,0.0,4033.0,657.0,2120.0,1350.0,63.0,31.0,49.96052687376402,43.501519650880766,6.4590072228832485,qm,-90
20,101,170,18.0,7.0,17.0,0.0,4184.0,635.0,2080.0,1650.0,34.0,43.333333333333336,55.050099580394225,69.67355072534123,-14.623451144947019,18.0,7.0,17.0,0.0,4184.0,635.0,2080.0,1650.0,34.0,43.333333333333336,55.050099580394225,69.67355072534123,-14.623451144947019,qm,-69
21,120,185,9.0,10.0,14.0,0.0,3765.0,663.0,2000.0,1200.0,25.0,40.0,38.472918391377185,52.86304249518788,-14.390124103810697,9.0,10.0,14.0,0.0,3765.0,663.0,2000.0,1200.0,25.0,40.0,38.472918391377185,52.86304249518788,-14.390124103810697,qm,-65
22,141,240,18.0,11.0,13.0,0.0,3814.0,502.0,1920.0,1450.0,139.0,38.0,42.72460896713215,52.69863354649084,-9.97402457935869,18.0,11.0,13.0,0.0,3814.0,502.0,1920.0,1450.0,139.0,38.0,42.72460896713215,52.69863354649084,-9.97402457935869,qm,-99
