,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,445,205,19.0,23.0,10.0,0.0,8392.0,1805.0,4380.0,3400.0,12.0,5.666666666666667,101.27050286734392,71.3278740545043,29.942628812839615,19.0,23.0,10.0,0.0,8392.0,1805.0,4380.0,3400.0,12.0,5.666666666666667,101.27050286734392,71.3278740545043,29.942628812839615,f,240
1,346,330,19.0,23.0,10.0,0.0,8392.0,1805.0,4380.0,3400.0,12.0,5.666666666666667,101.27050286734392,71.3278740545043,29.942628812839615,19.0,23.0,10.0,0.0,8392.0,1805.0,4380.0,3400.0,12.0,5.666666666666667,101.27050286734392,71.3278740545043,29.942628812839615,f,16
2,135,85,29.0,15.0,16.0,0.0,6559.0,1043.0,3480.0,2450.0,9.0,15.0,64.75238217560113,62.81373257149394,1.9386496041072003,29.0,15.0,16.0,0.0,6559.0,1043.0,3480.0,2450.0,9.0,15.0,64.75238217560113,62.81373257149394,1.9386496041072003,qm,50
3,130,140,28.0,14.0,16.0,0.0,6124.0,990.0,3460.0,2200.0,14.0,15.333333333333334,56.47590755983725,69.01448527320352,-12.538577713366266,28.0,14.0,16.0,0.0,6124.0,990.0,3460.0,2200.0,14.0,15.333333333333334,56.47590755983725,69.01448527320352,-12.538577713366266,qm,-10
4,157,265,22.0,11.0,22.0,0.0,6279.0,1178.0,3740.0,2000.0,9.0,20.666666666666668,49.69466256382183,79.26020112530533,-29.565538561483482,22.0,11.0,22.0,0.0,6279.0,1178.0,3740.0,2000.0,9.0,20.666666666666668,49.69466256382183,79.26020112530533,-29.565538561483482,qm,-108
5,213,305,16.0,17.0,16.0,0.0,7652.0,1568.0,4180.0,2850.0,17.0,12.666666666666666,82.72375561116475,86.96700658194506,-4.243250970780309,16.0,17.0,16.0,0.0,7652.0,1568.0,4180.0,2850.0,17.0,12.666666666666666,82.72375561116475,86.96700658194506,-4.243250970780309,qm,-92
6,250,155,21.0,19.0,13.0,0.0,7970.0,1205.0,4000.0,3100.0,5.0,9.666666666666666,101.28593704821282,59.18105009662301,42.1048869515898,21.0,19.0,13.0,0.0,7970.0,1205.0,4000.0,3100.0,5.0,9.666666666666666,101.28593704821282,59.18105009662301,42.1048869515898,qm,95
7,180,285,24.0,11.0,20.0,0.0,6487.0,944.0,3600.0,2300.0,7.0,18.0,62.41694930290248,81.47072699410985,-19.053777691207376,24.0,11.0,20.0,0.0,6487.0,944.0,3600.0,2300.0,7.0,18.0,62.41694930290248,81.47072699410985,-19.053777691207376,qm,-105
8,165,255,24.0,11.0,22.0,0.0,6287.0,1440.0,3720.0,2050.0,2.0,20.0,46.794769573447475,72.69043281769291,-25.895663244245423,24.0,11.0,22.0,0.0,6287.0,1440.0,3720.0,2050.0,2.0,20.0,46.794769573447475,72.69043281769291,-25.895663244245423,qm,-90
9,212,305,17.0,15.0,17.0,0.0,7159.0,1053.0,3780.0,2600.0,9.0,15.333333333333334,74.32700479724487,84.45702963051328,-10.130024833268402,17.0,15.0,17.0,0.0,7159.0,1053.0,3780.0,2600.0,9.0,15.333333333333334,74.32700479724487,84.45702963051328,-10.130024833268402,qm,-93
