,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,205,280,6.0,21.0,15.0,0.0,8762.0,1662.0,4380.0,3500.0,7.0,5.666666666666667,90.08243093276745,85.34938325886121,4.733047673906242,26.0,23.0,13.0,0.0,8731.0,1380.0,4260.0,3500.0,1.0,6.0,88.24513235155433,68.12890772034649,20.11622463120784,qf,-75
1,306,255,24.0,17.0,19.0,0.0,8197.0,1519.0,4300.0,3100.0,7.0,12.333333333333334,71.63070974520339,70.90281425227757,0.7278954929258248,26.0,23.0,13.0,0.0,8731.0,1380.0,4260.0,3500.0,1.0,6.0,88.24513235155433,68.12890772034649,20.11622463120784,qf,51
2,377,375,24.0,17.0,19.0,0.0,8197.0,1519.0,4300.0,3100.0,7.0,12.333333333333334,71.63070974520339,70.90281425227757,0.7278954929258248,29.0,18.0,17.0,0.0,8281.0,1124.0,3860.0,3500.0,6.0,11.333333333333334,85.9069566116558,79.78012358291852,6.126833028737269,qf,2
3,185,375,6.0,21.0,15.0,0.0,8762.0,1662.0,4380.0,3500.0,7.0,5.666666666666667,90.08243093276745,85.34938325886121,4.733047673906242,26.0,23.0,13.0,0.0,8731.0,1380.0,4260.0,3500.0,1.0,6.0,88.24513235155433,68.12890772034649,20.11622463120784,qf,-190
4,472,185,24.0,17.0,19.0,0.0,8197.0,1519.0,4300.0,3100.0,7.0,12.333333333333334,71.63070974520339,70.90281425227757,0.7278954929258248,26.0,23.0,13.0,0.0,8731.0,1380.0,4260.0,3500.0,1.0,6.0,88.24513235155433,68.12890772034649,20.11622463120784,qf,287
5,281,255,24.0,17.0,19.0,0.0,8197.0,1519.0,4300.0,3100.0,7.0,12.333333333333334,71.63070974520339,70.90281425227757,0.7278954929258248,29.0,18.0,17.0,0.0,8281.0,1124.0,3860.0,3500.0,6.0,11.333333333333334,85.9069566116558,79.78012358291852,6.126833028737269,qf,26
6,250,445,24.0,17.0,19.0,0.0,8197.0,1519.0,4300.0,3100.0,7.0,12.333333333333334,71.63070974520339,70.90281425227757,0.7278954929258248,26.0,23.0,13.0,0.0,8731.0,1380.0,4260.0,3500.0,1.0,6.0,88.24513235155433,68.12890772034649,20.11622463120784,qf,-195
7,230,145,16.0,19.0,17.0,0.0,8428.0,1652.0,4300.0,3250.0,8.0,9.333333333333334,78.65026620862571,79.79082591470734,-1.1405597060816344,26.0,17.0,19.0,0.0,7953.0,1513.0,4140.0,3050.0,3.0,13.333333333333334,68.82985082928028,71.8120884204134,-2.982237591133128,qm,85
8,211,260,24.0,14.0,22.0,0.0,7999.0,1692.0,4000.0,3350.0,14.0,19.666666666666668,65.71234615522633,81.57317758693117,-15.860831431704844,20.0,24.0,12.0,0.0,9203.0,1457.0,4400.0,3800.0,3.0,4.0,102.94205101706662,73.15235510350597,29.789695913560667,qm,-49
9,140,165,25.0,15.0,20.0,0.0,8023.0,1243.0,4020.0,3150.0,3.0,15.0,79.26666123268599,77.98889481606902,1.2777664166169866,15.0,18.0,18.0,0.0,7777.0,1377.0,3900.0,3050.0,2.0,12.666666666666666,61.21226034091125,78.46345767762386,-17.251197336712625,qm,-25
10,165,235,34.0,16.0,20.0,0.0,7979.0,1578.0,4160.0,3050.0,4.0,16.333333333333332,65.79788204296251,70.84520571828595,-5.04732367532344,19.0,18.0,18.0,0.0,8657.0,1686.0,4320.0,3550.0,12.0,13.333333333333334,82.00739591326418,73.56654967354083,8.440846239723356,qm,-70
11,235,280,24.0,18.0,18.0,0.0,8471.0,1503.0,4460.0,3100.0,6.0,8.666666666666666,84.25776850374751,73.18628394034245,11.07148456340505,12.0,19.0,17.0,0.0,8739.0,1594.0,4360.0,3450.0,4.0,8.0,88.70590987284292,84.95108980850875,3.7548200643341594,qm,-45
12,305,240,27.0,19.0,16.0,0.0,8022.0,1627.0,4060.0,3100.0,7.0,8.666666666666666,79.79055728308192,69.75592974375728,10.03462753932464,25.0,20.0,16.0,0.0,8580.0,1403.0,3980.0,3600.0,5.0,9.666666666666666,86.39579783904686,85.28919697755282,1.1066008614940515,qm,65
13,210,205,13.0,19.0,17.0,0.0,8464.0,1772.0,4260.0,3400.0,9.0,10.0,81.87970061961086,85.31816633775567,-3.4384657181448213,24.0,16.0,20.0,0.0,7851.0,1131.0,4020.0,3000.0,1.0,15.666666666666666,59.906376595160445,70.68570470606026,-10.779328110899813,qm,5
14,165,335,23.0,17.0,19.0,0.0,8005.0,1700.0,4040.0,3050.0,5.0,13.0,67.3143118673013,78.9800450548846,-11.665733187583292,25.0,17.0,19.0,0.0,8362.0,1392.0,4180.0,3300.0,2.0,13.0,82.55053225318586,76.20789837275753,6.342633880428356,qm,-170
15,320,185,26.0,19.0,17.0,0.0,8629.0,1199.0,4240.0,3450.0,9.0,8.666666666666666,86.76516044577251,79.40084052573957,7.364319920032943,17.0,23.0,13.0,0.0,8312.0,1301.0,4120.0,3350.0,2.0,6.333333333333333,76.14027599282223,64.93210388106442,11.208172111757806,qm,135
16,196,220,10.0,18.0,18.0,0.0,8330.0,1720.0,4240.0,3350.0,15.0,11.666666666666666,73.02800316268544,80.61784166349263,-7.589838500807185,25.0,16.0,19.0,0.0,7866.0,1624.0,3940.0,3150.0,6.0,14.666666666666666,70.63692658829105,78.89917803733182,-8.262251449040766,qm,-24
17,245,276,21.0,17.0,19.0,0.0,8440.0,1645.0,4260.0,3200.0,5.0,11.0,80.07999883076641,78.71725424804704,1.3627445827193678,24.0,22.0,14.0,0.0,8663.0,1563.0,4440.0,3350.0,8.0,6.666666666666667,82.66227623584682,68.1361168933874,14.52615934245943,qm,-31
18,280,200,25.0,20.0,15.0,0.0,8313.0,1237.0,4020.0,3450.0,3.0,11.0,82.99872201481027,70.3794458139725,12.619276200837781,11.0,16.0,20.0,0.0,8563.0,1633.0,4380.0,3300.0,3.0,11.666666666666666,86.7374559098264,89.00193218714178,-2.2644762773153815,qm,80
19,220,190,20.0,19.0,17.0,0.0,8210.0,1198.0,3920.0,3350.0,5.0,9.666666666666666,71.93436629549095,73.88473336138351,-1.9503670658925714,27.0,15.0,21.0,0.0,7921.0,1186.0,4000.0,3100.0,1.0,16.666666666666668,66.03507046189105,77.61797723949809,-11.582906777607034,qm,30
20,215,370,22.0,15.0,21.0,0.0,7821.0,1753.0,3940.0,3100.0,6.0,18.0,59.94727241666228,91.13062359222754,-31.18335117556525,14.0,20.0,15.0,0.0,8705.0,1515.0,4180.0,3600.0,5.0,6.666666666666667,97.76270924882613,84.86914698617882,12.893562262647302,qm,-155
21,230,206,15.0,18.0,18.0,0.0,8156.0,1701.0,4320.0,3050.0,6.0,10.333333333333334,74.23285646564484,78.06211864386444,-3.829262178219608,30.0,15.0,21.0,0.0,8322.0,1707.0,4360.0,3200.0,12.0,16.333333333333332,77.16885106509571,69.94599459441828,7.2228564706774305,qm,24
22,285,265,10.0,20.0,16.0,0.0,8346.0,1206.0,4040.0,3350.0,1.0,8.0,75.13060310598665,80.4644841026236,-5.333880996636947,31.0,19.0,17.0,0.0,8386.0,1378.0,4060.0,3350.0,6.0,9.333333333333334,79.8816413044586,78.91332518642432,0.9683161180342736,qm,20
23,195,255,25.0,16.0,19.0,0.0,8054.0,1504.0,4100.0,3100.0,4.0,13.0,79.1734309877646,72.65026235293941,6.523168634825201,31.0,18.0,18.0,0.0,8095.0,1758.0,4260.0,3100.0,5.0,12.666666666666666,73.87786638250246,75.43574813506471,-1.5578817525622501,qm,-60
