,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,312,300,17.0,15.0,9.0,0.0,6185.0,1325.0,2960.0,2500.0,145.0,19.0,114.25562990804777,87.33322719772093,26.922402710326836,17.0,15.0,9.0,0.0,6185.0,1325.0,2960.0,2500.0,145.0,19.0,114.25562990804777,87.33322719772093,26.922402710326836,f,12
1,262,235,17.0,15.0,9.0,0.0,6185.0,1325.0,2960.0,2500.0,145.0,19.0,114.25562990804777,87.33322719772093,26.922402710326836,17.0,15.0,9.0,0.0,6185.0,1325.0,2960.0,2500.0,145.0,19.0,114.25562990804777,87.33322719772093,26.922402710326836,f,27
2,299,256,22.0,13.0,10.0,1.0,5530.0,1242.0,2640.0,2250.0,170.0,20.333333333333332,81.68848975843038,70.19289670402536,11.495593054405008,22.0,13.0,10.0,1.0,5530.0,1242.0,2640.0,2250.0,170.0,20.333333333333332,81.68848975843038,70.19289670402536,11.495593054405008,qf,43
3,246,165,22.0,13.0,10.0,1.0,5530.0,1242.0,2640.0,2250.0,170.0,20.333333333333332,81.68848975843038,70.19289670402536,11.495593054405008,22.0,13.0,10.0,1.0,5530.0,1242.0,2640.0,2250.0,170.0,20.333333333333332,81.68848975843038,70.19289670402536,11.495593054405008,qf,81
4,215,255,17.0,17.0,5.0,2.0,5358.0,819.0,2600.0,2250.0,8.0,13.0,93.17849358329657,59.69308570376802,33.48540787952856,17.0,17.0,5.0,2.0,5358.0,819.0,2600.0,2250.0,8.0,13.0,93.17849358329657,59.69308570376802,33.48540787952856,qf,-40
5,245,305,17.0,17.0,5.0,2.0,5358.0,819.0,2600.0,2250.0,8.0,13.0,93.17849358329657,59.69308570376802,33.48540787952856,17.0,17.0,5.0,2.0,5358.0,819.0,2600.0,2250.0,8.0,13.0,93.17849358329657,59.69308570376802,33.48540787952856,qf,-60
6,192,264,19.0,13.0,10.0,1.0,5029.0,1271.0,2740.0,1600.0,134.0,28.666666666666668,62.65745731133493,62.686289287993965,-0.028831976659039544,19.0,13.0,10.0,1.0,5029.0,1271.0,2740.0,1600.0,134.0,28.666666666666668,62.65745731133493,62.686289287993965,-0.028831976659039544,qf,-72
7,257,257,19.0,13.0,10.0,1.0,5029.0,1271.0,2740.0,1600.0,134.0,28.666666666666668,62.65745731133493,62.686289287993965,-0.028831976659039544,19.0,13.0,10.0,1.0,5029.0,1271.0,2740.0,1600.0,134.0,28.666666666666668,62.65745731133493,62.686289287993965,-0.028831976659039544,qf,0
8,292,317,19.0,13.0,10.0,1.0,5029.0,1271.0,2740.0,1600.0,134.0,28.666666666666668,62.65745731133493,62.686289287993965,-0.028831976659039544,19.0,13.0,10.0,1.0,5029.0,1271.0,2740.0,1600.0,134.0,28.666666666666668,62.65745731133493,62.686289287993965,-0.028831976659039544,qf,-25
9,307,375,10.0,16.0,8.0,0.0,5599.0,1297.0,2840.0,2200.0,34.0,16.333333333333332,90.0450676149452,79.23334336369207,10.81172425125313,10.0,16.0,8.0,0.0,5599.0,1297.0,2840.0,2200.0,34.0,16.333333333333332,90.0450676149452,79.23334336369207,10.81172425125313,qf,-68
10,307,445,10.0,16.0,8.0,0.0,5599.0,1297.0,2840.0,2200.0,34.0,16.333333333333332,90.0450676149452,79.23334336369207,10.81172425125313,10.0,16.0,8.0,0.0,5599.0,1297.0,2840.0,2200.0,34.0,16.333333333333332,90.0450676149452,79.23334336369207,10.81172425125313,qf,-138
11,140,235,19.0,7.0,17.0,0.0,4193.0,972.0,2340.0,1350.0,73.0,48.666666666666664,35.82485923460216,75.36586197105368,-39.54100273645152,19.0,7.0,17.0,0.0,4193.0,972.0,2340.0,1350.0,73.0,48.666666666666664,35.82485923460216,75.36586197105368,-39.54100273645152,qm,-95
12,165,95,26.0,9.0,15.0,0.0,4702.0,1126.0,2540.0,1700.0,32.0,40.666666666666664,57.84814142212415,74.03529239250474,-16.187150970380596,26.0,9.0,15.0,0.0,4702.0,1126.0,2540.0,1700.0,32.0,40.666666666666664,57.84814142212415,74.03529239250474,-16.187150970380596,qm,70
13,285,185,18.0,14.0,10.0,0.0,5271.0,874.0,2700.0,2100.0,36.0,24.0,85.49337786094407,70.5505925482181,14.942785312725967,18.0,14.0,10.0,0.0,5271.0,874.0,2700.0,2100.0,36.0,24.0,85.49337786094407,70.5505925482181,14.942785312725967,qm,100
14,105,212,14.0,9.0,15.0,0.0,3859.0,1162.0,2320.0,1100.0,54.0,48.333333333333336,31.979282503138894,62.917810857955466,-30.938528354816583,14.0,9.0,15.0,0.0,3859.0,1162.0,2320.0,1100.0,54.0,48.333333333333336,31.979282503138894,62.917810857955466,-30.938528354816583,qm,-107
15,168,292,24.0,10.0,14.0,0.0,4902.0,836.0,2420.0,1850.0,192.0,38.0,69.7273881929087,85.03709706449304,-15.309708871584332,24.0,10.0,14.0,0.0,4902.0,836.0,2420.0,1850.0,192.0,38.0,69.7273881929087,85.03709706449304,-15.309708871584332,qm,-124
16,255,135,16.0,16.0,8.0,0.0,5427.0,1483.0,2860.0,2150.0,17.0,16.666666666666668,84.51651826415139,61.622188885859124,22.894329378292255,16.0,16.0,8.0,0.0,5427.0,1483.0,2860.0,2150.0,17.0,16.666666666666668,84.51651826415139,61.622188885859124,22.894329378292255,qm,120
17,50,161,21.0,7.0,17.0,0.0,3992.0,860.0,2220.0,1400.0,32.0,54.666666666666664,25.44510581408913,56.01576959858536,-30.57066378449623,21.0,7.0,17.0,0.0,3992.0,860.0,2220.0,1400.0,32.0,54.666666666666664,25.44510581408913,56.01576959858536,-30.57066378449623,qm,-111
18,235,210,20.0,10.0,14.0,0.0,5050.0,1055.0,2800.0,1750.0,10.0,38.0,74.21324275154716,70.94702966276996,3.266213088777197,20.0,10.0,14.0,0.0,5050.0,1055.0,2800.0,1750.0,10.0,38.0,74.21324275154716,70.94702966276996,3.266213088777197,qm,25
19,90,202,27.0,10.0,14.0,0.0,4616.0,1306.0,2640.0,1500.0,71.0,37.0,56.3225667612561,61.780678082394274,-5.458111321138176,27.0,10.0,14.0,0.0,4616.0,1306.0,2640.0,1500.0,71.0,37.0,56.3225667612561,61.780678082394274,-5.458111321138176,qm,-112
20,285,285,17.0,15.0,6.0,3.0,6014.0,1297.0,3040.0,2450.0,64.0,14.666666666666666,95.2348420567364,66.31563742811583,28.919204628620562,17.0,15.0,6.0,3.0,6014.0,1297.0,3040.0,2450.0,64.0,14.666666666666666,95.2348420567364,66.31563742811583,28.919204628620562,qm,0
21,180,288,22.0,10.0,14.0,0.0,4829.0,1110.0,2660.0,1750.0,14.0,40.0,65.51705849691317,84.34388908534694,-18.82683058843378,22.0,10.0,14.0,0.0,4829.0,1110.0,2660.0,1750.0,14.0,40.0,65.51705849691317,84.34388908534694,-18.82683058843378,qm,-108
