,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,319,305,16.0,13.0,8.0,0.0,4959.0,778.0,2560.0,1600.0,69.0,10.333333333333334,101.81908104672704,70.84803580745513,30.971045239271906,19.0,11.0,10.0,0.0,4817.0,913.0,2500.0,1700.0,32.0,16.333333333333332,91.59348441976879,90.36359937927182,1.229885040496967,f,14
1,325,255,16.0,13.0,8.0,0.0,4959.0,778.0,2560.0,1600.0,69.0,10.333333333333334,101.81908104672704,70.84803580745513,30.971045239271906,19.0,11.0,10.0,0.0,4817.0,913.0,2500.0,1700.0,32.0,16.333333333333332,91.59348441976879,90.36359937927182,1.229885040496967,f,70
2,245,180,30.0,12.0,9.0,0.0,4111.0,545.0,2060.0,1500.0,46.0,16.333333333333332,61.51390994428817,65.25744860295153,-3.743538658663359,20.0,6.0,15.0,0.0,3995.0,453.0,2220.0,1350.0,50.0,27.666666666666668,59.04475709930381,90.40242130951577,-31.35766421021197,qm,65
3,235,216,17.0,11.0,10.0,0.0,4768.0,752.0,2560.0,1600.0,28.0,15.0,87.39404356250742,80.30633351448776,7.087710048019656,20.0,8.0,13.0,0.0,4241.0,748.0,2400.0,1300.0,66.0,22.666666666666668,62.13926377796198,82.56501445907621,-20.42575068111422,qm,19
4,165,271,14.0,4.0,10.0,0.0,2791.0,623.0,1620.0,800.0,21.0,30.0,53.8194359383675,89.98714742908435,-36.16771149071685,20.0,11.0,10.0,0.0,4663.0,870.0,2280.0,1750.0,48.0,15.333333333333334,94.65966981704592,76.55554799566384,18.104121821382083,qm,-106
5,115,160,24.0,9.0,12.0,0.0,3870.0,740.0,2120.0,1350.0,35.0,22.333333333333332,47.383577414690116,39.829531716201735,7.5540456984883875,24.0,13.0,8.0,0.0,4327.0,907.0,2300.0,1400.0,2.0,15.0,61.692724278883134,52.45914152183551,9.233582757047612,qm,-45
6,233,285,28.0,7.0,14.0,0.0,3881.0,483.0,2120.0,1300.0,46.0,26.666666666666668,53.310003592726815,80.51028336775197,-27.200279775025148,20.0,13.0,8.0,0.0,4978.0,882.0,2560.0,1900.0,13.0,10.0,90.25294809613354,74.64427023915756,15.608677856975964,qm,-52
7,130,158,19.0,8.0,13.0,0.0,3744.0,394.0,2100.0,1050.0,24.0,25.0,50.09826762533826,49.72313388311221,0.3751337422260477,24.0,11.0,10.0,0.0,4590.0,903.0,2440.0,1500.0,95.0,14.333333333333334,85.8405908700815,72.43497786715058,13.405613002930926,qm,-28
8,85,200,25.0,7.0,14.0,0.0,3752.0,729.0,2160.0,1250.0,47.0,26.666666666666668,53.366939500194256,70.6850949710301,-17.318155470835855,24.0,14.0,7.0,0.0,4814.0,1041.0,2540.0,1650.0,39.0,8.0,83.61176916201846,57.23883991053852,26.372929251479928,qm,-115
9,205,197,23.0,12.0,9.0,0.0,4081.0,634.0,2120.0,1350.0,31.0,16.666666666666668,56.47641138426195,61.26131949846024,-4.784908114198292,22.0,9.0,12.0,0.0,4117.0,711.0,2140.0,1400.0,37.0,22.666666666666668,69.41199590314353,73.90445647583074,-4.492460572687212,qm,8
10,265,145,14.0,10.0,10.0,0.0,4291.0,432.0,2220.0,1450.0,76.0,20.333333333333332,80.4029155051508,69.24489416100671,11.158021344144094,20.0,9.0,12.0,0.0,3986.0,587.0,2140.0,1300.0,26.0,22.333333333333332,55.67141194570802,70.35689218533646,-14.685480239628452,qm,120
11,57,250,16.0,7.0,7.0,0.0,2773.0,590.0,1460.0,1000.0,48.0,24.333333333333332,46.16144594254257,85.65345704806492,-39.49201110552233,20.0,16.0,5.0,0.0,4837.0,913.0,2360.0,1850.0,12.0,5.0,86.58577666317616,45.532856583036256,41.052920080139906,qm,-193
12,85,250,22.0,7.0,14.0,0.0,3363.0,453.0,2000.0,900.0,18.0,28.0,32.116710396365114,74.04618445126611,-41.929474054901,26.0,11.0,10.0,0.0,4300.0,574.0,2060.0,1500.0,35.0,16.333333333333332,75.22586498077148,63.49725175173591,11.728613229035568,qm,-165
13,200,230,16.0,6.0,15.0,0.0,4154.0,893.0,2480.0,1050.0,44.0,26.333333333333332,72.07876402970169,79.0306647040826,-6.951900674380911,23.0,17.0,4.0,0.0,4693.0,916.0,2300.0,1600.0,33.0,3.6666666666666665,73.47353646400389,46.25123701291568,27.222299451088208,qm,-30
14,255,135,22.0,11.0,10.0,0.0,4283.0,537.0,2040.0,1750.0,33.0,17.333333333333332,61.91128154513803,56.978525902867204,4.93275564227083,13.0,5.0,16.0,0.0,3752.0,496.0,2320.0,1000.0,27.0,31.0,43.57857636132277,84.853043308671,-41.27446694734824,qm,120
15,256,281,23.0,7.0,14.0,0.0,4122.0,984.0,2340.0,1250.0,87.0,25.666666666666668,64.38013123462459,71.17691861241428,-6.796787377789684,23.0,14.0,7.0,0.0,4532.0,886.0,2260.0,1800.0,47.0,9.333333333333334,79.13318240080196,59.13069144308319,20.002490957718774,qm,-25
16,305,291,20.0,15.0,6.0,0.0,4664.0,812.0,2380.0,1700.0,54.0,6.333333333333333,71.66378942269809,64.00754500372886,7.656244418969222,17.0,10.0,11.0,0.0,4487.0,660.0,2280.0,1500.0,87.0,19.0,83.15901980546381,87.66520502772306,-4.506185222259241,qm,14
17,205,310,25.0,11.0,10.0,0.0,4418.0,866.0,2400.0,1500.0,28.0,16.666666666666668,80.77858143302554,69.96878504565478,10.809796387370744,16.0,9.0,5.0,0.0,3348.0,655.0,1800.0,1050.0,28.0,18.0,76.14116511455465,65.46251600013359,10.678649114421065,qm,-105
18,130,215,22.0,10.0,11.0,0.0,4136.0,657.0,2240.0,1450.0,36.0,20.0,64.0644937842974,64.15248361553411,-0.08798983123671651,26.0,13.0,7.0,0.0,4439.0,719.0,2240.0,1600.0,14.0,14.333333333333334,79.03767971141244,50.25132602766419,28.786353683748246,qm,-85
19,255,210,22.0,14.0,7.0,0.0,4754.0,668.0,2340.0,1850.0,29.0,8.666666666666666,84.5838459320123,75.82559671978218,8.758249212230105,23.0,9.0,12.0,0.0,4124.0,987.0,2360.0,1250.0,9.0,21.666666666666668,66.82928739866381,74.85840317666616,-8.029115778002343,qm,45
20,153,305,23.0,5.0,16.0,0.0,3899.0,490.0,2100.0,1200.0,74.0,29.0,56.64435139259785,87.08682667349586,-30.442475280898012,19.0,9.0,12.0,0.0,4112.0,827.0,2220.0,1450.0,52.0,22.333333333333332,70.20999823341576,70.76273362452993,-0.5527353911141782,qm,-152
21,250,225,26.0,15.0,6.0,0.0,4340.0,812.0,2240.0,1500.0,60.0,8.333333333333334,71.3322092456512,59.69055110583969,11.64165813981152,16.0,7.0,14.0,0.0,4205.0,634.0,2380.0,1350.0,20.0,25.0,73.60217683214455,83.50699259535912,-9.904815763214572,qm,25
22,90,95,21.0,10.0,11.0,0.0,3972.0,591.0,2280.0,1150.0,37.0,20.666666666666668,49.69675342178743,41.6539802849206,8.042773136866826,15.0,5.0,9.0,0.0,2176.0,326.0,1300.0,550.0,11.0,31.0,17.324129856200848,55.78762682196017,-38.463496965759326,qm,-5
23,292,365,22.0,13.0,7.0,0.0,4816.0,703.0,2300.0,2100.0,31.0,10.666666666666666,95.53061974585823,66.40364422851964,29.126975517338593,26.0,15.0,6.0,0.0,5081.0,906.0,2460.0,1800.0,16.0,6.333333333333333,98.30331247607984,59.8958015519967,38.40751092408314,qm,-73
24,90,105,20.0,9.0,5.0,0.0,2889.0,482.0,1400.0,1000.0,9.0,20.0,51.883285710284376,22.836756897475052,29.046528812809328,17.0,11.0,10.0,0.0,3968.0,613.0,2060.0,1300.0,98.0,19.666666666666668,47.49141707794006,40.975402324363536,6.5160147535765205,qm,-15
25,198,217,14.0,9.0,12.0,0.0,4303.0,549.0,2280.0,1350.0,98.0,22.0,68.62573584485227,74.35125494053614,-5.7255190956838575,28.0,12.0,9.0,0.0,4062.0,806.0,2100.0,1450.0,57.0,16.333333333333332,58.5080558112118,61.367064466870126,-2.859008655658331,qm,-19
26,122,165,22.0,6.0,15.0,0.0,3624.0,624.0,2160.0,950.0,69.0,28.333333333333332,50.440136854639924,66.92802345042851,-16.487886595788584,23.0,13.0,8.0,0.0,4151.0,830.0,2240.0,1400.0,16.0,14.0,53.89402045950245,44.805103236433446,9.088917223068991,qm,-43
27,135,230,11.0,7.0,7.0,0.0,3100.0,420.0,1580.0,1200.0,20.0,23.0,61.860448516703144,74.49490207087759,-12.634453554174435,23.0,8.0,12.0,0.0,3774.0,361.0,1960.0,1350.0,29.0,24.666666666666668,61.604560706215814,69.39907464988792,-7.794513943672108,qm,-95
28,265,155,17.0,11.0,10.0,0.0,4543.0,589.0,2460.0,1400.0,78.0,16.0,78.87720594509081,67.04254883045448,11.834657114636343,24.0,9.0,12.0,0.0,4077.0,859.0,2240.0,1300.0,27.0,23.333333333333332,67.47532891167826,81.33110264184143,-13.855773730163158,qm,110
29,165,90,18.0,10.0,11.0,0.0,4121.0,711.0,2240.0,1150.0,26.0,19.0,62.06265102982062,58.7328984856351,3.329752544185529,23.0,10.0,11.0,0.0,3849.0,463.0,2080.0,1350.0,69.0,21.0,41.11354681893108,73.40033618695344,-32.286789368022355,qm,75
30,255,262,25.0,15.0,6.0,0.0,5165.0,982.0,2560.0,1950.0,30.0,6.0,95.89536051649354,77.57885551389536,18.316505002598152,27.0,13.0,8.0,0.0,4623.0,790.0,2240.0,1700.0,43.0,12.0,91.3560124811951,73.44139624546064,17.914616235734453,qm,-7
