,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,277,288,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,f,-11
1,235,494,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,f,-259
2,215,392,23.0,15.0,12.0,0.0,5924.0,1166.0,2760.0,2250.0,244.0,20.666666666666668,94.85520903824636,65.96005821802277,28.89515082022361,23.0,15.0,12.0,0.0,5924.0,1166.0,2760.0,2250.0,244.0,20.666666666666668,94.85520903824636,65.96005821802277,28.89515082022361,qf,-177
3,215,401,23.0,15.0,12.0,0.0,5924.0,1166.0,2760.0,2250.0,244.0,20.666666666666668,94.85520903824636,65.96005821802277,28.89515082022361,23.0,15.0,12.0,0.0,5924.0,1166.0,2760.0,2250.0,244.0,20.666666666666668,94.85520903824636,65.96005821802277,28.89515082022361,qf,-186
4,260,282,29.0,18.0,9.0,0.0,5892.0,1103.0,2880.0,2450.0,17.0,16.666666666666668,72.92190596230138,52.41100683951518,20.5108991227862,29.0,18.0,9.0,0.0,5892.0,1103.0,2880.0,2450.0,17.0,16.666666666666668,72.92190596230138,52.41100683951518,20.5108991227862,qf,-22
5,235,256,29.0,18.0,9.0,0.0,5892.0,1103.0,2880.0,2450.0,17.0,16.666666666666668,72.92190596230138,52.41100683951518,20.5108991227862,29.0,18.0,9.0,0.0,5892.0,1103.0,2880.0,2450.0,17.0,16.666666666666668,72.92190596230138,52.41100683951518,20.5108991227862,qf,-21
6,310,260,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,qf,50
7,316,205,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,29.0,17.0,10.0,0.0,6524.0,1267.0,3260.0,2600.0,14.0,15.0,97.34835860965164,57.17579490912859,40.17256370052304,qf,111
8,255,260,14.0,15.0,10.0,0.0,5941.0,1253.0,2900.0,2450.0,36.0,24.333333333333332,99.75707338242732,69.28557687593633,30.47149650649098,14.0,15.0,10.0,0.0,5941.0,1253.0,2900.0,2450.0,36.0,24.333333333333332,99.75707338242732,69.28557687593633,30.47149650649098,qf,-5
9,305,305,14.0,15.0,10.0,0.0,5941.0,1253.0,2900.0,2450.0,36.0,24.333333333333332,99.75707338242732,69.28557687593633,30.47149650649098,14.0,15.0,10.0,0.0,5941.0,1253.0,2900.0,2450.0,36.0,24.333333333333332,99.75707338242732,69.28557687593633,30.47149650649098,qf,0
10,300,305,14.0,15.0,10.0,0.0,5941.0,1253.0,2900.0,2450.0,36.0,24.333333333333332,99.75707338242732,69.28557687593633,30.47149650649098,14.0,15.0,10.0,0.0,5941.0,1253.0,2900.0,2450.0,36.0,24.333333333333332,99.75707338242732,69.28557687593633,30.47149650649098,qf,-5
