,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,215,310,44.0,17.0,13.0,0.0,6017.0,1366.0,3240.0,2050.0,57.0,19.0,77.25036937694252,66.59390789765831,10.656461479284204,44.0,17.0,13.0,0.0,6017.0,1366.0,3240.0,2050.0,57.0,19.0,77.25036937694252,66.59390789765831,10.656461479284204,f,-95
1,135,308,40.0,18.0,12.0,0.0,6119.0,1264.0,2960.0,2400.0,89.0,16.666666666666668,78.84495696529375,55.18450594917811,23.660451016115633,40.0,18.0,12.0,0.0,6119.0,1264.0,2960.0,2400.0,89.0,16.666666666666668,78.84495696529375,55.18450594917811,23.660451016115633,f,-173
2,259,371,25.0,18.0,12.0,0.0,6173.0,1572.0,3260.0,2100.0,138.0,15.0,77.64972684300125,57.86353366494822,19.786193178053022,25.0,18.0,12.0,0.0,6173.0,1572.0,3260.0,2100.0,138.0,15.0,77.64972684300125,57.86353366494822,19.786193178053022,qf,-112
3,0,320,25.0,18.0,12.0,0.0,6173.0,1572.0,3260.0,2100.0,138.0,15.0,77.64972684300125,57.86353366494822,19.786193178053022,25.0,18.0,12.0,0.0,6173.0,1572.0,3260.0,2100.0,138.0,15.0,77.64972684300125,57.86353366494822,19.786193178053022,qf,-320
4,238,281,28.0,17.0,13.0,0.0,6176.0,1068.0,3220.0,2100.0,86.0,15.0,83.59882164597433,66.76097458404529,16.837847061929054,28.0,17.0,13.0,0.0,6176.0,1068.0,3220.0,2100.0,86.0,15.0,83.59882164597433,66.76097458404529,16.837847061929054,qf,-43
5,375,256,28.0,17.0,13.0,0.0,6176.0,1068.0,3220.0,2100.0,86.0,15.0,83.59882164597433,66.76097458404529,16.837847061929054,28.0,17.0,13.0,0.0,6176.0,1068.0,3220.0,2100.0,86.0,15.0,83.59882164597433,66.76097458404529,16.837847061929054,qf,119
6,441,245,28.0,17.0,13.0,0.0,6176.0,1068.0,3220.0,2100.0,86.0,15.0,83.59882164597433,66.76097458404529,16.837847061929054,28.0,17.0,13.0,0.0,6176.0,1068.0,3220.0,2100.0,86.0,15.0,83.59882164597433,66.76097458404529,16.837847061929054,qf,196
7,286,261,44.0,17.0,13.0,0.0,6017.0,1366.0,3240.0,2050.0,57.0,19.0,77.25036937694252,66.59390789765831,10.656461479284204,44.0,17.0,13.0,0.0,6017.0,1366.0,3240.0,2050.0,57.0,19.0,77.25036937694252,66.59390789765831,10.656461479284204,qf,25
8,305,210,44.0,17.0,13.0,0.0,6017.0,1366.0,3240.0,2050.0,57.0,19.0,77.25036937694252,66.59390789765831,10.656461479284204,44.0,17.0,13.0,0.0,6017.0,1366.0,3240.0,2050.0,57.0,19.0,77.25036937694252,66.59390789765831,10.656461479284204,qf,95
9,195,239,43.0,15.0,11.0,1.0,5654.0,1097.0,2840.0,2000.0,129.0,26.0,86.26831048070619,81.34834276934795,4.9199677113582325,43.0,15.0,11.0,1.0,5654.0,1097.0,2840.0,2000.0,129.0,26.0,86.26831048070619,81.34834276934795,4.9199677113582325,qf,-44
10,185,305,43.0,15.0,11.0,1.0,5654.0,1097.0,2840.0,2000.0,129.0,26.0,86.26831048070619,81.34834276934795,4.9199677113582325,43.0,15.0,11.0,1.0,5654.0,1097.0,2840.0,2000.0,129.0,26.0,86.26831048070619,81.34834276934795,4.9199677113582325,qf,-120
11,160,175,22.0,13.0,17.0,0.0,5664.0,853.0,3060.0,1950.0,49.0,32.333333333333336,53.499193943539446,64.51624887118489,-11.017054927645434,22.0,13.0,17.0,0.0,5664.0,853.0,3060.0,1950.0,49.0,32.333333333333336,53.499193943539446,64.51624887118489,-11.017054927645434,qm,-15
12,245,94,26.0,18.0,12.0,0.0,6217.0,1431.0,3480.0,1900.0,72.0,16.333333333333332,76.83133490362549,51.98308508702558,24.848249816599928,26.0,18.0,12.0,0.0,6217.0,1431.0,3480.0,1900.0,72.0,16.333333333333332,76.83133490362549,51.98308508702558,24.848249816599928,qm,151
13,209,347,21.0,15.0,14.0,0.0,5793.0,876.0,3060.0,2150.0,53.0,25.333333333333332,73.45374863787269,79.29792332691181,-5.844174689039124,21.0,15.0,14.0,0.0,5793.0,876.0,3060.0,2150.0,53.0,25.333333333333332,73.45374863787269,79.29792332691181,-5.844174689039124,qm,-138
14,200,195,13.0,15.0,13.0,1.0,5133.0,1181.0,3120.0,1450.0,38.0,28.0,54.47536256382097,65.46093864888871,-10.985576085067734,13.0,15.0,13.0,1.0,5133.0,1181.0,3120.0,1450.0,38.0,28.0,54.47536256382097,65.46093864888871,-10.985576085067734,qm,5
15,166,148,32.0,14.0,15.0,0.0,5292.0,1079.0,2740.0,2000.0,87.0,27.0,58.5543781917364,70.0618290643733,-11.507450872636896,32.0,14.0,15.0,0.0,5292.0,1079.0,2740.0,2000.0,87.0,27.0,58.5543781917364,70.0618290643733,-11.507450872636896,qm,18
16,210,225,20.0,13.0,17.0,0.0,5730.0,984.0,3060.0,1900.0,85.0,27.0,68.13886597368334,62.053370557533334,6.085495416150003,20.0,13.0,17.0,0.0,5730.0,984.0,3060.0,1900.0,85.0,27.0,68.13886597368334,62.053370557533334,6.085495416150003,qm,-15
