,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,466,257,25.0,23.0,13.0,0.0,10941.0,2260.0,5680.0,4400.0,106.0,17.333333333333332,103.94202174585023,86.357791870539,17.584229875311216,25.0,23.0,13.0,0.0,10941.0,2260.0,5680.0,4400.0,106.0,17.333333333333332,103.94202174585023,86.357791870539,17.584229875311216,f,209
1,460,446,25.0,23.0,13.0,0.0,10941.0,2260.0,5680.0,4400.0,106.0,17.333333333333332,103.94202174585023,86.357791870539,17.584229875311216,25.0,23.0,13.0,0.0,10941.0,2260.0,5680.0,4400.0,106.0,17.333333333333332,103.94202174585023,86.357791870539,17.584229875311216,f,14
2,225,277,52.0,19.0,16.0,1.0,11271.0,2412.0,5600.0,4750.0,161.0,25.333333333333332,112.03375922637149,95.68601259267554,16.347746633695962,52.0,19.0,16.0,1.0,11271.0,2412.0,5600.0,4750.0,161.0,25.333333333333332,112.03375922637149,95.68601259267554,16.347746633695962,qf,-52
3,445,468,52.0,19.0,16.0,1.0,11271.0,2412.0,5600.0,4750.0,161.0,25.333333333333332,112.03375922637149,95.68601259267554,16.347746633695962,52.0,19.0,16.0,1.0,11271.0,2412.0,5600.0,4750.0,161.0,25.333333333333332,112.03375922637149,95.68601259267554,16.347746633695962,qf,-23
4,317,308,20.0,21.0,15.0,0.0,10842.0,2770.0,5640.0,4250.0,297.0,23.333333333333332,102.24583128978396,101.11058141462057,1.1352498751634006,20.0,21.0,15.0,0.0,10842.0,2770.0,5640.0,4250.0,297.0,23.333333333333332,102.24583128978396,101.11058141462057,1.1352498751634006,qf,9
5,300,452,20.0,21.0,15.0,0.0,10842.0,2770.0,5640.0,4250.0,297.0,23.333333333333332,102.24583128978396,101.11058141462057,1.1352498751634006,20.0,21.0,15.0,0.0,10842.0,2770.0,5640.0,4250.0,297.0,23.333333333333332,102.24583128978396,101.11058141462057,1.1352498751634006,qf,-152
6,242,458,20.0,21.0,15.0,0.0,10842.0,2770.0,5640.0,4250.0,297.0,23.333333333333332,102.24583128978396,101.11058141462057,1.1352498751634006,20.0,21.0,15.0,0.0,10842.0,2770.0,5640.0,4250.0,297.0,23.333333333333332,102.24583128978396,101.11058141462057,1.1352498751634006,qf,-216
7,452,460,49.0,17.0,18.0,1.0,11119.0,2212.0,5640.0,4550.0,214.0,26.666666666666668,113.68984808854407,99.30099265572487,14.388855432819208,49.0,17.0,18.0,1.0,11119.0,2212.0,5640.0,4550.0,214.0,26.666666666666668,113.68984808854407,99.30099265572487,14.388855432819208,qf,-8
8,296,460,49.0,17.0,18.0,1.0,11119.0,2212.0,5640.0,4550.0,214.0,26.666666666666668,113.68984808854407,99.30099265572487,14.388855432819208,49.0,17.0,18.0,1.0,11119.0,2212.0,5640.0,4550.0,214.0,26.666666666666668,113.68984808854407,99.30099265572487,14.388855432819208,qf,-164
9,395,166,52.0,20.0,16.0,0.0,10728.0,2230.0,5620.0,4300.0,173.0,22.666666666666668,92.41316732617418,92.18616299174539,0.22700433442878895,52.0,20.0,16.0,0.0,10728.0,2230.0,5620.0,4300.0,173.0,22.666666666666668,92.41316732617418,92.18616299174539,0.22700433442878895,qf,229
10,447,456,52.0,20.0,16.0,0.0,10728.0,2230.0,5620.0,4300.0,173.0,22.666666666666668,92.41316732617418,92.18616299174539,0.22700433442878895,52.0,20.0,16.0,0.0,10728.0,2230.0,5620.0,4300.0,173.0,22.666666666666668,92.41316732617418,92.18616299174539,0.22700433442878895,qf,-9
11,314,445,52.0,20.0,16.0,0.0,10728.0,2230.0,5620.0,4300.0,173.0,22.666666666666668,92.41316732617418,92.18616299174539,0.22700433442878895,52.0,20.0,16.0,0.0,10728.0,2230.0,5620.0,4300.0,173.0,22.666666666666668,92.41316732617418,92.18616299174539,0.22700433442878895,qf,-131
12,345,295,30.0,18.0,17.0,1.0,10882.0,2633.0,5720.0,4350.0,117.0,27.0,105.96773335086476,111.32419618199894,-5.356462831134171,30.0,18.0,17.0,1.0,10882.0,2633.0,5720.0,4350.0,117.0,27.0,105.96773335086476,111.32419618199894,-5.356462831134171,qm,50
13,218,259,32.0,11.0,25.0,0.0,10019.0,2282.0,5040.0,4200.0,134.0,49.0,86.52836358547411,100.63447955299108,-14.106115967516976,32.0,11.0,25.0,0.0,10019.0,2282.0,5040.0,4200.0,134.0,49.0,86.52836358547411,100.63447955299108,-14.106115967516976,qm,-41
14,284,343,45.0,16.0,20.0,0.0,10904.0,2217.0,5600.0,4450.0,229.0,31.666666666666668,102.06972677925665,107.29846563398213,-5.228738854725482,45.0,16.0,20.0,0.0,10904.0,2217.0,5600.0,4450.0,229.0,31.666666666666668,102.06972677925665,107.29846563398213,-5.228738854725482,qm,-59
15,345,140,53.0,22.0,13.0,1.0,11291.0,2543.0,5780.0,4550.0,281.0,15.0,106.55720269610588,82.76394647802239,23.79325621808349,53.0,22.0,13.0,1.0,11291.0,2543.0,5780.0,4550.0,281.0,15.0,106.55720269610588,82.76394647802239,23.79325621808349,qm,205
16,244,266,19.0,15.0,21.0,0.0,10626.0,1939.0,5080.0,4600.0,291.0,44.666666666666664,97.00872908162626,90.29613016128228,6.712598920343983,19.0,15.0,21.0,0.0,10626.0,1939.0,5080.0,4600.0,291.0,44.666666666666664,97.00872908162626,90.29613016128228,6.712598920343983,qm,-22
