,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,290,292,33.0,21.0,15.0,0.0,9390.0,1577.0,4300.0,4450.0,40.0,5.0,93.81156086922584,82.88221722732169,10.929343641904145,20.0,17.0,19.0,0.0,9123.0,1703.0,4540.0,3950.0,68.0,6.666666666666667,80.69708990019353,78.32750752415501,2.3695823760385104,f,-2
1,305,214,33.0,21.0,15.0,0.0,9390.0,1577.0,4300.0,4450.0,40.0,5.0,93.81156086922584,82.88221722732169,10.929343641904145,20.0,17.0,19.0,0.0,9123.0,1703.0,4540.0,3950.0,68.0,6.666666666666667,80.69708990019353,78.32750752415501,2.3695823760385104,f,91
2,305,191,33.0,21.0,15.0,0.0,9390.0,1577.0,4300.0,4450.0,40.0,5.0,93.81156086922584,82.88221722732169,10.929343641904145,20.0,17.0,19.0,0.0,9123.0,1703.0,4540.0,3950.0,68.0,6.666666666666667,80.69708990019353,78.32750752415501,2.3695823760385104,f,114
3,285,262,21.0,21.0,15.0,0.0,9508.0,1574.0,4460.0,4400.0,38.0,4.666666666666667,95.43754953337151,81.7225796060584,13.714969927313092,33.0,17.0,19.0,0.0,9279.0,1940.0,4500.0,4150.0,94.0,6.333333333333333,87.38283342400867,85.69964191645461,1.683191507554047,qm,23
4,300,285,16.0,18.0,18.0,0.0,8644.0,1737.0,4180.0,3950.0,14.0,6.666666666666667,71.54030433840647,86.39495797520475,-14.854653636798275,24.0,18.0,18.0,0.0,9568.0,1696.0,4420.0,4500.0,53.0,6.333333333333333,100.35299854504058,90.26170160920731,10.091296935833276,qm,15
5,185,215,25.0,16.0,20.0,0.0,8643.0,1679.0,4160.0,3950.0,18.0,7.333333333333333,70.03756903871127,78.40221843413046,-8.364649395419194,35.0,19.0,17.0,0.0,9184.0,1808.0,4380.0,4200.0,44.0,6.333333333333333,89.54387894511824,90.40864567839242,-0.864766733274171,qm,-30
6,233,215,18.0,21.0,15.0,0.0,9311.0,1809.0,4540.0,4150.0,71.0,4.333333333333333,89.10254025005077,81.31304893906015,7.789491310990613,29.0,16.0,20.0,0.0,9243.0,1700.0,4260.0,4350.0,38.0,8.0,88.17712287723087,86.73719805952801,1.4399248177028408,qm,18
7,297,300,36.0,18.0,18.0,0.0,9424.0,1605.0,4340.0,4400.0,84.0,6.333333333333333,93.6932031235358,80.14343829414827,13.549764829387522,14.0,19.0,17.0,0.0,9165.0,1901.0,4420.0,4200.0,45.0,5.666666666666667,86.95466503479541,90.89022342723523,-3.935558392439821,qm,-3
8,215,305,25.0,14.0,22.0,0.0,8611.0,1829.0,4120.0,3950.0,16.0,9.333333333333334,69.78880484645599,89.77380409548391,-19.984999249027933,32.0,21.0,15.0,0.0,9181.0,1661.0,4460.0,4100.0,26.0,4.666666666666667,86.42443810632393,76.05364529424362,10.37079281208032,qm,-90
9,300,260,30.0,19.0,17.0,0.0,9032.0,1940.0,4280.0,4200.0,42.0,5.666666666666667,83.73497502641176,92.1313200343139,-8.396345007902147,23.0,15.0,21.0,0.0,8863.0,1555.0,4220.0,4050.0,28.0,8.333333333333334,72.69449155050012,86.62654829450723,-13.932056744007115,qm,40
10,325,302,40.0,18.0,18.0,0.0,9103.0,1753.0,4280.0,4200.0,28.0,7.333333333333333,87.93939476703575,82.68753121004505,5.251863556990685,14.0,20.0,16.0,0.0,9383.0,1748.0,4560.0,4200.0,73.0,4.666666666666667,92.4922497671635,75.41571157224485,17.076538194918665,qm,23
11,285,305,31.0,14.0,22.0,0.0,9037.0,1931.0,4340.0,4100.0,42.0,9.333333333333334,83.90944095312325,94.26362651059874,-10.354185557475475,27.0,24.0,12.0,0.0,9159.0,1784.0,4340.0,4250.0,29.0,3.3333333333333335,87.59490933159513,85.21146549349686,2.3834438380982874,qm,-20
12,199,205,20.0,15.0,21.0,0.0,9157.0,1628.0,4280.0,4250.0,77.0,7.666666666666667,84.37129367178004,80.97597340942362,3.395320262356416,29.0,19.0,17.0,0.0,9028.0,1653.0,4380.0,4050.0,23.0,5.666666666666667,80.98546715461269,76.41004569759183,4.575421457020859,qm,-6
13,315,235,33.0,20.0,16.0,0.0,9447.0,1552.0,4340.0,4450.0,37.0,5.0,95.60756904210062,77.0663388463218,18.54123019577882,32.0,22.0,14.0,0.0,9124.0,1686.0,4420.0,4100.0,29.0,4.666666666666667,84.62842993344917,81.86952367524351,2.7589062582056463,qm,80
14,185,165,25.0,18.0,18.0,0.0,8830.0,1645.0,4180.0,4100.0,20.0,6.666666666666667,78.81295235556372,80.0214858964623,-1.2085335408985785,28.0,16.0,20.0,0.0,8764.0,1837.0,4200.0,4000.0,19.0,8.333333333333334,75.22777579816724,89.41740369213572,-14.189627893968472,qm,20
15,285,300,28.0,12.0,24.0,0.0,8884.0,1923.0,4260.0,4050.0,39.0,10.333333333333334,78.47047000141201,94.62002691394696,-16.149556912534937,14.0,18.0,18.0,0.0,8926.0,1835.0,4320.0,4050.0,66.0,6.0,78.15464213414934,83.30522167559879,-5.150579541449441,qm,-15
16,245,305,33.0,18.0,18.0,0.0,8990.0,1639.0,4100.0,4300.0,30.0,6.333333333333333,81.26996140908646,84.95584894967574,-3.685887540589287,31.0,19.0,17.0,0.0,9210.0,1790.0,4220.0,4400.0,30.0,6.333333333333333,94.29558368229448,80.13213566148309,14.163448020811378,qm,-60
17,264,255,21.0,18.0,18.0,0.0,9340.0,1962.0,4620.0,4100.0,95.0,6.0,87.21281391527954,90.35588267619123,-3.1430687609116794,22.0,17.0,19.0,0.0,8841.0,1605.0,4400.0,3850.0,16.0,7.333333333333333,74.08275210445066,81.41724382376098,-7.334491719310326,qm,9
18,285,265,35.0,22.0,14.0,0.0,9595.0,1764.0,4440.0,4500.0,35.0,4.666666666666667,105.24348179819589,78.13996292494444,27.10351887325143,26.0,12.0,24.0,0.0,8923.0,1677.0,4180.0,4150.0,43.0,10.0,77.60994056216919,95.1656702976561,-17.55572973548693,qm,20
19,145,258,16.0,18.0,18.0,0.0,8644.0,1737.0,4180.0,3950.0,14.0,6.666666666666667,71.54030433840647,86.39495797520475,-14.854653636798275,30.0,20.0,16.0,0.0,9219.0,1818.0,4540.0,4050.0,79.0,4.666666666666667,82.46738441233958,77.16051991330572,5.306864499033864,qm,-113
20,305,265,18.0,22.0,14.0,0.0,9550.0,1875.0,4640.0,4300.0,50.0,4.0,97.90256315069682,88.89805069069659,9.004512460000234,31.0,17.0,19.0,0.0,9023.0,1824.0,4200.0,4250.0,28.0,7.0,85.52020036544202,78.51286819915127,7.0073321662907615,qm,40
21,234,265,29.0,14.0,22.0,0.0,9050.0,1591.0,4340.0,4050.0,75.0,8.666666666666666,78.01510475652132,83.53136895798559,-5.516264201464277,29.0,19.0,17.0,0.0,8758.0,1706.0,4160.0,4050.0,18.0,6.333333333333333,75.42324283845096,85.9188232632776,-10.495580424826633,qm,-31
22,135,265,22.0,16.0,20.0,0.0,8597.0,1664.0,4340.0,3700.0,17.0,8.0,63.511360614723436,85.61385474242904,-22.102494127705615,25.0,14.0,22.0,0.0,9102.0,1667.0,4100.0,4400.0,32.0,9.0,87.80061625105668,84.53275987739859,3.267856373658077,qm,-130
23,161,316,30.0,19.0,17.0,0.0,9032.0,1940.0,4280.0,4200.0,42.0,5.666666666666667,83.73497502641176,92.1313200343139,-8.396345007902147,30.0,23.0,13.0,0.0,9650.0,1725.0,4620.0,4350.0,80.0,3.3333333333333335,101.81415921891926,74.5831764569695,27.23098276194977,qm,-155
