,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,195,145,13.0,15.0,15.0,0.0,4098.0,667.0,2160.0,1200.0,28.0,19.666666666666668,63.76572829741294,39.76422977710457,24.00149852030837,17.0,15.0,14.0,1.0,3170.0,546.0,1940.0,550.0,35.0,19.666666666666668,31.476604719139317,38.51589336818992,-7.0392886490506115,f,50
1,230,215,13.0,15.0,15.0,0.0,4098.0,667.0,2160.0,1200.0,28.0,19.666666666666668,63.76572829741294,39.76422977710457,24.00149852030837,17.0,15.0,14.0,1.0,3170.0,546.0,1940.0,550.0,35.0,19.666666666666668,31.476604719139317,38.51589336818992,-7.0392886490506115,f,15
2,145,116,17.0,15.0,14.0,1.0,3170.0,546.0,1940.0,550.0,35.0,19.666666666666668,31.476604719139317,38.51589336818992,-7.0392886490506115,17.0,21.0,9.0,0.0,3954.0,744.0,2240.0,1050.0,179.0,11.0,56.94409694329218,34.05232117626385,22.89177576702833,qf,29
3,170,282,17.0,15.0,14.0,1.0,3170.0,546.0,1940.0,550.0,35.0,19.666666666666668,31.476604719139317,38.51589336818992,-7.0392886490506115,17.0,21.0,9.0,0.0,3954.0,744.0,2240.0,1050.0,179.0,11.0,56.94409694329218,34.05232117626385,22.89177576702833,qf,-112
4,195,165,17.0,15.0,14.0,1.0,3170.0,546.0,1940.0,550.0,35.0,19.666666666666668,31.476604719139317,38.51589336818992,-7.0392886490506115,17.0,21.0,9.0,0.0,3954.0,744.0,2240.0,1050.0,179.0,11.0,56.94409694329218,34.05232117626385,22.89177576702833,qf,30
5,115,195,10.0,18.0,11.0,1.0,3769.0,864.0,2180.0,950.0,24.0,13.0,49.42335136648742,33.10147085835399,16.321880508133432,13.0,18.0,12.0,0.0,3597.0,431.0,1960.0,1050.0,27.0,13.666666666666666,46.80420615758717,26.61982645819464,20.184379699392526,qf,-80
6,215,165,10.0,18.0,11.0,1.0,3769.0,864.0,2180.0,950.0,24.0,13.0,49.42335136648742,33.10147085835399,16.321880508133432,13.0,18.0,12.0,0.0,3597.0,431.0,1960.0,1050.0,27.0,13.666666666666666,46.80420615758717,26.61982645819464,20.184379699392526,qf,50
7,165,195,10.0,18.0,11.0,1.0,3769.0,864.0,2180.0,950.0,24.0,13.0,49.42335136648742,33.10147085835399,16.321880508133432,13.0,18.0,12.0,0.0,3597.0,431.0,1960.0,1050.0,27.0,13.666666666666666,46.80420615758717,26.61982645819464,20.184379699392526,qf,-30
8,145,235,11.0,18.0,9.0,2.0,3129.0,640.0,1860.0,500.0,24.0,12.666666666666666,31.679116060997973,34.91900711444286,-3.239891053444886,11.0,22.0,8.0,0.0,3426.0,330.0,2200.0,550.0,1.0,7.0,50.360908270019515,26.58485782357633,23.776050446443193,qf,-90
9,215,145,8.0,18.0,9.0,2.0,3115.0,479.0,1720.0,600.0,10.0,13.333333333333334,29.780955198115702,41.53364418836106,-11.75268899024536,11.0,22.0,8.0,0.0,3426.0,330.0,2200.0,550.0,1.0,7.0,50.360908270019515,26.58485782357633,23.776050446443193,qf,70
10,100,95,8.0,18.0,9.0,2.0,3115.0,479.0,1720.0,600.0,10.0,13.333333333333334,29.780955198115702,41.53364418836106,-11.75268899024536,11.0,22.0,8.0,0.0,3426.0,330.0,2200.0,550.0,1.0,7.0,50.360908270019515,26.58485782357633,23.776050446443193,qf,5
11,95,195,10.0,19.0,11.0,0.0,3561.0,395.0,2180.0,850.0,31.0,12.666666666666666,39.719158024216085,40.580342399647556,-0.8611843754314693,13.0,15.0,15.0,0.0,4098.0,667.0,2160.0,1200.0,28.0,19.666666666666668,63.76572829741294,39.76422977710457,24.00149852030837,qf,-100
12,135,155,10.0,19.0,11.0,0.0,3561.0,395.0,2180.0,850.0,31.0,12.666666666666666,39.719158024216085,40.580342399647556,-0.8611843754314693,13.0,15.0,15.0,0.0,4098.0,667.0,2160.0,1200.0,28.0,19.666666666666668,63.76572829741294,39.76422977710457,24.00149852030837,qf,-20
13,35,85,14.0,11.0,18.0,1.0,3011.0,601.0,2020.0,350.0,36.0,26.333333333333332,25.696966469694217,38.47469053117624,-12.777724061482033,7.0,19.0,11.0,0.0,3602.0,676.0,2200.0,800.0,27.0,12.333333333333334,44.65895035095435,41.56763096439331,3.0913193865610453,qm,-50
14,150,135,6.0,13.0,16.0,1.0,3752.0,425.0,1920.0,1250.0,7.0,23.333333333333332,53.37126967811548,47.51779116501117,5.853478513104304,8.0,12.0,18.0,0.0,3209.0,394.0,2040.0,750.0,4.0,30.0,38.60445352844739,31.643973956236334,6.960479572211049,qm,15
15,83,100,9.0,16.0,14.0,0.0,3547.0,605.0,2100.0,900.0,32.0,22.0,41.495140401893636,36.58269891990903,4.912441481984609,16.0,19.0,9.0,1.0,3154.0,374.0,1880.0,600.0,4.0,12.333333333333334,40.3327160807414,32.693662525782656,7.639053554958742,qm,-17
16,51,150,5.0,13.0,17.0,0.0,3071.0,413.0,1840.0,600.0,11.0,27.333333333333332,25.188817421741874,44.4565820442289,-19.267764622487032,2.0,14.0,16.0,0.0,3231.0,422.0,1980.0,550.0,31.0,22.333333333333332,42.65791738493821,33.555836483146656,9.102080901791558,qm,-99
17,65,85,11.0,14.0,16.0,0.0,3181.0,731.0,1960.0,700.0,21.0,21.666666666666668,32.01634371504343,30.47594914391155,1.5403945711318865,12.0,13.0,15.0,1.0,2918.0,588.0,1820.0,500.0,33.0,23.0,23.675171933705016,34.808882649496184,-11.133710715791166,qm,-20
18,85,50,9.0,22.0,8.0,0.0,3674.0,523.0,2260.0,750.0,24.0,6.333333333333333,47.765203099783434,28.24718720534598,19.518015894437454,5.0,13.0,16.0,1.0,3263.0,523.0,1980.0,700.0,23.0,24.666666666666668,31.775523671058405,38.942375705092545,-7.166852034034136,qm,35
