,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,297,7.0,14.0,17.0,2.0,6001.0,1444.0,3420.0,1850.0,101.0,19.333333333333332,62.51587187573768,71.11801202181641,-8.60214014607873,18.0,23.0,9.0,1.0,7382.0,1482.0,3740.0,2350.0,517.0,7.333333333333333,100.41846816537168,56.27043332663762,44.148034838734056,f,-42
1,210,354,7.0,14.0,17.0,2.0,6001.0,1444.0,3420.0,1850.0,101.0,19.333333333333332,62.51587187573768,71.11801202181641,-8.60214014607873,18.0,23.0,9.0,1.0,7382.0,1482.0,3740.0,2350.0,517.0,7.333333333333333,100.41846816537168,56.27043332663762,44.148034838734056,f,-144
2,255,293,10.0,20.0,13.0,0.0,6051.0,1180.0,3620.0,1700.0,146.0,11.666666666666666,57.69288195885709,51.09289921443704,6.599982744420046,18.0,23.0,9.0,1.0,7382.0,1482.0,3740.0,2350.0,517.0,7.333333333333333,100.41846816537168,56.27043332663762,44.148034838734056,qf,-38
3,210,370,10.0,20.0,13.0,0.0,6051.0,1180.0,3620.0,1700.0,146.0,11.666666666666666,57.69288195885709,51.09289921443704,6.599982744420046,18.0,23.0,9.0,1.0,7382.0,1482.0,3740.0,2350.0,517.0,7.333333333333333,100.41846816537168,56.27043332663762,44.148034838734056,qf,-160
4,180,308,16.0,17.0,15.0,0.0,6510.0,1185.0,3620.0,2250.0,140.0,15.0,74.39383885310997,56.19265995280816,18.201178900301816,20.0,18.0,15.0,0.0,6433.0,1092.0,3420.0,2300.0,113.0,13.666666666666666,72.82307508879869,50.628092811425994,22.194982277372702,qf,-128
5,110,256,16.0,17.0,15.0,0.0,6510.0,1185.0,3620.0,2250.0,140.0,15.0,74.39383885310997,56.19265995280816,18.201178900301816,20.0,18.0,15.0,0.0,6433.0,1092.0,3420.0,2300.0,113.0,13.666666666666666,72.82307508879869,50.628092811425994,22.194982277372702,qf,-146
6,285,185,7.0,14.0,17.0,2.0,6001.0,1444.0,3420.0,1850.0,101.0,19.333333333333332,62.51587187573768,71.11801202181641,-8.60214014607873,3.0,21.0,12.0,0.0,6887.0,1535.0,3800.0,2350.0,82.0,11.0,87.3726345349912,60.73160605053018,26.64102848446102,qf,100
7,205,195,7.0,14.0,17.0,2.0,6001.0,1444.0,3420.0,1850.0,101.0,19.333333333333332,62.51587187573768,71.11801202181641,-8.60214014607873,3.0,21.0,12.0,0.0,6887.0,1535.0,3800.0,2350.0,82.0,11.0,87.3726345349912,60.73160605053018,26.64102848446102,qf,10
8,325,330,3.0,19.0,13.0,1.0,6232.0,1283.0,3300.0,1850.0,92.0,12.333333333333334,71.23527074303804,53.65650259957676,17.57876814346129,5.0,19.0,14.0,0.0,5961.0,1271.0,3480.0,1650.0,51.0,14.666666666666666,59.591925856913214,54.241542568112685,5.350383288800534,qf,-5
9,250,205,3.0,19.0,13.0,1.0,6232.0,1283.0,3300.0,1850.0,92.0,12.333333333333334,71.23527074303804,53.65650259957676,17.57876814346129,5.0,19.0,14.0,0.0,5961.0,1271.0,3480.0,1650.0,51.0,14.666666666666666,59.591925856913214,54.241542568112685,5.350383288800534,qf,45
