,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,310,255,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,f,55
1,195,305,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,f,-110
2,305,305,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,f,0
3,205,305,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,18.0,21.0,14.0,1.0,8795.0,1900.0,4340.0,3000.0,10.0,10.0,89.03553792579281,73.58144640935069,15.454091516442118,f,-100
4,235,305,12.0,14.0,21.0,0.0,7964.0,1650.0,4400.0,2450.0,29.0,18.666666666666668,76.00755130758425,73.37110523411769,2.6364460734665633,12.0,14.0,21.0,0.0,7964.0,1650.0,4400.0,2450.0,29.0,18.666666666666668,76.00755130758425,73.37110523411769,2.6364460734665633,qf,-70
5,256,300,12.0,14.0,21.0,0.0,7964.0,1650.0,4400.0,2450.0,29.0,18.666666666666668,76.00755130758425,73.37110523411769,2.6364460734665633,12.0,14.0,21.0,0.0,7964.0,1650.0,4400.0,2450.0,29.0,18.666666666666668,76.00755130758425,73.37110523411769,2.6364460734665633,qf,-44
6,135,195,20.0,17.0,17.0,2.0,8239.0,1955.0,4400.0,3100.0,9.0,14.666666666666666,80.2447559281684,75.97083670684111,4.27391922132729,20.0,17.0,17.0,2.0,8239.0,1955.0,4400.0,3100.0,9.0,14.666666666666666,80.2447559281684,75.97083670684111,4.27391922132729,qf,-60
7,255,255,20.0,17.0,17.0,2.0,8239.0,1955.0,4400.0,3100.0,9.0,14.666666666666666,80.2447559281684,75.97083670684111,4.27391922132729,20.0,17.0,17.0,2.0,8239.0,1955.0,4400.0,3100.0,9.0,14.666666666666666,80.2447559281684,75.97083670684111,4.27391922132729,qf,0
8,236,255,20.0,17.0,17.0,2.0,8239.0,1955.0,4400.0,3100.0,9.0,14.666666666666666,80.2447559281684,75.97083670684111,4.27391922132729,20.0,17.0,17.0,2.0,8239.0,1955.0,4400.0,3100.0,9.0,14.666666666666666,80.2447559281684,75.97083670684111,4.27391922132729,qf,-19
9,305,280,10.0,15.0,20.0,1.0,7697.0,1656.0,4020.0,3000.0,12.0,16.0,60.459250791108786,74.79250576240037,-14.333254971291568,10.0,15.0,20.0,1.0,7697.0,1656.0,4020.0,3000.0,12.0,16.0,60.459250791108786,74.79250576240037,-14.333254971291568,qf,25
