,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,286,311,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,f,-25
1,189,280,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,f,-91
2,165,284,9.0,18.0,16.0,2.0,9904.0,2255.0,4920.0,4150.0,134.0,14.333333333333334,90.2713357413253,98.13862165190062,-7.8672859105753234,9.0,18.0,16.0,2.0,9904.0,2255.0,4920.0,4150.0,134.0,14.333333333333334,90.2713357413253,98.13862165190062,-7.8672859105753234,qf,-119
3,255,340,9.0,18.0,16.0,2.0,9904.0,2255.0,4920.0,4150.0,134.0,14.333333333333334,90.2713357413253,98.13862165190062,-7.8672859105753234,9.0,18.0,16.0,2.0,9904.0,2255.0,4920.0,4150.0,134.0,14.333333333333334,90.2713357413253,98.13862165190062,-7.8672859105753234,qf,-85
4,306,449,9.0,18.0,17.0,1.0,9883.0,2574.0,5020.0,3900.0,183.0,13.666666666666666,91.54522320760618,91.62038136883739,-0.07515816123121037,9.0,18.0,17.0,1.0,9883.0,2574.0,5020.0,3900.0,183.0,13.666666666666666,91.54522320760618,91.62038136883739,-0.07515816123121037,qf,-143
5,445,447,9.0,18.0,17.0,1.0,9883.0,2574.0,5020.0,3900.0,183.0,13.666666666666666,91.54522320760618,91.62038136883739,-0.07515816123121037,9.0,18.0,17.0,1.0,9883.0,2574.0,5020.0,3900.0,183.0,13.666666666666666,91.54522320760618,91.62038136883739,-0.07515816123121037,qf,-2
6,476,395,19.0,16.0,20.0,0.0,10182.0,2354.0,5040.0,4350.0,92.0,19.333333333333332,104.70987905766698,102.5077731914951,2.202105866171872,19.0,16.0,20.0,0.0,10182.0,2354.0,5040.0,4350.0,92.0,19.333333333333332,104.70987905766698,102.5077731914951,2.202105866171872,qf,81
7,309,155,19.0,16.0,20.0,0.0,10182.0,2354.0,5040.0,4350.0,92.0,19.333333333333332,104.70987905766698,102.5077731914951,2.202105866171872,19.0,16.0,20.0,0.0,10182.0,2354.0,5040.0,4350.0,92.0,19.333333333333332,104.70987905766698,102.5077731914951,2.202105866171872,qf,154
8,453,236,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,qf,217
9,431,255,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,24.0,17.0,19.0,0.0,9937.0,2276.0,4960.0,4100.0,177.0,17.0,89.78800619453523,85.83549804004265,3.952508154492584,qf,176
10,312,165,28.0,20.0,16.0,0.0,10125.0,2515.0,5040.0,4300.0,125.0,13.666666666666666,98.00546124658638,85.87106958859296,12.134391657993426,28.0,20.0,16.0,0.0,10125.0,2515.0,5040.0,4300.0,125.0,13.666666666666666,98.00546124658638,85.87106958859296,12.134391657993426,qm,147
11,284,350,5.0,16.0,19.0,1.0,10034.0,2383.0,4960.0,4200.0,194.0,17.666666666666668,90.67826817465387,108.19097675543797,-17.512708580784096,5.0,16.0,19.0,1.0,10034.0,2383.0,4960.0,4200.0,194.0,17.666666666666668,90.67826817465387,108.19097675543797,-17.512708580784096,qm,-66
12,185,295,9.0,11.0,24.0,1.0,9257.0,2070.0,4700.0,3600.0,102.0,26.0,75.42355612199493,94.2798896737517,-18.85633355175676,9.0,11.0,24.0,1.0,9257.0,2070.0,4700.0,3600.0,102.0,26.0,75.42355612199493,94.2798896737517,-18.85633355175676,qm,-110
13,348,255,39.0,21.0,14.0,1.0,10251.0,2480.0,4780.0,4150.0,651.0,8.333333333333334,105.77579819897504,81.25336513125029,24.522433067724744,39.0,21.0,14.0,1.0,10251.0,2480.0,4780.0,4150.0,651.0,8.333333333333334,105.77579819897504,81.25336513125029,24.522433067724744,qm,93
14,255,290,16.0,15.0,21.0,0.0,9775.0,2441.0,4860.0,3950.0,155.0,19.666666666666668,86.92612046740237,94.3502217108848,-7.424101243482421,16.0,15.0,21.0,0.0,9775.0,2441.0,4860.0,3950.0,155.0,19.666666666666668,86.92612046740237,94.3502217108848,-7.424101243482421,qm,-35
15,305,170,18.0,13.0,23.0,0.0,9628.0,2178.0,4820.0,3800.0,48.0,24.333333333333332,88.71137076447481,102.9333328676557,-14.22196210318088,18.0,13.0,23.0,0.0,9628.0,2178.0,4820.0,3800.0,48.0,24.333333333333332,88.71137076447481,102.9333328676557,-14.22196210318088,qm,135
16,305,311,19.0,21.0,15.0,0.0,9854.0,2364.0,4880.0,4200.0,119.0,14.0,92.60276255568185,81.71580878102684,10.886953774655003,19.0,21.0,15.0,0.0,9854.0,2364.0,4880.0,4200.0,119.0,14.0,92.60276255568185,81.71580878102684,10.886953774655003,qm,-6
17,350,300,13.0,26.0,10.0,0.0,10612.0,2538.0,5240.0,4300.0,202.0,4.0,113.99276241743225,82.44257256326335,31.55018985416889,13.0,26.0,10.0,0.0,10612.0,2538.0,5240.0,4300.0,202.0,4.0,113.99276241743225,82.44257256326335,31.55018985416889,qm,50
18,250,257,13.0,14.0,21.0,1.0,9567.0,2353.0,4960.0,3850.0,77.0,22.666666666666668,84.5408033513054,85.13153815253412,-0.590734801228713,13.0,14.0,21.0,1.0,9567.0,2353.0,4960.0,3850.0,77.0,22.666666666666668,84.5408033513054,85.13153815253412,-0.590734801228713,qm,-7
19,347,285,16.0,20.0,16.0,0.0,10165.0,2185.0,4960.0,4250.0,165.0,13.333333333333334,102.6662980368244,98.63441498715609,4.031883049668328,16.0,20.0,16.0,0.0,10165.0,2185.0,4960.0,4250.0,165.0,13.333333333333334,102.6662980368244,98.63441498715609,4.031883049668328,qm,62
20,305,255,24.0,14.0,22.0,0.0,9708.0,2144.0,4640.0,4100.0,108.0,20.666666666666668,89.66461891421967,94.13362540493488,-4.469006490715198,24.0,14.0,22.0,0.0,9708.0,2144.0,4640.0,4100.0,108.0,20.666666666666668,89.66461891421967,94.13362540493488,-4.469006490715198,qm,50
21,235,110,5.0,13.0,22.0,1.0,9417.0,1898.0,4680.0,3750.0,132.0,22.333333333333332,80.4332905002481,95.12196676229833,-14.688676262050222,5.0,13.0,22.0,1.0,9417.0,1898.0,4680.0,3750.0,132.0,22.333333333333332,80.4332905002481,95.12196676229833,-14.688676262050222,qm,125
22,243,250,17.0,16.0,19.0,1.0,10014.0,2034.0,4960.0,4200.0,214.0,17.0,89.54245717199512,103.15646510013205,-13.614007928136934,17.0,16.0,19.0,1.0,10014.0,2034.0,4960.0,4200.0,214.0,17.0,89.54245717199512,103.15646510013205,-13.614007928136934,qm,-7
23,284,190,36.0,22.0,13.0,1.0,10115.0,2390.0,5040.0,4150.0,155.0,11.333333333333334,100.25348978862543,83.6641650087191,16.58932477990633,36.0,22.0,13.0,1.0,10115.0,2390.0,5040.0,4150.0,155.0,11.333333333333334,100.25348978862543,83.6641650087191,16.58932477990633,qm,94
