,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,235,9.0,19.0,17.0,0.0,6459.0,1460.0,3700.0,1950.0,24.0,11.666666666666666,79.06716202886714,50.22167176095217,28.845490267914972,9.0,19.0,17.0,0.0,6459.0,1460.0,3700.0,1950.0,24.0,11.666666666666666,79.06716202886714,50.22167176095217,28.845490267914972,f,20
1,305,330,9.0,19.0,17.0,0.0,6459.0,1460.0,3700.0,1950.0,24.0,11.666666666666666,79.06716202886714,50.22167176095217,28.845490267914972,9.0,19.0,17.0,0.0,6459.0,1460.0,3700.0,1950.0,24.0,11.666666666666666,79.06716202886714,50.22167176095217,28.845490267914972,f,-25
2,305,185,9.0,19.0,17.0,0.0,6459.0,1460.0,3700.0,1950.0,24.0,11.666666666666666,79.06716202886714,50.22167176095217,28.845490267914972,9.0,19.0,17.0,0.0,6459.0,1460.0,3700.0,1950.0,24.0,11.666666666666666,79.06716202886714,50.22167176095217,28.845490267914972,f,120
3,185,235,19.0,15.0,17.0,1.0,5477.0,1145.0,3200.0,1250.0,52.0,17.666666666666668,52.1545289803693,54.84262696518047,-2.688097984811172,19.0,15.0,17.0,1.0,5477.0,1145.0,3200.0,1250.0,52.0,17.666666666666668,52.1545289803693,54.84262696518047,-2.688097984811172,qf,-50
4,165,255,19.0,15.0,17.0,1.0,5477.0,1145.0,3200.0,1250.0,52.0,17.666666666666668,52.1545289803693,54.84262696518047,-2.688097984811172,19.0,15.0,17.0,1.0,5477.0,1145.0,3200.0,1250.0,52.0,17.666666666666668,52.1545289803693,54.84262696518047,-2.688097984811172,qf,-90
5,146,153,16.0,15.0,21.0,0.0,6081.0,1456.0,3520.0,1800.0,41.0,18.333333333333332,60.52525222583162,64.03331798574214,-3.5080657599105223,16.0,15.0,21.0,0.0,6081.0,1456.0,3520.0,1800.0,41.0,18.333333333333332,60.52525222583162,64.03331798574214,-3.5080657599105223,qf,-7
6,211,150,16.0,15.0,21.0,0.0,6081.0,1456.0,3520.0,1800.0,41.0,18.333333333333332,60.52525222583162,64.03331798574214,-3.5080657599105223,16.0,15.0,21.0,0.0,6081.0,1456.0,3520.0,1800.0,41.0,18.333333333333332,60.52525222583162,64.03331798574214,-3.5080657599105223,qf,61
7,210,210,16.0,15.0,21.0,0.0,6081.0,1456.0,3520.0,1800.0,41.0,18.333333333333332,60.52525222583162,64.03331798574214,-3.5080657599105223,16.0,15.0,21.0,0.0,6081.0,1456.0,3520.0,1800.0,41.0,18.333333333333332,60.52525222583162,64.03331798574214,-3.5080657599105223,qf,0
8,170,145,6.0,18.0,17.0,1.0,5254.0,1275.0,3320.0,950.0,34.0,13.0,39.10121533773651,42.69856757575318,-3.597352238016667,6.0,18.0,17.0,1.0,5254.0,1275.0,3320.0,950.0,34.0,13.0,39.10121533773651,42.69856757575318,-3.597352238016667,qf,25
9,145,145,6.0,18.0,17.0,1.0,5254.0,1275.0,3320.0,950.0,34.0,13.0,39.10121533773651,42.69856757575318,-3.597352238016667,6.0,18.0,17.0,1.0,5254.0,1275.0,3320.0,950.0,34.0,13.0,39.10121533773651,42.69856757575318,-3.597352238016667,qf,0
