,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,256,255,21.0,23.0,13.0,0.0,8612.0,1606.0,4300.0,3500.0,62.0,9.0,104.27643938656001,75.74731851371088,28.529120872849138,21.0,23.0,13.0,0.0,8612.0,1606.0,4300.0,3500.0,62.0,9.0,104.27643938656001,75.74731851371088,28.529120872849138,f,1
1,195,220,21.0,23.0,13.0,0.0,8612.0,1606.0,4300.0,3500.0,62.0,9.0,104.27643938656001,75.74731851371088,28.529120872849138,21.0,23.0,13.0,0.0,8612.0,1606.0,4300.0,3500.0,62.0,9.0,104.27643938656001,75.74731851371088,28.529120872849138,f,-25
2,256,305,21.0,23.0,13.0,0.0,8612.0,1606.0,4300.0,3500.0,62.0,9.0,104.27643938656001,75.74731851371088,28.529120872849138,21.0,23.0,13.0,0.0,8612.0,1606.0,4300.0,3500.0,62.0,9.0,104.27643938656001,75.74731851371088,28.529120872849138,f,-49
3,290,295,6.0,18.0,17.0,1.0,7909.0,1166.0,3740.0,3100.0,94.0,15.0,77.29291006777147,59.15511993621379,18.13779013155769,6.0,18.0,17.0,1.0,7909.0,1166.0,3740.0,3100.0,94.0,15.0,77.29291006777147,59.15511993621379,18.13779013155769,qf,-5
4,192,256,6.0,18.0,17.0,1.0,7909.0,1166.0,3740.0,3100.0,94.0,15.0,77.29291006777147,59.15511993621379,18.13779013155769,6.0,18.0,17.0,1.0,7909.0,1166.0,3740.0,3100.0,94.0,15.0,77.29291006777147,59.15511993621379,18.13779013155769,qf,-64
5,245,226,24.0,22.0,14.0,0.0,8290.0,1688.0,4080.0,3250.0,40.0,12.0,84.90769315652078,71.77006833875818,13.137624817762605,24.0,22.0,14.0,0.0,8290.0,1688.0,4080.0,3250.0,40.0,12.0,84.90769315652078,71.77006833875818,13.137624817762605,qf,19
6,305,271,24.0,22.0,14.0,0.0,8290.0,1688.0,4080.0,3250.0,40.0,12.0,84.90769315652078,71.77006833875818,13.137624817762605,24.0,22.0,14.0,0.0,8290.0,1688.0,4080.0,3250.0,40.0,12.0,84.90769315652078,71.77006833875818,13.137624817762605,qf,34
7,235,312,8.0,20.0,15.0,1.0,7799.0,1040.0,3860.0,2950.0,14.0,13.333333333333334,75.72395890228837,61.048855455789486,14.675103446498897,8.0,20.0,15.0,1.0,7799.0,1040.0,3860.0,2950.0,14.0,13.333333333333334,75.72395890228837,61.048855455789486,14.675103446498897,qf,-77
8,255,304,8.0,20.0,15.0,1.0,7799.0,1040.0,3860.0,2950.0,14.0,13.333333333333334,75.72395890228837,61.048855455789486,14.675103446498897,8.0,20.0,15.0,1.0,7799.0,1040.0,3860.0,2950.0,14.0,13.333333333333334,75.72395890228837,61.048855455789486,14.675103446498897,qf,-49
9,355,235,12.0,19.0,16.0,1.0,8018.0,1491.0,4100.0,3000.0,43.0,14.666666666666666,76.1513805160468,74.56712316333376,1.5842573527130455,12.0,19.0,16.0,1.0,8018.0,1491.0,4100.0,3000.0,43.0,14.666666666666666,76.1513805160468,74.56712316333376,1.5842573527130455,qf,120
10,355,305,12.0,19.0,16.0,1.0,8018.0,1491.0,4100.0,3000.0,43.0,14.666666666666666,76.1513805160468,74.56712316333376,1.5842573527130455,12.0,19.0,16.0,1.0,8018.0,1491.0,4100.0,3000.0,43.0,14.666666666666666,76.1513805160468,74.56712316333376,1.5842573527130455,qf,50
11,140,195,25.0,14.0,21.0,1.0,7460.0,1078.0,3680.0,2700.0,280.0,21.0,62.89515386477755,77.15156077464296,-14.256406909865417,25.0,14.0,21.0,1.0,7460.0,1078.0,3680.0,2700.0,280.0,21.0,62.89515386477755,77.15156077464296,-14.256406909865417,qm,-55
12,90,231,18.0,13.0,23.0,0.0,7073.0,1123.0,3700.0,2350.0,88.0,23.0,53.087069154593216,76.52116226194464,-23.43409310735142,18.0,13.0,23.0,0.0,7073.0,1123.0,3700.0,2350.0,88.0,23.0,53.087069154593216,76.52116226194464,-23.43409310735142,qm,-141
13,140,145,3.0,16.0,19.0,1.0,7134.0,996.0,3580.0,2600.0,69.0,18.666666666666668,55.41169643859157,60.1011645983041,-4.689468159712533,3.0,16.0,19.0,1.0,7134.0,996.0,3580.0,2600.0,69.0,18.666666666666668,55.41169643859157,60.1011645983041,-4.689468159712533,qm,-5
14,135,305,18.0,19.0,16.0,0.0,7606.0,1733.0,4060.0,2600.0,41.0,15.0,73.41466884082742,87.9307850207371,-14.516116179909673,18.0,19.0,16.0,0.0,7606.0,1733.0,4060.0,2600.0,41.0,15.0,73.41466884082742,87.9307850207371,-14.516116179909673,qm,-170
15,210,180,4.0,23.0,13.0,0.0,8269.0,1671.0,3960.0,3300.0,79.0,10.0,83.97981300159329,68.96553538135065,15.014277620242645,4.0,23.0,13.0,0.0,8269.0,1671.0,3960.0,3300.0,79.0,10.0,83.97981300159329,68.96553538135065,15.014277620242645,qm,30
16,335,185,28.0,23.0,13.0,0.0,8781.0,1822.0,4360.0,3500.0,56.0,10.333333333333334,99.3006146196352,70.25711806895693,29.04349655067827,28.0,23.0,13.0,0.0,8781.0,1822.0,4360.0,3500.0,56.0,10.333333333333334,99.3006146196352,70.25711806895693,29.04349655067827,qm,150
17,209,225,23.0,15.0,21.0,0.0,7665.0,1118.0,3520.0,2850.0,295.0,20.333333333333332,74.08925272452551,77.55425177979168,-3.4649990552661833,23.0,15.0,21.0,0.0,7665.0,1118.0,3520.0,2850.0,295.0,20.333333333333332,74.08925272452551,77.55425177979168,-3.4649990552661833,qm,-16
18,100,100,1.0,15.0,17.0,3.0,6588.0,1218.0,3420.0,2550.0,68.0,21.0,47.2382699480969,66.30858422024362,-19.070314272146714,1.0,15.0,17.0,3.0,6588.0,1218.0,3420.0,2550.0,68.0,21.0,47.2382699480969,66.30858422024362,-19.070314272146714,qm,0
19,255,210,12.0,21.0,15.0,0.0,8131.0,1637.0,3980.0,3100.0,71.0,14.0,83.77065324163664,74.71145419022662,9.059199051410024,12.0,21.0,15.0,0.0,8131.0,1637.0,3980.0,3100.0,71.0,14.0,83.77065324163664,74.71145419022662,9.059199051410024,qm,45
20,145,220,5.0,12.0,20.0,1.0,6147.0,1137.0,3400.0,2000.0,22.0,25.0,40.150655534777336,74.64404940048148,-34.493393865704135,5.0,12.0,20.0,1.0,6147.0,1137.0,3400.0,2000.0,22.0,25.0,40.150655534777336,74.64404940048148,-34.493393865704135,qm,-75
21,95,230,7.0,16.0,19.0,1.0,7016.0,1320.0,3720.0,2450.0,21.0,20.666666666666668,50.97459021826995,68.44897893216347,-17.474388713893518,7.0,16.0,19.0,1.0,7016.0,1320.0,3720.0,2450.0,21.0,20.666666666666668,50.97459021826995,68.44897893216347,-17.474388713893518,qm,-135
22,165,230,5.0,10.0,24.0,1.0,6297.0,1091.0,3420.0,2200.0,82.0,28.333333333333332,34.9548793995905,81.44166043233493,-46.48678103274443,5.0,10.0,24.0,1.0,6297.0,1091.0,3420.0,2200.0,82.0,28.333333333333332,34.9548793995905,81.44166043233493,-46.48678103274443,qm,-65
23,142,256,10.0,16.0,19.0,1.0,7536.0,1400.0,3860.0,2650.0,121.0,19.0,68.7294308389791,65.42431328740777,3.305117551571326,10.0,16.0,19.0,1.0,7536.0,1400.0,3860.0,2650.0,121.0,19.0,68.7294308389791,65.42431328740777,3.305117551571326,qm,-114
24,290,77,7.0,17.0,18.0,1.0,7707.0,1090.0,3600.0,2750.0,67.0,18.0,73.65910554621786,59.33275384979034,14.326351696427515,7.0,17.0,18.0,1.0,7707.0,1090.0,3600.0,2750.0,67.0,18.0,73.65910554621786,59.33275384979034,14.326351696427515,qm,213
25,235,270,15.0,16.0,20.0,0.0,8146.0,1218.0,4080.0,3150.0,61.0,17.666666666666668,86.46569400835999,76.21311065959158,10.252583348768411,15.0,16.0,20.0,0.0,8146.0,1218.0,4080.0,3150.0,61.0,17.666666666666668,86.46569400835999,76.21311065959158,10.252583348768411,qm,-35
26,305,195,9.0,15.0,20.0,0.0,7131.0,1460.0,3880.0,1950.0,86.0,21.333333333333332,53.54767007212586,70.79788824838009,-17.250218176254233,9.0,15.0,20.0,0.0,7131.0,1460.0,3880.0,1950.0,86.0,21.333333333333332,53.54767007212586,70.79788824838009,-17.250218176254233,qm,110
27,195,191,8.0,20.0,15.0,1.0,7326.0,1084.0,3600.0,2750.0,81.0,13.333333333333334,57.90189654942409,58.74015629214663,-0.8382597427225372,8.0,20.0,15.0,1.0,7326.0,1084.0,3600.0,2750.0,81.0,13.333333333333334,57.90189654942409,58.74015629214663,-0.8382597427225372,qm,4
28,285,305,6.0,18.0,18.0,0.0,8069.0,1160.0,3980.0,3100.0,39.0,17.0,79.65122123128974,70.39877193755491,9.252449293734808,6.0,18.0,18.0,0.0,8069.0,1160.0,3980.0,3100.0,39.0,17.0,79.65122123128974,70.39877193755491,9.252449293734808,qm,-20
29,253,195,14.0,20.0,16.0,0.0,7997.0,1417.0,4240.0,3000.0,67.0,14.666666666666666,77.85273586738492,60.94811791318214,16.90461795420278,14.0,20.0,16.0,0.0,7997.0,1417.0,4240.0,3000.0,67.0,14.666666666666666,77.85273586738492,60.94811791318214,16.90461795420278,qm,58
30,280,255,14.0,22.0,14.0,0.0,8109.0,1363.0,3940.0,3350.0,79.0,11.666666666666666,88.70463693137263,66.99467167823617,21.709965253136446,14.0,22.0,14.0,0.0,8109.0,1363.0,3940.0,3350.0,79.0,11.666666666666666,88.70463693137263,66.99467167823617,21.709965253136446,qm,25
31,230,145,8.0,19.0,16.0,1.0,7996.0,1548.0,4200.0,2800.0,36.0,15.0,79.69797730385655,67.07790956767053,12.620067736186016,8.0,19.0,16.0,1.0,7996.0,1548.0,4200.0,2800.0,36.0,15.0,79.69797730385655,67.07790956767053,12.620067736186016,qm,85
