,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,215,255,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,f,-40
1,205,260,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,f,-55
2,260,305,10.0,15.0,20.0,1.0,5510.0,1005.0,3480.0,1250.0,5.0,17.0,45.753264119333856,52.36360433723937,-6.610340217905519,10.0,15.0,20.0,1.0,5510.0,1005.0,3480.0,1250.0,5.0,17.0,45.753264119333856,52.36360433723937,-6.610340217905519,qf,-45
3,185,280,10.0,15.0,20.0,1.0,5510.0,1005.0,3480.0,1250.0,5.0,17.0,45.753264119333856,52.36360433723937,-6.610340217905519,10.0,15.0,20.0,1.0,5510.0,1005.0,3480.0,1250.0,5.0,17.0,45.753264119333856,52.36360433723937,-6.610340217905519,qf,-95
4,145,101,13.0,19.0,17.0,0.0,5911.0,740.0,3180.0,1850.0,6.0,13.666666666666666,53.171780705655785,62.19389886167884,-9.022118156023048,13.0,19.0,17.0,0.0,5911.0,740.0,3180.0,1850.0,6.0,13.666666666666666,53.171780705655785,62.19389886167884,-9.022118156023048,qf,44
5,280,90,13.0,19.0,17.0,0.0,5911.0,740.0,3180.0,1850.0,6.0,13.666666666666666,53.171780705655785,62.19389886167884,-9.022118156023048,13.0,19.0,17.0,0.0,5911.0,740.0,3180.0,1850.0,6.0,13.666666666666666,53.171780705655785,62.19389886167884,-9.022118156023048,qf,190
6,160,115,13.0,16.0,17.0,2.0,5425.0,984.0,2840.0,1650.0,10.0,16.0,42.23004348963608,46.910985987437705,-4.680942497801625,13.0,16.0,17.0,2.0,5425.0,984.0,2840.0,1650.0,10.0,16.0,42.23004348963608,46.910985987437705,-4.680942497801625,qf,45
7,215,255,13.0,16.0,17.0,2.0,5425.0,984.0,2840.0,1650.0,10.0,16.0,42.23004348963608,46.910985987437705,-4.680942497801625,13.0,16.0,17.0,2.0,5425.0,984.0,2840.0,1650.0,10.0,16.0,42.23004348963608,46.910985987437705,-4.680942497801625,qf,-40
8,290,170,13.0,16.0,17.0,2.0,5425.0,984.0,2840.0,1650.0,10.0,16.0,42.23004348963608,46.910985987437705,-4.680942497801625,13.0,16.0,17.0,2.0,5425.0,984.0,2840.0,1650.0,10.0,16.0,42.23004348963608,46.910985987437705,-4.680942497801625,qf,120
9,215,245,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,qf,-30
10,255,235,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,qf,20
11,205,205,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,8.0,19.0,16.0,1.0,5985.0,1070.0,3340.0,1750.0,5.0,12.0,62.68095704295038,51.10802233191678,11.572934711033602,qf,0
12,160,165,13.0,18.0,16.0,1.0,6163.0,1146.0,3400.0,1800.0,8.0,13.333333333333334,66.98091677860252,41.317775183091705,25.66314159551082,13.0,18.0,16.0,1.0,6163.0,1146.0,3400.0,1800.0,8.0,13.333333333333334,66.98091677860252,41.317775183091705,25.66314159551082,qm,-5
13,92,116,7.0,14.0,21.0,1.0,5588.0,1125.0,3200.0,1650.0,28.0,18.666666666666668,43.2120559222727,52.2427199537853,-9.030664031512593,7.0,14.0,21.0,1.0,5588.0,1125.0,3200.0,1650.0,28.0,18.666666666666668,43.2120559222727,52.2427199537853,-9.030664031512593,qm,-24
14,95,86,10.0,15.0,19.0,1.0,5301.0,888.0,3160.0,1300.0,6.0,18.333333333333332,48.93479805053909,41.94633656816766,6.98846148237143,10.0,15.0,19.0,1.0,5301.0,888.0,3160.0,1300.0,6.0,18.333333333333332,48.93479805053909,41.94633656816766,6.98846148237143,qm,9
15,111,230,5.0,12.0,22.0,2.0,5569.0,1060.0,3340.0,1450.0,4.0,21.666666666666668,44.83075493394811,74.82889988794336,-29.99814495399524,5.0,12.0,22.0,2.0,5569.0,1060.0,3340.0,1450.0,4.0,21.666666666666668,44.83075493394811,74.82889988794336,-29.99814495399524,qm,-119
16,50,159,28.0,16.0,19.0,1.0,5857.0,1075.0,3200.0,2000.0,12.0,18.0,51.827959362384185,57.04671970626237,-5.218760343878188,28.0,16.0,19.0,1.0,5857.0,1075.0,3200.0,2000.0,12.0,18.0,51.827959362384185,57.04671970626237,-5.218760343878188,qm,-109
17,120,90,8.0,18.0,15.0,2.0,5349.0,962.0,3080.0,1600.0,4.0,14.333333333333334,38.748001046712616,53.289047924726596,-14.541046878013981,8.0,18.0,15.0,2.0,5349.0,962.0,3080.0,1600.0,4.0,14.333333333333334,38.748001046712616,53.289047924726596,-14.541046878013981,qm,30
18,195,165,22.0,24.0,10.0,2.0,6883.0,1176.0,3460.0,2600.0,13.0,6.0,82.47224366928333,66.72224572387776,15.749997945405566,22.0,24.0,10.0,2.0,6883.0,1176.0,3460.0,2600.0,13.0,6.0,82.47224366928333,66.72224572387776,15.749997945405566,qm,30
