,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,364,511,19.0,23.0,13.0,0.0,11090.0,2451.0,5380.0,4500.0,630.0,12.0,104.87125704117163,99.78311590753322,5.088141133638412,43.0,26.0,10.0,0.0,11366.0,2667.0,5440.0,4400.0,851.0,12.666666666666666,114.39108317068,85.13512131786244,29.25596185281756,f,-147
1,342,510,19.0,23.0,13.0,0.0,11090.0,2451.0,5380.0,4500.0,630.0,12.0,104.87125704117163,99.78311590753322,5.088141133638412,43.0,26.0,10.0,0.0,11366.0,2667.0,5440.0,4400.0,851.0,12.666666666666666,114.39108317068,85.13512131786244,29.25596185281756,f,-168
2,470,515,41.0,20.0,15.0,1.0,10793.0,2095.0,5280.0,4350.0,358.0,23.333333333333332,96.99221151179661,95.35597007681066,1.6362414349859382,43.0,26.0,10.0,0.0,11366.0,2667.0,5440.0,4400.0,851.0,12.666666666666666,114.39108317068,85.13512131786244,29.25596185281756,qf,-45
3,420,517,41.0,20.0,15.0,1.0,10793.0,2095.0,5280.0,4350.0,358.0,23.333333333333332,96.99221151179661,95.35597007681066,1.6362414349859382,43.0,26.0,10.0,0.0,11366.0,2667.0,5440.0,4400.0,851.0,12.666666666666666,114.39108317068,85.13512131786244,29.25596185281756,qf,-97
4,333,475,40.0,21.0,14.0,1.0,11224.0,2217.0,5260.0,4550.0,579.0,16.666666666666668,111.0340805744825,95.74566227440471,15.28841830007778,39.0,16.0,18.0,2.0,11231.0,2466.0,5220.0,4700.0,711.0,25.0,114.33854571063704,111.20311606671567,3.1354296439213605,qf,-142
5,460,515,40.0,21.0,14.0,1.0,11224.0,2217.0,5260.0,4550.0,579.0,16.666666666666668,111.0340805744825,95.74566227440471,15.28841830007778,39.0,16.0,18.0,2.0,11231.0,2466.0,5220.0,4700.0,711.0,25.0,114.33854571063704,111.20311606671567,3.1354296439213605,qf,-55
6,265,268,36.0,21.0,10.0,5.0,11317.0,2300.0,5440.0,4800.0,282.0,11.666666666666666,113.38154741978303,100.12405184443037,13.257495575352673,32.0,22.0,14.0,0.0,11095.0,2199.0,5360.0,4250.0,730.0,9.333333333333334,111.19911187872367,99.09244181399875,12.10667006472491,qf,-3
7,445,317,36.0,21.0,10.0,5.0,11317.0,2300.0,5440.0,4800.0,282.0,11.666666666666666,113.38154741978303,100.12405184443037,13.257495575352673,32.0,22.0,14.0,0.0,11095.0,2199.0,5360.0,4250.0,730.0,9.333333333333334,111.19911187872367,99.09244181399875,12.10667006472491,qf,128
8,255,308,36.0,21.0,10.0,5.0,11317.0,2300.0,5440.0,4800.0,282.0,11.666666666666666,113.38154741978303,100.12405184443037,13.257495575352673,32.0,22.0,14.0,0.0,11095.0,2199.0,5360.0,4250.0,730.0,9.333333333333334,111.19911187872367,99.09244181399875,12.10667006472491,qf,-53
9,482,251,38.0,17.0,17.0,1.0,11394.0,2264.0,5620.0,4850.0,249.0,18.666666666666668,124.04721963740984,106.17342382147125,17.873795815938575,19.0,23.0,13.0,0.0,11090.0,2451.0,5380.0,4500.0,630.0,12.0,104.87125704117163,99.78311590753322,5.088141133638412,qf,231
