,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,470,479,53.0,19.0,11.0,0.0,9220.0,2076.0,4420.0,3500.0,605.0,22.666666666666668,121.6262742993343,97.4325285187859,24.193745780548387,37.0,21.0,7.0,2.0,9849.0,2345.0,4360.0,3750.0,1164.0,7.333333333333333,133.74978662417436,85.55094180529409,48.198844818880275,f,-9
1,427,538,53.0,19.0,11.0,0.0,9220.0,2076.0,4420.0,3500.0,605.0,22.666666666666668,121.6262742993343,97.4325285187859,24.193745780548387,37.0,21.0,7.0,2.0,9849.0,2345.0,4360.0,3750.0,1164.0,7.333333333333333,133.74978662417436,85.55094180529409,48.198844818880275,f,-111
2,470,527,39.0,19.0,11.0,0.0,9193.0,1814.0,4300.0,3800.0,318.0,17.666666666666668,116.0128731000223,75.1313927503652,40.881480349657096,37.0,21.0,7.0,2.0,9849.0,2345.0,4360.0,3750.0,1164.0,7.333333333333333,133.74978662417436,85.55094180529409,48.198844818880275,qf,-57
3,305,523,39.0,19.0,11.0,0.0,9193.0,1814.0,4300.0,3800.0,318.0,17.666666666666668,116.0128731000223,75.1313927503652,40.881480349657096,37.0,21.0,7.0,2.0,9849.0,2345.0,4360.0,3750.0,1164.0,7.333333333333333,133.74978662417436,85.55094180529409,48.198844818880275,qf,-218
4,398,445,22.0,17.0,13.0,0.0,9167.0,1891.0,4580.0,3550.0,472.0,16.0,100.82722381823125,87.4235967310512,13.40362708718004,13.0,20.0,8.0,2.0,9189.0,1970.0,4640.0,3750.0,244.0,10.666666666666666,112.50554840529435,87.94690330212319,24.558645103171163,qf,-47
5,280,420,22.0,17.0,13.0,0.0,9167.0,1891.0,4580.0,3550.0,472.0,16.0,100.82722381823125,87.4235967310512,13.40362708718004,13.0,20.0,8.0,2.0,9189.0,1970.0,4640.0,3750.0,244.0,10.666666666666666,112.50554840529435,87.94690330212319,24.558645103171163,qf,-140
6,445,505,24.0,14.0,14.0,2.0,8996.0,1659.0,4520.0,3550.0,146.0,27.0,115.74660395503874,116.60901502983366,-0.8624110747949297,43.0,21.0,8.0,1.0,9405.0,2134.0,4480.0,3500.0,605.0,17.333333333333332,127.07860483138764,89.5441197476264,37.53448508376125,qf,-60
7,445,310,24.0,14.0,14.0,2.0,8996.0,1659.0,4520.0,3550.0,146.0,27.0,115.74660395503874,116.60901502983366,-0.8624110747949297,43.0,21.0,8.0,1.0,9405.0,2134.0,4480.0,3500.0,605.0,17.333333333333332,127.07860483138764,89.5441197476264,37.53448508376125,qf,135
8,445,452,24.0,14.0,14.0,2.0,8996.0,1659.0,4520.0,3550.0,146.0,27.0,115.74660395503874,116.60901502983366,-0.8624110747949297,53.0,19.0,11.0,0.0,9220.0,2076.0,4420.0,3500.0,605.0,22.666666666666668,121.6262742993343,97.4325285187859,24.193745780548387,qf,-7
9,276,505,25.0,16.0,12.0,2.0,8817.0,2235.0,4600.0,3300.0,252.0,21.333333333333332,101.46212458314493,92.68240985468138,8.779714728463537,15.0,19.0,9.0,2.0,9416.0,1945.0,4380.0,3750.0,526.0,16.0,122.08013332116798,97.07500662769229,25.005126693475685,qf,-229
