,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,252,396,18.0,6.0,9.0,0.0,3407.0,594.0,1680.0,1200.0,107.0,17.0,78.91263859792856,75.2696141498404,3.643024448088177,43.0,5.0,10.0,0.0,3333.0,445.0,1640.0,1350.0,83.0,20.666666666666668,61.24573842547711,83.37377223875546,-22.12803381327836,f,-144
1,301,235,18.0,6.0,9.0,0.0,3407.0,594.0,1680.0,1200.0,107.0,17.0,78.91263859792856,75.2696141498404,3.643024448088177,43.0,5.0,10.0,0.0,3333.0,445.0,1640.0,1350.0,83.0,20.666666666666668,61.24573842547711,83.37377223875546,-22.12803381327836,f,66
2,302,185,18.0,6.0,9.0,0.0,3407.0,594.0,1680.0,1200.0,107.0,17.0,78.91263859792856,75.2696141498404,3.643024448088177,43.0,5.0,10.0,0.0,3333.0,445.0,1640.0,1350.0,83.0,20.666666666666668,61.24573842547711,83.37377223875546,-22.12803381327836,f,117
3,375,249,43.0,5.0,10.0,0.0,3333.0,445.0,1640.0,1350.0,83.0,20.666666666666668,61.24573842547711,83.37377223875546,-22.12803381327836,18.0,6.0,9.0,0.0,2987.0,506.0,1540.0,900.0,257.0,16.333333333333332,37.37305255298445,73.85721588764454,-36.484163334660096,qf,126
4,425,156,43.0,5.0,10.0,0.0,3333.0,445.0,1640.0,1350.0,83.0,20.666666666666668,61.24573842547711,83.37377223875546,-22.12803381327836,18.0,6.0,9.0,0.0,2987.0,506.0,1540.0,900.0,257.0,16.333333333333332,37.37305255298445,73.85721588764454,-36.484163334660096,qf,269
5,276,177,26.0,7.0,8.0,0.0,3425.0,546.0,1680.0,1350.0,125.0,15.333333333333334,85.32963900729393,88.85167629304613,-3.522037285752186,30.0,7.0,8.0,0.0,3785.0,870.0,1740.0,1450.0,325.0,10.333333333333334,85.00358470600754,110.42211832729198,-25.41853362128443,qf,99
6,205,448,26.0,7.0,8.0,0.0,3425.0,546.0,1680.0,1350.0,125.0,15.333333333333334,85.32963900729393,88.85167629304613,-3.522037285752186,30.0,7.0,8.0,0.0,3785.0,870.0,1740.0,1450.0,325.0,10.333333333333334,85.00358470600754,110.42211832729198,-25.41853362128443,qf,-243
7,190,262,26.0,7.0,8.0,0.0,3425.0,546.0,1680.0,1350.0,125.0,15.333333333333334,85.32963900729393,88.85167629304613,-3.522037285752186,30.0,7.0,8.0,0.0,3785.0,870.0,1740.0,1450.0,325.0,10.333333333333334,85.00358470600754,110.42211832729198,-25.41853362128443,qf,-72
8,355,261,20.0,7.0,8.0,0.0,3146.0,736.0,1480.0,1250.0,151.0,15.666666666666666,64.27517769799859,77.57778082781772,-13.302603129819127,36.0,11.0,4.0,0.0,4036.0,872.0,1580.0,1850.0,116.0,10.666666666666666,108.29480631791542,70.38476877340396,37.91003754451147,qf,94
9,340,305,20.0,7.0,8.0,0.0,3146.0,736.0,1480.0,1250.0,151.0,15.666666666666666,64.27517769799859,77.57778082781772,-13.302603129819127,36.0,11.0,4.0,0.0,4036.0,872.0,1580.0,1850.0,116.0,10.666666666666666,108.29480631791542,70.38476877340396,37.91003754451147,qf,35
10,300,206,18.0,6.0,9.0,0.0,3407.0,594.0,1680.0,1200.0,107.0,17.0,78.91263859792856,75.2696141498404,3.643024448088177,47.0,12.0,3.0,0.0,3644.0,567.0,1500.0,1650.0,139.0,7.666666666666667,83.77814114625092,49.83997500440137,33.93816614184954,qf,94
11,320,257,18.0,6.0,9.0,0.0,3407.0,594.0,1680.0,1200.0,107.0,17.0,78.91263859792856,75.2696141498404,3.643024448088177,47.0,12.0,3.0,0.0,3644.0,567.0,1500.0,1650.0,139.0,7.666666666666667,83.77814114625092,49.83997500440137,33.93816614184954,qf,63
12,122,230,13.0,6.0,9.0,0.0,2885.0,422.0,1300.0,1050.0,280.0,18.333333333333332,39.78049766361749,78.11071381589797,-38.33021615228048,13.0,8.0,7.0,0.0,3157.0,447.0,1520.0,1300.0,57.0,15.0,63.484407075207855,62.50961989007254,0.9747871851353077,qm,-108
13,265,190,24.0,10.0,5.0,0.0,3824.0,805.0,1560.0,1900.0,44.0,10.333333333333334,104.93981158853013,66.95849519048562,37.98131639804452,43.0,5.0,10.0,0.0,3333.0,445.0,1640.0,1350.0,83.0,20.666666666666668,61.24573842547711,83.37377223875546,-22.12803381327836,qm,75
14,305,151,21.0,10.0,5.0,0.0,4007.0,748.0,1860.0,1650.0,137.0,9.333333333333334,115.12250302919267,56.04643450521106,59.076068523981604,20.0,6.0,9.0,0.0,2964.0,641.0,1340.0,1200.0,144.0,19.0,49.170146696541146,92.01817204535156,-42.84802534881042,qm,154
15,213,291,16.0,8.0,7.0,0.0,3310.0,598.0,1420.0,1300.0,310.0,11.666666666666666,68.85202885391455,75.18197602252673,-6.329947168612186,56.0,12.0,3.0,0.0,3920.0,674.0,1660.0,1750.0,200.0,6.666666666666667,104.09381093075439,73.1916845523025,30.90212637845187,qm,-78
16,90,261,12.0,3.0,12.0,0.0,2791.0,376.0,1580.0,850.0,61.0,24.0,44.62280208526246,99.50280595660904,-54.880003871346595,39.0,7.0,8.0,0.0,3474.0,547.0,1580.0,1250.0,304.0,15.333333333333334,73.5376962880867,57.97783327853329,15.55986300955342,qm,-171
17,260,217,41.0,9.0,6.0,0.0,3636.0,765.0,1540.0,1600.0,111.0,13.333333333333334,93.60697329747416,88.74961934370519,4.857353953768974,46.0,6.0,9.0,0.0,3728.0,843.0,1720.0,1550.0,108.0,14.333333333333334,89.82594288943682,75.59688918587723,14.229053703559579,qm,43
18,183,265,21.0,5.0,10.0,0.0,3282.0,412.0,1660.0,1200.0,132.0,21.333333333333332,81.80068846628187,82.89193014527912,-1.0912416789972497,38.0,9.0,6.0,0.0,3905.0,798.0,1800.0,1600.0,125.0,12.333333333333334,104.37583786663981,73.34542201862978,31.030415848010026,qm,-82
