,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,230,395,35.0,22.0,10.0,1.0,7166.0,1278.0,3400.0,2900.0,16.0,9.0,93.19536662397154,73.4102130631034,19.785153560868128,35.0,22.0,10.0,1.0,7166.0,1278.0,3400.0,2900.0,16.0,9.0,93.19536662397154,73.4102130631034,19.785153560868128,f,-165
1,355,305,35.0,22.0,10.0,1.0,7166.0,1278.0,3400.0,2900.0,16.0,9.0,93.19536662397154,73.4102130631034,19.785153560868128,35.0,22.0,10.0,1.0,7166.0,1278.0,3400.0,2900.0,16.0,9.0,93.19536662397154,73.4102130631034,19.785153560868128,f,50
2,305,445,35.0,22.0,10.0,1.0,7166.0,1278.0,3400.0,2900.0,16.0,9.0,93.19536662397154,73.4102130631034,19.785153560868128,35.0,22.0,10.0,1.0,7166.0,1278.0,3400.0,2900.0,16.0,9.0,93.19536662397154,73.4102130631034,19.785153560868128,f,-140
3,255,395,21.0,16.0,14.0,3.0,6065.0,995.0,3280.0,2100.0,10.0,19.666666666666668,55.29406739439903,56.91064070412349,-1.616573309724456,21.0,16.0,14.0,3.0,6065.0,995.0,3280.0,2100.0,10.0,19.666666666666668,55.29406739439903,56.91064070412349,-1.616573309724456,qf,-140
4,145,435,21.0,16.0,14.0,3.0,6065.0,995.0,3280.0,2100.0,10.0,19.666666666666668,55.29406739439903,56.91064070412349,-1.616573309724456,21.0,16.0,14.0,3.0,6065.0,995.0,3280.0,2100.0,10.0,19.666666666666668,55.29406739439903,56.91064070412349,-1.616573309724456,qf,-290
5,280,165,60.0,18.0,14.0,1.0,6708.0,1666.0,3860.0,2100.0,8.0,16.0,83.50503723802773,83.7468994807233,-0.241862242695575,60.0,18.0,14.0,1.0,6708.0,1666.0,3860.0,2100.0,8.0,16.0,83.50503723802773,83.7468994807233,-0.241862242695575,qf,115
6,305,269,60.0,18.0,14.0,1.0,6708.0,1666.0,3860.0,2100.0,8.0,16.0,83.50503723802773,83.7468994807233,-0.241862242695575,60.0,18.0,14.0,1.0,6708.0,1666.0,3860.0,2100.0,8.0,16.0,83.50503723802773,83.7468994807233,-0.241862242695575,qf,36
7,185,280,26.0,14.0,18.0,1.0,6981.0,1072.0,3300.0,2900.0,21.0,22.333333333333332,86.26557434944588,78.66441625014598,7.601158099299899,26.0,14.0,18.0,1.0,6981.0,1072.0,3300.0,2900.0,21.0,22.333333333333332,86.26557434944588,78.66441625014598,7.601158099299899,qf,-95
8,185,395,26.0,14.0,18.0,1.0,6981.0,1072.0,3300.0,2900.0,21.0,22.333333333333332,86.26557434944588,78.66441625014598,7.601158099299899,26.0,14.0,18.0,1.0,6981.0,1072.0,3300.0,2900.0,21.0,22.333333333333332,86.26557434944588,78.66441625014598,7.601158099299899,qf,-210
9,305,264,38.0,19.0,12.0,2.0,6915.0,1153.0,3560.0,2600.0,30.0,14.0,79.80652128664993,61.563557709762016,18.242963576887917,38.0,19.0,12.0,2.0,6915.0,1153.0,3560.0,2600.0,30.0,14.0,79.80652128664993,61.563557709762016,18.242963576887917,qf,41
10,255,232,38.0,19.0,12.0,2.0,6915.0,1153.0,3560.0,2600.0,30.0,14.0,79.80652128664993,61.563557709762016,18.242963576887917,38.0,19.0,12.0,2.0,6915.0,1153.0,3560.0,2600.0,30.0,14.0,79.80652128664993,61.563557709762016,18.242963576887917,qf,23
