,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,274,313,39.0,21.0,15.0,0.0,8471.0,1756.0,4140.0,3450.0,101.0,12.333333333333334,87.04462427809828,77.29926322266263,9.74536105543564,43.0,22.0,13.0,0.0,8013.0,2003.0,4340.0,2950.0,63.0,14.666666666666666,84.20238707501652,61.13504767660845,23.067339398408063,f,-39
1,268,310,39.0,21.0,15.0,0.0,8471.0,1756.0,4140.0,3450.0,101.0,12.333333333333334,87.04462427809828,77.29926322266263,9.74536105543564,43.0,22.0,13.0,0.0,8013.0,2003.0,4340.0,2950.0,63.0,14.666666666666666,84.20238707501652,61.13504767660845,23.067339398408063,f,-42
2,265,343,34.0,21.0,15.0,0.0,8621.0,1467.0,4280.0,3550.0,56.0,11.0,96.72253997396064,66.3430496902587,30.379490283701923,43.0,22.0,13.0,0.0,8013.0,2003.0,4340.0,2950.0,63.0,14.666666666666666,84.20238707501652,61.13504767660845,23.067339398408063,qf,-78
3,305,339,28.0,21.0,15.0,0.0,8312.0,1248.0,4000.0,3500.0,67.0,11.333333333333334,86.01432699747308,58.20938004470721,27.804946952765864,43.0,22.0,13.0,0.0,8013.0,2003.0,4340.0,2950.0,63.0,14.666666666666666,84.20238707501652,61.13504767660845,23.067339398408063,qf,-34
4,341,180,40.0,17.0,18.0,1.0,7690.0,1273.0,3740.0,3200.0,30.0,20.0,79.04980403751361,51.03695619475625,28.012847842757356,43.0,23.0,13.0,0.0,8257.0,1369.0,4000.0,3450.0,47.0,10.333333333333334,86.88500797390854,74.92956341827981,11.955444555628723,qf,161
5,144,255,40.0,17.0,18.0,1.0,7690.0,1273.0,3740.0,3200.0,30.0,20.0,79.04980403751361,51.03695619475625,28.012847842757356,43.0,23.0,13.0,0.0,8257.0,1369.0,4000.0,3450.0,47.0,10.333333333333334,86.88500797390854,74.92956341827981,11.955444555628723,qf,-111
6,267,255,40.0,17.0,18.0,1.0,7690.0,1273.0,3740.0,3200.0,30.0,20.0,79.04980403751361,51.03695619475625,28.012847842757356,43.0,23.0,13.0,0.0,8257.0,1369.0,4000.0,3450.0,47.0,10.333333333333334,86.88500797390854,74.92956341827981,11.955444555628723,qf,12
7,259,261,52.0,18.0,18.0,0.0,8026.0,969.0,3880.0,3350.0,76.0,18.333333333333332,88.60551058330226,70.34485738016147,18.26065320314079,40.0,23.0,12.0,1.0,8155.0,1625.0,4200.0,3200.0,95.0,10.666666666666666,80.51015151422045,69.55388708631602,10.956264427904438,qf,-2
8,274,240,52.0,18.0,18.0,0.0,8026.0,969.0,3880.0,3350.0,76.0,18.333333333333332,88.60551058330226,70.34485738016147,18.26065320314079,40.0,23.0,12.0,1.0,8155.0,1625.0,4200.0,3200.0,95.0,10.666666666666666,80.51015151422045,69.55388708631602,10.956264427904438,qf,34
9,308,257,52.0,18.0,18.0,0.0,8026.0,969.0,3880.0,3350.0,76.0,18.333333333333332,88.60551058330226,70.34485738016147,18.26065320314079,40.0,21.0,14.0,1.0,8435.0,1464.0,4400.0,3250.0,35.0,13.666666666666666,88.14089379509721,68.91764068075133,19.223253114345876,qf,51
10,355,185,39.0,21.0,15.0,0.0,8471.0,1756.0,4140.0,3450.0,101.0,12.333333333333334,87.04462427809828,77.29926322266263,9.74536105543564,22.0,20.0,14.0,2.0,8791.0,2032.0,4380.0,3750.0,61.0,12.666666666666666,99.45113162833648,79.8697445999709,19.581387028365583,qf,170
11,342,255,39.0,21.0,15.0,0.0,8471.0,1756.0,4140.0,3450.0,101.0,12.333333333333334,87.04462427809828,77.29926322266263,9.74536105543564,22.0,20.0,14.0,2.0,8791.0,2032.0,4380.0,3750.0,61.0,12.666666666666666,99.45113162833648,79.8697445999709,19.581387028365583,qf,87
12,85,102,30.0,10.0,26.0,0.0,6862.0,947.0,3800.0,2300.0,32.0,32.0,49.43563141381626,61.28654346536663,-11.850912051550372,46.0,18.0,17.0,0.0,6960.0,1372.0,3420.0,2850.0,55.0,20.0,54.237443188331724,71.59739234154381,-17.359949153212074,qm,-17
13,257,180,48.0,20.0,15.0,1.0,8377.0,1796.0,4060.0,3600.0,52.0,14.666666666666666,92.75410995402923,72.95309285834726,19.801017095681974,55.0,15.0,19.0,1.0,7043.0,1062.0,3680.0,2650.0,43.0,23.666666666666668,58.03491557406479,72.01600554409627,-13.981089970031483,qm,77
14,205,285,27.0,15.0,20.0,1.0,7866.0,1506.0,4060.0,3000.0,51.0,23.333333333333332,71.36095992204595,77.903110924143,-6.542151002097036,27.0,18.0,18.0,0.0,7918.0,1240.0,4040.0,3000.0,48.0,17.333333333333332,80.69880621280909,89.32924610790565,-8.630439895096567,qm,-80
15,90,149,41.0,12.0,24.0,0.0,6010.0,1008.0,3340.0,2000.0,35.0,31.333333333333332,20.55874886952724,68.43163385018848,-47.87288498066125,37.0,23.0,13.0,0.0,7545.0,1456.0,3860.0,2950.0,95.0,12.333333333333334,59.182383904822906,63.678135492551796,-4.495751587728883,qm,-59
16,255,220,29.0,17.0,18.0,1.0,7923.0,1590.0,4040.0,3200.0,48.0,19.666666666666668,80.05118779337946,81.64405637269034,-1.5928685793108908,40.0,12.0,23.0,0.0,6839.0,1210.0,3560.0,2600.0,34.0,29.333333333333332,51.057840430114595,67.63492217149819,-16.577081741383605,qm,35
17,160,165,31.0,9.0,26.0,1.0,6732.0,955.0,3400.0,2400.0,42.0,32.333333333333336,46.33570054856153,81.52784778048932,-35.1921472319278,35.0,14.0,21.0,0.0,6991.0,1390.0,3580.0,2700.0,46.0,26.0,62.141676930604724,77.2334491537248,-15.091772223120069,qm,-5
18,265,151,26.0,21.0,14.0,1.0,8294.0,1715.0,3800.0,3650.0,84.0,11.666666666666666,90.29960499762228,67.14779924376636,23.151805753855914,26.0,21.0,15.0,0.0,7925.0,1435.0,3860.0,3300.0,95.0,14.0,71.89546128350018,63.21506125999994,8.680400023500242,qm,114
19,230,205,37.0,16.0,20.0,0.0,7542.0,1015.0,3780.0,3050.0,42.0,21.666666666666668,59.70433076500125,67.21833927481369,-7.514008509812437,40.0,12.0,23.0,1.0,7517.0,1323.0,3960.0,2850.0,27.0,27.333333333333332,71.50346604819406,86.8247449700501,-15.321278921856049,qm,25
20,285,218,51.0,25.0,11.0,0.0,8701.0,1717.0,4400.0,3450.0,56.0,6.666666666666667,98.2688977033015,63.089616700581196,35.17928100272032,30.0,22.0,13.0,1.0,8092.0,1938.0,3940.0,3400.0,117.0,11.333333333333334,83.40178658303518,64.19341657063764,19.208370012397534,qm,67
21,255,115,28.0,22.0,14.0,0.0,8536.0,1656.0,4460.0,3300.0,56.0,14.333333333333334,97.39202930269651,63.604933429893926,33.787095872802574,24.0,13.0,22.0,1.0,6627.0,1017.0,3620.0,2250.0,27.0,28.333333333333332,41.861014742542814,70.25342213084723,-28.392407388304417,qm,140
22,135,255,40.0,14.0,22.0,0.0,7260.0,1165.0,3780.0,2700.0,35.0,25.333333333333332,62.9109916589386,69.72069653534611,-6.809704876407504,45.0,21.0,14.0,1.0,8130.0,1469.0,4080.0,3350.0,40.0,13.666666666666666,86.10177690138603,76.29336403942033,9.808412861965719,qm,-120
23,265,261,41.0,24.0,12.0,0.0,8295.0,1937.0,4060.0,3400.0,130.0,8.333333333333334,84.28226826390093,78.47059519129554,5.811673072605385,44.0,21.0,15.0,0.0,8638.0,1662.0,4180.0,3550.0,113.0,11.666666666666666,97.24565478032355,59.39671994652037,37.84893483380316,qm,4
24,305,157,28.0,19.0,16.0,1.0,8555.0,1857.0,4440.0,3400.0,65.0,15.333333333333334,95.91609709794902,76.6780136771237,19.23808342082531,23.0,15.0,21.0,0.0,6798.0,1227.0,3280.0,2850.0,48.0,24.0,45.332008288686914,78.6406734736324,-33.3086651849455,qm,148
25,145,200,30.0,14.0,21.0,1.0,7361.0,1218.0,3760.0,2900.0,21.0,25.0,51.00641977118704,77.76462266688266,-26.758202895695632,26.0,24.0,12.0,0.0,7750.0,1690.0,4120.0,2850.0,45.0,12.666666666666666,73.26063401957457,31.88294159787654,41.37769242169803,qm,-55
