,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,305,205,49.0,19.0,16.0,1.0,6676.0,1229.0,3500.0,2350.0,31.0,15.666666666666666,79.90280494949526,61.53312316792246,18.369681781572805,49.0,19.0,17.0,0.0,6319.0,868.0,3260.0,2300.0,34.0,14.333333333333334,68.21958058686478,78.9533918657853,-10.733811278920527,f,100
1,281,245,49.0,19.0,16.0,1.0,6676.0,1229.0,3500.0,2350.0,31.0,15.666666666666666,79.90280494949526,61.53312316792246,18.369681781572805,49.0,19.0,17.0,0.0,6319.0,868.0,3260.0,2300.0,34.0,14.333333333333334,68.21958058686478,78.9533918657853,-10.733811278920527,f,36
2,95,280,17.0,20.0,15.0,1.0,5037.0,710.0,2800.0,1600.0,42.0,12.333333333333334,40.00984701944802,35.318192980144715,4.691654039303297,45.0,24.0,11.0,1.0,6938.0,1900.0,3800.0,2350.0,28.0,9.333333333333334,82.57526770467062,50.350529257617886,32.22473844705274,qf,-185
3,205,255,30.0,19.0,15.0,2.0,5239.0,1076.0,3080.0,1600.0,29.0,13.666666666666666,41.040438173133076,38.03326086960488,3.00717730352819,45.0,24.0,11.0,1.0,6938.0,1900.0,3800.0,2350.0,28.0,9.333333333333334,82.57526770467062,50.350529257617886,32.22473844705274,qf,-50
4,235,290,32.0,17.0,13.0,3.0,5252.0,1048.0,3200.0,1450.0,42.0,18.0,56.51665363330614,44.393815258075335,12.122838375230815,49.0,19.0,17.0,0.0,6319.0,868.0,3260.0,2300.0,34.0,14.333333333333334,68.21958058686478,78.9533918657853,-10.733811278920527,qf,-55
5,235,200,32.0,17.0,13.0,3.0,5252.0,1048.0,3200.0,1450.0,42.0,18.0,56.51665363330614,44.393815258075335,12.122838375230815,49.0,19.0,17.0,0.0,6319.0,868.0,3260.0,2300.0,34.0,14.333333333333334,68.21958058686478,78.9533918657853,-10.733811278920527,qf,35
6,145,288,32.0,17.0,13.0,3.0,5252.0,1048.0,3200.0,1450.0,42.0,18.0,56.51665363330614,44.393815258075335,12.122838375230815,49.0,19.0,17.0,0.0,6319.0,868.0,3260.0,2300.0,34.0,14.333333333333334,68.21958058686478,78.9533918657853,-10.733811278920527,qf,-143
7,100,269,27.0,18.0,16.0,2.0,5845.0,972.0,3340.0,1600.0,30.0,14.666666666666666,62.117920345867674,52.28643336293613,9.831486982931539,49.0,19.0,16.0,1.0,6676.0,1229.0,3500.0,2350.0,31.0,15.666666666666666,79.90280494949526,61.53312316792246,18.369681781572805,qf,-169
8,235,321,27.0,18.0,16.0,2.0,5845.0,972.0,3340.0,1600.0,30.0,14.666666666666666,62.117920345867674,52.28643336293613,9.831486982931539,49.0,19.0,16.0,1.0,6676.0,1229.0,3500.0,2350.0,31.0,15.666666666666666,79.90280494949526,61.53312316792246,18.369681781572805,qf,-86
9,305,165,49.0,18.0,16.0,2.0,6253.0,1045.0,3360.0,1950.0,28.0,15.0,65.55694595930622,54.35706819817404,11.19987776113217,39.0,18.0,18.0,0.0,5817.0,1192.0,3240.0,1900.0,22.0,18.666666666666668,56.85602076376256,53.18333919725794,3.6726815665046146,qf,140
10,435,198,49.0,18.0,16.0,2.0,6253.0,1045.0,3360.0,1950.0,28.0,15.0,65.55694595930622,54.35706819817404,11.19987776113217,39.0,18.0,18.0,0.0,5817.0,1192.0,3240.0,1900.0,22.0,18.666666666666668,56.85602076376256,53.18333919725794,3.6726815665046146,qf,237
11,140,140,52.0,20.0,11.0,4.0,6395.0,1112.0,3300.0,2150.0,35.0,12.333333333333334,76.36264392021826,47.8357675174427,28.52687640277556,41.0,18.0,15.0,3.0,5751.0,1039.0,3360.0,1800.0,16.0,14.0,57.56033418896763,38.24260770132572,19.317726487641913,qm,0
