,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,282,306,48.0,7.0,8.0,0.0,3719.0,771.0,1760.0,1550.0,134.0,15.666666666666666,104.81258457938515,107.01073874767896,-2.1981541682938164,50.0,9.0,6.0,0.0,3266.0,895.0,1740.0,1250.0,41.0,15.333333333333334,51.385501201066695,62.62657606215344,-11.241074861086739,f,-24
1,313,306,48.0,7.0,8.0,0.0,3719.0,771.0,1760.0,1550.0,134.0,15.666666666666666,104.81258457938515,107.01073874767896,-2.1981541682938164,50.0,9.0,6.0,0.0,3266.0,895.0,1740.0,1250.0,41.0,15.333333333333334,51.385501201066695,62.62657606215344,-11.241074861086739,f,7
2,460,258,48.0,7.0,8.0,0.0,3719.0,771.0,1760.0,1550.0,134.0,15.666666666666666,104.81258457938515,107.01073874767896,-2.1981541682938164,50.0,9.0,6.0,0.0,3266.0,895.0,1740.0,1250.0,41.0,15.333333333333334,51.385501201066695,62.62657606215344,-11.241074861086739,f,202
3,434,305,25.0,8.0,7.0,0.0,3500.0,737.0,1760.0,1350.0,60.0,16.333333333333332,87.195016439278,58.312199348336485,28.88281709094153,48.0,8.0,7.0,0.0,3894.0,783.0,1940.0,1400.0,49.0,12.666666666666666,122.47463693240127,113.7893784114555,8.685258520945752,qf,129
4,464,400,25.0,8.0,7.0,0.0,3500.0,737.0,1760.0,1350.0,60.0,16.333333333333332,87.195016439278,58.312199348336485,28.88281709094153,48.0,8.0,7.0,0.0,3894.0,783.0,1940.0,1400.0,49.0,12.666666666666666,122.47463693240127,113.7893784114555,8.685258520945752,qf,64
5,258,301,50.0,9.0,6.0,0.0,3266.0,895.0,1740.0,1250.0,41.0,15.333333333333334,51.385501201066695,62.62657606215344,-11.241074861086739,41.0,10.0,5.0,0.0,3686.0,767.0,1820.0,1600.0,26.0,9.333333333333334,117.48106766583214,96.8166965231527,20.66437114267944,qf,-43
6,311,306,50.0,9.0,6.0,0.0,3266.0,895.0,1740.0,1250.0,41.0,15.333333333333334,51.385501201066695,62.62657606215344,-11.241074861086739,30.0,9.0,6.0,0.0,3446.0,622.0,1780.0,1450.0,26.0,13.666666666666666,117.14794699164413,95.93788371873353,21.21006327291059,qf,5
7,307,258,50.0,9.0,6.0,0.0,3266.0,895.0,1740.0,1250.0,41.0,15.333333333333334,51.385501201066695,62.62657606215344,-11.241074861086739,30.0,9.0,6.0,0.0,3446.0,622.0,1780.0,1450.0,26.0,13.666666666666666,117.14794699164413,95.93788371873353,21.21006327291059,qf,49
8,249,307,30.0,7.0,8.0,0.0,3166.0,799.0,1740.0,1100.0,96.0,18.333333333333332,57.277390364572,62.821358808546876,-5.5439684439748715,59.0,8.0,7.0,0.0,3782.0,831.0,2000.0,1450.0,32.0,13.666666666666666,97.3385087036786,82.73724429998934,14.601264403689248,qf,-58
9,257,256,32.0,7.0,8.0,0.0,3276.0,580.0,1720.0,1150.0,46.0,20.666666666666668,72.58515851237102,78.20116808858513,-5.616009576214118,59.0,8.0,7.0,0.0,3782.0,831.0,2000.0,1450.0,32.0,13.666666666666666,97.3385087036786,82.73724429998934,14.601264403689248,qf,1
10,332,311,32.0,7.0,8.0,0.0,3276.0,580.0,1720.0,1150.0,46.0,20.666666666666668,72.58515851237102,78.20116808858513,-5.616009576214118,59.0,8.0,7.0,0.0,3782.0,831.0,2000.0,1450.0,32.0,13.666666666666666,97.3385087036786,82.73724429998934,14.601264403689248,qf,21
11,396,230,48.0,7.0,8.0,0.0,3719.0,771.0,1760.0,1550.0,134.0,15.666666666666666,104.81258457938515,107.01073874767896,-2.1981541682938164,23.0,9.0,6.0,0.0,3464.0,616.0,1820.0,1350.0,14.0,13.333333333333334,67.35204978948819,77.97632806983496,-10.624278280346767,qf,166
12,306,445,48.0,7.0,8.0,0.0,3719.0,771.0,1760.0,1550.0,134.0,15.666666666666666,104.81258457938515,107.01073874767896,-2.1981541682938164,23.0,9.0,6.0,0.0,3464.0,616.0,1820.0,1350.0,14.0,13.333333333333334,67.35204978948819,77.97632806983496,-10.624278280346767,qf,-139
13,491,210,48.0,7.0,8.0,0.0,3719.0,771.0,1760.0,1550.0,134.0,15.666666666666666,104.81258457938515,107.01073874767896,-2.1981541682938164,23.0,9.0,6.0,0.0,3464.0,616.0,1820.0,1350.0,14.0,13.333333333333334,67.35204978948819,77.97632806983496,-10.624278280346767,qf,281
14,231,250,39.0,7.0,8.0,0.0,3304.0,640.0,1780.0,1250.0,64.0,19.666666666666668,88.51703658546444,91.61713937212153,-3.1001027866570845,24.0,8.0,7.0,0.0,3631.0,682.0,1840.0,1400.0,6.0,15.0,97.31216721852597,69.74329371380868,27.568873504717274,qm,-19
15,233,207,17.0,9.0,6.0,0.0,3118.0,566.0,1680.0,1200.0,68.0,16.333333333333332,69.17618935859198,73.65111184928531,-4.474922490693326,38.0,7.0,8.0,0.0,3593.0,825.0,1920.0,1300.0,33.0,18.333333333333332,77.68957081014447,76.77966327034072,0.9099075398037707,qm,26
16,260,240,28.0,8.0,7.0,0.0,3451.0,499.0,1700.0,1200.0,11.0,16.333333333333332,88.89073724881553,91.75644001291732,-2.8657027641017883,40.0,9.0,6.0,0.0,3562.0,640.0,1780.0,1450.0,17.0,12.333333333333334,90.15249620669984,67.40296728639947,22.749528920300367,qm,20
17,216,200,52.0,10.0,5.0,0.0,3558.0,834.0,1760.0,1500.0,28.0,10.666666666666666,86.49267146645523,80.8945557687617,5.5981156976935225,39.0,7.0,8.0,0.0,3509.0,774.0,1900.0,1300.0,44.0,19.0,72.58211924816034,59.507482541189574,13.074636706970766,qm,16
18,216,380,31.0,6.0,9.0,0.0,3152.0,580.0,1560.0,1300.0,42.0,23.666666666666668,72.60875011930789,98.32582018674402,-25.71707006743615,31.0,10.0,5.0,0.0,3945.0,772.0,1900.0,1500.0,25.0,7.666666666666667,118.03972367332825,76.88005868273876,41.15966499058949,qm,-164
19,243,242,47.0,11.0,4.0,0.0,3614.0,712.0,1800.0,1350.0,39.0,7.333333333333333,86.3241287091568,76.99466034737455,9.329468361782245,26.0,5.0,10.0,0.0,3469.0,704.0,1800.0,1400.0,34.0,24.0,78.92668469955181,73.41377968081652,5.512905018735288,qm,1
20,151,158,44.0,4.0,11.0,0.0,3136.0,640.0,1660.0,1150.0,31.0,29.0,49.44555423337197,59.310599737697494,-9.865045504325522,24.0,8.0,7.0,0.0,2937.0,704.0,1600.0,1100.0,62.0,20.0,41.6844115521684,51.92862931175552,-10.244217759587121,qm,-7
21,235,266,53.0,5.0,10.0,0.0,3390.0,574.0,1760.0,1350.0,10.0,24.333333333333332,66.28328285601432,85.26793711582874,-18.984654259814416,21.0,9.0,6.0,0.0,3225.0,687.0,1680.0,1300.0,40.0,15.333333333333334,65.95111424092228,73.48663906246432,-7.5355248215420305,qm,-31
22,280,246,41.0,8.0,7.0,0.0,3766.0,756.0,1900.0,1450.0,11.0,14.333333333333334,94.91873939913417,99.30022971284662,-4.381490313712466,51.0,7.0,8.0,0.0,3407.0,872.0,1740.0,1200.0,197.0,14.333333333333334,75.82821918648101,77.07155742476965,-1.243338238288646,qm,34
23,176,255,10.0,5.0,10.0,0.0,3013.0,365.0,1620.0,1150.0,33.0,27.0,56.448534253206766,94.62535735896763,-38.17682310576087,39.0,8.0,7.0,0.0,3445.0,786.0,1740.0,1400.0,45.0,16.333333333333332,71.17162088714578,66.71635056097065,4.455270326175118,qm,-79
24,265,215,46.0,9.0,6.0,0.0,3714.0,720.0,1880.0,1450.0,34.0,12.0,89.51526116395614,75.02186146442737,14.493399699528766,48.0,6.0,9.0,0.0,3051.0,809.0,1560.0,1250.0,11.0,24.666666666666668,58.31404620536143,72.2114448336795,-13.897398628318067,qm,50
25,255,335,22.0,8.0,7.0,0.0,3749.0,828.0,1880.0,1550.0,24.0,14.333333333333334,97.71703038043647,85.97315726255307,11.743873117883373,66.0,8.0,7.0,0.0,3713.0,715.0,1880.0,1450.0,18.0,14.333333333333334,93.01390537495257,85.20456185315403,7.8093435217985325,qm,-80
26,187,130,28.0,10.0,5.0,0.0,3415.0,572.0,1760.0,1300.0,45.0,11.333333333333334,68.19414006103862,43.256625138598,24.93751492244064,20.0,7.0,8.0,0.0,3190.0,895.0,1640.0,1200.0,115.0,18.0,59.67167499682146,50.21106702594372,9.460607970877751,qm,57
27,305,282,36.0,8.0,7.0,0.0,3457.0,650.0,1780.0,1400.0,37.0,16.0,89.97022089542203,98.5956495413119,-8.625428645889855,54.0,5.0,10.0,0.0,3202.0,606.0,1720.0,1000.0,77.0,25.666666666666668,69.88127435470885,88.02795514254217,-18.14668078783332,qm,23
