,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,375,205,48.0,21.0,15.0,0.0,10162.0,2177.0,5020.0,4200.0,102.0,12.666666666666666,107.36049791066063,86.95996402561336,20.40053388504727,48.0,21.0,15.0,0.0,10162.0,2177.0,5020.0,4200.0,102.0,12.666666666666666,107.36049791066063,86.95996402561336,20.40053388504727,f,170
1,305,440,48.0,21.0,15.0,0.0,10162.0,2177.0,5020.0,4200.0,102.0,12.666666666666666,107.36049791066063,86.95996402561336,20.40053388504727,48.0,21.0,15.0,0.0,10162.0,2177.0,5020.0,4200.0,102.0,12.666666666666666,107.36049791066063,86.95996402561336,20.40053388504727,f,-135
2,285,340,48.0,21.0,15.0,0.0,10162.0,2177.0,5020.0,4200.0,102.0,12.666666666666666,107.36049791066063,86.95996402561336,20.40053388504727,48.0,21.0,15.0,0.0,10162.0,2177.0,5020.0,4200.0,102.0,12.666666666666666,107.36049791066063,86.95996402561336,20.40053388504727,f,-55
3,445,267,52.0,17.0,19.0,0.0,9827.0,2301.0,4820.0,4100.0,47.0,22.333333333333332,104.72734305274916,89.41198420313769,15.315358849611462,52.0,17.0,19.0,0.0,9827.0,2301.0,4820.0,4100.0,47.0,22.333333333333332,104.72734305274916,89.41198420313769,15.315358849611462,qf,178
4,465,298,52.0,17.0,19.0,0.0,9827.0,2301.0,4820.0,4100.0,47.0,22.333333333333332,104.72734305274916,89.41198420313769,15.315358849611462,52.0,17.0,19.0,0.0,9827.0,2301.0,4820.0,4100.0,47.0,22.333333333333332,104.72734305274916,89.41198420313769,15.315358849611462,qf,167
5,395,266,43.0,20.0,15.0,1.0,9426.0,2241.0,4920.0,3600.0,56.0,15.333333333333334,95.31353057207933,75.35118285139865,19.962347720680683,43.0,20.0,15.0,1.0,9426.0,2241.0,4920.0,3600.0,56.0,15.333333333333334,95.31353057207933,75.35118285139865,19.962347720680683,qf,129
6,445,209,43.0,20.0,15.0,1.0,9426.0,2241.0,4920.0,3600.0,56.0,15.333333333333334,95.31353057207933,75.35118285139865,19.962347720680683,43.0,20.0,15.0,1.0,9426.0,2241.0,4920.0,3600.0,56.0,15.333333333333334,95.31353057207933,75.35118285139865,19.962347720680683,qf,236
7,305,445,14.0,22.0,14.0,0.0,9508.0,1798.0,4700.0,3950.0,83.0,14.333333333333334,90.50891396946274,73.32267907211882,17.186234897343923,14.0,22.0,14.0,0.0,9508.0,1798.0,4700.0,3950.0,83.0,14.333333333333334,90.50891396946274,73.32267907211882,17.186234897343923,qf,-140
8,306,310,14.0,22.0,14.0,0.0,9508.0,1798.0,4700.0,3950.0,83.0,14.333333333333334,90.50891396946274,73.32267907211882,17.186234897343923,14.0,22.0,14.0,0.0,9508.0,1798.0,4700.0,3950.0,83.0,14.333333333333334,90.50891396946274,73.32267907211882,17.186234897343923,qf,-4
9,257,314,26.0,23.0,12.0,1.0,9530.0,1952.0,4860.0,3800.0,125.0,11.0,90.95753747090612,91.60723072521762,-0.6496932543115198,26.0,23.0,12.0,1.0,9530.0,1952.0,4860.0,3800.0,125.0,11.0,90.95753747090612,91.60723072521762,-0.6496932543115198,qf,-57
10,288,265,26.0,23.0,12.0,1.0,9530.0,1952.0,4860.0,3800.0,125.0,11.0,90.95753747090612,91.60723072521762,-0.6496932543115198,26.0,23.0,12.0,1.0,9530.0,1952.0,4860.0,3800.0,125.0,11.0,90.95753747090612,91.60723072521762,-0.6496932543115198,qf,23
11,256,211,26.0,23.0,12.0,1.0,9530.0,1952.0,4860.0,3800.0,125.0,11.0,90.95753747090612,91.60723072521762,-0.6496932543115198,26.0,23.0,12.0,1.0,9530.0,1952.0,4860.0,3800.0,125.0,11.0,90.95753747090612,91.60723072521762,-0.6496932543115198,qf,45
12,285,260,15.0,21.0,14.0,1.0,9227.0,1689.0,4500.0,3700.0,92.0,16.0,83.73283050970615,86.73549545569539,-3.002664945989243,15.0,21.0,14.0,1.0,9227.0,1689.0,4500.0,3700.0,92.0,16.0,83.73283050970615,86.73549545569539,-3.002664945989243,qm,25
13,285,255,43.0,19.0,17.0,0.0,9283.0,1947.0,4580.0,3900.0,88.0,20.333333333333332,82.65519492073823,94.66732976773453,-12.012134846996291,43.0,19.0,17.0,0.0,9283.0,1947.0,4580.0,3900.0,88.0,20.333333333333332,82.65519492073823,94.66732976773453,-12.012134846996291,qm,30
14,235,260,45.0,17.0,18.0,1.0,10117.0,2330.0,4900.0,4150.0,187.0,17.666666666666668,107.6667272029468,90.41695839339576,17.249768809551043,45.0,17.0,18.0,1.0,10117.0,2330.0,4900.0,4150.0,187.0,17.666666666666668,107.6667272029468,90.41695839339576,17.249768809551043,qm,-25
15,255,303,29.0,17.0,18.0,1.0,9724.0,2064.0,4700.0,4050.0,94.0,19.666666666666668,91.57084671158925,92.65101548609897,-1.0801687745097013,29.0,17.0,18.0,1.0,9724.0,2064.0,4700.0,4050.0,94.0,19.666666666666668,91.57084671158925,92.65101548609897,-1.0801687745097013,qm,-48
16,252,182,42.0,19.0,17.0,0.0,9385.0,2094.0,4800.0,3750.0,105.0,17.0,86.12402548692249,80.89703245445448,5.226993032468009,42.0,19.0,17.0,0.0,9385.0,2094.0,4800.0,3750.0,105.0,17.0,86.12402548692249,80.89703245445448,5.226993032468009,qm,70
17,268,160,19.0,20.0,16.0,0.0,9586.0,1988.0,4720.0,3850.0,161.0,15.0,93.45846733615242,74.17702223529643,19.28144510085599,19.0,20.0,16.0,0.0,9586.0,1988.0,4720.0,3850.0,161.0,15.0,93.45846733615242,74.17702223529643,19.28144510085599,qm,108
18,205,257,36.0,19.0,16.0,1.0,9534.0,2085.0,4660.0,3850.0,144.0,16.0,90.82759836073956,99.05119277106553,-8.223594410325964,36.0,19.0,16.0,1.0,9534.0,2085.0,4660.0,3850.0,144.0,16.0,90.82759836073956,99.05119277106553,-8.223594410325964,qm,-52
19,209,190,31.0,20.0,15.0,1.0,8888.0,2398.0,4760.0,3200.0,138.0,15.666666666666666,72.64106284414461,67.39974398031312,5.241318863831502,31.0,20.0,15.0,1.0,8888.0,2398.0,4760.0,3200.0,138.0,15.666666666666666,72.64106284414461,67.39974398031312,5.241318863831502,qm,19
20,305,166,26.0,18.0,18.0,0.0,9269.0,2116.0,4760.0,3550.0,74.0,20.333333333333332,82.35671553824561,92.22086877200964,-9.864153233764043,26.0,18.0,18.0,0.0,9269.0,2116.0,4760.0,3550.0,74.0,20.333333333333332,82.35671553824561,92.22086877200964,-9.864153233764043,qm,139
21,195,196,25.0,15.0,21.0,0.0,8960.0,1715.0,4400.0,3500.0,325.0,21.333333333333332,82.38543775237981,86.63354363455022,-4.248105882170402,25.0,15.0,21.0,0.0,8960.0,1715.0,4400.0,3500.0,325.0,21.333333333333332,82.38543775237981,86.63354363455022,-4.248105882170402,qm,-1
22,305,348,34.0,17.0,19.0,0.0,9864.0,2176.0,4700.0,4250.0,64.0,22.0,99.81664819950295,91.5752935458163,8.241354653686665,34.0,17.0,19.0,0.0,9864.0,2176.0,4700.0,4250.0,64.0,22.0,99.81664819950295,91.5752935458163,8.241354653686665,qm,-43
23,265,255,21.0,21.0,15.0,0.0,9642.0,2338.0,4940.0,3750.0,137.0,14.333333333333334,94.17836777628514,85.4854179980984,8.692949778186735,21.0,21.0,15.0,0.0,9642.0,2338.0,4940.0,3750.0,137.0,14.333333333333334,94.17836777628514,85.4854179980984,8.692949778186735,qm,10
24,259,285,27.0,18.0,18.0,0.0,9519.0,2633.0,5080.0,3450.0,124.0,17.666666666666668,89.47491051964666,84.94307653179912,4.531833987847541,27.0,18.0,18.0,0.0,9519.0,2633.0,5080.0,3450.0,124.0,17.666666666666668,89.47491051964666,84.94307653179912,4.531833987847541,qm,-26
25,256,195,50.0,17.0,18.0,1.0,8999.0,2305.0,4820.0,3400.0,94.0,18.333333333333332,75.65827238010006,81.97502954076444,-6.316757160664378,50.0,17.0,18.0,1.0,8999.0,2305.0,4820.0,3400.0,94.0,18.333333333333332,75.65827238010006,81.97502954076444,-6.316757160664378,qm,61
26,235,255,19.0,17.0,18.0,1.0,9165.0,1437.0,4460.0,3800.0,85.0,21.333333333333332,83.40226558980498,87.36984081804216,-3.9675752282371826,19.0,17.0,18.0,1.0,9165.0,1437.0,4460.0,3800.0,85.0,21.333333333333332,83.40226558980498,87.36984081804216,-3.9675752282371826,qm,-20
27,360,190,41.0,18.0,18.0,0.0,9525.0,2023.0,4540.0,3750.0,335.0,18.666666666666668,95.79336060332126,88.05633827615945,7.7370223271618,41.0,18.0,18.0,0.0,9525.0,2023.0,4540.0,3750.0,335.0,18.666666666666668,95.79336060332126,88.05633827615945,7.7370223271618,qm,170
28,256,305,40.0,18.0,18.0,0.0,9705.0,2072.0,4860.0,3900.0,100.0,17.666666666666668,96.69630813986265,86.36540628327903,10.330901856583614,40.0,18.0,18.0,0.0,9705.0,2072.0,4860.0,3900.0,100.0,17.666666666666668,96.69630813986265,86.36540628327903,10.330901856583614,qm,-49
29,272,307,32.0,18.0,17.0,1.0,9718.0,2319.0,4620.0,4100.0,193.0,18.666666666666668,95.50249334287719,91.56018844676602,3.9423048961111484,32.0,18.0,17.0,1.0,9718.0,2319.0,4620.0,4100.0,193.0,18.666666666666668,95.50249334287719,91.56018844676602,3.9423048961111484,qm,-35
30,297,195,35.0,21.0,15.0,0.0,9243.0,2309.0,4940.0,3500.0,98.0,15.0,85.58385160074461,73.44743440133483,12.136417199409783,35.0,21.0,15.0,0.0,9243.0,2309.0,4940.0,3500.0,98.0,15.0,85.58385160074461,73.44743440133483,12.136417199409783,qm,102
31,272,230,22.0,19.0,17.0,0.0,9792.0,1858.0,4640.0,4100.0,187.0,15.666666666666666,98.1973915660497,80.55979413845625,17.637597427593434,22.0,19.0,17.0,0.0,9792.0,1858.0,4640.0,4100.0,187.0,15.666666666666666,98.1973915660497,80.55979413845625,17.637597427593434,qm,42
32,305,260,55.0,23.0,13.0,0.0,10174.0,2088.0,4900.0,4350.0,104.0,9.333333333333334,108.5812891671879,85.6261385617917,22.955150605396202,55.0,23.0,13.0,0.0,10174.0,2088.0,4900.0,4350.0,104.0,9.333333333333334,108.5812891671879,85.6261385617917,22.955150605396202,qm,45
33,237,255,18.0,15.0,20.0,1.0,9195.0,2047.0,4680.0,3450.0,125.0,22.666666666666668,82.59600568361257,91.69940487939056,-9.103399195777977,18.0,15.0,20.0,1.0,9195.0,2047.0,4680.0,3450.0,125.0,22.666666666666668,82.59600568361257,91.69940487939056,-9.103399195777977,qm,-18
34,162,295,21.0,14.0,22.0,0.0,8666.0,2230.0,4480.0,3350.0,76.0,28.333333333333332,70.18330265322292,98.69922772781946,-28.515925074596538,21.0,14.0,22.0,0.0,8666.0,2230.0,4480.0,3350.0,76.0,28.333333333333332,70.18330265322292,98.69922772781946,-28.515925074596538,qm,-133
35,305,165,22.0,22.0,14.0,0.0,9282.0,2233.0,4680.0,3650.0,72.0,15.333333333333334,88.90044349645457,70.14992162993512,18.750521866519453,22.0,22.0,14.0,0.0,9282.0,2233.0,4680.0,3650.0,72.0,15.333333333333334,88.90044349645457,70.14992162993512,18.750521866519453,qm,140
36,330,190,26.0,20.0,16.0,0.0,9477.0,2054.0,4660.0,3900.0,82.0,18.666666666666668,89.74253219164414,85.10161503199191,4.640917159652228,26.0,20.0,16.0,0.0,9477.0,2054.0,4660.0,3900.0,82.0,18.666666666666668,89.74253219164414,85.10161503199191,4.640917159652228,qm,140
