,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,239,236,12.0,21.0,11.0,1.0,7661.0,1635.0,3860.0,2950.0,181.0,5.333333333333333,93.54982114463883,64.24728503023694,29.302536114401892,12.0,21.0,11.0,1.0,7661.0,1635.0,3860.0,2950.0,181.0,5.333333333333333,93.54982114463883,64.24728503023694,29.302536114401892,f,3
1,205,238,12.0,21.0,11.0,1.0,7661.0,1635.0,3860.0,2950.0,181.0,5.333333333333333,93.54982114463883,64.24728503023694,29.302536114401892,12.0,21.0,11.0,1.0,7661.0,1635.0,3860.0,2950.0,181.0,5.333333333333333,93.54982114463883,64.24728503023694,29.302536114401892,f,-33
2,255,235,12.0,21.0,11.0,1.0,7661.0,1635.0,3860.0,2950.0,181.0,5.333333333333333,93.54982114463883,64.24728503023694,29.302536114401892,12.0,21.0,11.0,1.0,7661.0,1635.0,3860.0,2950.0,181.0,5.333333333333333,93.54982114463883,64.24728503023694,29.302536114401892,f,20
3,124,105,19.0,17.0,16.0,0.0,7282.0,1241.0,3320.0,2950.0,357.0,8.333333333333334,73.96526986504881,57.528359795931294,16.436910069117523,19.0,17.0,16.0,0.0,7282.0,1241.0,3320.0,2950.0,357.0,8.333333333333334,73.96526986504881,57.528359795931294,16.436910069117523,qm,19
4,90,274,19.0,8.0,24.0,1.0,6363.0,1063.0,3360.0,2300.0,83.0,14.333333333333334,51.76654377362968,99.45356281769779,-47.68701904406811,19.0,8.0,24.0,1.0,6363.0,1063.0,3360.0,2300.0,83.0,14.333333333333334,51.76654377362968,99.45356281769779,-47.68701904406811,qm,-184
5,228,195,16.0,22.0,10.0,1.0,7561.0,1262.0,3820.0,2850.0,146.0,5.333333333333333,90.72704366437809,61.01738603763656,29.709657626741528,16.0,22.0,10.0,1.0,7561.0,1262.0,3820.0,2850.0,146.0,5.333333333333333,90.72704366437809,61.01738603763656,29.709657626741528,qm,33
6,135,135,19.0,16.0,13.0,3.0,6845.0,1427.0,3560.0,2550.0,155.0,8.666666666666666,65.67115809289324,67.42843218924317,-1.7572740963499196,19.0,16.0,13.0,3.0,6845.0,1427.0,3560.0,2550.0,155.0,8.666666666666666,65.67115809289324,67.42843218924317,-1.7572740963499196,qm,0
7,215,255,15.0,12.0,20.0,1.0,6770.0,1387.0,3420.0,2650.0,85.0,11.333333333333334,65.39286116613538,69.55200290532547,-4.159141739190095,15.0,12.0,20.0,1.0,6770.0,1387.0,3420.0,2650.0,85.0,11.333333333333334,65.39286116613538,69.55200290532547,-4.159141739190095,qm,-40
8,205,235,20.0,16.0,17.0,0.0,7167.0,1216.0,3440.0,2650.0,362.0,9.333333333333334,71.07070681664902,75.28250488337171,-4.211798066722693,20.0,16.0,17.0,0.0,7167.0,1216.0,3440.0,2650.0,362.0,9.333333333333334,71.07070681664902,75.28250488337171,-4.211798066722693,qm,-30
9,140,282,22.0,12.0,18.0,2.0,6635.0,1107.0,3420.0,2500.0,120.0,12.333333333333334,63.962117981008724,88.94656131801305,-24.984443337004322,22.0,12.0,18.0,2.0,6635.0,1107.0,3420.0,2500.0,120.0,12.333333333333334,63.962117981008724,88.94656131801305,-24.984443337004322,qm,-142
10,185,307,28.0,19.0,13.0,1.0,7632.0,1281.0,3780.0,2900.0,92.0,6.666666666666667,89.14039943626621,67.19590160509783,21.944497831168377,28.0,19.0,13.0,1.0,7632.0,1281.0,3780.0,2900.0,92.0,6.666666666666667,89.14039943626621,67.19590160509783,21.944497831168377,qm,-122
11,145,137,14.0,16.0,15.0,2.0,6529.0,1088.0,3400.0,2400.0,139.0,8.666666666666666,52.39999932675874,64.48743486251196,-12.087435535753228,14.0,16.0,15.0,2.0,6529.0,1088.0,3400.0,2400.0,139.0,8.666666666666666,52.39999932675874,64.48743486251196,-12.087435535753228,qm,8
12,190,200,20.0,13.0,19.0,1.0,6852.0,1203.0,3480.0,2700.0,67.0,11.0,65.50073453448503,70.94542415330464,-5.444689618819605,20.0,13.0,19.0,1.0,6852.0,1203.0,3480.0,2700.0,67.0,11.0,65.50073453448503,70.94542415330464,-5.444689618819605,qm,-10
13,242,208,9.0,19.0,14.0,0.0,7166.0,1288.0,3500.0,2750.0,201.0,7.333333333333333,72.63347742434873,71.34886265895331,1.2846147653954059,9.0,19.0,14.0,0.0,7166.0,1288.0,3500.0,2750.0,201.0,7.333333333333333,72.63347742434873,71.34886265895331,1.2846147653954059,qm,34
14,165,235,26.0,12.0,21.0,0.0,7031.0,1395.0,3700.0,2450.0,66.0,11.0,71.26225752183866,83.96567158973053,-12.703414067891872,26.0,12.0,21.0,0.0,7031.0,1395.0,3700.0,2450.0,66.0,11.0,71.26225752183866,83.96567158973053,-12.703414067891872,qm,-70
15,313,145,26.0,20.0,13.0,0.0,7595.0,1230.0,3760.0,2700.0,135.0,6.333333333333333,82.0361969374868,59.60219233119165,22.43400460629515,26.0,20.0,13.0,0.0,7595.0,1230.0,3760.0,2700.0,135.0,6.333333333333333,82.0361969374868,59.60219233119165,22.43400460629515,qm,168
16,260,309,18.0,15.0,17.0,1.0,6894.0,1003.0,3540.0,2550.0,124.0,9.666666666666666,65.35960354492123,77.58666200994536,-12.227058465024124,18.0,15.0,17.0,1.0,6894.0,1003.0,3540.0,2550.0,124.0,9.666666666666666,65.35960354492123,77.58666200994536,-12.227058465024124,qm,-49
17,259,200,21.0,17.0,14.0,1.0,7399.0,1450.0,3520.0,2950.0,329.0,8.333333333333334,83.54818247173365,76.12490582968877,7.42327664204489,21.0,17.0,14.0,1.0,7399.0,1450.0,3520.0,2950.0,329.0,8.333333333333334,83.54818247173365,76.12490582968877,7.42327664204489,qm,59
18,282,190,14.0,16.0,16.0,1.0,7062.0,1448.0,3680.0,2500.0,92.0,9.0,72.69763587255301,68.01568625894272,4.681949613610281,14.0,16.0,16.0,1.0,7062.0,1448.0,3680.0,2500.0,92.0,9.0,72.69763587255301,68.01568625894272,4.681949613610281,qm,92
19,265,215,18.0,16.0,14.0,2.0,7159.0,1370.0,3420.0,3050.0,119.0,9.0,78.44493848205073,65.32138632692681,13.123552155123923,18.0,16.0,14.0,2.0,7159.0,1370.0,3420.0,3050.0,119.0,9.0,78.44493848205073,65.32138632692681,13.123552155123923,qm,50
20,210,299,16.0,14.0,18.0,1.0,6800.0,1285.0,3540.0,2400.0,185.0,10.666666666666666,66.10970472980644,73.4955424564837,-7.385837726677271,16.0,14.0,18.0,1.0,6800.0,1285.0,3540.0,2400.0,185.0,10.666666666666666,66.10970472980644,73.4955424564837,-7.385837726677271,qm,-89
