,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,275,388,25.0,11.0,13.0,0.0,4342.0,889.0,2560.0,1400.0,52.0,7.666666666666667,58.246864560509074,70.4061546273635,-12.159290066854425,44.0,16.0,8.0,0.0,4669.0,989.0,2660.0,1500.0,109.0,4.0,71.27877378747533,51.960464802790824,19.318308984684506,f,-113
1,271,276,25.0,11.0,13.0,0.0,4342.0,889.0,2560.0,1400.0,52.0,7.666666666666667,58.246864560509074,70.4061546273635,-12.159290066854425,44.0,16.0,8.0,0.0,4669.0,989.0,2660.0,1500.0,109.0,4.0,71.27877378747533,51.960464802790824,19.318308984684506,f,-5
2,51,161,27.0,12.0,12.0,0.0,4393.0,925.0,2540.0,1400.0,68.0,7.666666666666667,55.69756151815963,54.289303501138384,1.408258017021249,13.0,15.0,9.0,0.0,4347.0,791.0,2300.0,1550.0,112.0,4.666666666666667,54.57535053617307,53.10360394904873,1.471746587124341,qm,-110
3,199,195,29.0,14.0,10.0,0.0,4343.0,792.0,2220.0,1650.0,93.0,5.0,60.442613739545614,61.995301877503515,-1.5526881379578914,9.0,13.0,11.0,0.0,4563.0,1012.0,2660.0,1400.0,73.0,5.333333333333333,65.04960032367437,57.62068136824147,7.428918955432903,qm,4
4,61,325,9.0,13.0,11.0,0.0,4287.0,686.0,2200.0,1650.0,67.0,6.0,52.9511289544152,70.02342490852752,-17.072295954112313,21.0,14.0,10.0,0.0,5164.0,1118.0,2820.0,1850.0,84.0,4.666666666666667,92.3855496312684,57.41161454595511,34.97393508531329,qm,-264
5,90,164,28.0,7.0,17.0,0.0,4140.0,705.0,2340.0,1400.0,50.0,10.0,46.81962790235522,74.56407167107649,-27.74444376872128,31.0,14.0,10.0,0.0,4349.0,941.0,2600.0,1250.0,99.0,5.333333333333333,57.01036017862785,47.16755554110755,9.842804637520295,qm,-74
6,205,180,12.0,13.0,11.0,0.0,4472.0,820.0,2300.0,1650.0,112.0,6.666666666666667,60.95384077460701,63.2767278228892,-2.3228870482821953,12.0,9.0,15.0,0.0,4379.0,790.0,2600.0,1350.0,59.0,7.0,56.58094787417025,54.8386274992229,1.7423203749473544,qm,25
7,200,267,40.0,13.0,11.0,0.0,4575.0,906.0,2660.0,1500.0,65.0,7.0,66.23551387534424,67.31734180790018,-1.081827932555946,25.0,13.0,11.0,0.0,4514.0,934.0,2400.0,1650.0,64.0,5.333333333333333,65.39636414254518,63.7339695366544,1.6623946058907795,qm,-67
8,224,225,28.0,13.0,11.0,0.0,4516.0,922.0,2380.0,1650.0,106.0,6.333333333333333,64.14811532657235,62.44399173605276,1.7041235905196004,40.0,14.0,10.0,0.0,4501.0,956.0,2620.0,1400.0,76.0,6.0,60.29251809399765,74.33095170478849,-14.03843361079083,qm,-1
9,178,190,12.0,10.0,14.0,0.0,4517.0,857.0,2540.0,1500.0,72.0,6.333333333333333,60.31140912583313,46.60349845414438,13.70791067168876,9.0,11.0,13.0,0.0,4406.0,715.0,2420.0,1600.0,46.0,7.333333333333333,64.41462412026354,65.78822477168107,-1.3736006514175376,qm,-12
10,206,195,38.0,14.0,10.0,0.0,4789.0,1095.0,2860.0,1500.0,64.0,4.333333333333333,78.78182723282433,69.81598358816682,8.965843644657506,11.0,7.0,17.0,0.0,4411.0,639.0,2260.0,1700.0,56.0,9.333333333333334,60.111927379509645,71.95777562831275,-11.845848248803101,qm,11
11,204,154,27.0,13.0,11.0,0.0,4427.0,903.0,2440.0,1500.0,67.0,6.0,59.11659984853285,55.852247455507815,3.2643523930250473,15.0,9.0,15.0,0.0,4471.0,744.0,2360.0,1600.0,101.0,8.0,61.73614896126751,55.03795466883397,6.698194292433553,qm,50
12,155,280,25.0,12.0,12.0,0.0,4268.0,939.0,2520.0,1300.0,63.0,6.666666666666667,52.303868779162485,77.41976452425179,-25.115895745089308,22.0,14.0,10.0,0.0,4774.0,864.0,2640.0,1750.0,69.0,5.333333333333333,76.01004907770383,60.85670001807312,15.1533490596307,qm,-125
13,200,208,8.0,10.0,14.0,0.0,4579.0,845.0,2580.0,1600.0,59.0,8.666666666666666,68.12012570729028,66.23691463023032,1.8832110770599542,26.0,17.0,7.0,0.0,5051.0,1093.0,2760.0,1750.0,116.0,2.0,90.30426962599954,40.04310372792708,50.26116589807245,qm,-8
14,145,155,12.0,8.0,16.0,0.0,4130.0,581.0,2160.0,1500.0,55.0,8.666666666666666,47.04439168076309,76.95975171228237,-29.915360031519274,43.0,13.0,11.0,0.0,4180.0,931.0,2460.0,1300.0,70.0,6.666666666666667,43.69787965261377,65.92689659622691,-22.229016943613136,qm,-10
15,252,89,9.0,14.0,10.0,0.0,4719.0,1041.0,2760.0,1500.0,74.0,4.0,71.738645783987,42.44558141043137,29.293064373555612,42.0,11.0,13.0,0.0,4305.0,960.0,2460.0,1400.0,70.0,8.666666666666666,50.076369891047705,76.10002047006738,-26.023650579019673,qm,163
16,188,194,25.0,10.0,14.0,0.0,4651.0,737.0,2500.0,1700.0,56.0,6.333333333333333,73.52235013442494,69.3559707761974,4.1663793582275375,13.0,13.0,11.0,0.0,4265.0,712.0,2240.0,1550.0,100.0,7.0,53.829300857207045,61.26509400997054,-7.435793152763485,qm,-6
17,230,210,21.0,14.0,10.0,0.0,4981.0,972.0,2700.0,1850.0,81.0,5.0,83.13458899510378,62.86833383099179,20.266255164111993,30.0,7.0,17.0,0.0,4053.0,674.0,2380.0,1250.0,53.0,10.666666666666666,40.539863608342905,66.68234958992991,-26.14248598158701,qm,20
18,270,316,12.0,8.0,16.0,0.0,4130.0,581.0,2160.0,1500.0,55.0,8.666666666666666,47.04439168076309,76.95975171228237,-29.915360031519274,44.0,16.0,8.0,0.0,4669.0,989.0,2660.0,1500.0,109.0,4.0,71.27877378747533,51.960464802790824,19.318308984684506,sf,-46
19,255,315,12.0,8.0,16.0,0.0,4130.0,581.0,2160.0,1500.0,55.0,8.666666666666666,47.04439168076309,76.95975171228237,-29.915360031519274,44.0,16.0,8.0,0.0,4669.0,989.0,2660.0,1500.0,109.0,4.0,71.27877378747533,51.960464802790824,19.318308984684506,sf,-60
20,245,195,25.0,11.0,13.0,0.0,4342.0,889.0,2560.0,1400.0,52.0,7.666666666666667,58.246864560509074,70.4061546273635,-12.159290066854425,8.0,13.0,11.0,0.0,4799.0,991.0,2580.0,1750.0,84.0,5.666666666666667,72.59663663791918,49.84029552422999,22.756341113689185,sf,50
21,200,183,25.0,11.0,13.0,0.0,4342.0,889.0,2560.0,1400.0,52.0,7.666666666666667,58.246864560509074,70.4061546273635,-12.159290066854425,8.0,13.0,11.0,0.0,4799.0,991.0,2580.0,1750.0,84.0,5.666666666666667,72.59663663791918,49.84029552422999,22.756341113689185,sf,17
