,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,260,273,38.0,17.0,13.0,0.0,6669.0,1610.0,3520.0,2150.0,99.0,17.0,104.97411787647862,73.09271066170446,31.881407214774168,38.0,17.0,13.0,0.0,6669.0,1610.0,3520.0,2150.0,99.0,17.0,104.97411787647862,73.09271066170446,31.881407214774168,f,-13
1,210,319,38.0,17.0,13.0,0.0,6669.0,1610.0,3520.0,2150.0,99.0,17.0,104.97411787647862,73.09271066170446,31.881407214774168,38.0,17.0,13.0,0.0,6669.0,1610.0,3520.0,2150.0,99.0,17.0,104.97411787647862,73.09271066170446,31.881407214774168,f,-109
2,145,348,36.0,20.0,9.0,1.0,5811.0,1001.0,3000.0,2050.0,41.0,13.333333333333334,64.85979309337911,51.41572032948807,13.444072763891052,36.0,20.0,9.0,1.0,5811.0,1001.0,3000.0,2050.0,41.0,13.333333333333334,64.85979309337911,51.41572032948807,13.444072763891052,qf,-203
3,250,335,18.0,19.0,9.0,1.0,6046.0,1183.0,3060.0,2350.0,31.0,15.666666666666666,78.64062019375679,57.43310618279029,21.207514010966502,18.0,19.0,9.0,1.0,6046.0,1183.0,3060.0,2350.0,31.0,15.666666666666666,78.64062019375679,57.43310618279029,21.207514010966502,qf,-85
4,335,95,28.0,17.0,13.0,0.0,6716.0,1284.0,3520.0,2400.0,131.0,17.333333333333332,93.70719100327396,53.05148508998275,40.65570591329121,28.0,17.0,13.0,0.0,6716.0,1284.0,3520.0,2400.0,131.0,17.333333333333332,93.70719100327396,53.05148508998275,40.65570591329121,qf,240
5,389,185,28.0,17.0,13.0,0.0,6716.0,1284.0,3520.0,2400.0,131.0,17.333333333333332,93.70719100327396,53.05148508998275,40.65570591329121,28.0,17.0,13.0,0.0,6716.0,1284.0,3520.0,2400.0,131.0,17.333333333333332,93.70719100327396,53.05148508998275,40.65570591329121,qf,204
6,237,445,21.0,17.0,13.0,0.0,6676.0,972.0,3140.0,2450.0,151.0,20.0,84.01658785536414,66.3063835284247,17.710204326939444,21.0,17.0,13.0,0.0,6676.0,972.0,3140.0,2450.0,151.0,20.0,84.01658785536414,66.3063835284247,17.710204326939444,qf,-208
7,264,250,21.0,17.0,13.0,0.0,6676.0,972.0,3140.0,2450.0,151.0,20.0,84.01658785536414,66.3063835284247,17.710204326939444,21.0,17.0,13.0,0.0,6676.0,972.0,3140.0,2450.0,151.0,20.0,84.01658785536414,66.3063835284247,17.710204326939444,qf,14
8,273,420,21.0,17.0,13.0,0.0,6676.0,972.0,3140.0,2450.0,151.0,20.0,84.01658785536414,66.3063835284247,17.710204326939444,21.0,17.0,13.0,0.0,6676.0,972.0,3140.0,2450.0,151.0,20.0,84.01658785536414,66.3063835284247,17.710204326939444,qf,-147
9,210,258,47.0,17.0,13.0,0.0,6571.0,781.0,3420.0,2350.0,41.0,16.333333333333332,89.43667635191264,86.0603744871662,3.3763018647464307,47.0,17.0,13.0,0.0,6571.0,781.0,3420.0,2350.0,41.0,16.333333333333332,89.43667635191264,86.0603744871662,3.3763018647464307,qf,-48
