,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,315,205,39.0,19.0,10.0,1.0,6941.0,1149.0,3280.0,2950.0,191.0,11.666666666666666,92.43888681296922,87.01213723916153,5.426749573807679,39.0,19.0,10.0,1.0,6941.0,1149.0,3280.0,2950.0,191.0,11.666666666666666,92.43888681296922,87.01213723916153,5.426749573807679,f,110
1,322,306,39.0,19.0,10.0,1.0,6941.0,1149.0,3280.0,2950.0,191.0,11.666666666666666,92.43888681296922,87.01213723916153,5.426749573807679,39.0,19.0,10.0,1.0,6941.0,1149.0,3280.0,2950.0,191.0,11.666666666666666,92.43888681296922,87.01213723916153,5.426749573807679,f,16
2,195,310,19.0,15.0,15.0,0.0,6166.0,1090.0,3180.0,2300.0,66.0,25.333333333333332,69.2410709073769,72.33702922723457,-3.0959583198576843,19.0,15.0,15.0,0.0,6166.0,1090.0,3180.0,2300.0,66.0,25.333333333333332,69.2410709073769,72.33702922723457,-3.0959583198576843,qf,-115
3,260,305,19.0,15.0,15.0,0.0,6166.0,1090.0,3180.0,2300.0,66.0,25.333333333333332,69.2410709073769,72.33702922723457,-3.0959583198576843,19.0,15.0,15.0,0.0,6166.0,1090.0,3180.0,2300.0,66.0,25.333333333333332,69.2410709073769,72.33702922723457,-3.0959583198576843,qf,-45
4,243,266,42.0,19.0,11.0,0.0,6629.0,1338.0,3340.0,2700.0,69.0,12.666666666666666,81.23268409647163,54.55093608431027,26.68174801216135,42.0,19.0,11.0,0.0,6629.0,1338.0,3340.0,2700.0,69.0,12.666666666666666,81.23268409647163,54.55093608431027,26.68174801216135,qf,-23
5,260,314,42.0,19.0,11.0,0.0,6629.0,1338.0,3340.0,2700.0,69.0,12.666666666666666,81.23268409647163,54.55093608431027,26.68174801216135,42.0,19.0,11.0,0.0,6629.0,1338.0,3340.0,2700.0,69.0,12.666666666666666,81.23268409647163,54.55093608431027,26.68174801216135,qf,-54
6,305,340,29.0,17.0,10.0,3.0,6208.0,937.0,3120.0,2450.0,68.0,14.333333333333334,65.59830221753616,61.947186077479216,3.651116140056947,29.0,17.0,10.0,3.0,6208.0,937.0,3120.0,2450.0,68.0,14.333333333333334,65.59830221753616,61.947186077479216,3.651116140056947,qf,-35
7,255,323,29.0,17.0,10.0,3.0,6208.0,937.0,3120.0,2450.0,68.0,14.333333333333334,65.59830221753616,61.947186077479216,3.651116140056947,29.0,17.0,10.0,3.0,6208.0,937.0,3120.0,2450.0,68.0,14.333333333333334,65.59830221753616,61.947186077479216,3.651116140056947,qf,-68
8,310,140,9.0,17.0,12.0,1.0,6435.0,1128.0,3220.0,2500.0,80.0,17.666666666666668,76.09549431938018,65.76280297437295,10.33269134500725,9.0,17.0,12.0,1.0,6435.0,1128.0,3220.0,2500.0,80.0,17.666666666666668,76.09549431938018,65.76280297437295,10.33269134500725,qf,170
9,245,233,9.0,17.0,12.0,1.0,6435.0,1128.0,3220.0,2500.0,80.0,17.666666666666668,76.09549431938018,65.76280297437295,10.33269134500725,9.0,17.0,12.0,1.0,6435.0,1128.0,3220.0,2500.0,80.0,17.666666666666668,76.09549431938018,65.76280297437295,10.33269134500725,qf,12
