,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,296,305,37.0,21.0,9.0,0.0,7240.0,1445.0,3540.0,2800.0,25.0,10.333333333333334,113.71378800988681,40.87990640706658,72.83388160282023,37.0,21.0,9.0,0.0,7240.0,1445.0,3540.0,2800.0,25.0,10.333333333333334,113.71378800988681,40.87990640706658,72.83388160282023,f,-9
1,296,495,37.0,21.0,9.0,0.0,7240.0,1445.0,3540.0,2800.0,25.0,10.333333333333334,113.71378800988681,40.87990640706658,72.83388160282023,37.0,21.0,9.0,0.0,7240.0,1445.0,3540.0,2800.0,25.0,10.333333333333334,113.71378800988681,40.87990640706658,72.83388160282023,f,-199
2,271,235,42.0,16.0,14.0,0.0,7391.0,1206.0,3420.0,2650.0,11.0,20.333333333333332,104.07242968781937,88.53540611153876,15.537023576280594,42.0,16.0,14.0,0.0,7391.0,1206.0,3420.0,2650.0,11.0,20.333333333333332,104.07242968781937,88.53540611153876,15.537023576280594,qf,36
3,281,345,42.0,16.0,14.0,0.0,7391.0,1206.0,3420.0,2650.0,11.0,20.333333333333332,104.07242968781937,88.53540611153876,15.537023576280594,42.0,16.0,14.0,0.0,7391.0,1206.0,3420.0,2650.0,11.0,20.333333333333332,104.07242968781937,88.53540611153876,15.537023576280594,qf,-64
4,305,260,42.0,16.0,14.0,0.0,7391.0,1206.0,3420.0,2650.0,11.0,20.333333333333332,104.07242968781937,88.53540611153876,15.537023576280594,42.0,16.0,14.0,0.0,7391.0,1206.0,3420.0,2650.0,11.0,20.333333333333332,104.07242968781937,88.53540611153876,15.537023576280594,qf,45
5,235,310,29.0,19.0,11.0,0.0,6722.0,1014.0,3320.0,2400.0,12.0,15.333333333333334,81.64623829515656,65.19972037876887,16.446517916387695,29.0,19.0,11.0,0.0,6722.0,1014.0,3320.0,2400.0,12.0,15.333333333333334,81.64623829515656,65.19972037876887,16.446517916387695,qf,-75
6,300,240,20.0,17.0,13.0,0.0,6801.0,1123.0,3400.0,2500.0,16.0,19.666666666666668,84.91775691119831,65.3099689712452,19.60778793995311,20.0,17.0,13.0,0.0,6801.0,1123.0,3400.0,2500.0,16.0,19.666666666666668,84.91775691119831,65.3099689712452,19.60778793995311,qf,60
7,250,268,20.0,17.0,13.0,0.0,6801.0,1123.0,3400.0,2500.0,16.0,19.666666666666668,84.91775691119831,65.3099689712452,19.60778793995311,20.0,17.0,13.0,0.0,6801.0,1123.0,3400.0,2500.0,16.0,19.666666666666668,84.91775691119831,65.3099689712452,19.60778793995311,qf,-18
8,305,235,34.0,20.0,10.0,0.0,6752.0,1446.0,3380.0,2600.0,12.0,12.0,83.96419272577064,70.81656995416073,13.147622771609912,34.0,20.0,10.0,0.0,6752.0,1446.0,3380.0,2600.0,12.0,12.0,83.96419272577064,70.81656995416073,13.147622771609912,qf,70
9,265,336,34.0,20.0,10.0,0.0,6752.0,1446.0,3380.0,2600.0,12.0,12.0,83.96419272577064,70.81656995416073,13.147622771609912,34.0,20.0,10.0,0.0,6752.0,1446.0,3380.0,2600.0,12.0,12.0,83.96419272577064,70.81656995416073,13.147622771609912,qf,-71
10,215,268,34.0,20.0,10.0,0.0,6752.0,1446.0,3380.0,2600.0,12.0,12.0,83.96419272577064,70.81656995416073,13.147622771609912,34.0,20.0,10.0,0.0,6752.0,1446.0,3380.0,2600.0,12.0,12.0,83.96419272577064,70.81656995416073,13.147622771609912,qf,-53
11,250,207,19.0,18.0,12.0,0.0,6989.0,1305.0,3380.0,2650.0,19.0,16.0,86.2215532188434,66.03474845625418,20.186804762589226,19.0,18.0,12.0,0.0,6989.0,1305.0,3380.0,2650.0,19.0,16.0,86.2215532188434,66.03474845625418,20.186804762589226,qf,43
12,255,306,19.0,18.0,12.0,0.0,6989.0,1305.0,3380.0,2650.0,19.0,16.0,86.2215532188434,66.03474845625418,20.186804762589226,19.0,18.0,12.0,0.0,6989.0,1305.0,3380.0,2650.0,19.0,16.0,86.2215532188434,66.03474845625418,20.186804762589226,qf,-51
13,305,307,19.0,18.0,12.0,0.0,6989.0,1305.0,3380.0,2650.0,19.0,16.0,86.2215532188434,66.03474845625418,20.186804762589226,19.0,18.0,12.0,0.0,6989.0,1305.0,3380.0,2650.0,19.0,16.0,86.2215532188434,66.03474845625418,20.186804762589226,qf,-2
14,140,155,20.0,11.0,19.0,0.0,6120.0,948.0,3100.0,2300.0,20.0,33.0,60.32824790452358,61.55041605748812,-1.2221681529645376,20.0,11.0,19.0,0.0,6120.0,948.0,3100.0,2300.0,20.0,33.0,60.32824790452358,61.55041605748812,-1.2221681529645376,qm,-15
15,107,262,24.0,11.0,18.0,0.0,5432.0,759.0,2760.0,2000.0,22.0,34.666666666666664,39.72203689736701,73.1857608981107,-33.46372400074368,24.0,11.0,18.0,0.0,5432.0,759.0,2760.0,2000.0,22.0,34.666666666666664,39.72203689736701,73.1857608981107,-33.46372400074368,qm,-155
