,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,260,14.0,21.0,14.0,1.0,8958.0,1570.0,4260.0,3350.0,103.0,13.333333333333334,102.03351897824734,75.60774719480365,26.42577178344369,14.0,21.0,14.0,1.0,8958.0,1570.0,4260.0,3350.0,103.0,13.333333333333334,102.03351897824734,75.60774719480365,26.42577178344369,f,-5
1,255,445,14.0,21.0,14.0,1.0,8958.0,1570.0,4260.0,3350.0,103.0,13.333333333333334,102.03351897824734,75.60774719480365,26.42577178344369,14.0,21.0,14.0,1.0,8958.0,1570.0,4260.0,3350.0,103.0,13.333333333333334,102.03351897824734,75.60774719480365,26.42577178344369,f,-190
2,255,348,40.0,19.0,17.0,0.0,7814.0,1391.0,3960.0,3000.0,114.0,16.0,67.98894564252032,72.05117461241372,-4.0622289698933995,40.0,19.0,17.0,0.0,7814.0,1391.0,3960.0,3000.0,114.0,16.0,67.98894564252032,72.05117461241372,-4.0622289698933995,qf,-93
3,265,366,40.0,19.0,17.0,0.0,7814.0,1391.0,3960.0,3000.0,114.0,16.0,67.98894564252032,72.05117461241372,-4.0622289698933995,40.0,19.0,17.0,0.0,7814.0,1391.0,3960.0,3000.0,114.0,16.0,67.98894564252032,72.05117461241372,-4.0622289698933995,qf,-101
4,0,230,31.0,21.0,12.0,3.0,8477.0,1623.0,4340.0,3250.0,162.0,10.0,90.96401839469378,60.575209190268424,30.388809204425367,31.0,21.0,12.0,3.0,8477.0,1623.0,4340.0,3250.0,162.0,10.0,90.96401839469378,60.575209190268424,30.388809204425367,qf,-230
5,255,445,31.0,21.0,12.0,3.0,8477.0,1623.0,4340.0,3250.0,162.0,10.0,90.96401839469378,60.575209190268424,30.388809204425367,31.0,21.0,12.0,3.0,8477.0,1623.0,4340.0,3250.0,162.0,10.0,90.96401839469378,60.575209190268424,30.388809204425367,qf,-190
6,241,450,11.0,21.0,15.0,0.0,8034.0,1463.0,3980.0,3200.0,124.0,14.333333333333334,79.69299227179228,67.85940392502592,11.833588346766364,11.0,21.0,15.0,0.0,8034.0,1463.0,3980.0,3200.0,124.0,14.333333333333334,79.69299227179228,67.85940392502592,11.833588346766364,qf,-209
7,315,360,11.0,21.0,15.0,0.0,8034.0,1463.0,3980.0,3200.0,124.0,14.333333333333334,79.69299227179228,67.85940392502592,11.833588346766364,11.0,21.0,15.0,0.0,8034.0,1463.0,3980.0,3200.0,124.0,14.333333333333334,79.69299227179228,67.85940392502592,11.833588346766364,qf,-45
8,205,445,14.0,20.0,15.0,1.0,7414.0,1092.0,3640.0,2550.0,159.0,12.333333333333334,61.33879485730994,46.66062300596851,14.678171851341434,14.0,20.0,15.0,1.0,7414.0,1092.0,3640.0,2550.0,159.0,12.333333333333334,61.33879485730994,46.66062300596851,14.678171851341434,qf,-240
9,240,205,14.0,20.0,15.0,1.0,7414.0,1092.0,3640.0,2550.0,159.0,12.333333333333334,61.33879485730994,46.66062300596851,14.678171851341434,14.0,20.0,15.0,1.0,7414.0,1092.0,3640.0,2550.0,159.0,12.333333333333334,61.33879485730994,46.66062300596851,14.678171851341434,qf,35
10,235,230,14.0,20.0,15.0,1.0,7414.0,1092.0,3640.0,2550.0,159.0,12.333333333333334,61.33879485730994,46.66062300596851,14.678171851341434,14.0,20.0,15.0,1.0,7414.0,1092.0,3640.0,2550.0,159.0,12.333333333333334,61.33879485730994,46.66062300596851,14.678171851341434,qf,5
11,210,165,27.0,21.0,15.0,0.0,7933.0,1491.0,3840.0,3050.0,78.0,14.333333333333334,77.29244843414837,65.38592989691625,11.906518537232122,27.0,21.0,15.0,0.0,7933.0,1491.0,3840.0,3050.0,78.0,14.333333333333334,77.29244843414837,65.38592989691625,11.906518537232122,qm,45
12,155,245,25.0,17.0,19.0,0.0,7602.0,1143.0,4000.0,2800.0,157.0,20.666666666666668,60.95379495264856,73.73219495949449,-12.778400006845922,25.0,17.0,19.0,0.0,7602.0,1143.0,4000.0,2800.0,157.0,20.666666666666668,60.95379495264856,73.73219495949449,-12.778400006845922,qm,-90
13,175,196,22.0,17.0,19.0,0.0,7645.0,1043.0,3800.0,3050.0,145.0,20.333333333333332,64.05071266389325,60.01295306690531,4.037759596987937,22.0,17.0,19.0,0.0,7645.0,1043.0,3800.0,3050.0,145.0,20.333333333333332,64.05071266389325,60.01295306690531,4.037759596987937,qm,-21
14,100,295,16.0,15.0,20.0,1.0,7092.0,1198.0,3620.0,2650.0,117.0,23.666666666666668,56.6623622403518,74.75341810524206,-18.091055864890272,16.0,15.0,20.0,1.0,7092.0,1198.0,3620.0,2650.0,117.0,23.666666666666668,56.6623622403518,74.75341810524206,-18.091055864890272,qm,-195
15,270,245,10.0,23.0,12.0,1.0,8635.0,1518.0,4040.0,3350.0,80.0,10.0,96.0880287512698,61.83117376596133,34.25685498530847,10.0,23.0,12.0,1.0,8635.0,1518.0,4040.0,3350.0,80.0,10.0,96.0880287512698,61.83117376596133,34.25685498530847,qm,25
16,180,195,19.0,13.0,23.0,0.0,7436.0,1241.0,4080.0,2600.0,156.0,27.0,63.048162191211304,80.97065909078599,-17.92249689957467,19.0,13.0,23.0,0.0,7436.0,1241.0,4080.0,2600.0,156.0,27.0,63.048162191211304,80.97065909078599,-17.92249689957467,qm,-15
17,252,215,38.0,16.0,18.0,2.0,8014.0,1428.0,4180.0,3000.0,149.0,17.0,76.44781031493852,73.93574744173738,2.5120628732011503,38.0,16.0,18.0,2.0,8014.0,1428.0,4180.0,3000.0,149.0,17.0,76.44781031493852,73.93574744173738,2.5120628732011503,qm,37
18,235,145,18.0,19.0,16.0,1.0,7865.0,1286.0,3800.0,2900.0,105.0,17.333333333333332,73.83141853869658,62.30561979028797,11.525798748408599,18.0,19.0,16.0,1.0,7865.0,1286.0,3800.0,2900.0,105.0,17.333333333333332,73.83141853869658,62.30561979028797,11.525798748408599,qm,90
19,100,147,29.0,15.0,19.0,2.0,7098.0,1307.0,3780.0,2600.0,108.0,22.0,55.62073925073441,63.648778197281864,-8.028038946547445,29.0,15.0,19.0,2.0,7098.0,1307.0,3780.0,2600.0,108.0,22.0,55.62073925073441,63.648778197281864,-8.028038946547445,qm,-47
20,150,255,31.0,16.0,19.0,1.0,7727.0,1392.0,4020.0,2700.0,12.0,21.0,72.03497820119509,77.64743741299314,-5.612459211798073,31.0,16.0,19.0,1.0,7727.0,1392.0,4020.0,2700.0,12.0,21.0,72.03497820119509,77.64743741299314,-5.612459211798073,qm,-105
21,234,240,26.0,16.0,18.0,2.0,8331.0,1180.0,4140.0,3300.0,151.0,19.666666666666668,85.02201776709352,68.36314610189005,16.658871665203467,26.0,16.0,18.0,2.0,8331.0,1180.0,4140.0,3300.0,151.0,19.666666666666668,85.02201776709352,68.36314610189005,16.658871665203467,qm,-6
22,140,185,12.0,13.0,21.0,2.0,7848.0,1582.0,3980.0,3050.0,133.0,22.666666666666668,69.69928880023656,93.14390784631541,-23.444619046078845,12.0,13.0,21.0,2.0,7848.0,1582.0,3980.0,3050.0,133.0,22.666666666666668,69.69928880023656,93.14390784631541,-23.444619046078845,qm,-45
23,146,150,26.0,17.0,19.0,0.0,7002.0,1254.0,3760.0,2500.0,117.0,20.333333333333332,50.79060672353592,65.26153870085336,-14.470931977317434,26.0,17.0,19.0,0.0,7002.0,1254.0,3760.0,2500.0,117.0,20.333333333333332,50.79060672353592,65.26153870085336,-14.470931977317434,qm,-4
24,225,190,21.0,21.0,15.0,0.0,7652.0,1300.0,4120.0,2650.0,107.0,10.666666666666666,73.2707941375263,56.511731896238246,16.759062241288035,21.0,21.0,15.0,0.0,7652.0,1300.0,4120.0,2650.0,107.0,10.666666666666666,73.2707941375263,56.511731896238246,16.759062241288035,qm,35
25,140,300,11.0,11.0,24.0,1.0,6571.0,1087.0,3440.0,2500.0,51.0,30.333333333333332,38.24310551723525,85.58871185540295,-47.3456063381677,11.0,11.0,24.0,1.0,6571.0,1087.0,3440.0,2500.0,51.0,30.333333333333332,38.24310551723525,85.58871185540295,-47.3456063381677,qm,-160
26,145,155,36.0,14.0,22.0,0.0,7351.0,1131.0,3760.0,2850.0,131.0,26.0,61.758625282987985,72.64752843202007,-10.888903149032087,36.0,14.0,22.0,0.0,7351.0,1131.0,3760.0,2850.0,131.0,26.0,61.758625282987985,72.64752843202007,-10.888903149032087,qm,-10
27,140,425,24.0,11.0,24.0,1.0,7169.0,1448.0,3960.0,2500.0,39.0,27.0,53.69770534920178,97.61040215212613,-43.91269680292434,24.0,11.0,24.0,1.0,7169.0,1448.0,3960.0,2500.0,39.0,27.0,53.69770534920178,97.61040215212613,-43.91269680292434,qm,-285
28,195,285,21.0,14.0,20.0,2.0,7195.0,1132.0,3680.0,2750.0,55.0,22.666666666666668,58.74573751975466,75.49136779170493,-16.74563027195026,21.0,14.0,20.0,2.0,7195.0,1132.0,3680.0,2750.0,55.0,22.666666666666668,58.74573751975466,75.49136779170493,-16.74563027195026,qm,-90
29,160,312,10.0,12.0,23.0,1.0,6861.0,1059.0,3460.0,2700.0,101.0,28.0,49.16899572103123,79.13222024635307,-29.963224525321845,10.0,12.0,23.0,1.0,6861.0,1059.0,3460.0,2700.0,101.0,28.0,49.16899572103123,79.13222024635307,-29.963224525321845,qm,-152
30,175,251,31.0,19.0,15.0,2.0,8330.0,1320.0,4220.0,3050.0,140.0,15.333333333333334,80.08489934132271,70.86641547833442,9.218483862988295,31.0,19.0,15.0,2.0,8330.0,1320.0,4220.0,3050.0,140.0,15.333333333333334,80.08489934132271,70.86641547833442,9.218483862988295,qm,-76
31,166,210,26.0,10.0,24.0,2.0,6867.0,1181.0,3660.0,2200.0,112.0,29.0,45.684147913908426,81.96676373742388,-36.28261582351544,26.0,10.0,24.0,2.0,6867.0,1181.0,3660.0,2200.0,112.0,29.0,45.684147913908426,81.96676373742388,-36.28261582351544,qm,-44
32,210,220,20.0,19.0,17.0,0.0,7755.0,1350.0,3860.0,3050.0,105.0,16.0,74.42903352862459,63.78527779753339,10.643755731091192,20.0,19.0,17.0,0.0,7755.0,1350.0,3860.0,3050.0,105.0,16.0,74.42903352862459,63.78527779753339,10.643755731091192,qm,-10
