,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,246,288,33.0,20.0,13.0,0.0,7144.0,1393.0,3740.0,2550.0,54.0,15.333333333333334,91.962518258916,61.42142372784415,30.54109453107186,33.0,20.0,13.0,0.0,7144.0,1393.0,3740.0,2550.0,54.0,15.333333333333334,91.962518258916,61.42142372784415,30.54109453107186,f,-42
1,321,198,33.0,20.0,13.0,0.0,7144.0,1393.0,3740.0,2550.0,54.0,15.333333333333334,91.962518258916,61.42142372784415,30.54109453107186,33.0,20.0,13.0,0.0,7144.0,1393.0,3740.0,2550.0,54.0,15.333333333333334,91.962518258916,61.42142372784415,30.54109453107186,f,123
2,261,236,33.0,20.0,13.0,0.0,7144.0,1393.0,3740.0,2550.0,54.0,15.333333333333334,91.962518258916,61.42142372784415,30.54109453107186,33.0,20.0,13.0,0.0,7144.0,1393.0,3740.0,2550.0,54.0,15.333333333333334,91.962518258916,61.42142372784415,30.54109453107186,f,25
3,265,395,34.0,18.0,14.0,1.0,6342.0,1081.0,3580.0,2050.0,12.0,18.333333333333332,65.83442343930191,59.679951324769604,6.154472114532318,34.0,18.0,14.0,1.0,6342.0,1081.0,3580.0,2050.0,12.0,18.333333333333332,65.83442343930191,59.679951324769604,6.154472114532318,qf,-130
4,305,205,34.0,18.0,14.0,1.0,6342.0,1081.0,3580.0,2050.0,12.0,18.333333333333332,65.83442343930191,59.679951324769604,6.154472114532318,34.0,18.0,14.0,1.0,6342.0,1081.0,3580.0,2050.0,12.0,18.333333333333332,65.83442343930191,59.679951324769604,6.154472114532318,qf,100
5,245,355,34.0,18.0,14.0,1.0,6342.0,1081.0,3580.0,2050.0,12.0,18.333333333333332,65.83442343930191,59.679951324769604,6.154472114532318,34.0,18.0,14.0,1.0,6342.0,1081.0,3580.0,2050.0,12.0,18.333333333333332,65.83442343930191,59.679951324769604,6.154472114532318,qf,-110
6,236,266,33.0,20.0,13.0,0.0,7277.0,1649.0,3880.0,2700.0,17.0,12.666666666666666,87.4570030140507,63.00539230263133,24.451610711419363,33.0,20.0,13.0,0.0,7277.0,1649.0,3880.0,2700.0,17.0,12.666666666666666,87.4570030140507,63.00539230263133,24.451610711419363,qf,-30
7,255,197,33.0,20.0,13.0,0.0,7277.0,1649.0,3880.0,2700.0,17.0,12.666666666666666,87.4570030140507,63.00539230263133,24.451610711419363,33.0,20.0,13.0,0.0,7277.0,1649.0,3880.0,2700.0,17.0,12.666666666666666,87.4570030140507,63.00539230263133,24.451610711419363,qf,58
8,215,225,33.0,20.0,13.0,0.0,7277.0,1649.0,3880.0,2700.0,17.0,12.666666666666666,87.4570030140507,63.00539230263133,24.451610711419363,33.0,20.0,13.0,0.0,7277.0,1649.0,3880.0,2700.0,17.0,12.666666666666666,87.4570030140507,63.00539230263133,24.451610711419363,qf,-10
9,255,335,37.0,18.0,14.0,1.0,6468.0,1092.0,3620.0,2150.0,13.0,15.0,71.00857110283056,62.80909325069448,8.199477852136079,37.0,18.0,14.0,1.0,6468.0,1092.0,3620.0,2150.0,13.0,15.0,71.00857110283056,62.80909325069448,8.199477852136079,qf,-80
10,206,305,37.0,18.0,14.0,1.0,6468.0,1092.0,3620.0,2150.0,13.0,15.0,71.00857110283056,62.80909325069448,8.199477852136079,37.0,18.0,14.0,1.0,6468.0,1092.0,3620.0,2150.0,13.0,15.0,71.00857110283056,62.80909325069448,8.199477852136079,qf,-99
11,280,195,29.0,19.0,10.0,3.0,6004.0,1297.0,3360.0,1950.0,4.0,13.666666666666666,60.001333581725646,56.57801188253586,3.423321699189792,29.0,19.0,10.0,3.0,6004.0,1297.0,3360.0,1950.0,4.0,13.666666666666666,60.001333581725646,56.57801188253586,3.423321699189792,qf,85
12,165,328,29.0,19.0,10.0,3.0,6004.0,1297.0,3360.0,1950.0,4.0,13.666666666666666,60.001333581725646,56.57801188253586,3.423321699189792,29.0,19.0,10.0,3.0,6004.0,1297.0,3360.0,1950.0,4.0,13.666666666666666,60.001333581725646,56.57801188253586,3.423321699189792,qf,-163
13,145,287,29.0,19.0,10.0,3.0,6004.0,1297.0,3360.0,1950.0,4.0,13.666666666666666,60.001333581725646,56.57801188253586,3.423321699189792,29.0,19.0,10.0,3.0,6004.0,1297.0,3360.0,1950.0,4.0,13.666666666666666,60.001333581725646,56.57801188253586,3.423321699189792,qf,-142
14,150,140,24.0,13.0,20.0,0.0,5671.0,985.0,3360.0,1650.0,11.0,31.0,46.29018839668202,75.0160152443727,-28.725826847690684,24.0,13.0,20.0,0.0,5671.0,985.0,3360.0,1650.0,11.0,31.0,46.29018839668202,75.0160152443727,-28.725826847690684,qm,10
15,95,125,21.0,15.0,17.0,0.0,5852.0,1169.0,3060.0,2100.0,17.0,28.666666666666668,53.934167014553054,52.92018238903626,1.0139846255167935,21.0,15.0,17.0,0.0,5852.0,1169.0,3060.0,2100.0,17.0,28.666666666666668,53.934167014553054,52.92018238903626,1.0139846255167935,qm,-30
16,146,271,23.0,16.0,14.0,2.0,5974.0,1105.0,3100.0,2150.0,14.0,23.0,57.575544790228236,69.58705677801598,-12.011511987787744,23.0,16.0,14.0,2.0,5974.0,1105.0,3100.0,2150.0,14.0,23.0,57.575544790228236,69.58705677801598,-12.011511987787744,qm,-125
17,150,125,33.0,21.0,12.0,0.0,6651.0,1276.0,3520.0,2400.0,11.0,17.666666666666668,72.26645857468841,47.61993855785528,24.646520016833136,33.0,21.0,12.0,0.0,6651.0,1276.0,3520.0,2400.0,11.0,17.666666666666668,72.26645857468841,47.61993855785528,24.646520016833136,qm,25
18,235,210,19.0,20.0,11.0,2.0,6837.0,1246.0,3500.0,2700.0,32.0,16.0,77.53695683236383,67.43468753224063,10.10226930012319,19.0,20.0,11.0,2.0,6837.0,1246.0,3500.0,2700.0,32.0,16.0,77.53695683236383,67.43468753224063,10.10226930012319,qm,25
19,180,180,15.0,12.0,17.0,4.0,5810.0,900.0,3440.0,1800.0,0.0,30.333333333333332,53.72618136612176,67.00845846124376,-13.282277095122,15.0,12.0,17.0,4.0,5810.0,900.0,3440.0,1800.0,0.0,30.333333333333332,53.72618136612176,67.00845846124376,-13.282277095122,qm,0
