,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,235,311,27.0,16.0,8.0,0.0,5765.0,1164.0,2840.0,2250.0,35.0,13.0,111.5777690979179,71.32796851944711,40.2498005784708,19.0,15.0,6.0,3.0,5789.0,1049.0,2660.0,2650.0,59.0,9.333333333333334,103.16914626357533,61.259942860008,41.90920340356733,f,-76
1,262,240,27.0,16.0,8.0,0.0,5765.0,1164.0,2840.0,2250.0,35.0,13.0,111.5777690979179,71.32796851944711,40.2498005784708,19.0,15.0,6.0,3.0,5789.0,1049.0,2660.0,2650.0,59.0,9.333333333333334,103.16914626357533,61.259942860008,41.90920340356733,f,22
2,311,306,27.0,16.0,8.0,0.0,5765.0,1164.0,2840.0,2250.0,35.0,13.0,111.5777690979179,71.32796851944711,40.2498005784708,19.0,15.0,6.0,3.0,5789.0,1049.0,2660.0,2650.0,59.0,9.333333333333334,103.16914626357533,61.259942860008,41.90920340356733,f,5
3,287,273,14.0,12.0,11.0,1.0,5424.0,977.0,2860.0,1950.0,9.0,25.666666666666668,85.56382572836219,86.84917240896584,-1.2853466806036475,26.0,18.0,6.0,0.0,5746.0,1069.0,2720.0,2450.0,26.0,11.666666666666666,87.46296067107671,52.48289149195974,34.980069179116974,qf,14
4,211,286,14.0,12.0,11.0,1.0,5424.0,977.0,2860.0,1950.0,9.0,25.666666666666668,85.56382572836219,86.84917240896584,-1.2853466806036475,26.0,18.0,6.0,0.0,5746.0,1069.0,2720.0,2450.0,26.0,11.666666666666666,87.46296067107671,52.48289149195974,34.980069179116974,qf,-75
5,235,290,14.0,12.0,11.0,1.0,5424.0,977.0,2860.0,1950.0,9.0,25.666666666666668,85.56382572836219,86.84917240896584,-1.2853466806036475,26.0,18.0,6.0,0.0,5746.0,1069.0,2720.0,2450.0,26.0,11.666666666666666,87.46296067107671,52.48289149195974,34.980069179116974,qf,-55
6,257,313,17.0,15.0,7.0,2.0,5433.0,1018.0,2620.0,1900.0,33.0,13.0,81.3490450133174,57.85210716376323,23.49693784955416,19.0,15.0,6.0,3.0,5789.0,1049.0,2660.0,2650.0,59.0,9.333333333333334,103.16914626357533,61.259942860008,41.90920340356733,qf,-56
7,313,336,17.0,15.0,7.0,2.0,5433.0,1018.0,2620.0,1900.0,33.0,13.0,81.3490450133174,57.85210716376323,23.49693784955416,19.0,15.0,6.0,3.0,5789.0,1049.0,2660.0,2650.0,59.0,9.333333333333334,103.16914626357533,61.259942860008,41.90920340356733,qf,-23
8,305,307,22.0,13.0,11.0,0.0,5439.0,923.0,2560.0,2300.0,19.0,22.333333333333332,89.05282649071137,95.79118496576861,-6.73835847505724,27.0,16.0,8.0,0.0,5765.0,1164.0,2840.0,2250.0,35.0,13.0,111.5777690979179,71.32796851944711,40.2498005784708,qf,-2
9,285,270,22.0,13.0,11.0,0.0,5439.0,923.0,2560.0,2300.0,19.0,22.333333333333332,89.05282649071137,95.79118496576861,-6.73835847505724,27.0,16.0,8.0,0.0,5765.0,1164.0,2840.0,2250.0,35.0,13.0,111.5777690979179,71.32796851944711,40.2498005784708,qf,15
10,185,279,22.0,13.0,11.0,0.0,5439.0,923.0,2560.0,2300.0,19.0,22.333333333333332,89.05282649071137,95.79118496576861,-6.73835847505724,27.0,16.0,8.0,0.0,5765.0,1164.0,2840.0,2250.0,35.0,13.0,111.5777690979179,71.32796851944711,40.2498005784708,qf,-94
11,250,314,22.0,16.0,7.0,1.0,5179.0,807.0,2480.0,2150.0,19.0,12.0,73.65448977777609,51.4478372997396,22.2066524780365,19.0,14.0,10.0,0.0,5370.0,893.0,2740.0,2100.0,40.0,22.333333333333332,91.3588788657796,99.47682664603474,-8.117947780255136,qf,-64
