,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,320,319,33.0,21.0,14.0,1.0,7680.0,1503.0,4160.0,2700.0,125.0,10.0,81.07619736705534,71.57457066422644,9.501626702828899,33.0,21.0,14.0,1.0,7680.0,1503.0,4160.0,2700.0,125.0,10.0,81.07619736705534,71.57457066422644,9.501626702828899,f,1
1,308,313,33.0,21.0,14.0,1.0,7680.0,1503.0,4160.0,2700.0,125.0,10.0,81.07619736705534,71.57457066422644,9.501626702828899,33.0,21.0,14.0,1.0,7680.0,1503.0,4160.0,2700.0,125.0,10.0,81.07619736705534,71.57457066422644,9.501626702828899,f,-5
2,0,277,33.0,21.0,14.0,1.0,7680.0,1503.0,4160.0,2700.0,125.0,10.0,81.07619736705534,71.57457066422644,9.501626702828899,33.0,21.0,14.0,1.0,7680.0,1503.0,4160.0,2700.0,125.0,10.0,81.07619736705534,71.57457066422644,9.501626702828899,f,-277
3,253,302,9.0,18.0,16.0,0.0,6670.0,1070.0,3580.0,2200.0,15.0,17.666666666666668,73.90915509950167,69.72103294623733,4.188122153264352,9.0,18.0,16.0,0.0,6670.0,1070.0,3580.0,2200.0,15.0,17.666666666666668,73.90915509950167,69.72103294623733,4.188122153264352,qf,-49
4,246,260,9.0,18.0,16.0,0.0,6670.0,1070.0,3580.0,2200.0,15.0,17.666666666666668,73.90915509950167,69.72103294623733,4.188122153264352,9.0,18.0,16.0,0.0,6670.0,1070.0,3580.0,2200.0,15.0,17.666666666666668,73.90915509950167,69.72103294623733,4.188122153264352,qf,-14
5,300,440,26.0,22.0,14.0,0.0,7265.0,1076.0,4040.0,2550.0,60.0,10.666666666666666,72.36903821381857,48.03305274623127,24.33598546758731,26.0,22.0,14.0,0.0,7265.0,1076.0,4040.0,2550.0,60.0,10.666666666666666,72.36903821381857,48.03305274623127,24.33598546758731,qf,-140
6,330,310,26.0,22.0,14.0,0.0,7265.0,1076.0,4040.0,2550.0,60.0,10.666666666666666,72.36903821381857,48.03305274623127,24.33598546758731,26.0,22.0,14.0,0.0,7265.0,1076.0,4040.0,2550.0,60.0,10.666666666666666,72.36903821381857,48.03305274623127,24.33598546758731,qf,20
7,306,255,26.0,22.0,14.0,0.0,7265.0,1076.0,4040.0,2550.0,60.0,10.666666666666666,72.36903821381857,48.03305274623127,24.33598546758731,26.0,22.0,14.0,0.0,7265.0,1076.0,4040.0,2550.0,60.0,10.666666666666666,72.36903821381857,48.03305274623127,24.33598546758731,qf,51
8,313,188,24.0,19.0,16.0,1.0,7170.0,1110.0,3860.0,2400.0,30.0,15.333333333333334,70.80810747754896,62.22530866282534,8.582798814723619,24.0,19.0,16.0,1.0,7170.0,1110.0,3860.0,2400.0,30.0,15.333333333333334,70.80810747754896,62.22530866282534,8.582798814723619,qf,125
9,301,305,24.0,19.0,16.0,1.0,7170.0,1110.0,3860.0,2400.0,30.0,15.333333333333334,70.80810747754896,62.22530866282534,8.582798814723619,24.0,19.0,16.0,1.0,7170.0,1110.0,3860.0,2400.0,30.0,15.333333333333334,70.80810747754896,62.22530866282534,8.582798814723619,qf,-4
