,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,493,501,16.0,19.0,12.0,2.0,10538.0,2272.0,5480.0,4100.0,453.0,10.333333333333334,118.45824811569975,91.62133207404442,26.836916041655332,16.0,19.0,12.0,2.0,10538.0,2272.0,5480.0,4100.0,453.0,10.333333333333334,118.45824811569975,91.62133207404442,26.836916041655332,f,-8
1,509,518,16.0,19.0,12.0,2.0,10538.0,2272.0,5480.0,4100.0,453.0,10.333333333333334,118.45824811569975,91.62133207404442,26.836916041655332,16.0,19.0,12.0,2.0,10538.0,2272.0,5480.0,4100.0,453.0,10.333333333333334,118.45824811569975,91.62133207404442,26.836916041655332,f,-9
2,214,522,26.0,15.0,18.0,0.0,10301.0,2457.0,5320.0,3800.0,506.0,26.333333333333332,111.18585884719232,104.1141611876141,7.071697659578224,26.0,15.0,18.0,0.0,10301.0,2457.0,5320.0,3800.0,506.0,26.333333333333332,111.18585884719232,104.1141611876141,7.071697659578224,qf,-308
3,395,523,14.0,18.0,15.0,0.0,10661.0,2335.0,5580.0,4150.0,221.0,15.666666666666666,116.93076449408458,101.25832842143551,15.672436072649058,14.0,18.0,15.0,0.0,10661.0,2335.0,5580.0,4150.0,221.0,15.666666666666666,116.93076449408458,101.25832842143551,15.672436072649058,qf,-128
4,321,250,17.0,20.0,13.0,0.0,10444.0,2341.0,5460.0,4000.0,219.0,18.333333333333332,113.66629380650465,96.89940384800816,16.76688995849648,17.0,20.0,13.0,0.0,10444.0,2341.0,5460.0,4000.0,219.0,18.333333333333332,113.66629380650465,96.89940384800816,16.76688995849648,qf,71
5,311,229,17.0,20.0,13.0,0.0,10444.0,2341.0,5460.0,4000.0,219.0,18.333333333333332,113.66629380650465,96.89940384800816,16.76688995849648,17.0,20.0,13.0,0.0,10444.0,2341.0,5460.0,4000.0,219.0,18.333333333333332,113.66629380650465,96.89940384800816,16.76688995849648,qf,82
6,449,417,18.0,17.0,16.0,0.0,10277.0,2460.0,5420.0,4000.0,237.0,26.0,103.7121382202843,113.48526621590212,-9.773127995617818,18.0,17.0,16.0,0.0,10277.0,2460.0,5420.0,4000.0,237.0,26.0,103.7121382202843,113.48526621590212,-9.773127995617818,qf,32
7,465,498,18.0,17.0,16.0,0.0,10277.0,2460.0,5420.0,4000.0,237.0,26.0,103.7121382202843,113.48526621590212,-9.773127995617818,18.0,17.0,16.0,0.0,10277.0,2460.0,5420.0,4000.0,237.0,26.0,103.7121382202843,113.48526621590212,-9.773127995617818,qf,-33
8,440,424,18.0,17.0,16.0,0.0,10277.0,2460.0,5420.0,4000.0,237.0,26.0,103.7121382202843,113.48526621590212,-9.773127995617818,18.0,17.0,16.0,0.0,10277.0,2460.0,5420.0,4000.0,237.0,26.0,103.7121382202843,113.48526621590212,-9.773127995617818,qf,16
9,470,480,10.0,19.0,13.0,1.0,10473.0,2467.0,5440.0,4000.0,323.0,13.333333333333334,105.68865742793696,91.50107269858451,14.187584729352437,10.0,19.0,13.0,1.0,10473.0,2467.0,5440.0,4000.0,323.0,13.333333333333334,105.68865742793696,91.50107269858451,14.187584729352437,qf,-10
