,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,215,330,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,34.0,12.0,5.0,1.0,4202.0,839.0,2100.0,1650.0,72.0,9.0,104.38317394981506,70.83456516913954,33.54860878067552,f,-115
1,200,345,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,34.0,12.0,5.0,1.0,4202.0,839.0,2100.0,1650.0,72.0,9.0,104.38317394981506,70.83456516913954,33.54860878067552,f,-145
2,210,273,8.0,8.0,10.0,0.0,4072.0,452.0,1960.0,1850.0,37.0,16.666666666666668,93.409118547201,80.05510094507991,13.35401760212109,34.0,12.0,5.0,1.0,4202.0,839.0,2100.0,1650.0,72.0,9.0,104.38317394981506,70.83456516913954,33.54860878067552,qf,-63
3,300,317,8.0,8.0,10.0,0.0,4072.0,452.0,1960.0,1850.0,37.0,16.666666666666668,93.409118547201,80.05510094507991,13.35401760212109,34.0,12.0,5.0,1.0,4202.0,839.0,2100.0,1650.0,72.0,9.0,104.38317394981506,70.83456516913954,33.54860878067552,qf,-17
4,260,300,25.0,9.0,8.0,1.0,4156.0,841.0,2160.0,1650.0,36.0,11.0,92.03570768136235,74.2643409546687,17.771366726693653,21.0,11.0,7.0,0.0,3913.0,596.0,2080.0,1500.0,33.0,8.666666666666666,72.52092190259798,75.05026158288352,-2.5293396802855597,qf,-40
5,263,282,25.0,9.0,8.0,1.0,4156.0,841.0,2160.0,1650.0,36.0,11.0,92.03570768136235,74.2643409546687,17.771366726693653,21.0,11.0,7.0,0.0,3913.0,596.0,2080.0,1500.0,33.0,8.666666666666666,72.52092190259798,75.05026158288352,-2.5293396802855597,qf,-19
6,206,245,15.0,8.0,10.0,0.0,3800.0,631.0,2000.0,1450.0,50.0,17.666666666666668,66.04835197705184,76.95106968321414,-10.902717706162305,35.0,10.0,7.0,1.0,4100.0,645.0,1960.0,1800.0,25.0,11.666666666666666,101.61573440480304,67.84362450198215,33.77210990282089,qf,-39
7,149,120,15.0,8.0,10.0,0.0,3800.0,631.0,2000.0,1450.0,50.0,17.666666666666668,66.04835197705184,76.95106968321414,-10.902717706162305,35.0,10.0,7.0,1.0,4100.0,645.0,1960.0,1800.0,25.0,11.666666666666666,101.61573440480304,67.84362450198215,33.77210990282089,qf,29
8,190,215,15.0,8.0,10.0,0.0,3800.0,631.0,2000.0,1450.0,50.0,17.666666666666668,66.04835197705184,76.95106968321414,-10.902717706162305,35.0,10.0,7.0,1.0,4100.0,645.0,1960.0,1800.0,25.0,11.666666666666666,101.61573440480304,67.84362450198215,33.77210990282089,qf,-25
9,195,240,23.0,9.0,8.0,1.0,3605.0,422.0,1860.0,1450.0,20.0,15.0,45.42497801513982,59.93772726109847,-14.512749245958645,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,qf,-45
10,235,165,23.0,9.0,8.0,1.0,3605.0,422.0,1860.0,1450.0,20.0,15.0,45.42497801513982,59.93772726109847,-14.512749245958645,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,qf,70
11,195,255,23.0,9.0,8.0,1.0,3605.0,422.0,1860.0,1450.0,20.0,15.0,45.42497801513982,59.93772726109847,-14.512749245958645,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,qf,-60
12,205,108,8.0,13.0,5.0,0.0,3925.0,573.0,2160.0,1400.0,10.0,5.0,79.32816566684875,54.35698783312548,24.971177833723278,10.0,9.0,8.0,1.0,3685.0,649.0,1840.0,1500.0,85.0,14.666666666666666,61.760156584328236,70.88669060473767,-9.126534020409439,qm,97
13,153,195,32.0,8.0,9.0,1.0,3647.0,625.0,1960.0,1300.0,37.0,18.333333333333332,63.65223538906107,76.76601677423389,-13.113781385172826,29.0,7.0,10.0,1.0,3552.0,672.0,1860.0,1400.0,27.0,16.333333333333332,63.7106819700546,63.1948026683716,0.5158793016830098,qm,-42
14,290,255,6.0,11.0,7.0,0.0,4073.0,591.0,2160.0,1600.0,18.0,7.666666666666667,90.32921319182778,73.72231119578574,16.606901996042048,22.0,7.0,11.0,0.0,3746.0,669.0,2020.0,1450.0,31.0,20.666666666666668,62.976098195734984,89.08649235252086,-26.110394156785887,qm,35
15,274,140,15.0,11.0,7.0,0.0,4196.0,796.0,2180.0,1600.0,31.0,11.0,89.31881787846446,61.59697136772103,27.721846510743433,20.0,8.0,10.0,0.0,3426.0,529.0,1900.0,1250.0,16.0,18.0,42.69298213174591,66.0954680938247,-23.4024859620788,qm,134
16,230,196,19.0,12.0,6.0,0.0,3870.0,409.0,1900.0,1650.0,25.0,10.333333333333334,78.73020373793322,53.83343051816365,24.896773219769567,30.0,7.0,11.0,0.0,3725.0,647.0,2000.0,1350.0,50.0,22.666666666666668,57.70743793342856,70.80782170492569,-13.100383771497135,qm,34
17,302,190,22.0,9.0,9.0,0.0,3900.0,653.0,1920.0,1600.0,100.0,13.666666666666666,82.07433312810467,74.20921755174017,7.865115576364498,17.0,9.0,9.0,0.0,3811.0,465.0,1880.0,1650.0,46.0,14.0,57.247821025334666,86.3916850594806,-29.14386403414593,qm,112
18,215,215,33.0,7.0,8.0,3.0,3666.0,730.0,1840.0,1500.0,26.0,17.333333333333332,77.10127418426252,65.59990366005147,11.50137052421106,16.0,6.0,9.0,3.0,3906.0,805.0,2060.0,1500.0,11.0,19.666666666666668,71.43292970427453,68.26780960689713,3.1651200973773896,qm,0
19,235,225,9.0,13.0,5.0,0.0,3872.0,447.0,1980.0,1550.0,37.0,5.666666666666667,71.81428449134732,62.8969544578145,8.917330033532812,20.0,9.0,9.0,0.0,3965.0,371.0,1940.0,1800.0,20.0,13.666666666666666,81.44538568330488,69.0455911190024,12.399794564302455,qm,10
20,195,245,22.0,7.0,10.0,1.0,3796.0,495.0,1880.0,1600.0,26.0,19.666666666666668,59.79258196218549,75.46360404785375,-15.671022085668264,17.0,9.0,9.0,0.0,3836.0,726.0,2120.0,1350.0,26.0,11.666666666666666,62.91598713621161,65.65069178591101,-2.7347046496993905,qm,-50
21,230,165,17.0,9.0,8.0,1.0,3549.0,498.0,1900.0,1350.0,19.0,18.0,55.117939669787496,53.514054429581655,1.603885240205848,9.0,4.0,14.0,0.0,3375.0,684.0,1820.0,1250.0,45.0,28.0,50.17546420688075,86.84133736695496,-36.665873160074206,qm,65
22,220,296,23.0,10.0,7.0,1.0,3920.0,669.0,1920.0,1650.0,80.0,10.666666666666666,87.2504795991624,56.21838893726615,31.03209066189625,43.0,10.0,7.0,1.0,4159.0,872.0,2160.0,1550.0,24.0,15.0,93.18554405597973,84.09494307363724,9.090600982342494,qm,-76
23,95,185,4.0,6.0,12.0,0.0,3569.0,584.0,1920.0,1350.0,14.0,21.333333333333332,45.943507091706785,72.32225284266922,-26.37874575096242,5.0,8.0,9.0,1.0,3858.0,733.0,2120.0,1450.0,28.0,16.0,62.77117448207634,61.46464928137734,1.3065252006990076,qm,-90
24,169,312,14.0,7.0,10.0,1.0,3645.0,700.0,2020.0,1300.0,40.0,20.333333333333332,53.335569755528475,74.47493618726345,-21.13936643173497,26.0,9.0,8.0,1.0,4202.0,832.0,2120.0,1750.0,37.0,12.333333333333334,94.57787455072314,81.41060970582592,13.167264844897206,qm,-143
25,215,304,29.0,8.0,10.0,0.0,3978.0,743.0,2080.0,1500.0,43.0,15.0,72.51966386651839,84.06672590404571,-11.547062037527331,9.0,7.0,10.0,1.0,3804.0,585.0,1880.0,1650.0,44.0,20.0,79.21124727386075,68.45875834928296,10.752488924577781,qm,-89
26,275,250,19.0,13.0,5.0,0.0,4430.0,645.0,2220.0,1900.0,30.0,6.333333333333333,106.68623027002845,63.73997770665587,42.946252563372575,10.0,9.0,8.0,1.0,3926.0,756.0,2060.0,1450.0,11.0,14.0,80.7243052842512,59.44777513790749,21.27653014634372,qm,25
27,255,140,21.0,9.0,8.0,1.0,3850.0,703.0,2020.0,1500.0,65.0,13.666666666666666,73.18711881641325,65.04516850763383,8.1419503087794,39.0,6.0,12.0,0.0,3572.0,371.0,1840.0,1450.0,37.0,27.0,59.73430881806172,85.326310964943,-25.592002146881295,qm,115
28,255,160,9.0,12.0,6.0,0.0,4031.0,630.0,2120.0,1600.0,26.0,7.0,80.80915028997953,66.1199259013734,14.68922438860612,16.0,7.0,10.0,1.0,3468.0,733.0,1960.0,1150.0,18.0,19.0,46.50249111081666,82.81439756222674,-36.311906451410074,qm,95
29,99,235,21.0,7.0,11.0,0.0,3510.0,625.0,1840.0,1350.0,65.0,20.0,40.85871486217568,76.04911166468143,-35.19039680250576,27.0,9.0,7.0,2.0,3750.0,503.0,1840.0,1600.0,15.0,13.0,69.37788051900567,58.54295941236055,10.83492110664511,qm,-136
30,250,252,12.0,6.0,11.0,1.0,3876.0,767.0,2020.0,1550.0,11.0,20.0,85.97487342726647,78.39840802171163,7.576465405554861,19.0,10.0,8.0,0.0,3826.0,471.0,1860.0,1600.0,81.0,13.0,75.59610545811644,85.13521689674555,-9.53911143862912,qm,-2
31,235,195,29.0,8.0,9.0,1.0,3720.0,557.0,1900.0,1550.0,20.0,17.333333333333332,69.3993438652381,81.51564593799866,-12.116302072760552,9.0,9.0,9.0,0.0,3905.0,629.0,1960.0,1600.0,40.0,16.0,75.44425572550561,63.0025039109885,12.441751814517113,qm,40
32,145,295,28.0,5.0,11.0,2.0,3481.0,694.0,1820.0,1300.0,26.0,23.666666666666668,44.23483786071127,82.53330042214371,-38.29846256143244,16.0,8.0,10.0,0.0,3972.0,479.0,2000.0,1650.0,47.0,17.0,83.0101173751477,71.34286980169833,11.667247573449368,qm,-150
33,100,200,31.0,8.0,9.0,1.0,3495.0,521.0,1820.0,1400.0,45.0,16.333333333333332,47.156255423743026,53.5607880363508,-6.404532612607778,7.0,12.0,6.0,0.0,3937.0,702.0,2160.0,1450.0,27.0,8.333333333333334,65.74525454888489,44.63573824021572,21.10951630866916,qm,-100
34,240,260,42.0,8.0,9.0,1.0,3790.0,484.0,1760.0,1750.0,40.0,16.333333333333332,79.8270065693052,80.92829945707018,-1.1012928877649841,20.0,9.0,8.0,1.0,4135.0,908.0,2220.0,1550.0,25.0,12.0,84.99028411456703,81.5247719288356,3.465512185731422,qm,-20
35,262,255,31.0,13.0,5.0,0.0,4061.0,604.0,2040.0,1650.0,46.0,7.666666666666667,83.13445187112274,66.67494688677168,16.45950498435106,18.0,8.0,9.0,1.0,4046.0,870.0,2280.0,1400.0,11.0,15.666666666666666,79.91561555537503,82.81169295648647,-2.8960774011114387,qm,7
36,147,235,16.0,8.0,10.0,0.0,3719.0,488.0,1960.0,1450.0,39.0,20.0,65.07044132672102,86.55243938652187,-21.48199805980084,34.0,10.0,7.0,1.0,3946.0,573.0,1980.0,1600.0,36.0,16.666666666666668,78.56033078808578,49.28204467388204,29.278286114203752,qm,-88
37,150,235,26.0,6.0,11.0,1.0,3741.0,741.0,1920.0,1450.0,51.0,19.0,73.95641175890394,84.98444062937637,-11.028028870472435,35.0,10.0,8.0,0.0,3951.0,561.0,1980.0,1650.0,26.0,14.0,77.40363272856818,67.30853447351528,10.095098255052896,qm,-85
38,140,150,17.0,6.0,11.0,1.0,3493.0,538.0,1780.0,1400.0,33.0,23.333333333333332,45.31979354825634,71.31313828441363,-25.99334473615728,15.0,12.0,6.0,0.0,3752.0,509.0,1940.0,1450.0,37.0,8.0,62.02079779819852,62.21201391309601,-0.19121611489749077,qm,-10
39,155,236,26.0,7.0,10.0,1.0,3941.0,612.0,1960.0,1650.0,11.0,19.333333333333332,69.93477252134262,78.24361520950082,-8.30884268815818,29.0,12.0,6.0,0.0,3962.0,606.0,2040.0,1600.0,32.0,10.666666666666666,75.11462517789222,63.61111636594317,11.503508811949038,qm,-81
40,185,258,7.0,8.0,9.0,1.0,4049.0,857.0,2200.0,1550.0,34.0,16.333333333333332,80.69092495023806,75.26907666776515,5.421848282472905,16.0,10.0,8.0,0.0,3875.0,619.0,1860.0,1650.0,90.0,12.333333333333334,85.13180639398547,70.50531746595377,14.626488928031705,qm,-73
41,285,180,12.0,8.0,9.0,1.0,4012.0,597.0,2040.0,1650.0,37.0,16.0,80.66693850302744,69.4909567102366,11.175981792790845,17.0,9.0,9.0,0.0,4036.0,659.0,2220.0,1500.0,16.0,14.333333333333334,83.36853485905493,79.00505705159642,4.363477807458506,qm,105
42,291,316,21.0,11.0,7.0,0.0,3913.0,596.0,2080.0,1500.0,33.0,8.666666666666666,72.52092190259798,75.05026158288352,-2.5293396802855597,34.0,12.0,5.0,1.0,4202.0,839.0,2100.0,1650.0,72.0,9.0,104.38317394981506,70.83456516913954,33.54860878067552,sf,-25
43,207,317,21.0,11.0,7.0,0.0,3913.0,596.0,2080.0,1500.0,33.0,8.666666666666666,72.52092190259798,75.05026158288352,-2.5293396802855597,34.0,12.0,5.0,1.0,4202.0,839.0,2100.0,1650.0,72.0,9.0,104.38317394981506,70.83456516913954,33.54860878067552,sf,-110
44,255,255,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,35.0,10.0,7.0,1.0,4100.0,645.0,1960.0,1800.0,25.0,11.666666666666666,101.61573440480304,67.84362450198215,33.77210990282089,sf,0
45,305,225,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,35.0,10.0,7.0,1.0,4100.0,645.0,1960.0,1800.0,25.0,11.666666666666666,101.61573440480304,67.84362450198215,33.77210990282089,sf,80
46,300,225,27.0,9.0,9.0,0.0,3649.0,386.0,1900.0,1450.0,14.0,19.0,61.03442226975405,73.20020707067695,-12.165784800922902,35.0,10.0,7.0,1.0,4100.0,645.0,1960.0,1800.0,25.0,11.666666666666666,101.61573440480304,67.84362450198215,33.77210990282089,sf,75
