,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,259,445,9.0,20.0,16.0,0.0,9973.0,2288.0,4760.0,4000.0,413.0,14.666666666666666,110.31024790539529,85.46033082847548,24.84991707691982,9.0,20.0,16.0,0.0,9973.0,2288.0,4760.0,4000.0,413.0,14.666666666666666,110.31024790539529,85.46033082847548,24.84991707691982,f,-186
1,413,395,9.0,20.0,16.0,0.0,9973.0,2288.0,4760.0,4000.0,413.0,14.666666666666666,110.31024790539529,85.46033082847548,24.84991707691982,9.0,20.0,16.0,0.0,9973.0,2288.0,4760.0,4000.0,413.0,14.666666666666666,110.31024790539529,85.46033082847548,24.84991707691982,f,18
2,239,305,9.0,20.0,16.0,0.0,9973.0,2288.0,4760.0,4000.0,413.0,14.666666666666666,110.31024790539529,85.46033082847548,24.84991707691982,9.0,20.0,16.0,0.0,9973.0,2288.0,4760.0,4000.0,413.0,14.666666666666666,110.31024790539529,85.46033082847548,24.84991707691982,f,-66
3,255,513,12.0,22.0,14.0,0.0,9302.0,1617.0,4500.0,3850.0,147.0,15.0,98.90163308204983,78.46061260021783,20.44102048183201,12.0,22.0,14.0,0.0,9302.0,1617.0,4500.0,3850.0,147.0,15.0,98.90163308204983,78.46061260021783,20.44102048183201,qf,-258
4,256,510,12.0,22.0,14.0,0.0,9302.0,1617.0,4500.0,3850.0,147.0,15.0,98.90163308204983,78.46061260021783,20.44102048183201,12.0,22.0,14.0,0.0,9302.0,1617.0,4500.0,3850.0,147.0,15.0,98.90163308204983,78.46061260021783,20.44102048183201,qf,-254
5,242,352,28.0,20.0,16.0,0.0,9499.0,1989.0,4900.0,3800.0,229.0,12.0,97.84185161802174,88.20836534435337,9.633486273668359,28.0,20.0,16.0,0.0,9499.0,1989.0,4900.0,3800.0,229.0,12.0,97.84185161802174,88.20836534435337,9.633486273668359,qf,-110
6,159,450,28.0,20.0,16.0,0.0,9499.0,1989.0,4900.0,3800.0,229.0,12.0,97.84185161802174,88.20836534435337,9.633486273668359,28.0,20.0,16.0,0.0,9499.0,1989.0,4900.0,3800.0,229.0,12.0,97.84185161802174,88.20836534435337,9.633486273668359,qf,-291
7,209,420,34.0,19.0,17.0,0.0,9428.0,2302.0,4620.0,3650.0,308.0,20.666666666666668,99.21617060301018,91.93497111303653,7.281199489973645,34.0,19.0,17.0,0.0,9428.0,2302.0,4620.0,3650.0,308.0,20.666666666666668,99.21617060301018,91.93497111303653,7.281199489973645,qf,-211
8,455,235,34.0,19.0,17.0,0.0,9428.0,2302.0,4620.0,3650.0,308.0,20.666666666666668,99.21617060301018,91.93497111303653,7.281199489973645,34.0,19.0,17.0,0.0,9428.0,2302.0,4620.0,3650.0,308.0,20.666666666666668,99.21617060301018,91.93497111303653,7.281199489973645,qf,220
9,240,285,34.0,19.0,17.0,0.0,9428.0,2302.0,4620.0,3650.0,308.0,20.666666666666668,99.21617060301018,91.93497111303653,7.281199489973645,34.0,19.0,17.0,0.0,9428.0,2302.0,4620.0,3650.0,308.0,20.666666666666668,99.21617060301018,91.93497111303653,7.281199489973645,qf,-45
10,305,421,4.0,23.0,13.0,0.0,9626.0,1910.0,4680.0,3850.0,176.0,14.666666666666666,93.92744440520697,80.39198521666074,13.53545918854622,4.0,23.0,13.0,0.0,9626.0,1910.0,4680.0,3850.0,176.0,14.666666666666666,93.92744440520697,80.39198521666074,13.53545918854622,qf,-116
11,290,453,4.0,23.0,13.0,0.0,9626.0,1910.0,4680.0,3850.0,176.0,14.666666666666666,93.92744440520697,80.39198521666074,13.53545918854622,4.0,23.0,13.0,0.0,9626.0,1910.0,4680.0,3850.0,176.0,14.666666666666666,93.92744440520697,80.39198521666074,13.53545918854622,qf,-163
12,262,367,15.0,20.0,16.0,0.0,9309.0,1925.0,4580.0,3700.0,389.0,17.0,88.56018791287609,93.62095673526483,-5.060768822388712,15.0,20.0,16.0,0.0,9309.0,1925.0,4580.0,3700.0,389.0,17.0,88.56018791287609,93.62095673526483,-5.060768822388712,qm,-105
13,205,165,35.0,20.0,16.0,0.0,9480.0,2089.0,4980.0,3550.0,135.0,13.666666666666666,98.21518777274576,99.45147693353589,-1.2362891607901172,35.0,20.0,16.0,0.0,9480.0,2089.0,4980.0,3550.0,135.0,13.666666666666666,98.21518777274576,99.45147693353589,-1.2362891607901172,qm,40
14,145,286,4.0,17.0,19.0,0.0,8621.0,1651.0,4460.0,3200.0,236.0,20.333333333333332,71.62655665509176,87.78227732683338,-16.155720671741626,4.0,17.0,19.0,0.0,8621.0,1651.0,4460.0,3200.0,236.0,20.333333333333332,71.62655665509176,87.78227732683338,-16.155720671741626,qm,-141
15,232,198,21.0,23.0,13.0,0.0,9689.0,2314.0,4980.0,3600.0,104.0,12.0,98.50354173857316,91.68131150255175,6.822230236021407,21.0,23.0,13.0,0.0,9689.0,2314.0,4980.0,3600.0,104.0,12.0,98.50354173857316,91.68131150255175,6.822230236021407,qm,34
16,301,227,23.0,19.0,17.0,0.0,9547.0,1948.0,4640.0,4000.0,197.0,21.0,101.52375700530462,90.09318249922842,11.430574506076212,23.0,19.0,17.0,0.0,9547.0,1948.0,4640.0,4000.0,197.0,21.0,101.52375700530462,90.09318249922842,11.430574506076212,qm,74
17,213,145,5.0,21.0,15.0,0.0,9264.0,1726.0,4520.0,3750.0,389.0,13.333333333333334,93.28606801053797,87.76532004313724,5.520747967400733,5.0,21.0,15.0,0.0,9264.0,1726.0,4520.0,3750.0,389.0,13.333333333333334,93.28606801053797,87.76532004313724,5.520747967400733,qm,68
18,135,150,10.0,12.0,24.0,0.0,8381.0,1711.0,4480.0,3050.0,191.0,34.333333333333336,61.33545585013857,68.9276131852588,-7.592157335120241,10.0,12.0,24.0,0.0,8381.0,1711.0,4480.0,3050.0,191.0,34.333333333333336,61.33545585013857,68.9276131852588,-7.592157335120241,qm,-15
19,295,225,5.0,22.0,14.0,0.0,9798.0,2295.0,4940.0,3600.0,238.0,11.333333333333334,104.6247412376818,88.94850538692333,15.676235850758465,5.0,22.0,14.0,0.0,9798.0,2295.0,4940.0,3600.0,238.0,11.333333333333334,104.6247412376818,88.94850538692333,15.676235850758465,qm,70
20,255,235,18.0,16.0,20.0,0.0,9055.0,2065.0,4760.0,3350.0,215.0,21.666666666666668,81.50201694467893,88.10112403242401,-6.599107087745068,18.0,16.0,20.0,0.0,9055.0,2065.0,4760.0,3350.0,215.0,21.666666666666668,81.50201694467893,88.10112403242401,-6.599107087745068,qm,20
21,266,197,41.0,18.0,18.0,0.0,9066.0,2155.0,4540.0,3600.0,316.0,23.0,84.8899938040015,83.74023662313625,1.1497571808652534,41.0,18.0,18.0,0.0,9066.0,2155.0,4540.0,3600.0,316.0,23.0,84.8899938040015,83.74023662313625,1.1497571808652534,qm,69
22,215,285,16.0,16.0,20.0,0.0,8761.0,1933.0,4360.0,3550.0,211.0,23.666666666666668,75.23673430588299,96.48777403404938,-21.2510397281664,16.0,16.0,20.0,0.0,8761.0,1933.0,4360.0,3550.0,211.0,23.666666666666668,75.23673430588299,96.48777403404938,-21.2510397281664,qm,-70
23,280,235,18.0,23.0,13.0,0.0,9329.0,1785.0,4520.0,3950.0,154.0,12.0,87.46128793720716,72.08720911258779,15.37407882461938,18.0,23.0,13.0,0.0,9329.0,1785.0,4520.0,3950.0,154.0,12.0,87.46128793720716,72.08720911258779,15.37407882461938,qm,45
24,262,300,6.0,16.0,19.0,0.0,8655.0,1832.0,4620.0,3000.0,185.0,19.333333333333332,80.96426857858702,87.26292637554091,-6.29865779695388,6.0,16.0,19.0,0.0,8655.0,1832.0,4620.0,3000.0,185.0,19.333333333333332,80.96426857858702,87.26292637554091,-6.29865779695388,qm,-38
25,398,302,34.0,24.0,12.0,0.0,9923.0,2300.0,4900.0,3800.0,348.0,6.666666666666667,111.2702732681721,91.4512245332446,19.819048734927517,34.0,24.0,12.0,0.0,9923.0,2300.0,4900.0,3800.0,348.0,6.666666666666667,111.2702732681721,91.4512245332446,19.819048734927517,qm,96
26,230,225,6.0,21.0,15.0,0.0,8592.0,1436.0,4320.0,3450.0,222.0,19.333333333333332,71.43028544057971,74.07145390641834,-2.6411684658386343,6.0,21.0,15.0,0.0,8592.0,1436.0,4320.0,3450.0,222.0,19.333333333333332,71.43028544057971,74.07145390641834,-2.6411684658386343,qm,5
