,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,330,382,25.0,24.0,11.0,1.0,8414.0,1935.0,4320.0,3150.0,49.0,10.333333333333334,96.95978032807129,69.99577725888099,26.964003069190287,8.0,25.0,11.0,0.0,8383.0,1883.0,4460.0,2750.0,53.0,6.0,93.26237041420585,51.83872643160274,41.4236439826031,f,-52
1,255,258,25.0,24.0,11.0,1.0,8414.0,1935.0,4320.0,3150.0,49.0,10.333333333333334,96.95978032807129,69.99577725888099,26.964003069190287,8.0,25.0,11.0,0.0,8383.0,1883.0,4460.0,2750.0,53.0,6.0,93.26237041420585,51.83872643160274,41.4236439826031,f,-3
2,235,346,7.0,20.0,16.0,0.0,7786.0,1506.0,4100.0,2500.0,31.0,13.0,74.09322595724451,59.9291781401602,14.164047817084318,9.0,23.0,13.0,0.0,8424.0,1894.0,4580.0,2800.0,54.0,10.0,96.61829949171805,68.04824848758557,28.570051004132477,qf,-111
3,205,283,7.0,20.0,16.0,0.0,7786.0,1506.0,4100.0,2500.0,31.0,13.0,74.09322595724451,59.9291781401602,14.164047817084318,9.0,23.0,13.0,0.0,8424.0,1894.0,4580.0,2800.0,54.0,10.0,96.61829949171805,68.04824848758557,28.570051004132477,qf,-78
4,212,165,12.0,17.0,19.0,0.0,7672.0,1834.0,4400.0,2300.0,137.0,18.666666666666668,75.13151067194197,65.33429034718391,9.797220324758051,10.0,19.0,17.0,0.0,7775.0,1657.0,4140.0,2400.0,40.0,15.666666666666666,83.35392194584524,65.16241881879468,18.19150312705057,qf,47
5,264,305,12.0,17.0,19.0,0.0,7672.0,1834.0,4400.0,2300.0,137.0,18.666666666666668,75.13151067194197,65.33429034718391,9.797220324758051,10.0,19.0,17.0,0.0,7775.0,1657.0,4140.0,2400.0,40.0,15.666666666666666,83.35392194584524,65.16241881879468,18.19150312705057,qf,-41
6,248,205,12.0,17.0,19.0,0.0,7672.0,1834.0,4400.0,2300.0,137.0,18.666666666666668,75.13151067194197,65.33429034718391,9.797220324758051,10.0,19.0,17.0,0.0,7775.0,1657.0,4140.0,2400.0,40.0,15.666666666666666,83.35392194584524,65.16241881879468,18.19150312705057,qf,43
7,290,255,15.0,15.0,19.0,2.0,7391.0,1568.0,4200.0,2100.0,21.0,23.0,69.46580980824,60.91066591113258,8.555143897107405,25.0,24.0,11.0,1.0,8414.0,1935.0,4320.0,3150.0,49.0,10.333333333333334,96.95978032807129,69.99577725888099,26.964003069190287,qf,35
8,255,330,15.0,15.0,19.0,2.0,7391.0,1568.0,4200.0,2100.0,21.0,23.0,69.46580980824,60.91066591113258,8.555143897107405,25.0,24.0,11.0,1.0,8414.0,1935.0,4320.0,3150.0,49.0,10.333333333333334,96.95978032807129,69.99577725888099,26.964003069190287,qf,-75
9,155,280,15.0,15.0,19.0,2.0,7391.0,1568.0,4200.0,2100.0,21.0,23.0,69.46580980824,60.91066591113258,8.555143897107405,25.0,24.0,11.0,1.0,8414.0,1935.0,4320.0,3150.0,49.0,10.333333333333334,96.95978032807129,69.99577725888099,26.964003069190287,qf,-125
10,215,0,6.0,18.0,17.0,1.0,7528.0,1446.0,4000.0,2600.0,53.0,15.333333333333334,71.96847840688336,83.1867104362784,-11.218232029395056,20.0,21.0,15.0,0.0,8046.0,1883.0,4420.0,2650.0,76.0,11.0,88.70957585666845,58.31292348843552,30.396652368232935,qf,215
11,255,316,6.0,18.0,17.0,1.0,7528.0,1446.0,4000.0,2600.0,53.0,15.333333333333334,71.96847840688336,83.1867104362784,-11.218232029395056,20.0,21.0,15.0,0.0,8046.0,1883.0,4420.0,2650.0,76.0,11.0,88.70957585666845,58.31292348843552,30.396652368232935,qf,-61
