,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,240,305,11.0,19.0,15.0,2.0,9139.0,1617.0,4420.0,3900.0,14.0,10.333333333333334,99.22772852866832,76.84599484385875,22.38173368480958,20.0,21.0,14.0,1.0,9153.0,1834.0,4440.0,3850.0,113.0,7.666666666666667,93.67504732785933,67.35728220744096,26.317765120418382,f,-65
1,310,308,11.0,19.0,15.0,2.0,9139.0,1617.0,4420.0,3900.0,14.0,10.333333333333334,99.22772852866832,76.84599484385875,22.38173368480958,20.0,21.0,14.0,1.0,9153.0,1834.0,4440.0,3850.0,113.0,7.666666666666667,93.67504732785933,67.35728220744096,26.317765120418382,f,2
2,310,325,11.0,19.0,15.0,2.0,9139.0,1617.0,4420.0,3900.0,14.0,10.333333333333334,99.22772852866832,76.84599484385875,22.38173368480958,20.0,21.0,14.0,1.0,9153.0,1834.0,4440.0,3850.0,113.0,7.666666666666667,93.67504732785933,67.35728220744096,26.317765120418382,f,-15
3,287,320,23.0,18.0,17.0,1.0,8530.0,1173.0,4140.0,3550.0,55.0,14.0,75.30067506656471,94.18903686929741,-18.888361802732707,20.0,21.0,14.0,1.0,9153.0,1834.0,4440.0,3850.0,113.0,7.666666666666667,93.67504732785933,67.35728220744096,26.317765120418382,qf,-33
4,284,330,23.0,18.0,17.0,1.0,8530.0,1173.0,4140.0,3550.0,55.0,14.0,75.30067506656471,94.18903686929741,-18.888361802732707,20.0,21.0,14.0,1.0,9153.0,1834.0,4440.0,3850.0,113.0,7.666666666666667,93.67504732785933,67.35728220744096,26.317765120418382,qf,-46
5,255,314,24.0,20.0,14.0,2.0,8920.0,1705.0,4200.0,3900.0,55.0,10.666666666666666,95.74400498899662,65.70086124174362,30.04314374725301,17.0,20.0,16.0,0.0,8854.0,1295.0,4300.0,3850.0,99.0,11.333333333333334,89.65214755481519,72.36277816084355,17.289369393971636,qf,-59
6,255,236,24.0,20.0,14.0,2.0,8920.0,1705.0,4200.0,3900.0,55.0,10.666666666666666,95.74400498899662,65.70086124174362,30.04314374725301,17.0,20.0,16.0,0.0,8854.0,1295.0,4300.0,3850.0,99.0,11.333333333333334,89.65214755481519,72.36277816084355,17.289369393971636,qf,19
7,255,264,24.0,20.0,14.0,2.0,8920.0,1705.0,4200.0,3900.0,55.0,10.666666666666666,95.74400498899662,65.70086124174362,30.04314374725301,17.0,20.0,16.0,0.0,8854.0,1295.0,4300.0,3850.0,99.0,11.333333333333334,89.65214755481519,72.36277816084355,17.289369393971636,qf,-9
8,215,310,12.0,18.0,18.0,0.0,7978.0,1282.0,3840.0,3450.0,48.0,16.666666666666668,68.79813700494473,72.70729493660376,-3.909157931659024,11.0,19.0,15.0,2.0,9139.0,1617.0,4420.0,3900.0,14.0,10.333333333333334,99.22772852866832,76.84599484385875,22.38173368480958,qf,-95
9,190,261,12.0,18.0,18.0,0.0,7978.0,1282.0,3840.0,3450.0,48.0,16.666666666666668,68.79813700494473,72.70729493660376,-3.909157931659024,11.0,19.0,15.0,2.0,9139.0,1617.0,4420.0,3900.0,14.0,10.333333333333334,99.22772852866832,76.84599484385875,22.38173368480958,qf,-71
10,205,263,5.0,16.0,20.0,0.0,8521.0,1517.0,4180.0,3500.0,91.0,16.333333333333332,73.9342386069534,75.4338049220154,-1.499566315061993,20.0,15.0,21.0,0.0,8719.0,1604.0,4340.0,3700.0,89.0,14.0,78.32386812405521,104.17521003536096,-25.851341911305752,qf,-58
11,455,286,5.0,16.0,20.0,0.0,8521.0,1517.0,4180.0,3500.0,91.0,16.333333333333332,73.9342386069534,75.4338049220154,-1.499566315061993,20.0,15.0,21.0,0.0,8719.0,1604.0,4340.0,3700.0,89.0,14.0,78.32386812405521,104.17521003536096,-25.851341911305752,qf,169
12,285,340,5.0,16.0,20.0,0.0,8521.0,1517.0,4180.0,3500.0,91.0,16.333333333333332,73.9342386069534,75.4338049220154,-1.499566315061993,20.0,15.0,21.0,0.0,8719.0,1604.0,4340.0,3700.0,89.0,14.0,78.32386812405521,104.17521003536096,-25.851341911305752,qf,-55
13,145,195,9.0,14.0,21.0,1.0,8275.0,1347.0,3960.0,3600.0,75.0,18.333333333333332,63.26640796605014,88.53029617049783,-25.263888204447692,13.0,16.0,20.0,0.0,7918.0,1310.0,3920.0,3300.0,28.0,17.666666666666668,69.80549377457021,75.35353091286244,-5.548037138292223,qm,-50
14,180,281,9.0,16.0,20.0,0.0,8392.0,1445.0,4240.0,3350.0,72.0,16.666666666666668,75.86871182020603,75.88024308010557,-0.011531259899539256,20.0,22.0,13.0,1.0,9467.0,1985.0,4540.0,4200.0,52.0,8.0,103.43403485804488,69.06463027187603,34.36940458616886,qm,-101
15,202,285,7.0,18.0,18.0,0.0,8754.0,1466.0,4000.0,3900.0,109.0,13.333333333333334,80.0898280407354,73.12162674395398,6.96820129678142,10.0,21.0,13.0,2.0,9053.0,1533.0,4200.0,4050.0,38.0,10.0,96.37996151382718,76.01047744217307,20.369484071654107,qm,-83
16,235,140,23.0,18.0,17.0,1.0,8530.0,1173.0,4140.0,3550.0,55.0,14.0,75.30067506656471,94.18903686929741,-18.888361802732707,21.0,13.0,23.0,0.0,7864.0,1117.0,3980.0,3250.0,89.0,18.666666666666668,63.42512623064807,100.81360461506394,-37.38847838441587,qm,95
17,200,256,15.0,16.0,19.0,1.0,8506.0,1574.0,3960.0,3750.0,46.0,16.333333333333332,80.73737695181626,72.14196850003219,8.595408451784062,15.0,16.0,20.0,0.0,8018.0,1597.0,4280.0,3000.0,58.0,12.333333333333334,60.51209117305181,82.74242182851604,-22.230330655464243,qm,-56
18,185,145,17.0,16.0,19.0,1.0,8356.0,1343.0,3980.0,3700.0,51.0,15.666666666666666,74.622516387082,86.13802590992186,-11.515509522839858,19.0,18.0,18.0,0.0,8215.0,1148.0,4020.0,3300.0,50.0,15.666666666666666,68.55636431807599,74.5225001560446,-5.966135837968608,qm,40
19,262,190,16.0,19.0,16.0,1.0,8814.0,1751.0,4340.0,3700.0,119.0,12.333333333333334,86.04945830579605,75.63197769864435,10.417480607151688,13.0,18.0,18.0,0.0,8509.0,1422.0,4040.0,3700.0,59.0,14.666666666666666,77.25498361718543,74.0507335784203,3.204250038765141,qm,72
20,235,290,4.0,16.0,19.0,1.0,8386.0,1397.0,4140.0,3400.0,76.0,12.333333333333334,72.05764770844941,81.34640442659662,-9.288756718147198,14.0,20.0,16.0,0.0,8546.0,1288.0,4060.0,3750.0,101.0,13.333333333333334,88.14701405763151,75.74542182542923,12.401592232202276,qm,-55
21,307,308,19.0,17.0,17.0,2.0,8775.0,1755.0,4340.0,3600.0,20.0,13.0,88.4452611763448,72.75494990330749,15.690311273037315,22.0,19.0,16.0,1.0,9148.0,1787.0,4540.0,3900.0,118.0,9.666666666666666,88.39895620771136,93.45962512654991,-5.060668918838547,qm,-1
22,285,135,5.0,18.0,17.0,1.0,9056.0,1466.0,4280.0,3850.0,71.0,11.333333333333334,90.3272362920905,73.80833938590506,16.518896906185446,24.0,19.0,17.0,0.0,8541.0,1331.0,4400.0,3350.0,36.0,13.0,79.54313253394717,86.95837511599315,-7.415242582045977,qm,150
23,140,284,13.0,17.0,18.0,1.0,7945.0,1306.0,3960.0,3350.0,70.0,17.0,61.494978194431184,86.48754954631634,-24.992571351885157,17.0,19.0,17.0,0.0,8840.0,1525.0,4020.0,4000.0,130.0,13.333333333333334,85.26484815525087,69.17819541068842,16.086652744562457,qm,-144
