,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,264,289,19.0,23.0,12.0,1.0,7372.0,1078.0,3880.0,2600.0,27.0,11.666666666666666,86.72854371277451,61.44402606085489,25.28451765191963,19.0,23.0,12.0,1.0,7372.0,1078.0,3880.0,2600.0,27.0,11.666666666666666,86.72854371277451,61.44402606085489,25.28451765191963,f,-25
1,277,259,19.0,23.0,12.0,1.0,7372.0,1078.0,3880.0,2600.0,27.0,11.666666666666666,86.72854371277451,61.44402606085489,25.28451765191963,19.0,23.0,12.0,1.0,7372.0,1078.0,3880.0,2600.0,27.0,11.666666666666666,86.72854371277451,61.44402606085489,25.28451765191963,f,18
2,262,209,19.0,23.0,12.0,1.0,7372.0,1078.0,3880.0,2600.0,27.0,11.666666666666666,86.72854371277451,61.44402606085489,25.28451765191963,19.0,23.0,12.0,1.0,7372.0,1078.0,3880.0,2600.0,27.0,11.666666666666666,86.72854371277451,61.44402606085489,25.28451765191963,f,53
3,160,307,28.0,17.0,19.0,0.0,6890.0,1437.0,3560.0,2450.0,60.0,22.0,74.93132614294477,61.63516086510339,13.29616527784138,28.0,17.0,19.0,0.0,6890.0,1437.0,3560.0,2450.0,60.0,22.0,74.93132614294477,61.63516086510339,13.29616527784138,qf,-147
4,258,256,28.0,17.0,19.0,0.0,6890.0,1437.0,3560.0,2450.0,60.0,22.0,74.93132614294477,61.63516086510339,13.29616527784138,28.0,17.0,19.0,0.0,6890.0,1437.0,3560.0,2450.0,60.0,22.0,74.93132614294477,61.63516086510339,13.29616527784138,qf,2
5,249,308,28.0,17.0,19.0,0.0,6890.0,1437.0,3560.0,2450.0,60.0,22.0,74.93132614294477,61.63516086510339,13.29616527784138,28.0,17.0,19.0,0.0,6890.0,1437.0,3560.0,2450.0,60.0,22.0,74.93132614294477,61.63516086510339,13.29616527784138,qf,-59
6,198,255,29.0,18.0,17.0,1.0,7205.0,1294.0,3660.0,2550.0,75.0,17.666666666666668,84.4986412421258,62.9553047001558,21.54333654196999,29.0,18.0,17.0,1.0,7205.0,1294.0,3660.0,2550.0,75.0,17.666666666666668,84.4986412421258,62.9553047001558,21.54333654196999,qf,-57
7,264,305,29.0,18.0,17.0,1.0,7205.0,1294.0,3660.0,2550.0,75.0,17.666666666666668,84.4986412421258,62.9553047001558,21.54333654196999,29.0,18.0,17.0,1.0,7205.0,1294.0,3660.0,2550.0,75.0,17.666666666666668,84.4986412421258,62.9553047001558,21.54333654196999,qf,-41
8,155,212,25.0,18.0,16.0,2.0,6394.0,953.0,3360.0,2300.0,24.0,18.666666666666668,54.257168159260594,48.94320434957053,5.313963809690058,25.0,18.0,16.0,2.0,6394.0,953.0,3360.0,2300.0,24.0,18.666666666666668,54.257168159260594,48.94320434957053,5.313963809690058,qf,-57
9,195,315,25.0,18.0,16.0,2.0,6394.0,953.0,3360.0,2300.0,24.0,18.666666666666668,54.257168159260594,48.94320434957053,5.313963809690058,25.0,18.0,16.0,2.0,6394.0,953.0,3360.0,2300.0,24.0,18.666666666666668,54.257168159260594,48.94320434957053,5.313963809690058,qf,-120
