,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,qf,0
1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,qf,0
2,-1,-1,28.0,8.0,9.0,0.0,2725.0,675.0,1720.0,800.0,0.0,13.666666666666666,58.16973278989648,53.694857166238,4.474875623658481,28.0,8.0,9.0,0.0,2725.0,675.0,1720.0,800.0,0.0,13.666666666666666,58.16973278989648,53.694857166238,4.474875623658481,qf,0
3,-1,-1,28.0,8.0,9.0,0.0,2725.0,675.0,1720.0,800.0,0.0,13.666666666666666,58.16973278989648,53.694857166238,4.474875623658481,28.0,8.0,9.0,0.0,2725.0,675.0,1720.0,800.0,0.0,13.666666666666666,58.16973278989648,53.694857166238,4.474875623658481,qf,0
4,-1,-1,28.0,8.0,9.0,0.0,2725.0,675.0,1720.0,800.0,0.0,13.666666666666666,58.16973278989648,53.694857166238,4.474875623658481,28.0,8.0,9.0,0.0,2725.0,675.0,1720.0,800.0,0.0,13.666666666666666,58.16973278989648,53.694857166238,4.474875623658481,qf,0
5,-1,-1,8.0,7.0,11.0,0.0,2875.0,565.0,1680.0,900.0,0.0,16.0,42.00874897565106,47.58439720697771,-5.57564823132666,8.0,7.0,11.0,0.0,2875.0,565.0,1680.0,900.0,0.0,16.0,42.00874897565106,47.58439720697771,-5.57564823132666,qf,0
6,-1,-1,8.0,7.0,11.0,0.0,2875.0,565.0,1680.0,900.0,0.0,16.0,42.00874897565106,47.58439720697771,-5.57564823132666,8.0,7.0,11.0,0.0,2875.0,565.0,1680.0,900.0,0.0,16.0,42.00874897565106,47.58439720697771,-5.57564823132666,qf,0
7,-1,-1,8.0,7.0,11.0,0.0,2875.0,565.0,1680.0,900.0,0.0,16.0,42.00874897565106,47.58439720697771,-5.57564823132666,8.0,7.0,11.0,0.0,2875.0,565.0,1680.0,900.0,0.0,16.0,42.00874897565106,47.58439720697771,-5.57564823132666,qf,0
8,-1,-1,8.0,8.0,8.0,0.0,2830.0,555.0,1560.0,750.0,5.0,13.666666666666666,60.144885212754474,67.34484711011612,-7.199961897361639,8.0,8.0,8.0,0.0,2830.0,555.0,1560.0,750.0,5.0,13.666666666666666,60.144885212754474,67.34484711011612,-7.199961897361639,qf,0
9,-1,-1,8.0,8.0,8.0,0.0,2830.0,555.0,1560.0,750.0,5.0,13.666666666666666,60.144885212754474,67.34484711011612,-7.199961897361639,8.0,8.0,8.0,0.0,2830.0,555.0,1560.0,750.0,5.0,13.666666666666666,60.144885212754474,67.34484711011612,-7.199961897361639,qf,0
