,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,205,285,17.0,23.0,12.0,0.0,7769.0,1902.0,4100.0,2650.0,69.0,10.666666666666666,91.73394795073254,50.98218491277982,40.75176303795271,9.0,25.0,11.0,0.0,8239.0,2150.0,4500.0,2700.0,79.0,9.333333333333334,95.3432253409179,50.364304878064296,44.9789204628536,f,-80
1,207,277,17.0,23.0,12.0,0.0,7769.0,1902.0,4100.0,2650.0,69.0,10.666666666666666,91.73394795073254,50.98218491277982,40.75176303795271,9.0,25.0,11.0,0.0,8239.0,2150.0,4500.0,2700.0,79.0,9.333333333333334,95.3432253409179,50.364304878064296,44.9789204628536,f,-70
2,145,227,9.0,15.0,21.0,0.0,6332.0,1221.0,3640.0,1750.0,17.0,16.666666666666668,48.339796908707804,70.72326221269338,-22.383465303985577,9.0,25.0,11.0,0.0,8239.0,2150.0,4500.0,2700.0,79.0,9.333333333333334,95.3432253409179,50.364304878064296,44.9789204628536,qf,-82
3,170,0,9.0,15.0,21.0,0.0,6332.0,1221.0,3640.0,1750.0,17.0,16.666666666666668,48.339796908707804,70.72326221269338,-22.383465303985577,9.0,25.0,11.0,0.0,8239.0,2150.0,4500.0,2700.0,79.0,9.333333333333334,95.3432253409179,50.364304878064296,44.9789204628536,qf,170
4,115,329,9.0,15.0,21.0,0.0,6332.0,1221.0,3640.0,1750.0,17.0,16.666666666666668,48.339796908707804,70.72326221269338,-22.383465303985577,9.0,25.0,11.0,0.0,8239.0,2150.0,4500.0,2700.0,79.0,9.333333333333334,95.3432253409179,50.364304878064296,44.9789204628536,qf,-214
5,205,245,41.0,18.0,18.0,0.0,6996.0,1403.0,3660.0,2450.0,56.0,12.666666666666666,58.37648092034263,67.19420819062864,-8.817727270286014,4.0,19.0,17.0,0.0,7381.0,1424.0,3840.0,2300.0,31.0,12.333333333333334,71.8324983565243,57.314570557511644,14.517927799012655,qf,-40
6,215,238,41.0,18.0,18.0,0.0,6996.0,1403.0,3660.0,2450.0,56.0,12.666666666666666,58.37648092034263,67.19420819062864,-8.817727270286014,4.0,19.0,17.0,0.0,7381.0,1424.0,3840.0,2300.0,31.0,12.333333333333334,71.8324983565243,57.314570557511644,14.517927799012655,qf,-23
7,145,266,33.0,16.0,20.0,0.0,6956.0,1398.0,3420.0,2650.0,26.0,14.333333333333334,65.3562489797298,71.16903994206346,-5.812790962333662,17.0,23.0,12.0,0.0,7769.0,1902.0,4100.0,2650.0,69.0,10.666666666666666,91.73394795073254,50.98218491277982,40.75176303795271,qf,-121
8,205,245,33.0,16.0,20.0,0.0,6956.0,1398.0,3420.0,2650.0,26.0,14.333333333333334,65.3562489797298,71.16903994206346,-5.812790962333662,17.0,23.0,12.0,0.0,7769.0,1902.0,4100.0,2650.0,69.0,10.666666666666666,91.73394795073254,50.98218491277982,40.75176303795271,qf,-40
9,215,185,5.0,17.0,19.0,0.0,7019.0,1590.0,3880.0,2200.0,24.0,13.666666666666666,64.50084605551977,72.80572104367344,-8.304874988153685,20.0,20.0,16.0,0.0,7519.0,1574.0,4000.0,2500.0,34.0,11.333333333333334,72.74272715741073,56.32258032330634,16.420146834104383,qf,30
