,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,308,330,14.0,20.0,16.0,0.0,8271.0,1825.0,4380.0,2650.0,176.0,12.0,94.07198720567719,79.75890071497395,14.313086490703236,14.0,20.0,16.0,0.0,8271.0,1825.0,4380.0,2650.0,176.0,12.0,94.07198720567719,79.75890071497395,14.313086490703236,f,-22
1,334,290,14.0,20.0,16.0,0.0,8271.0,1825.0,4380.0,2650.0,176.0,12.0,94.07198720567719,79.75890071497395,14.313086490703236,14.0,20.0,16.0,0.0,8271.0,1825.0,4380.0,2650.0,176.0,12.0,94.07198720567719,79.75890071497395,14.313086490703236,f,44
2,175,398,14.0,20.0,16.0,0.0,8271.0,1825.0,4380.0,2650.0,176.0,12.0,94.07198720567719,79.75890071497395,14.313086490703236,14.0,20.0,16.0,0.0,8271.0,1825.0,4380.0,2650.0,176.0,12.0,94.07198720567719,79.75890071497395,14.313086490703236,f,-223
3,180,368,15.0,20.0,16.0,0.0,7029.0,1384.0,3540.0,2550.0,264.0,13.666666666666666,56.19708688651226,62.21848235775656,-6.021395471244297,15.0,20.0,16.0,0.0,7029.0,1384.0,3540.0,2550.0,264.0,13.666666666666666,56.19708688651226,62.21848235775656,-6.021395471244297,qf,-188
4,250,365,15.0,20.0,16.0,0.0,7029.0,1384.0,3540.0,2550.0,264.0,13.666666666666666,56.19708688651226,62.21848235775656,-6.021395471244297,15.0,20.0,16.0,0.0,7029.0,1384.0,3540.0,2550.0,264.0,13.666666666666666,56.19708688651226,62.21848235775656,-6.021395471244297,qf,-115
5,455,265,7.0,19.0,17.0,0.0,8381.0,1692.0,4340.0,3100.0,181.0,13.333333333333334,96.51578455995582,67.69637308247478,28.819411477481054,7.0,19.0,17.0,0.0,8381.0,1692.0,4340.0,3100.0,181.0,13.333333333333334,96.51578455995582,67.69637308247478,28.819411477481054,qf,190
6,270,235,7.0,19.0,17.0,0.0,8381.0,1692.0,4340.0,3100.0,181.0,13.333333333333334,96.51578455995582,67.69637308247478,28.819411477481054,7.0,19.0,17.0,0.0,8381.0,1692.0,4340.0,3100.0,181.0,13.333333333333334,96.51578455995582,67.69637308247478,28.819411477481054,qf,35
7,205,256,5.0,16.0,20.0,0.0,7012.0,1372.0,3400.0,2700.0,142.0,18.666666666666668,58.825575438897005,68.45560248940085,-9.630027050503843,5.0,16.0,20.0,0.0,7012.0,1372.0,3400.0,2700.0,142.0,18.666666666666668,58.825575438897005,68.45560248940085,-9.630027050503843,qf,-51
8,215,281,5.0,16.0,20.0,0.0,7012.0,1372.0,3400.0,2700.0,142.0,18.666666666666668,58.825575438897005,68.45560248940085,-9.630027050503843,5.0,16.0,20.0,0.0,7012.0,1372.0,3400.0,2700.0,142.0,18.666666666666668,58.825575438897005,68.45560248940085,-9.630027050503843,qf,-66
9,213,283,18.0,16.0,20.0,0.0,7243.0,1235.0,3500.0,2550.0,208.0,20.0,69.27968676842983,72.23398533135695,-2.9542985629271263,18.0,16.0,20.0,0.0,7243.0,1235.0,3500.0,2550.0,208.0,20.0,69.27968676842983,72.23398533135695,-2.9542985629271263,qf,-70
10,195,308,18.0,16.0,20.0,0.0,7243.0,1235.0,3500.0,2550.0,208.0,20.0,69.27968676842983,72.23398533135695,-2.9542985629271263,18.0,16.0,20.0,0.0,7243.0,1235.0,3500.0,2550.0,208.0,20.0,69.27968676842983,72.23398533135695,-2.9542985629271263,qf,-113
11,160,145,7.0,26.0,10.0,0.0,8307.0,1743.0,4040.0,3100.0,202.0,6.0,93.04291274666082,50.87633272460084,42.16658002205997,7.0,26.0,10.0,0.0,8307.0,1743.0,4040.0,3100.0,202.0,6.0,93.04291274666082,50.87633272460084,42.16658002205997,qm,15
12,263,190,5.0,23.0,13.0,0.0,8672.0,1671.0,4460.0,3300.0,137.0,9.0,100.86124178115092,72.16398509287842,28.697256688272507,5.0,23.0,13.0,0.0,8672.0,1671.0,4460.0,3300.0,137.0,9.0,100.86124178115092,72.16398509287842,28.697256688272507,qm,73
13,50,235,16.0,19.0,17.0,0.0,6572.0,1413.0,3240.0,2400.0,227.0,17.0,45.637467873550236,62.46446873642221,-16.827000862871966,16.0,19.0,17.0,0.0,6572.0,1413.0,3240.0,2400.0,227.0,17.0,45.637467873550236,62.46446873642221,-16.827000862871966,qm,-185
14,185,256,3.0,15.0,21.0,0.0,7674.0,1536.0,4020.0,2700.0,219.0,17.666666666666668,73.98742746724889,76.48396839143926,-2.496540924190375,3.0,15.0,21.0,0.0,7674.0,1536.0,4020.0,2700.0,219.0,17.666666666666668,73.98742746724889,76.48396839143926,-2.496540924190375,qm,-71
