,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,325,229,23.0,19.0,15.0,2.0,9377.0,1614.0,4580.0,3750.0,167.0,11.666666666666666,96.84755149511373,85.74539566698184,11.102155828131894,36.0,20.0,14.0,2.0,9400.0,1804.0,4280.0,3850.0,420.0,9.666666666666666,101.05184147248262,74.49268119875681,26.55916027372582,f,96
1,456,291,23.0,19.0,15.0,2.0,9377.0,1614.0,4580.0,3750.0,167.0,11.666666666666666,96.84755149511373,85.74539566698184,11.102155828131894,36.0,20.0,14.0,2.0,9400.0,1804.0,4280.0,3850.0,420.0,9.666666666666666,101.05184147248262,74.49268119875681,26.55916027372582,f,165
2,236,335,9.0,17.0,18.0,1.0,9270.0,1836.0,4180.0,4300.0,95.0,15.333333333333334,89.92148552574253,87.46735119581592,2.4541343299265983,36.0,20.0,14.0,2.0,9400.0,1804.0,4280.0,3850.0,420.0,9.666666666666666,101.05184147248262,74.49268119875681,26.55916027372582,qf,-99
3,285,337,9.0,17.0,18.0,1.0,9270.0,1836.0,4180.0,4300.0,95.0,15.333333333333334,89.92148552574253,87.46735119581592,2.4541343299265983,36.0,20.0,14.0,2.0,9400.0,1804.0,4280.0,3850.0,420.0,9.666666666666666,101.05184147248262,74.49268119875681,26.55916027372582,qf,-52
4,256,210,6.0,18.0,17.0,1.0,8642.0,1697.0,4260.0,3550.0,87.0,14.333333333333334,83.00220201418718,67.93763793184435,15.064564082342821,6.0,17.0,19.0,0.0,9212.0,1820.0,4580.0,3800.0,117.0,16.0,95.68696139547662,85.58178056460127,10.10518083087536,qf,46
5,256,445,6.0,18.0,17.0,1.0,8642.0,1697.0,4260.0,3550.0,87.0,14.333333333333334,83.00220201418718,67.93763793184435,15.064564082342821,6.0,17.0,19.0,0.0,9212.0,1820.0,4580.0,3800.0,117.0,16.0,95.68696139547662,85.58178056460127,10.10518083087536,qf,-189
6,246,445,6.0,18.0,17.0,1.0,8642.0,1697.0,4260.0,3550.0,87.0,14.333333333333334,83.00220201418718,67.93763793184435,15.064564082342821,6.0,17.0,19.0,0.0,9212.0,1820.0,4580.0,3800.0,117.0,16.0,95.68696139547662,85.58178056460127,10.10518083087536,qf,-199
7,285,259,11.0,16.0,16.0,4.0,8961.0,1753.0,4220.0,3800.0,141.0,12.666666666666666,82.0130252720735,83.72407989206364,-1.7110546199901318,29.0,19.0,13.0,4.0,8968.0,1868.0,4620.0,3450.0,148.0,11.333333333333334,88.75933857242406,78.87460750411354,9.88473106831052,qf,26
8,260,320,11.0,16.0,16.0,4.0,8961.0,1753.0,4220.0,3800.0,141.0,12.666666666666666,82.0130252720735,83.72407989206364,-1.7110546199901318,29.0,19.0,13.0,4.0,8968.0,1868.0,4620.0,3450.0,148.0,11.333333333333334,88.75933857242406,78.87460750411354,9.88473106831052,qf,-60
9,270,326,11.0,16.0,16.0,4.0,8961.0,1753.0,4220.0,3800.0,141.0,12.666666666666666,82.0130252720735,83.72407989206364,-1.7110546199901318,29.0,19.0,13.0,4.0,8968.0,1868.0,4620.0,3450.0,148.0,11.333333333333334,88.75933857242406,78.87460750411354,9.88473106831052,qf,-56
