,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,315,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,f,-60
1,255,251,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,f,4
2,160,310,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,f,-150
3,195,196,10.0,15.0,20.0,0.0,6621.0,996.0,3300.0,2600.0,66.0,19.333333333333332,48.73144758649818,68.29347593066937,-19.562028344171193,10.0,15.0,20.0,0.0,6621.0,996.0,3300.0,2600.0,66.0,19.333333333333332,48.73144758649818,68.29347593066937,-19.562028344171193,qf,-1
4,265,283,10.0,15.0,20.0,0.0,6621.0,996.0,3300.0,2600.0,66.0,19.333333333333332,48.73144758649818,68.29347593066937,-19.562028344171193,10.0,15.0,20.0,0.0,6621.0,996.0,3300.0,2600.0,66.0,19.333333333333332,48.73144758649818,68.29347593066937,-19.562028344171193,qf,-18
5,210,262,25.0,18.0,18.0,0.0,8043.0,1434.0,3840.0,3350.0,78.0,14.333333333333334,81.36966667256785,57.108295073660464,24.261371598907385,25.0,18.0,18.0,0.0,8043.0,1434.0,3840.0,3350.0,78.0,14.333333333333334,81.36966667256785,57.108295073660464,24.261371598907385,qf,-52
6,220,460,25.0,18.0,18.0,0.0,8043.0,1434.0,3840.0,3350.0,78.0,14.333333333333334,81.36966667256785,57.108295073660464,24.261371598907385,25.0,18.0,18.0,0.0,8043.0,1434.0,3840.0,3350.0,78.0,14.333333333333334,81.36966667256785,57.108295073660464,24.261371598907385,qf,-240
7,345,180,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,qf,165
8,420,280,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,17.0,17.0,19.0,0.0,7721.0,1130.0,3940.0,2900.0,36.0,15.0,68.9372609488559,87.0787386220137,-18.141477673157812,qf,140
9,300,194,10.0,17.0,19.0,0.0,7999.0,1137.0,3960.0,3200.0,34.0,14.666666666666666,86.4076518048044,74.26016485154497,12.147486953259437,10.0,17.0,19.0,0.0,7999.0,1137.0,3960.0,3200.0,34.0,14.666666666666666,86.4076518048044,74.26016485154497,12.147486953259437,qf,106
10,300,236,10.0,17.0,19.0,0.0,7999.0,1137.0,3960.0,3200.0,34.0,14.666666666666666,86.4076518048044,74.26016485154497,12.147486953259437,10.0,17.0,19.0,0.0,7999.0,1137.0,3960.0,3200.0,34.0,14.666666666666666,86.4076518048044,74.26016485154497,12.147486953259437,qf,64
11,190,186,26.0,18.0,18.0,0.0,7674.0,1488.0,3840.0,3000.0,74.0,15.333333333333334,72.51284972480059,73.82749939724104,-1.3146496724404553,26.0,18.0,18.0,0.0,7674.0,1488.0,3840.0,3000.0,74.0,15.333333333333334,72.51284972480059,73.82749939724104,-1.3146496724404553,qm,4
