,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,215,371,12.0,22.0,14.0,0.0,7439.0,1552.0,3820.0,2850.0,49.0,12.333333333333334,66.68535772674964,60.37102996749067,6.314327759258961,12.0,22.0,14.0,0.0,7439.0,1552.0,3820.0,2850.0,49.0,12.333333333333334,66.68535772674964,60.37102996749067,6.314327759258961,f,-156
1,90,324,12.0,22.0,14.0,0.0,7439.0,1552.0,3820.0,2850.0,49.0,12.333333333333334,66.68535772674964,60.37102996749067,6.314327759258961,12.0,22.0,14.0,0.0,7439.0,1552.0,3820.0,2850.0,49.0,12.333333333333334,66.68535772674964,60.37102996749067,6.314327759258961,f,-234
2,260,263,26.0,19.0,17.0,0.0,7977.0,1507.0,4180.0,2950.0,62.0,15.333333333333334,86.04560440940588,67.2223211610653,18.823283248340584,26.0,19.0,17.0,0.0,7977.0,1507.0,4180.0,2950.0,62.0,15.333333333333334,86.04560440940588,67.2223211610653,18.823283248340584,qf,-3
3,258,488,26.0,19.0,17.0,0.0,7977.0,1507.0,4180.0,2950.0,62.0,15.333333333333334,86.04560440940588,67.2223211610653,18.823283248340584,26.0,19.0,17.0,0.0,7977.0,1507.0,4180.0,2950.0,62.0,15.333333333333334,86.04560440940588,67.2223211610653,18.823283248340584,qf,-230
4,318,235,26.0,19.0,17.0,0.0,7792.0,1277.0,3900.0,3150.0,72.0,16.666666666666668,88.8891149651367,66.14061362700238,22.748501338134332,26.0,19.0,17.0,0.0,7792.0,1277.0,3900.0,3150.0,72.0,16.666666666666668,88.8891149651367,66.14061362700238,22.748501338134332,qf,83
5,243,330,26.0,19.0,17.0,0.0,7792.0,1277.0,3900.0,3150.0,72.0,16.666666666666668,88.8891149651367,66.14061362700238,22.748501338134332,26.0,19.0,17.0,0.0,7792.0,1277.0,3900.0,3150.0,72.0,16.666666666666668,88.8891149651367,66.14061362700238,22.748501338134332,qf,-87
6,312,257,26.0,19.0,17.0,0.0,7792.0,1277.0,3900.0,3150.0,72.0,16.666666666666668,88.8891149651367,66.14061362700238,22.748501338134332,26.0,19.0,17.0,0.0,7792.0,1277.0,3900.0,3150.0,72.0,16.666666666666668,88.8891149651367,66.14061362700238,22.748501338134332,qf,55
7,296,259,21.0,21.0,15.0,0.0,7691.0,1650.0,3640.0,3200.0,116.0,13.666666666666666,84.41897439138769,48.310763906578934,36.10821048480876,21.0,21.0,15.0,0.0,7691.0,1650.0,3640.0,3200.0,116.0,13.666666666666666,84.41897439138769,48.310763906578934,36.10821048480876,qf,37
8,338,160,21.0,21.0,15.0,0.0,7691.0,1650.0,3640.0,3200.0,116.0,13.666666666666666,84.41897439138769,48.310763906578934,36.10821048480876,21.0,21.0,15.0,0.0,7691.0,1650.0,3640.0,3200.0,116.0,13.666666666666666,84.41897439138769,48.310763906578934,36.10821048480876,qf,178
9,300,255,12.0,22.0,14.0,0.0,7439.0,1552.0,3820.0,2850.0,49.0,12.333333333333334,66.68535772674964,60.37102996749067,6.314327759258961,12.0,22.0,14.0,0.0,7439.0,1552.0,3820.0,2850.0,49.0,12.333333333333334,66.68535772674964,60.37102996749067,6.314327759258961,qf,45
