,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,281,325,14.0,20.0,12.0,1.0,7060.0,1520.0,3680.0,2700.0,20.0,10.666666666666666,79.87427981235561,64.58493078532463,15.289349027030978,14.0,20.0,12.0,1.0,7060.0,1520.0,3680.0,2700.0,20.0,10.666666666666666,79.87427981235561,64.58493078532463,15.289349027030978,f,-44
1,255,325,14.0,20.0,12.0,1.0,7060.0,1520.0,3680.0,2700.0,20.0,10.666666666666666,79.87427981235561,64.58493078532463,15.289349027030978,14.0,20.0,12.0,1.0,7060.0,1520.0,3680.0,2700.0,20.0,10.666666666666666,79.87427981235561,64.58493078532463,15.289349027030978,f,-70
2,307,295,18.0,18.0,15.0,0.0,6985.0,1329.0,3520.0,2700.0,30.0,17.666666666666668,62.41297000080408,64.46647411047282,-2.0535041096687365,18.0,18.0,15.0,0.0,6985.0,1329.0,3520.0,2700.0,30.0,17.666666666666668,62.41297000080408,64.46647411047282,-2.0535041096687365,qf,12
3,237,335,18.0,18.0,15.0,0.0,6985.0,1329.0,3520.0,2700.0,30.0,17.666666666666668,62.41297000080408,64.46647411047282,-2.0535041096687365,18.0,18.0,15.0,0.0,6985.0,1329.0,3520.0,2700.0,30.0,17.666666666666668,62.41297000080408,64.46647411047282,-2.0535041096687365,qf,-98
4,145,302,18.0,18.0,15.0,0.0,6985.0,1329.0,3520.0,2700.0,30.0,17.666666666666668,62.41297000080408,64.46647411047282,-2.0535041096687365,18.0,18.0,15.0,0.0,6985.0,1329.0,3520.0,2700.0,30.0,17.666666666666668,62.41297000080408,64.46647411047282,-2.0535041096687365,qf,-157
5,250,256,47.0,18.0,14.0,1.0,7201.0,885.0,3620.0,2900.0,36.0,14.666666666666666,75.3488026662068,80.94726300395841,-5.598460337751608,47.0,18.0,14.0,1.0,7201.0,885.0,3620.0,2900.0,36.0,14.666666666666666,75.3488026662068,80.94726300395841,-5.598460337751608,qf,-6
6,280,255,47.0,18.0,14.0,1.0,7201.0,885.0,3620.0,2900.0,36.0,14.666666666666666,75.3488026662068,80.94726300395841,-5.598460337751608,47.0,18.0,14.0,1.0,7201.0,885.0,3620.0,2900.0,36.0,14.666666666666666,75.3488026662068,80.94726300395841,-5.598460337751608,qf,25
7,305,0,47.0,18.0,14.0,1.0,7201.0,885.0,3620.0,2900.0,36.0,14.666666666666666,75.3488026662068,80.94726300395841,-5.598460337751608,47.0,18.0,14.0,1.0,7201.0,885.0,3620.0,2900.0,36.0,14.666666666666666,75.3488026662068,80.94726300395841,-5.598460337751608,qf,305
8,285,258,34.0,18.0,13.0,1.0,6851.0,1154.0,3400.0,2700.0,46.0,16.666666666666668,79.07722850360592,63.35506283253403,15.722165671071885,34.0,18.0,13.0,1.0,6851.0,1154.0,3400.0,2700.0,46.0,16.666666666666668,79.07722850360592,63.35506283253403,15.722165671071885,qf,27
9,294,298,34.0,18.0,13.0,1.0,6851.0,1154.0,3400.0,2700.0,46.0,16.666666666666668,79.07722850360592,63.35506283253403,15.722165671071885,34.0,18.0,13.0,1.0,6851.0,1154.0,3400.0,2700.0,46.0,16.666666666666668,79.07722850360592,63.35506283253403,15.722165671071885,qf,-4
