,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,285,195,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,f,90
1,255,255,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,f,0
2,215,305,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,f,-90
3,235,240,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,23.0,18.0,12.0,0.0,5548.0,1157.0,3140.0,1650.0,38.0,11.333333333333334,64.5383333424674,47.54196015407975,16.99637318838765,f,-5
4,255,195,19.0,13.0,17.0,0.0,5720.0,1133.0,2960.0,1900.0,25.0,19.333333333333332,70.27883438452045,59.89654032211587,10.382294062404588,19.0,13.0,17.0,0.0,5720.0,1133.0,2960.0,1900.0,25.0,19.333333333333332,70.27883438452045,59.89654032211587,10.382294062404588,qf,60
5,285,181,19.0,13.0,17.0,0.0,5720.0,1133.0,2960.0,1900.0,25.0,19.333333333333332,70.27883438452045,59.89654032211587,10.382294062404588,19.0,13.0,17.0,0.0,5720.0,1133.0,2960.0,1900.0,25.0,19.333333333333332,70.27883438452045,59.89654032211587,10.382294062404588,qf,104
6,165,265,30.0,17.0,13.0,0.0,5690.0,1526.0,3100.0,2050.0,30.0,11.0,80.88245174926868,66.86612604830246,14.016325700966226,30.0,17.0,13.0,0.0,5690.0,1526.0,3100.0,2050.0,30.0,11.0,80.88245174926868,66.86612604830246,14.016325700966226,qf,-100
7,215,305,30.0,17.0,13.0,0.0,5690.0,1526.0,3100.0,2050.0,30.0,11.0,80.88245174926868,66.86612604830246,14.016325700966226,30.0,17.0,13.0,0.0,5690.0,1526.0,3100.0,2050.0,30.0,11.0,80.88245174926868,66.86612604830246,14.016325700966226,qf,-90
8,195,231,38.0,15.0,15.0,0.0,5558.0,1053.0,2940.0,1850.0,28.0,16.333333333333332,73.85711761018314,58.33607426269333,15.521043347489814,38.0,15.0,15.0,0.0,5558.0,1053.0,2940.0,1850.0,28.0,16.333333333333332,73.85711761018314,58.33607426269333,15.521043347489814,qf,-36
9,220,291,38.0,15.0,15.0,0.0,5558.0,1053.0,2940.0,1850.0,28.0,16.333333333333332,73.85711761018314,58.33607426269333,15.521043347489814,38.0,15.0,15.0,0.0,5558.0,1053.0,2940.0,1850.0,28.0,16.333333333333332,73.85711761018314,58.33607426269333,15.521043347489814,qf,-71
10,230,310,13.0,16.0,14.0,0.0,4965.0,1071.0,2880.0,1300.0,60.0,16.0,52.79334180358472,62.67855395255331,-9.885212148968593,13.0,16.0,14.0,0.0,4965.0,1071.0,2880.0,1300.0,60.0,16.0,52.79334180358472,62.67855395255331,-9.885212148968593,qf,-80
11,196,240,13.0,16.0,14.0,0.0,4965.0,1071.0,2880.0,1300.0,60.0,16.0,52.79334180358472,62.67855395255331,-9.885212148968593,13.0,16.0,14.0,0.0,4965.0,1071.0,2880.0,1300.0,60.0,16.0,52.79334180358472,62.67855395255331,-9.885212148968593,qf,-44
12,95,110,17.0,12.0,18.0,0.0,4812.0,1070.0,2640.0,1450.0,22.0,24.333333333333332,47.264686991358396,66.45459502579304,-19.189908034434648,17.0,12.0,18.0,0.0,4812.0,1070.0,2640.0,1450.0,22.0,24.333333333333332,47.264686991358396,66.45459502579304,-19.189908034434648,qm,-15
13,150,175,38.0,12.0,16.0,0.0,5025.0,905.0,2500.0,1800.0,10.0,23.0,79.03379339896122,58.38165582613893,20.652137572822287,38.0,12.0,16.0,0.0,5025.0,905.0,2500.0,1800.0,10.0,23.0,79.03379339896122,58.38165582613893,20.652137572822287,qm,-25
14,115,148,39.0,15.0,15.0,0.0,5154.0,1164.0,3180.0,1350.0,19.0,17.666666666666668,51.67261033988532,55.58715367703504,-3.9145433371497305,39.0,15.0,15.0,0.0,5154.0,1164.0,3180.0,1350.0,19.0,17.666666666666668,51.67261033988532,55.58715367703504,-3.9145433371497305,qm,-33
15,110,90,29.0,18.0,12.0,0.0,5075.0,946.0,2840.0,1800.0,15.0,12.666666666666666,57.17754741936121,51.54011491864237,5.637432500718835,29.0,18.0,12.0,0.0,5075.0,946.0,2840.0,1800.0,15.0,12.666666666666666,57.17754741936121,51.54011491864237,5.637432500718835,qm,20
16,45,284,15.0,9.0,21.0,0.0,4014.0,855.0,2320.0,1200.0,19.0,31.666666666666668,26.568113998213033,72.4093077285337,-45.841193730320676,15.0,9.0,21.0,0.0,4014.0,855.0,2320.0,1200.0,19.0,31.666666666666668,26.568113998213033,72.4093077285337,-45.841193730320676,qm,-239
17,150,140,35.0,15.0,15.0,0.0,4759.0,1199.0,3080.0,1200.0,14.0,19.666666666666668,44.421661624066225,59.13435330429839,-14.712691680232169,35.0,15.0,15.0,0.0,4759.0,1199.0,3080.0,1200.0,14.0,19.666666666666668,44.421661624066225,59.13435330429839,-14.712691680232169,qm,10
18,185,142,42.0,15.0,15.0,0.0,5535.0,688.0,2980.0,1700.0,20.0,16.666666666666668,72.47082681572176,52.598754767491066,19.872072048230724,42.0,15.0,15.0,0.0,5535.0,688.0,2980.0,1700.0,20.0,16.666666666666668,72.47082681572176,52.598754767491066,19.872072048230724,qm,43
19,185,205,35.0,16.0,14.0,0.0,5422.0,1200.0,2960.0,1600.0,17.0,13.666666666666666,73.39128318597695,56.256871761997694,17.134411423979262,35.0,16.0,14.0,0.0,5422.0,1200.0,2960.0,1600.0,17.0,13.666666666666666,73.39128318597695,56.256871761997694,17.134411423979262,qm,-20
20,145,146,17.0,14.0,16.0,0.0,5298.0,1174.0,3020.0,1700.0,28.0,18.0,52.56725993649198,66.2793941286812,-13.71213419218923,17.0,14.0,16.0,0.0,5298.0,1174.0,3020.0,1700.0,28.0,18.0,52.56725993649198,66.2793941286812,-13.71213419218923,qm,-1
21,165,180,21.0,15.0,15.0,0.0,5240.0,1237.0,3000.0,1600.0,50.0,17.333333333333332,61.160979933793136,54.57058631459796,6.5903936191951855,21.0,15.0,15.0,0.0,5240.0,1237.0,3000.0,1600.0,50.0,17.333333333333332,61.160979933793136,54.57058631459796,6.5903936191951855,qm,-15
22,231,220,36.0,19.0,11.0,0.0,5741.0,1348.0,3400.0,1700.0,51.0,13.333333333333334,70.92639073777627,64.36000174674399,6.566388991032279,36.0,19.0,11.0,0.0,5741.0,1348.0,3400.0,1700.0,51.0,13.333333333333334,70.92639073777627,64.36000174674399,6.566388991032279,qm,11
23,165,90,33.0,18.0,12.0,0.0,5530.0,1256.0,3120.0,1750.0,15.0,11.0,65.19376980441787,54.09632468353126,11.097445120886613,33.0,18.0,12.0,0.0,5530.0,1256.0,3120.0,1750.0,15.0,11.0,65.19376980441787,54.09632468353126,11.097445120886613,qm,75
24,150,165,17.0,12.0,18.0,0.0,4625.0,917.0,2760.0,1400.0,15.0,25.0,36.6653013028669,47.70601459124719,-11.040713288380283,17.0,12.0,18.0,0.0,4625.0,917.0,2760.0,1400.0,15.0,25.0,36.6653013028669,47.70601459124719,-11.040713288380283,qm,-15
25,136,100,16.0,16.0,14.0,0.0,5431.0,1351.0,3160.0,1650.0,66.0,15.666666666666666,52.75782020188262,63.92787489853388,-11.170054696651261,16.0,16.0,14.0,0.0,5431.0,1351.0,3160.0,1650.0,66.0,15.666666666666666,52.75782020188262,63.92787489853388,-11.170054696651261,qm,36
26,146,135,33.0,15.0,15.0,0.0,5086.0,863.0,2680.0,1750.0,16.0,17.333333333333332,52.52153991842118,60.622203278789904,-8.100663360368726,33.0,15.0,15.0,0.0,5086.0,863.0,2680.0,1750.0,16.0,17.333333333333332,52.52153991842118,60.622203278789904,-8.100663360368726,qm,11
27,136,230,25.0,14.0,16.0,0.0,5072.0,885.0,2700.0,1500.0,32.0,20.0,52.41703614586459,61.23269181191197,-8.815655666047371,25.0,14.0,16.0,0.0,5072.0,885.0,2700.0,1500.0,32.0,20.0,52.41703614586459,61.23269181191197,-8.815655666047371,qm,-94
28,53,210,48.0,11.0,19.0,0.0,4054.0,716.0,2480.0,950.0,34.0,28.333333333333332,27.36959306640323,48.61336823738697,-21.24377517098375,48.0,11.0,19.0,0.0,4054.0,716.0,2480.0,950.0,34.0,28.333333333333332,27.36959306640323,48.61336823738697,-21.24377517098375,qm,-157
29,232,255,33.0,17.0,13.0,0.0,5757.0,1358.0,3240.0,1650.0,62.0,13.0,68.50542211775186,58.08080911115457,10.42461300659729,33.0,17.0,13.0,0.0,5757.0,1358.0,3240.0,1650.0,62.0,13.0,68.50542211775186,58.08080911115457,10.42461300659729,qm,-23
30,85,258,24.0,12.0,18.0,0.0,4601.0,969.0,2780.0,1200.0,11.0,25.0,37.60769565307745,61.61914540024389,-24.011449747166438,24.0,12.0,18.0,0.0,4601.0,969.0,2780.0,1200.0,11.0,25.0,37.60769565307745,61.61914540024389,-24.011449747166438,qm,-173
31,211,160,29.0,16.0,14.0,0.0,5417.0,1257.0,3080.0,1750.0,42.0,15.0,61.468091721810616,48.686460699485586,12.781631022325023,29.0,16.0,14.0,0.0,5417.0,1257.0,3080.0,1750.0,42.0,15.0,61.468091721810616,48.686460699485586,12.781631022325023,qm,51
32,170,270,32.0,14.0,16.0,0.0,4279.0,715.0,2440.0,1300.0,14.0,22.666666666666668,39.04380432503586,59.110061106644196,-20.06625678160834,32.0,14.0,16.0,0.0,4279.0,715.0,2440.0,1300.0,14.0,22.666666666666668,39.04380432503586,59.110061106644196,-20.06625678160834,qm,-100
33,196,215,17.0,12.0,18.0,0.0,4928.0,1119.0,2800.0,1500.0,38.0,24.333333333333332,55.46913305219445,69.24093501569449,-13.771801963500033,17.0,12.0,18.0,0.0,4928.0,1119.0,2800.0,1500.0,38.0,24.333333333333332,55.46913305219445,69.24093501569449,-13.771801963500033,qm,-19
34,144,95,13.0,16.0,14.0,0.0,4965.0,1071.0,2880.0,1300.0,60.0,16.0,52.79334180358472,62.67855395255331,-9.885212148968593,13.0,16.0,14.0,0.0,4965.0,1071.0,2880.0,1300.0,60.0,16.0,52.79334180358472,62.67855395255331,-9.885212148968593,qm,49
35,90,230,16.0,13.0,17.0,0.0,4417.0,763.0,2660.0,1200.0,22.0,23.666666666666668,28.343590527604125,50.665749559553454,-22.32215903194933,16.0,13.0,17.0,0.0,4417.0,763.0,2660.0,1200.0,22.0,23.666666666666668,28.343590527604125,50.665749559553454,-22.32215903194933,qm,-140
36,140,120,29.0,15.0,15.0,0.0,4366.0,835.0,2520.0,1400.0,11.0,21.0,37.56426678009465,63.11007986013857,-25.545813080043924,29.0,15.0,15.0,0.0,4366.0,835.0,2520.0,1400.0,11.0,21.0,37.56426678009465,63.11007986013857,-25.545813080043924,qm,20
37,315,215,39.0,20.0,10.0,0.0,6020.0,1119.0,3320.0,2000.0,60.0,9.666666666666666,81.0581325150924,44.31016800806159,36.747964507030815,39.0,20.0,10.0,0.0,6020.0,1119.0,3320.0,2000.0,60.0,9.666666666666666,81.0581325150924,44.31016800806159,36.747964507030815,qm,100
38,210,160,15.0,15.0,15.0,0.0,4619.0,898.0,2540.0,1600.0,9.0,19.666666666666668,46.88450188800488,55.603242322039044,-8.718740434034162,15.0,15.0,15.0,0.0,4619.0,898.0,2540.0,1600.0,9.0,19.666666666666668,46.88450188800488,55.603242322039044,-8.718740434034162,qm,50
39,236,166,12.0,20.0,10.0,0.0,6023.0,1274.0,3340.0,1950.0,28.0,6.666666666666667,80.68257958102608,50.245159664875224,30.437419916150855,12.0,20.0,10.0,0.0,6023.0,1274.0,3340.0,1950.0,28.0,6.666666666666667,80.68257958102608,50.245159664875224,30.437419916150855,qm,70
40,95,190,21.0,12.0,18.0,0.0,4551.0,941.0,2860.0,1050.0,21.0,24.0,28.653314480043946,54.57252964069346,-25.919215160649514,21.0,12.0,18.0,0.0,4551.0,941.0,2860.0,1050.0,21.0,24.0,28.653314480043946,54.57252964069346,-25.919215160649514,qm,-95
41,135,105,22.0,13.0,17.0,0.0,4492.0,913.0,2820.0,1200.0,27.0,23.333333333333332,38.0450820818025,61.35299950140717,-23.307917419604667,22.0,13.0,17.0,0.0,4492.0,913.0,2820.0,1200.0,27.0,23.333333333333332,38.0450820818025,61.35299950140717,-23.307917419604667,qm,30
42,238,140,29.0,17.0,13.0,0.0,5725.0,928.0,2860.0,2050.0,55.0,16.666666666666668,75.61361816680837,53.4206550713329,22.192963095475466,29.0,17.0,13.0,0.0,5725.0,928.0,2860.0,2050.0,55.0,16.666666666666668,75.61361816680837,53.4206550713329,22.192963095475466,qm,98
43,205,95,45.0,18.0,12.0,0.0,4964.0,860.0,2760.0,1650.0,9.0,13.333333333333334,55.68693399317726,47.544227241862735,8.14270675131452,45.0,18.0,12.0,0.0,4964.0,860.0,2760.0,1650.0,9.0,13.333333333333334,55.68693399317726,47.544227241862735,8.14270675131452,qm,110
44,360,269,17.0,19.0,11.0,0.0,6112.0,816.0,3180.0,2150.0,17.0,7.333333333333333,82.23442653668903,54.368422720885945,27.866003815803083,17.0,19.0,11.0,0.0,6112.0,816.0,3180.0,2150.0,17.0,7.333333333333333,82.23442653668903,54.368422720885945,27.866003815803083,qm,91
45,140,250,18.0,17.0,13.0,0.0,5320.0,730.0,3000.0,1750.0,15.0,14.0,71.64039086041218,56.54812375993933,15.092267100472855,18.0,17.0,13.0,0.0,5320.0,730.0,3000.0,1750.0,15.0,14.0,71.64039086041218,56.54812375993933,15.092267100472855,qm,-110
46,165,205,11.0,10.0,20.0,0.0,4869.0,1186.0,2700.0,1550.0,34.0,27.333333333333332,47.925968823561696,72.10255957671927,-24.17659075315758,11.0,10.0,20.0,0.0,4869.0,1186.0,2700.0,1550.0,34.0,27.333333333333332,47.925968823561696,72.10255957671927,-24.17659075315758,qm,-40
47,127,145,32.0,11.0,19.0,0.0,4539.0,1271.0,2500.0,1500.0,24.0,26.666666666666668,47.00119189565303,67.45415638452631,-20.452964488873278,32.0,11.0,19.0,0.0,4539.0,1271.0,2500.0,1500.0,24.0,26.666666666666668,47.00119189565303,67.45415638452631,-20.452964488873278,qm,-18
48,145,90,20.0,18.0,12.0,0.0,5361.0,1066.0,3100.0,1600.0,26.0,13.0,53.422253524340626,43.144844226716714,10.277409297623919,20.0,18.0,12.0,0.0,5361.0,1066.0,3100.0,1600.0,26.0,13.0,53.422253524340626,43.144844226716714,10.277409297623919,qm,55
49,95,110,37.0,11.0,19.0,0.0,4745.0,912.0,2780.0,1350.0,30.0,26.333333333333332,39.519979261601,53.02519438964598,-13.505215128044982,37.0,11.0,19.0,0.0,4745.0,912.0,2780.0,1350.0,30.0,26.333333333333332,39.519979261601,53.02519438964598,-13.505215128044982,qm,-15
50,405,160,31.0,15.0,13.0,0.0,5176.0,977.0,2780.0,1450.0,21.0,16.666666666666668,86.25129467496379,52.319226064488504,33.93206861047528,31.0,15.0,13.0,0.0,5176.0,977.0,2780.0,1450.0,21.0,16.666666666666668,86.25129467496379,52.319226064488504,33.93206861047528,qm,245
51,55,220,14.0,11.0,19.0,0.0,4040.0,809.0,2260.0,1200.0,35.0,28.333333333333332,29.163696324498503,65.47949856866133,-36.31580224416283,14.0,11.0,19.0,0.0,4040.0,809.0,2260.0,1200.0,35.0,28.333333333333332,29.163696324498503,65.47949856866133,-36.31580224416283,qm,-165
