,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,308,311,27.0,24.0,11.0,1.0,9055.0,2437.0,4520.0,3750.0,30.0,6.0,94.98717123902522,72.10845309809933,22.878718140925894,27.0,24.0,11.0,1.0,9055.0,2437.0,4520.0,3750.0,30.0,6.0,94.98717123902522,72.10845309809933,22.878718140925894,f,-3
1,309,265,27.0,24.0,11.0,1.0,9055.0,2437.0,4520.0,3750.0,30.0,6.0,94.98717123902522,72.10845309809933,22.878718140925894,27.0,24.0,11.0,1.0,9055.0,2437.0,4520.0,3750.0,30.0,6.0,94.98717123902522,72.10845309809933,22.878718140925894,f,44
2,306,167,27.0,24.0,11.0,1.0,9055.0,2437.0,4520.0,3750.0,30.0,6.0,94.98717123902522,72.10845309809933,22.878718140925894,27.0,24.0,11.0,1.0,9055.0,2437.0,4520.0,3750.0,30.0,6.0,94.98717123902522,72.10845309809933,22.878718140925894,f,139
3,256,231,35.0,21.0,14.0,1.0,8328.0,1580.0,3840.0,3800.0,53.0,13.666666666666666,78.83791289780251,75.79325282594203,3.044660071860477,35.0,21.0,14.0,1.0,8328.0,1580.0,3840.0,3800.0,53.0,13.666666666666666,78.83791289780251,75.79325282594203,3.044660071860477,qf,25
4,285,224,35.0,21.0,14.0,1.0,8328.0,1580.0,3840.0,3800.0,53.0,13.666666666666666,78.83791289780251,75.79325282594203,3.044660071860477,35.0,21.0,14.0,1.0,8328.0,1580.0,3840.0,3800.0,53.0,13.666666666666666,78.83791289780251,75.79325282594203,3.044660071860477,qf,61
5,305,260,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,qf,45
6,285,305,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,qf,-20
7,255,255,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,qf,0
8,310,256,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,20.0,21.0,14.0,1.0,9000.0,1640.0,4020.0,4250.0,70.0,12.0,93.17905711297806,74.79018518838214,18.388871924595918,qf,54
9,285,255,45.0,16.0,19.0,1.0,8708.0,1596.0,4100.0,3750.0,113.0,19.333333333333332,91.57646630369499,78.47126494835486,13.105201355340123,45.0,16.0,19.0,1.0,8708.0,1596.0,4100.0,3750.0,113.0,19.333333333333332,91.57646630369499,78.47126494835486,13.105201355340123,qf,30
10,260,207,45.0,16.0,19.0,1.0,8708.0,1596.0,4100.0,3750.0,113.0,19.333333333333332,91.57646630369499,78.47126494835486,13.105201355340123,45.0,16.0,19.0,1.0,8708.0,1596.0,4100.0,3750.0,113.0,19.333333333333332,91.57646630369499,78.47126494835486,13.105201355340123,qf,53
11,195,206,36.0,16.0,17.0,3.0,8568.0,1604.0,3900.0,3800.0,158.0,17.333333333333332,79.35356060395684,64.40538776110554,14.948172842851287,36.0,16.0,17.0,3.0,8568.0,1604.0,3900.0,3800.0,158.0,17.333333333333332,79.35356060395684,64.40538776110554,14.948172842851287,qf,-11
12,265,306,36.0,16.0,17.0,3.0,8568.0,1604.0,3900.0,3800.0,158.0,17.333333333333332,79.35356060395684,64.40538776110554,14.948172842851287,36.0,16.0,17.0,3.0,8568.0,1604.0,3900.0,3800.0,158.0,17.333333333333332,79.35356060395684,64.40538776110554,14.948172842851287,qf,-41
13,195,225,38.0,16.0,20.0,0.0,8325.0,1497.0,3840.0,3600.0,160.0,14.666666666666666,73.31338710881221,72.45544650346059,0.8579406053516152,38.0,16.0,20.0,0.0,8325.0,1497.0,3840.0,3600.0,160.0,14.666666666666666,73.31338710881221,72.45544650346059,0.8579406053516152,qm,-30
14,150,230,25.0,11.0,25.0,0.0,7566.0,1423.0,3940.0,3000.0,21.0,23.666666666666668,53.37290638454348,89.41184267643642,-36.038936291892945,25.0,11.0,25.0,0.0,7566.0,1423.0,3940.0,3000.0,21.0,23.666666666666668,53.37290638454348,89.41184267643642,-36.038936291892945,qm,-80
15,204,210,53.0,15.0,20.0,1.0,8744.0,1898.0,4240.0,3600.0,119.0,21.666666666666668,88.64105532774958,73.40375524399212,15.237300083757452,53.0,15.0,20.0,1.0,8744.0,1898.0,4240.0,3600.0,119.0,21.666666666666668,88.64105532774958,73.40375524399212,15.237300083757452,qm,-6
16,285,255,40.0,23.0,12.0,1.0,8573.0,1918.0,4160.0,3500.0,258.0,9.333333333333334,81.86656825033135,72.34455571412637,9.522012536204988,40.0,23.0,12.0,1.0,8573.0,1918.0,4160.0,3500.0,258.0,9.333333333333334,81.86656825033135,72.34455571412637,9.522012536204988,qm,30
17,288,235,19.0,18.0,16.0,2.0,8957.0,1497.0,4280.0,4000.0,72.0,15.666666666666666,92.25377581834555,82.86200912039489,9.391766697950638,19.0,18.0,16.0,2.0,8957.0,1497.0,4280.0,4000.0,72.0,15.666666666666666,92.25377581834555,82.86200912039489,9.391766697950638,qm,53
18,210,205,34.0,14.0,21.0,1.0,8005.0,1579.0,3880.0,3450.0,60.0,21.0,68.66201771177505,91.80965223344032,-23.147634521665278,34.0,14.0,21.0,1.0,8005.0,1579.0,3880.0,3450.0,60.0,21.0,68.66201771177505,91.80965223344032,-23.147634521665278,qm,5
19,190,295,41.0,16.0,20.0,0.0,7766.0,1731.0,3600.0,3250.0,66.0,19.333333333333332,62.31674310550468,74.22703512624442,-11.910292020739723,41.0,16.0,20.0,0.0,7766.0,1731.0,3600.0,3250.0,66.0,19.333333333333332,62.31674310550468,74.22703512624442,-11.910292020739723,qm,-105
20,260,95,27.0,19.0,16.0,1.0,8726.0,2028.0,4100.0,3900.0,91.0,14.333333333333334,85.53120664375642,67.5576575845527,17.97354905920371,27.0,19.0,16.0,1.0,8726.0,2028.0,4100.0,3900.0,91.0,14.333333333333334,85.53120664375642,67.5576575845527,17.97354905920371,qm,165
