,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,484,450,31.0,22.0,14.0,0.0,11249.0,2601.0,5140.0,4650.0,714.0,15.666666666666666,116.07990569537503,94.256988280475,21.822917414900033,31.0,22.0,14.0,0.0,11249.0,2601.0,5140.0,4650.0,714.0,15.666666666666666,116.07990569537503,94.256988280475,21.822917414900033,f,34
1,471,452,31.0,22.0,14.0,0.0,11249.0,2601.0,5140.0,4650.0,714.0,15.666666666666666,116.07990569537503,94.256988280475,21.822917414900033,31.0,22.0,14.0,0.0,11249.0,2601.0,5140.0,4650.0,714.0,15.666666666666666,116.07990569537503,94.256988280475,21.822917414900033,f,19
2,341,284,30.0,21.0,14.0,1.0,11025.0,2466.0,5080.0,4650.0,525.0,24.666666666666668,113.35015844090299,105.10888438103733,8.241274059865674,30.0,21.0,14.0,1.0,11025.0,2466.0,5080.0,4650.0,525.0,24.666666666666668,113.35015844090299,105.10888438103733,8.241274059865674,qf,57
3,241,450,30.0,21.0,14.0,1.0,11025.0,2466.0,5080.0,4650.0,525.0,24.666666666666668,113.35015844090299,105.10888438103733,8.241274059865674,30.0,21.0,14.0,1.0,11025.0,2466.0,5080.0,4650.0,525.0,24.666666666666668,113.35015844090299,105.10888438103733,8.241274059865674,qf,-209
4,342,475,30.0,21.0,14.0,1.0,11025.0,2466.0,5080.0,4650.0,525.0,24.666666666666668,113.35015844090299,105.10888438103733,8.241274059865674,30.0,21.0,14.0,1.0,11025.0,2466.0,5080.0,4650.0,525.0,24.666666666666668,113.35015844090299,105.10888438103733,8.241274059865674,qf,-133
5,260,420,26.0,20.0,16.0,0.0,10514.0,2032.0,5120.0,4400.0,264.0,26.333333333333332,102.52155729428792,96.23761548320459,6.283941811083333,26.0,20.0,16.0,0.0,10514.0,2032.0,5120.0,4400.0,264.0,26.333333333333332,102.52155729428792,96.23761548320459,6.283941811083333,qf,-160
6,305,445,26.0,20.0,16.0,0.0,10514.0,2032.0,5120.0,4400.0,264.0,26.333333333333332,102.52155729428792,96.23761548320459,6.283941811083333,26.0,20.0,16.0,0.0,10514.0,2032.0,5120.0,4400.0,264.0,26.333333333333332,102.52155729428792,96.23761548320459,6.283941811083333,qf,-140
7,468,368,26.0,20.0,16.0,0.0,10640.0,2290.0,5360.0,4250.0,270.0,25.333333333333332,101.56150016983123,75.20800205901573,26.353498110815504,26.0,20.0,16.0,0.0,10640.0,2290.0,5360.0,4250.0,270.0,25.333333333333332,101.56150016983123,75.20800205901573,26.353498110815504,qf,100
8,309,479,26.0,20.0,16.0,0.0,10640.0,2290.0,5360.0,4250.0,270.0,25.333333333333332,101.56150016983123,75.20800205901573,26.353498110815504,26.0,20.0,16.0,0.0,10640.0,2290.0,5360.0,4250.0,270.0,25.333333333333332,101.56150016983123,75.20800205901573,26.353498110815504,qf,-170
9,257,449,26.0,20.0,16.0,0.0,10640.0,2290.0,5360.0,4250.0,270.0,25.333333333333332,101.56150016983123,75.20800205901573,26.353498110815504,26.0,20.0,16.0,0.0,10640.0,2290.0,5360.0,4250.0,270.0,25.333333333333332,101.56150016983123,75.20800205901573,26.353498110815504,qf,-192
10,294,311,16.0,22.0,13.0,1.0,10620.0,2068.0,5200.0,4300.0,295.0,19.666666666666668,106.88617919064063,88.77892155697903,18.107257633661604,16.0,22.0,13.0,1.0,10620.0,2068.0,5200.0,4300.0,295.0,19.666666666666668,106.88617919064063,88.77892155697903,18.107257633661604,qf,-17
11,459,404,16.0,22.0,13.0,1.0,10620.0,2068.0,5200.0,4300.0,295.0,19.666666666666668,106.88617919064063,88.77892155697903,18.107257633661604,16.0,22.0,13.0,1.0,10620.0,2068.0,5200.0,4300.0,295.0,19.666666666666668,106.88617919064063,88.77892155697903,18.107257633661604,qf,55
12,454,290,16.0,22.0,13.0,1.0,10620.0,2068.0,5200.0,4300.0,295.0,19.666666666666668,106.88617919064063,88.77892155697903,18.107257633661604,16.0,22.0,13.0,1.0,10620.0,2068.0,5200.0,4300.0,295.0,19.666666666666668,106.88617919064063,88.77892155697903,18.107257633661604,qf,164
13,285,317,12.0,19.0,17.0,0.0,9948.0,1657.0,4920.0,4200.0,193.0,28.666666666666668,80.47523688749727,102.90486130034088,-22.429624412843598,12.0,19.0,17.0,0.0,9948.0,1657.0,4920.0,4200.0,193.0,28.666666666666668,80.47523688749727,102.90486130034088,-22.429624412843598,qm,-32
14,305,345,21.0,17.0,19.0,0.0,10510.0,2204.0,5260.0,4400.0,195.0,38.333333333333336,102.67410447414477,87.76881649124334,14.905287982901418,21.0,17.0,19.0,0.0,10510.0,2204.0,5260.0,4400.0,195.0,38.333333333333336,102.67410447414477,87.76881649124334,14.905287982901418,qm,-40
15,255,350,21.0,14.0,22.0,0.0,10172.0,2495.0,5320.0,4050.0,202.0,44.0,93.0779574938668,110.14050675263415,-17.062549258767337,21.0,14.0,22.0,0.0,10172.0,2495.0,5320.0,4050.0,202.0,44.0,93.0779574938668,110.14050675263415,-17.062549258767337,qm,-95
16,260,205,25.0,17.0,17.0,0.0,9459.0,1990.0,4880.0,3700.0,184.0,39.0,87.71397240813428,86.44813496332694,1.2658374448073317,25.0,17.0,17.0,0.0,9459.0,1990.0,4880.0,3700.0,184.0,39.0,87.71397240813428,86.44813496332694,1.2658374448073317,qm,55
17,294,335,27.0,16.0,20.0,0.0,10543.0,2469.0,5100.0,4200.0,573.0,39.0,100.87099428554286,99.15831083475847,1.7126834507844109,27.0,16.0,20.0,0.0,10543.0,2469.0,5100.0,4200.0,573.0,39.0,100.87099428554286,99.15831083475847,1.7126834507844109,qm,-41
18,281,330,35.0,22.0,14.0,0.0,10812.0,2468.0,5040.0,4400.0,592.0,21.333333333333332,107.75784749575149,86.37532947335448,21.382518022397022,35.0,22.0,14.0,0.0,10812.0,2468.0,5040.0,4400.0,592.0,21.333333333333332,107.75784749575149,86.37532947335448,21.382518022397022,qm,-49
19,381,260,27.0,20.0,16.0,0.0,10670.0,2541.0,5440.0,4100.0,350.0,21.666666666666668,104.58670486117181,84.22228068464261,20.364424176529194,27.0,20.0,16.0,0.0,10670.0,2541.0,5440.0,4100.0,350.0,21.666666666666668,104.58670486117181,84.22228068464261,20.364424176529194,qm,121
20,271,295,10.0,17.0,19.0,0.0,10180.0,2082.0,4900.0,4200.0,415.0,38.333333333333336,89.81833894261825,91.53579738477337,-1.7174584421551107,10.0,17.0,19.0,0.0,10180.0,2082.0,4900.0,4200.0,415.0,38.333333333333336,89.81833894261825,91.53579738477337,-1.7174584421551107,qm,-24
21,295,345,28.0,15.0,20.0,0.0,9842.0,2160.0,5380.0,3600.0,112.0,32.666666666666664,90.83876335286749,101.4192232189266,-10.580459866059115,28.0,15.0,20.0,0.0,9842.0,2160.0,5380.0,3600.0,112.0,32.666666666666664,90.83876335286749,101.4192232189266,-10.580459866059115,qm,-50
22,266,263,26.0,17.0,19.0,0.0,10111.0,2176.0,4820.0,4250.0,336.0,43.0,90.13191709906484,91.89386955347214,-1.7619524544072978,26.0,17.0,19.0,0.0,10111.0,2176.0,4820.0,4250.0,336.0,43.0,90.13191709906484,91.89386955347214,-1.7619524544072978,qm,3
23,281,346,24.0,17.0,18.0,0.0,9922.0,2347.0,4920.0,4100.0,192.0,41.666666666666664,92.23076659795242,79.83996585497034,12.390800742982085,24.0,17.0,18.0,0.0,9922.0,2347.0,4920.0,4100.0,192.0,41.666666666666664,92.23076659795242,79.83996585497034,12.390800742982085,qm,-65
24,351,210,23.0,18.0,18.0,0.0,10338.0,2361.0,4980.0,4100.0,583.0,31.666666666666668,92.41564584077499,92.73453066852939,-0.31888482775439303,23.0,18.0,18.0,0.0,10338.0,2361.0,4980.0,4100.0,583.0,31.666666666666668,92.41564584077499,92.73453066852939,-0.31888482775439303,qm,141
25,297,273,32.0,20.0,16.0,0.0,10739.0,2557.0,5600.0,4150.0,279.0,19.0,103.50098431393197,99.64982590147758,3.851158412454391,32.0,20.0,16.0,0.0,10739.0,2557.0,5600.0,4150.0,279.0,19.0,103.50098431393197,99.64982590147758,3.851158412454391,qm,24
26,372,280,18.0,23.0,13.0,0.0,10941.0,1974.0,5500.0,4250.0,391.0,17.0,110.48692363122223,92.24852082835132,18.238402802870905,18.0,23.0,13.0,0.0,10941.0,1974.0,5500.0,4250.0,391.0,17.0,110.48692363122223,92.24852082835132,18.238402802870905,qm,92
27,205,309,22.0,17.0,19.0,0.0,10343.0,2410.0,5580.0,4000.0,78.0,27.666666666666668,95.95964997192293,104.37447607175027,-8.414826099827346,22.0,17.0,19.0,0.0,10343.0,2410.0,5580.0,4000.0,78.0,27.666666666666668,95.95964997192293,104.37447607175027,-8.414826099827346,qm,-104
28,293,315,18.0,15.0,21.0,0.0,10112.0,2017.0,5140.0,3900.0,262.0,40.333333333333336,88.57859839873369,98.77837491034256,-10.199776511608874,18.0,15.0,21.0,0.0,10112.0,2017.0,5140.0,3900.0,262.0,40.333333333333336,88.57859839873369,98.77837491034256,-10.199776511608874,qm,-22
